date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預收股本,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,685976,10788467,558935,5754326,695186,3080169,586181,586181,160687,6031,412858,854528,168552,1299753,,,357452,1139769,346996,2667,9453838,95957,,,3408506,0.0,362298,3013876,338153,354785.0,213995,11293284,2013年03月31日,3672607,,,18557151,18511375,6883000,1739946,19985969,28206863,,5748,,2356714.0,341773,,10845110.0,78126.0,20632.0,14582408,11308794,,113922,4075,,25731315.0,1131354,,44288466.0,,,155668,294520,5228151,,792773,5748,45776.0,5745346,16081603,16883,16883,15510.0,1678250
2013-07-30,2,2013,1289997,11214428,469186,4615985,946236,3057605,1846327,1846327,140216,6241,740780,1418503,128506,1038485,,,359316,1068986,264231,2665,7489733,95957,224815.0,,2830257,0.0,289804,3635797,469163,356651.0,213261,11310066,2013年06月30日,2413339,,,17982918,17937682,6883000,1860873,22177432,28899103,,4409,,2299008.0,341773,,12829992.0,49066.0,27002.0,15613220,11546446,,130255,4134,,27285193.0,1130428,,45268111.0,,,157938,341133,4586373,,804755,4409,45236.0,5107761,16369008,17230,17230,11565.0,1110500
2013-10-30,3,2013,591402,11112998,461715,4910300,798701,3189869,673580,673580,126892,12455,748368,857897,266495,1060965,,,361161,1501677,237588,2667,6720134,95957,,,2786932,249890.0,328132,3451124,400146,358494.0,212747,11545986,2013年09月30日,2707654,,,18300407,18248846,6883000,1860873,18993431,27110028,,3344,,818576.0,341773,,13673192.0,31875.0,21867.0,13921365,11555248,,143760,4194,,25628675.0,1130887,,43929082.0,,,160818,336704,6109071,,1264089,3344,51561.0,6635244,16819054,25976,25976,9262.0,986700
2014-03-20,4,2013,596100,11375370,487051,5048238,762699,3506381,822024,822024,114720,15049,1293929,811340,215240,1143729,,,364467,1612027,334610,2667,6417109,95957,,,3358250,0.0,364588,3607655,536074,361800.0,213866,11555853,2013年12月31日,2845592,,,18997521,18945120,6883000,1860873,19164889,27515895,,2954,,704835.0,341773,,14166276.0,87027.0,21347.0,13559676,11568629,,161984,3364,,26015772.0,1130281,,45013293.0,,,162978,299749,6320074,,1277417,2954,52401.0,6850883,17497398,26402,26402,12776.0,1513750
2014-04-30,1,2014,609400,11230296,488192,4831961,715165,3481793,640406,640406,122837,21763,1432822,825383,215983,1364369,,,366601,1689202,416109,2667,7282732,95957,,0.0,3454673,,232653,4431014,484677,363934.0,214640,11570991,2014年03月31日,2629315,,,18878706,18878706,6883000,1860873,20243024,29598816,,3358,,19960.0,341773,15108428.0,,48849.0,21023.0,14854402,11581960,,186658,3431,,28177420.0,1127920,,47056126.0,,,164898,349829,7399466,,1273093,3358,0.0,7934396,17457310,26848,26848,10969.0,1194500
2014-08-01,2,2014,597300,10962765,512326,4419583,847988,3513754,1097090,1097090,95172,20284,1183082,771846,174546,1280999,,,368738,1808804,423050,2667,6578986,95957,0.0,0.0,2984687,749273.0,267213,3887474,574380,366071.0,208888,11582936,2014年06月30日,2157139,,,18240876,18240876,6883000,1920671,18972776,26158488,,3195,,19689.0,341773,12805197.0,,100742.0,20625.0,12818103,11607224,,183822,3497,,25339551.0,1126944,,43580427.0,,,167588,412207,5826952,,1385754,3195,0.0,6366775,17421939,27694,27694,24288.0,2688250
2014-11-11,3,2014,608400,11030287,498045,4585088,750723,3334077,711207,711207,76552,23271,1108873,956543,348143,1619458,,,501398,1936664,535626,2671,6442973,95957,,0.0,2529312,1198997.0,34634,3296697,503436,368197.0,212562,11609818,2014年09月30日,2322644,,,18364465,18364465,6883000,1920671,17358122,25568354,,3052,,191460.0,341773,12611387.0,,95419.0,21200.0,11644626,11642111,,187384,3564,,24680655.0,1124350,,43045120.0,,,168578,462079,6648993,130530.0,1401038,3052,0.0,7322533,17476766,31197,31197,32293.0,3685500
2015-03-19,4,2014,633000,11682612,500104,4257443,912935,3238614,646483,646483,97998,25611,1912561,999350,366350,1211029,,,521482,1951255,465449,2675,5733757,54908,,0.0,2176126,399915.0,165835,2970336,258451,382256.0,218745,11577843,2014年12月31日,1994999,,,18827249,18827249,5217000,1920671,16088710,25345412,,2986,,534351.0,341773,13568886.0,,85145.0,3172.0,11429073,11598514,,186783,2844,,24702527.0,1113639,,43529776.0,,,170308,590048,7919183,136551.0,1485806,2986,0.0,8613817,18184364,28886,28886,20671.0,2338250
2015-05-12,1,2015,626000,11502199,499604,4344929,820569,3377942,569626,569626,113028,31379,1693181,861587,235587,2187177,1081368.0,1105809.0,522531,2423205,979411,3275,5800336,90434,,0.0,2735600,1198865.0,279037,2673359,556078,,213091,11601226,2015年03月31日,2082485,83918.0,875.0,18710714,18710714,8305000,1920671,15616106,23832859,384724.0,2795,487551.0,,341773,,11129719.0,,,9713330,11652110,42439606.0,174143,2904,23728892.0,,1110928,42439606.0,,,,172918,587911,7414433,134532.0,1443794,2795,0.0,8112786,18606747,32788,32788,50884.0,5073000
2015-08-04,2,2015,0,11786907,498975,4587877,733441,3961073,915746,915746,37591,35126,1985627,196635,196635,1488247,,,523750,2442084,637985,3277,5818592,117384,,0.0,2715576,399864.0,275401,2577117,536292,,208656,11712366,2015年06月30日,2325433,146782.0,3334.0,19280130,19280130,10917000,1920671,16469926,25008465,387212.0,2624,53360.0,,341773,,13686638.0,,,11649380,11712366,44448343.0,170542,2965,25168213.0,,1111644,44448343.0,,,,175459,539559,7996113,133261.0,1804099,2624,0.0,8698287,19439878,38727,38727,0.0,0
2015-10-30,3,2015,591660,12246859,526848,4342238,803686,2976264,770100,770100,50492,3945,1597381,857371,265711,1601587,1549915.0,51672.0,529403,2472357,636660,3277,5552031,189778,,0.0,1929682,899600.0,366750,2563320,578600,,36081,11712366,2015年09月30日,2079794,30282.0,42032.0,18573851,18573851,18417000,1920671,16363423,23582208,389712.0,2538,51712.0,,341773,,12293597.0,,,11344714,11712366,42566954.0,164924,3026,23993103.0,,1111644,42566954.0,,,,179528,723799,6917723,136414.0,1835697,2538,0.0,7629680,18984746,41206,41206,0.0,0
2016-03-28,4,2015,754975,12477802,526783,3829573,813284,3251977,686342,686342,121081,3883,1572895,1064640,309665,1410721,,,557861,2014813,228953,3277,3945796,228272,,0.0,1680872,0.0,121491,2173396,301027,,36010,11712366,2015年12月31日,1567129,51416.0,80366.0,17998206,17998206,22606000,1920671,9863336,17803758,421132.0,2552,37829.0,,341773,,8876114.0,,,6098523,11712366,36967653.0,160052,2754,18969447.0,,1111644,36967653.0,,,,179538,853958,8365958,133452.0,1785860,2552,0.0,9106111,19163895,40261,40261,0.0,0
2016-05-13,1,2016,1039131,12457514,525868,3861751,852160,3404982,664314,664314,76882,2264,1504980,1320689,281558,1051966,1051966.0,0.0,290293,2265626,515726,3977,5080491,278295,,,2240554,199979.0,597385,2037832,309519,,35145,11712366,2016年03月31日,1599307,57669.0,83562.0,17912446,17912446,28417000,1920671,9304313,17102025,138621.0,2577,23629.0,,341773,,7543979.0,,,4075862,11712366,36647324.0,147861,2835,18734878.0,,1111644,36647324.0,,,67.0,169728,853587,8967709,147695.0,1749900,2577,,9430565,19545299,39674,39674,0.0,0
2016-08-09,2,2016,258200,12681914,510972,3937229,839751,3367961,905437,905437,100848,2367,1038215,526155,267955,1078320,,,291098,2267777,498525,5764,5053246,354262,,0.0,1797950,99899.0,603782,2313029,252316,,32820,11712366,2016年06月30日,1674785,95380.0,93260.0,17445192,17445192,36957000,1920671,7460594,15130613,141023.0,2312,15088.0,,341773,,5341093.0,,,3285723,11712366,34803036.0,146268,2917,17357844.0,,1111644,34803036.0,,,1824.0,171288,808667,9431947,144311.0,1769252,2312,,9897250,19672423,39471,39471,,0
