date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－處分資產增益,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,363101,,438106,-9402,36939,45943,929,-9402,1837,6626,55546,1160,22690,,24324,5860,87405,15215,497643,,900000,2013年03月31日,144531,,1398752,1350488,0,11267,83499,779848,,,282308,,646983.0,5535.0,0.0,900000,,,284546.0,21784,19526,2258,,1683298.0,0.0,145501,4607,48264,201047,903450,0
2013-08-05,2,2013,356571,,358442,-10313,36028,175792,989,-10313,578,7574,54843,1160,25937,,27306,8627,90413,25018,497363,,900000,2013年06月30日,53371,,1312409,1269913,0,22763,214721,831989,,,282308,,682058.0,2418.0,0.0,900000,,,415065.0,21784,19526,2258,,1727474.0,0.0,145501,4363,42496,200344,895485,0
2013-11-12,3,2013,350450,,387590,-8241,37828,70573,2351,-8241,1976,6724,55473,1160,26247,,21922,7701,91766,19638,496831,4242.0,900000,2013年09月30日,82519,,1343904,1301133,0,22763,105526,755502,,,282308,,608776.0,3354.0,0.0,900000,,,306500.0,21784,19526,2258,,1650404.0,0.0,145501,4391,42771,200974,894902,0
2014-03-21,4,2013,334956,,409002,-8246,37824,56611,609,-8246,3299,6399,54398,1160,25015,,25392,7718,99343,14800,496650,4200.0,900000,2013年12月31日,103931,,1367777,1322540,0,22763,99327,787932,,212690.0,282308,,429076.0,6307.0,0.0,900000,,,299226.0,21784,19526,2258,,1667003.0,0.0,145501,4281,45237,199899,879071,0
2014-05-10,1,2014,341779,,423975,-8387,37683,65095,582,-8387,2630,6813,54139,1160,28966,0.0,25687,8090,90487,19318,496605,4294.0,900000,2014年03月31日,118904,,1383811,1337372,0,22763,110897,808603,,238500.0,282308,423937.0,,9395.0,,900000,,,310537.0,21784,19526,2258,,1694348.0,,145501,4224,46439,199640,885745,0
2014-07-30,2,2014,333731,,368084,-8643,35916,146085,364,-8643,1181,6349,51618,1160,38485,0.0,37784,11547,109847,25412,496560,4209.0,900000,2014年06月30日,45068,,1324757,1281225,0,32462,205557,851869,,242110.0,290554,429302.0,,8960.0,,900000,,,402676.0,21784,19526,2258,,1727433.0,,145501,3988,43532,197119,875564,0
2014-11-12,3,2014,315967,,405642,-9514,35045,235745,149,-9514,2276,6797,52149,1163,36574,0.0,23351,9212,110430,31308,496201,4287.0,720000,2014年09月30日,82626,,1184367,1137912,0,32462,281357,806694,,191883.0,290554,429553.0,,10773.0,,720000,,,479007.0,21784,19526,2258,,1663374.0,,145501,4017,46455,197650,856680,0
2015-03-18,4,2014,299945,,433270,-8156,36403,54000,508,-8156,845,6587,48891,1163,29171,0.0,17340,6137,98685,20416,496165,4460.0,720000,2014年12月31日,110254,,1215419,1166898,0,32462,94977,663359,,180003.0,290554,327989.0,,16655.0,,720000,,,289369.0,21784,19526,2258,,1504788.0,,145501,3293,48521,194392,841429,0
2015-05-07,1,2015,301551,,454886,-9078,35481,47965,67,-9078,1561,6093,49354,1163,27656,0.0,22995,6850,100959,10892,496129,4411.0,720000,2015年03月31日,131870,21699.0,1238420,1187592,0,32462,101070,692290,127800.0,,290554,,418823.0,,,720000,1534345.0,295925.0,,21784,19526,2258,1534345.0,,,145501,3320,50828,194855,842055,0
2015-08-12,2,2015,300488,,405769,-10721,31832,152331,216,-10721,867,8866,49986,1163,32624,0.0,35152,8500,108597,32276,496093,0.0,720000,2015年06月30日,72431,14145.0,1183611,1136832,0,42874,210995,757156,179847.0,,290464,,394730.0,,,720000,1590093.0,406482.0,,21784,19526,2258,1590093.0,,,145501,3361,46779,195487,832937,0
2015-11-06,3,2015,296490,,439648,-13802,28751,60641,65,-13802,1940,7447,50447,1163,30715,0.0,25206,6158,91542,23206,496058,0.0,720000,2015年09月30日,106310,9708.0,1216509,1167630,0,42874,103653,690261,163972.0,,290464,,373314.0,,,720000,1516110.0,299601.0,,21784,19526,2258,1516110.0,,,145501,3387,48879,195948,825849,0
2016-03-18,4,2015,290474,,464211,-16124,20471,63121,267,-16124,719,5712,36218,1163,27664,0.0,19573,7014,96253,16038,496022,0.0,720000,2015年12月31日,130873,14173.0,1242208,1189871,0,42874,104600,717636,132200.0,,290464,,439502.0,,,720000,1528527.0,286319.0,,21784,19526,2258,1528527.0,,,145501,2761,52337,181719,810891,0
2016-05-11,1,2016,296198,3000.0,493077,-16389,20206,58341,62,-16389,792,4312,34961,1163,25220,0.0,25122,5613,95504,11366,495986,0.0,720000,2016年03月31日,159739,20594.0,1273858,1218472,0,42874,110462,745693,191800.0,,290464,,417429.0,,,720000,1564782.0,290924.0,,21784,19526,2258,1564782.0,,,145501,2536,55386,180462,819089,0
2016-08-11,2,2016,299595,3000.0,432368,-16398,20197,160307,205,-16398,1259,4672,30438,1163,20416,0.0,23165,7596,107846,17953,495950,,720000,2016年06月30日,79287,13979.0,1207826,1157754,0,54649,206306,768055,171526.0,,298432,,445437.0,,,720000,1590071.0,382245.0,,21784,19526,2258,1590071.0,,,145501,2111,50072,175939,822016,0
2016-11-11,3,2016,285059,3000.0,456009,-17707,16464,58654,135,-17707,1217,4630,30882,1167,20552,0.0,21508,5369,88310,19318,495914,6256.0,720000,2016年09月30日,102928,7643.0,1232815,1180086,0,54649,94391,693636,144204.0,,298432,,416487.0,,,720000,1503589.0,270774.0,,21784,19526,2258,1503589.0,,,145501,2093,52729,176383,809953,0
