date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代付款,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,備抵呆帳－長期應收款項,催收款項,其他應付款合計,其他應付款項－關係人,其他應付票據－關係人,其他應收款淨額,其他應收款－關係人淨額,其他應收票據,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待售房地,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,暫付款,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,重估增值－採用權益法之關聯企業及合資,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,71291,3372339,1228.0,38963,366457,,4449,9993,,,374060,191630,,25316,8814,,-44724,228178,156887,323222,,320535,73780,73780,208839,42250,42250,,0.0,82967,874116,,,9056,,,,286678,286678,7214,7214,,,,241749,9556,9556,447720,447720,6640,6640,25618,25618,5930,5930,0.0,60941,1353430,1459.0,2013年03月31日,-214110,,,1669687,1666808,460610,3345539,2079007,,2400.0,580567,,59197.0,0.0,251.0,2002436,1353430,,4038,,4123699.0,701,,5793386.0,,40621,394380,20904,,,310000,0.0,11221,60222,2879,778160,3714379,257113,12179,,0
2013-08-09,2,2013,72316,3382070,36.0,38963,357933,,5208,10985,,11136.0,449664,148884,,44789,8317,,-53126,266903,194587,322631,,319617,69664,7801,208228,40034,40034,,0.0,83226,1013247,,,9056,,,,392144,392144,24627,24627,,,,270880,0,0,491762,491762,9022,9022,27181,27181,5529,5529,61428.0,61027,1353430,2978.0,2013年06月30日,-222634,,,1621675,1649882,460610,3632619,2315261,,2400.0,580567,,56710.0,0.0,284.0,2074929,1353430,,4588,,4415172.0,701,,6036847.0,,42692,391389,17913,,,321500,435.0,11136,61055,-28207,782553,3721586,287889,12777,,0
2013-11-12,3,2013,78857,3340326,36.0,38175,307834,,5288,12565,,12000.0,576004,137884,,25308,19076,,-46264,285242,206385,315428,,314445,65759,7816,207223,40716,40716,,0.0,82346,996885,,,9056,,,,405553,405553,17934,17934,,,,257944,0,0,456490,456490,12274,12274,23481,23481,6656,6656,57943.0,63038,1353430,947.0,2013年09月30日,-272733,,,1555726,1606645,460610,3588357,2297991,,2400.0,580567,,78352.0,0.0,512.0,1902690,1353430,,5106,,4425641.0,701,,5981367.0,,40752,393125,19649,,,378400,0.0,12000,59896,-50919,837284,3683376,317489,12265,,0
2014-03-21,4,2013,77409,3338830,,38175,263963,-38049.0,5460,14514,,12000.0,387852,185336,,30937,23503,,-44761,225434,25676,321141,612.0,320529,65626,9812,187491,40321,40321,-16770.0,0.0,61983,830408,150909.0,679499.0,9056,,150909.0,,218123,218123,0,0,,,,248574,338,338,261402,261402,9401,9401,24251,24251,4873,4873,55814.0,77350,1353430,,2013年12月31日,-316604,,,1480017,1564277,460610,3282112,1904238,,2400.0,580567,,79321.0,1989.0,373.0,2010916,1353430,,3550,,4100647.0,701,,5580664.0,,40963,390609,17666,10058.0,,362300,0.0,12000,60708,-84260,818535,3676426,272205,12479,122349.0,0
2014-05-09,1,2014,66561,3296473,,38175,244607,-36392.0,5260,16371,,,360143,195901,,39258,22809,,-47040,172676,26662,321617,1514.0,320103,62422,9795,172276,38918,38918,-10648.0,0.0,50137,944804,150909.0,793895.0,9056,,150909.0,0.0,220552,220552,2144,2144,,,,251012,197,197,247377,247377,14783,14783,4622,4622,8249,8249,52627.0,88192,1353430,,2014年03月31日,-335960,,,1418560,1542642,460610,3411240,1997478,,2400.0,580567,76955.0,,1989.0,357.0,2202689,1353430,,3937,,4214045.0,701,,5632605.0,,41732,394183,21240,0.0,,346200,0.0,11172,59678,-124082,802805,3635127,269655,12371,79453.0,0
2014-08-08,2,2014,65883,2847630,,38175,178791,-35225.0,5040,17758,378102.0,389274.0,444165,208106,,41919,3704,,-35688,222469,27299,319841,959.0,318882,59146,9306,143312,35811,35811,-463.0,0.0,49422,964993,150909.0,814084.0,9056,431832.0,150909.0,0.0,184348,184348,8885,8885,,,,242511,223,223,221293,221293,8000,8000,19268,19268,9957,9957,49840.0,90682,1353430,,2014年06月30日,-401776,,,1344518,1488178,460610,3475560,2442311,,2400.0,580567,58856.0,,20.0,328.0,2160645,1353430,,4188,,4255725.0,701,,5600243.0,,40907,390919,17975,0.0,,330100,0.0,11172,32314,-143660,780165,3157932,316373,14593,129287.0,0
2014-11-10,3,2014,65929,2835266,,38175,-12041,-34684.0,5140,18199,387729.0,399729.0,424719,206649,,185013,3054,,-52607,258268,48530,336741,2575.0,334166,58231,10179,143027,32851,32851,-17923.0,,50565,580736,151031.0,429705.0,9056,444375.0,151031.0,0.0,193423,193423,8544,8544,,,,282878,121,121,211141,211141,9521,9521,16359,16359,9957,9957,48052.0,84380,1353430,,2014年09月30日,-592608,,,1126302,1280427,460610,3486435,2238864,,0.0,580567,65386.0,,0.0,328.0,2107121,1353430,,4712,,4251938.0,701,,5378240.0,,40963,393272,20329,0.0,,314000,,12000,32830,-154125,765503,3139376,330150,14781,143809.0,0
2015-03-23,4,2014,64400,2848654,,39456,56378,-43840.0,4900,17292,411901.0,411901.0,357548,140997,15000.0,249475,4159,3827.0,-79964,268645,26735,347546,924.0,346622,70482,10830,121242,33340,33340,-36124.0,,50486,670780,151031.0,519749.0,9056,,151031.0,0.0,145722,145722,4578,4578,,,267580.0,267580,0,15000,221439,221439,7344,7344,8240,12067,10632,10632,59652.0,83246,1353430,,2014年12月31日,-524189,,,1186171,1321489,460610,3012985,1830208,,0.0,580567,64622.0,,385.0,377.0,1808987,1353430,,3543,,3777336.0,701,,4963507.0,,45828,395969,23409,0.0,0.0,297900,,0,33418,-135318,764351,3133299,191039,3998,177510.0,0
2015-05-05,1,2015,64400,2809418,,39456,-8721,-39771.0,4780,20055,407788.0,407788.0,277732,140997,13200.0,51253,4336,0.0,-69359,299068,28088,344279,1152.0,343127,69423,10823,116903,31321,31321,-29588.0,,50082,728866,151098.0,577768.0,9056,,151098.0,0.0,191145,191145,0,0,,,,252689,0,13200,194288,194288,11562,11562,10420,10420,13296,13296,,85435,1353430,,2015年03月31日,-589288,0.0,297.0,1108498,1266995,460610,2987508,1748522,58600.0,0.0,580567,,117929.0,,,1808655,1353430,4837406.0,4022,3728908.0,,701,4837406.0,,,43023,390177,17617,,,281800,,0,33613,-158497,741400,3088884,224193,1887,206580.0,0
2015-08-07,2,2015,64400,2790564,,39456,-35182,-49104.0,4640,18863,404210.0,404210.0,292395,175123,11400.0,45070,4422,0.0,-72018,223690,28830,338809,1041.0,337768,68732,11184,116175,29390,29390,-22914.0,,49745,781949,151098.0,630851.0,9056,0.0,151098.0,0.0,245323,245323,2243,2243,,,,240050,0,11400,194071,194071,8846,8846,21685,21685,11451,11451,,77622,1353430,,2015年06月30日,-615749,0.0,190.0,1074408,1237875,460610,3049808,1788528,57548.0,0.0,580567,,90794.0,,,1853697,1353430,4841724.0,3936,3767316.0,,701,4841724.0,,1951.0,44259,383076,10516,,,265700,,0,33042,-163467,717508,3053196,242342,3998,130460.0,0
