date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,51600.0,911874,120309,167151,27949,,39829,,5521,75820,67217,2729,972,120318,40.0,1223,1223,478263,91622,,,43082,,50000,37426,193318,,24458,120278.0,17350,1403098,2013年03月31日,65562,,,1561487,1561482,9175103,17534,291134,965016,,37213,,69817.0,3577.0,,50000,1403098,,,421678.0,53877,,1983165.0,3.0,0.0,526,59753,9700.0,5,130544,1018149,25516,,12888,0
2013-08-09,2,2013,48400.0,897696,110705,172379,27655,,73518,,4595,80754,66879,4921,1369,119272,40.0,1223,1223,475708,91622,,,53819,,60000,43142,224316,,51920,119232.0,17234,1403098,2013年06月30日,55958,,,1556817,1556812,9175103,17534,350221,1023219,,37213,,73110.0,2840.0,,50000,1403098,,,470019.0,53877,,2026836.0,23.0,0.0,526,59809,0.0,5,119798,1003617,19822,,13558,0
2013-11-01,3,2013,35500.0,883646,124223,198147,27446,,51384,,4155,106313,46841,3163,1181,116898,40.0,2422,1223,463564,91622,,,50292,,60000,37897,193317,,34348,116858.0,17118,1403098,2013年09月30日,69476,,,1597730,1597725,9175103,17534,320810,1045380,,37213,,134907.0,4396.0,,70000,1403098,,,438234.0,55713,,2035964.0,0.0,0.0,526,59952,0.0,5,117424,990584,15761,1199.0,8178,0
2014-03-19,4,2013,22600.0,867506,125607,244394,25112,,53743,,6738,155815,36143,3684,414,121318,3945.0,5863,1224,535547,91622,11433.0,,47441,,60000,28396,162499,,25348,117373.0,5569,1403098,2013年12月31日,70860,,,1648617,1648611,9175103,17534,312793,1119415,,37213,,107874.0,4793.0,,80000,1403098,,,434637.0,55713,,2083254.0,2277.0,0.0,526,59789,0.0,6,121844,963839,25168,4639.0,9859,0
2014-05-13,1,2014,9700.0,884795,132294,228642,25112,,37476,37476.0,8164,144210,27909,2361,524,116555,40.0,63346,1158,552471,91622,0.0,0.0,56608,0.0,60000,33716,181971,882.0,26886,116515.0,5454,1403098,2014年03月31日,77547,,,1643700,1643693,9175103,17534,380502,1102886,,37213,73101.0,,4793.0,,160000,1403098,,,497583.0,55713,,2141283.0,0.0,,526,59690,0.0,7,117081,1038397,30245,62188.0,15848,0
2014-08-12,2,2014,0.0,937971,111496,222047,24260,,76241,76241.0,4798,136763,17393,2347,732,119989,4440.0,2653,1158,555551,91622,0.0,0.0,51262,152.0,50000,38011,190652,293.0,40027,115549.0,5358,1403098,2014年06月30日,53086,,,1615455,1615448,9175103,21197,515657,1221164,,37213,173656.0,,2598.0,,280000,1403098,,,635646.0,55713,,2251101.0,0.0,,0,59695,,7,119989,1029937,33408,1495.0,15046,0
2014-11-13,3,2014,0.0,925953,140338,204019,24287,,43242,43242.0,4251,118762,11630,2480,1328,114822,240.0,1048,1048,559228,91622,0.0,0.0,38894,282.0,50000,38305,187756,350.0,17888,114582.0,5301,1403098,2014年09月30日,81928,,,1628589,1628582,9175103,21197,353639,1081620,,37213,73523.0,,1286.0,,170000,1403098,,,468461.0,58006,,2097050.0,0.0,,0,58841,,7,114822,1015430,33277,0.0,9150,0
2015-03-20,4,2014,0.0,910054,144408,202261,22210,,53574,53574.0,1982,114927,15359,3115,507,135333,4040.0,1449,1048,575106,91622,0.0,0.0,42310,306.0,60000,40059,226148,374.0,17791,131293.0,5244,1403098,2014年12月31日,85998,,,1628824,1628817,9175103,21197,381608,1149246,,37213,95698.0,,0.0,1681.0,170000,1403098,,,517091.0,58006,,2145915.0,0.0,,150,57712,,7,135483,996669,27698,401.0,12244,0
2015-05-07,1,2015,0.0,898996,170278,209330,22210,0.0,41744,41744.0,3299,115475,15732,2641,1958,130450,40.0,1737,1065,564846,91622,,,45034,0.0,50000,22117,244732,2034.0,14281,,5188,1403098,2015年03月31日,111868,4376.0,1681.0,1655242,1655235,9175103,21197,369003,1168962,130410.0,37213,,98918.0,,,190000,1403098,2154695.0,499453.0,,58006,2154695.0,,,,0,57602,,7,130450,985733,27883,672.0,13091,0
2015-08-05,2,2015,,885641,151890,257860,22210,,102762,102762.0,1919,152779,16599,2992,601,120865,40.0,1680,1067,561372,77032,,,47806,483.0,50000,38529,229513,2275.0,15201,,5132,1403098,2015年06月30日,86625,8660.0,1676.0,1694756,1694744,7714,28052,424839,1273260,120825.0,37213,,177712.0,,,160000,1403098,2240511.0,545755.0,,64009,2240511.0,,,,51,52588,,12,120916,967251,25131,613.0,13607,0
2015-11-09,3,2015,,870073,177333,244520,22210,,53113,53113.0,1213,128655,11783,3454,1841,119831,0.0,4741,1067,556364,77032,,,36449,0.0,0,35768,214285,3059.0,15443,,5075,1403098,2015年09月30日,112068,10418.0,1676.0,1699161,1699148,7714103,28052,272531,1138255,119831.0,37213,,81151.0,,,125000,1403098,2091704.0,392543.0,,67094,2091704.0,,,,181,51350,,13,120012,953449,18703,3674.0,8329,0
