date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付建造合約款,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,按攤銷後成本衡量之金融負債－非流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,銀行借款,長期借款合計,長期遞延收入,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,5128353,362862,12091262,12731.0,3083542,611272,15545,611272,9991,3506,-294532,556294,556294,375400,375400,1445169,88011,373515,373515,4111071,0.0,,2595150.0,2595150,96429.0,96429,0,0.0,0.0,66705.0,66705,3455603,60407,275654,1029524,1836,1357158.0,8486196,,1999089,5209722,2013年03月31日,5254365,,19757217,19493764,0,1699943,6744829,10718593,,,18079.0,11780.0,,5136954,,1364737.0,125065.0,2439901,5209722,,228878,30102,,10739913.0,2487312,,30497130.0,9590.0,,54.0,1669813,333200,,2439901.0,850000,,263453,3995084,19778537,0
2013-08-07,2,2013,5152639,353965,11791801,9652.0,3019942,1314418,21275,1314418,44495,4915,-282208,682292,682292,448823,448823,1431246,92038,429184,429184,4270517,0.0,,,2840731,,171572,0,,0.0,,95495,3816669,78402,144906,1078929,1925,1339208.0,8440250,,2047643,5209722,2013年06月30日,4858967,,19469681,19206627,0,1795880,7729054,11402356,,,69256.0,11780.0,,5136954,,1433831.0,106458.0,2213582,5209722,,283231,28688,,11737760.0,2487312,,31207441.0,0.0,,36.0,1698772,349682,,,850000,,263054,4008706,19805085,0
2013-11-12,3,2013,5269712,347961,12153684,10590.0,2996445,908275,27674,908275,63794,8481,-353977,651405,651405,327859,327859,1434320,95175,373257,373257,4326137,0.0,,,3114670,,141781,40763,,0.0,,133963,4607187,51937,176265,955440,1836,1339145.0,8394305,,2124659,5209722,2013年09月30日,5220850,,19956796,19559130,0,1795880,8212663,12299717,,,19947.0,11780.0,,5136954,,1749845.0,105238.0,2835300,5209722,,253594,33941,,12206391.0,2549701,,32163187.0,0.0,,399.0,1675467,345351,,,850000,,397666,3993728,19863470,0
2014-03-28,4,2013,5358110,295781,12420063,169684.0,836897,1088725,30806,1088725,28087,3892,221570,556081,556081,236792,236792,1494733,93303,433807,433807,3974320,0.0,,,3402347,,105813,3500,,0.0,,215700,4462621,115795,106048,969809,1836,1368474.0,8348359,0.0,5689640,5209722,2013年12月31日,5487229,,20825170,20411078,0,1795880,8320946,11959405,,,35117.0,11780.0,,5136954,,1855404.0,126611.0,2290625,5209722,,498195,35902,,12431437.0,2559723,,33256607.0,2543.0,0.0,0.0,1729856,322828,0.0,,850000,32956.0,414092,4110491,21297202,0
2014-05-09,1,2014,5385113,294227,12762439,9184.0,779390,836281,14983,836281,15588,10602,171730,769850,769850,241375,241375,1483053,92388,484566,484566,4228444,,0.0,,3117654,,64739,293,,,,160213,4457659,63717,120137,914880,1224,1357451.0,8302414,,5705939,5209722,2014年03月31日,5829605,,21141955,20705470,0,1795880,8003087,11982866,,,36087.0,8880.0,,5136954,1883895.0,,94454.0,2449209,5209722,,495411,37539,,12118053.0,2561579,,33260008.0,0.0,,74.0,1744374,316613,,,850000,33214.0,436485,4114966,21277142,0
2014-08-07,2,2014,5506569,281383,12309135,9559.0,765425,1697272,23080,1697272,71561,5220,83810,644176,644176,294091,294091,1473791,93061,462695,462695,4115188,,0.0,,3406759,,85876,293,,,,135768,4311222,86870,156446,1007451,1466,1348351.0,8259693,,5683078,5209722,2014年06月30日,5259032,,20595106,20164246,0,1913149,8674872,12097078,,,218210.0,8880.0,,5136954,1819611.0,,126751.0,2050755,5209722,,504142,40034,,12784639.0,2561579,,33379745.0,0.0,,183.0,1745942,314944,,,850000,32379.0,430860,4109767,21282667,0
2014-10-31,3,2014,5635296,281388,12681533,13620.0,767576,902653,22955,902653,53791,6872,273214,747314,747314,346791,346791,1459056,89143,458088,458088,4419723,,0.0,,3321921,,173440,745,,,,140820,4381432,71487,217054,940524,1544,1337106.0,8218586,,5992163,5209722,2014年09月30日,5631430,,21172389,20726327,0,1913149,8463156,12068942,,,68216.0,5890.0,,5136954,1547888.0,,127472.0,2571639,5209722,,451680,33220,,12564340.0,2561858,,33736729.0,2517.0,,0.0,1758908,308800,,,850000,32807.0,446062,4101184,21667787,0
2015-03-13,4,2014,5816651,280448,12910187,0.0,764068,1101504,28753,1101504,26308,6019,400335,791370,791370,312895,312895,1473217,88346,508101,508101,4277598,,0.0,,3239487,,77621,14983,,,,156719,4669138,90551,202110,982804,978,1350733.0,8177479,,6049532,5209722,2014年12月31日,5860084,,21554293,21100108,0,1913149,8401812,12217700,,,225271.0,5890.0,,5136954,1424028.0,,120734.0,2367916,5209722,,500491,32179,,12609020.0,2579864,,34163313.0,2234.0,,,1851812,343444,,,850000,34138.0,454185,4207208,21945613,0
2015-05-13,1,2015,5799428,280444,13280523,0.0,757588,890775,6807,890775,18515,7166,331593,654950,654950,283728,283728,1460015,88547,541648,541648,4397360,,,,3108524,,40804,47884,,,,137888,4738350,79777,207669,824540,978,,8139539,,6079760,5209722,2015年03月31日,6230420,171779.0,21866293,21401702,0,1913149,8305033,12418918,1338015.0,230797.0,,,8790.0,5136954,,1630038.0,,2747760,5209722,34364367.0,497657,31611,12498074.0,,2579864,34364367.0,,205.0,,0.0,1851415,338252,,,850000,33453.0,464591,4193041,21945449,0
2015-08-06,2,2015,5823001,272395,12751086,0.0,715541,1814133,12162,1814133,89663,8543,182317,814449,814449,346753,346753,1463494,99897,526546,526546,4158255,,,,2980930,,88434,17016,,,,91807,4677941,95975,238079,979807,1604,,8101598,,5974007,5209722,2015年06月30日,5574203,98543.0,21178053,20723271,0,2039929,9053607,12678610,1329936.0,283846.0,,,9374.0,5136954,,1798072.0,,2643034,5209722,34439132.0,492945,29774,13261079.0,,2580146,34439132.0,,154.0,,72.0,1864204,338060,,,850000,33661.0,454782,4207472,21760522,0
