date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,其他預收款,存入保證金,存出保證金,存貨合計,工程存出保證金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-09,1,2013,,5122082,290560,4693306,29503,0.0,863965,13154,650122,10455072,72621,528087,4741,1639524,3355,503255,104072,69630.0,114991,108753,9561465,523346,69411,137844,,2112036,441689,2797575,355682,1388743.0,803257,325762,4108200,2013年03月31日,2665459,,9752422,9613291,2129800,2027847,14072147,17128499,,308222,1650.0,0.0,,3042690.0,191067.0,5372.0,4108200,,,,15772576.0,231074,,25524998.0,177055,50905,1043361,2946,0.0,10000.0,132435,212367,139131,1700429,8396499,483794,78063,226169,10382451,0,10086652
2013-08-07,2,2013,30000.0,5195850,290560,4062787,28323,0.0,1958841,2161,810885,11628955,6640,636227,876,1634652,2746,466467,54511,,143841,110863,10505054,635351,69411,44349,,2914172,489064,3026399,471854,1380846.0,849487,338793,4108200,2013年06月30日,1879969,,9289191,9146430,2129800,2182818,17257263,19604415,,309446,1650.0,0.0,,4243014.0,254188.0,5372.0,4108200,,2106.0,,18942922.0,233969,,28232113.0,265846,48507,1177095,4565,2075.0,2500.0,107219,215448,142761,1685659,8627698,377463,85645,284979,11592315,0,11307336
2013-11-07,3,2013,25000.0,5157905,290560,4549400,29267,0.0,1150003,5004,758188,12901726,5387,677327,498,1687069,2514,435354,53713,3837.0,179116,109027,11283642,676829,69411,49488,,3100636,384384,3723247,538837,1389095.0,846909,342629,4108200,2013年09月30日,2366582,,9735161,9585243,2129800,2182818,17809725,20557719,,303285,,0.0,,3322082.0,270225.0,,4108200,,2091.0,,19504178.0,238866,,29239339.0,491275,7384,1304978,660,140.0,0.0,116344,212141,149918,1694453,8681620,437410,60473,300665,12871339,0,12566837
2014-03-20,4,2013,0.0,5225427,290560,5158426,26789,0.0,1174702,2061,818212,12470157,1804,773595,75377,1782191,2347,455280,55278,101982.0,279683,122471,11250803,698218,69411,53178,,3015569,655348,3557937,452849,1372458.0,836974,350131,4108200,2013年12月31日,2975608,,10409003,10254294,2129800,2182818,17684916,21071211,,312569,,0.0,,4237478.0,355901.0,,4108200,,172.0,,19474888.0,238867,,29883891.0,247322,7781,1341739,13067,,0.0,127703,214210,154709,1789972,8812680,469199,63321,315029,12468353,0,12051342
2014-05-08,1,2014,0.0,5348882,290560,5596358,32453,,1023170,8081,920570,12568663,10068,646656,53236,1732324,2221,430366,18001,1663.0,241608,123858,10677560,593420,69411,49226,0.0,2259492,280112,3673785,530832,1359591.0,835916,354635,4108200,2014年03月31日,3413540,,10956970,10794584,2129800,2182818,16401761,20211357,,329487,0.0,,3484781.0,,269694.0,0.0,4108200,,630.0,,18142177.0,238867,,29099147.0,573750,8092,1297944,0,4749.0,0.0,128904,215720,162386,1740416,8887790,529484,72787,316875,12558595,0,12240057
2014-08-07,2,2014,0.0,5319696,290560,5017909,43239,,2152186,7213,780350,12791457,8671,607360,999,1690892,2072,458488,52962,100201.0,195058,121198,10932534,606361,69411,56972,0.0,2907588,175724,3822841,517439,1368639.0,834052,346200,4108200,2014年06月30日,2663741,,10235537,10075915,2129800,2354168,18252360,21276538,,335521,0.0,,4198885.0,,225051.0,0.0,4108200,,354.0,,19952948.0,238867,,30188485.0,599616,9696,1327430,0,3847.0,0.0,125123,210120,159622,1700588,8911947,486592,74208,318210,12782786,0,12364375
2014-11-06,3,2014,0.0,5329937,290560,5720194,7837,,1457231,9946,931046,13070806,15247,648061,89,1753704,1899,355776,47087,670.0,236145,54972,10855417,647972,69411,131689,0.0,2877782,228689,4236009,482532,1377690.0,832148,350875,4108200,2014年09月30日,3366026,,11103815,10934221,2129800,2354168,17791173,21813118,,340783,,,3633999.0,,155949.0,,4108200,,716.0,,19553479.0,244192,,30657294.0,1248663,8602,1344097,0,10062.0,,137970,212731,169594,1762306,8844176,548903,40986,332253,13055559,0,12722636
2015-03-20,4,2014,,5602806,290560,6107281,6613,,1408441,8956,1288118,12227131,1842,716350,16,1814691,1822,425814,66273,1657.0,224765,56059,10810542,716334,69411,119108,0.0,3122661,646537,4166117,295920,1441178.0,833002,369370,4108200,2014年12月31日,3753113,,11852143,11678380,2129800,2354168,17681344,22127641,,360279,,,5061153.0,,263221.0,,4108200,,548.0,,19507502.0,244192,,31359645.0,223508,11467,1350173,12805,,,146926,221126,173763,1826158,9232004,719374,82356,349066,12225289,0,11874566
2015-05-07,1,2015,,5718888,290560,6599870,7004,,1010548,5487,1159691,11385470,5062,747957,21977,1777409,1631,395854,27096,2367.0,194900,56855,9515230,725980,69411,105119,,2041337,302389,4593422,416494,,838433,356822,4108200,2015年03月31日,4245702,278351.0,12225681,12042542,2129800,2354168,15027748,19868693,1425113.0,354630,,,,3449481.0,,,4108200,29041173.0,1491.0,16815492.0,,244192,29041173.0,,468300,10335,1217293,8162,0.0,,155765,216485,183139,1787744,9172480,560199,95418,344200,11380408,0,11033841
2015-08-11,2,2015,,5757439,290560,5817230,6035,,2519874,28376,1070755,11694708,4593,694456,11113,1792116,1454,427261,48650,1155.0,206845,60900,9847890,683343,69411,112782,0.0,3208130,267499,4863120,460240,,865922,358534,4108200,2015年06月30日,3260892,241942.0,11329878,11170966,2129800,2556338,17943938,21736857,1426666.0,356617,,,,4746042.0,,,4108200,31075711.0,966.0,19745833.0,,244192,31075711.0,,505265,9779,1282521,10819,0.0,,157151,213084,158912,1801895,9338854,472651,104627,352671,11690115,0,11336289
