date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,催收款項,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,60000,1153198,22180,1286301,0.0,0.0,0,139952,257,15102,28,3454,235933,62190,54796,79456,85655,28559.0,28559.0,3454,15378.0,2093,1430048,1430048.0,100163.0,,,,194822,89,249877,359664,1174,573849,261081,188372,933,20631.0,68777,949525,2013年03月31日,973448,,2385645,2385645,2958000,294098,2100853,3254848,,8432,18755,,682899.0,49113.0,869972,949525,,,,2240081.0,246528,28185.0,6320,218339,4,,212019,,4625726.0,,59772,32636,0,0,23545,38650,,139228,1370878,,47740,16353,113743,0
2013-08-07,2,2013,30000,1183361,22180,1198148,0.0,0.0,0,281464,34,15898,16,10990,137845,14669,67486,44574,70180,28559.0,28559.0,10990,0.0,1078,1427771,1427771.0,100163.0,,,,155371,79,249850,463045,2002,643279,203776,237772,8673,20626.0,50832,949525,2013年06月30日,859663,,2305028,2305028,2958000,320722,1998296,3143520,,8620,17763,,498983.0,31550.0,640047,949525,,37009.0,,2205922.0,246528,28185.0,6320,218339,4,,212019,,4510950.0,0.0,63052,32257,100000,0,23948,39092,,207626,1367430,,39866,1451,93176,0
2013-11-12,3,2013,0,1163690,22180,1232261,0.0,0.0,0,141092,81,14285,26,5563,122749,19066,46992,44304,69583,28559.0,28559.0,5563,0.0,1143,1528242,1528242.0,100163.0,,,,158549,54,199690,460838,1453,602802,163199,302444,1773,20626.0,51527,949525,2013年09月30日,893776,,2333714,2333714,2958000,320722,1979474,3168815,,7944,17763,,449534.0,14488.0,844560,949525,,35920.0,,2183436.0,246528,28185.0,6320,218339,4,,212019,,4517150.0,,59658,33411,100000,0,23678,38430,,203962,1348335,,59518,1451,103683,0
2014-03-18,4,2013,34615,1391149,22180,1270620,0.0,0.0,0,163141,912,834,7736,12332,199334,37954,22993,43109,238487,,,12332,0.0,6341,1519751,,0.0,,,,161302,68,279731,421909,2346,578301,107769,279439,777,20212.0,59755,919945,2013年12月31日,932135,,2421044,2421044,0,320722,2118615,3222259,,7275,17763,,648020.0,18772.0,839838,919945,,31262.0,,2550888.0,218147,0.0,6124,218143,4,,212019,,4971932.0,,65241,30827,323923,0,22897,38895,,432273,1749673,188141.0,56639,5110,126765,0
2014-05-13,1,2014,69231,1936054,22180,1338388,,,0,142706,921,9464,7909,12035,243440,27617,34174,42721,41885,,,12035,0.0,2511,1680531,1680531.0,0.0,,0.0,,262806,4335,279731,451589,1114,609896,131983,326377,661,20212.0,64478,919945,2014年03月31日,999903,,2620216,2488515,0,320722,2422388,3478920,,8584,17763,602368.0,,30939.0,970995,919945,,33812.0,,2964162.0,218147,0.0,6124,218143,4,,212019,,5584378.0,,209746,32277,289307,0,22509,38522,131701.0,541774,2105458,0.0,75557,852,146592,0
2014-08-12,2,2014,103846,1931117,22180,1194897,,,0,350204,1107,9781,8400,3278,274407,21983,33513,42016,45899,,,3278,,2513,1697517,,0.0,,0.0,,202076,820,279773,555347,2049,724068,170901,340043,1151,20214.0,64262,919945,2014年06月30日,832814,,2469492,2336267,0,344320,2787638,3653312,,7800,17763,588892.0,,32624.0,1053439,919945,,35792.0,,3290105.0,218147,0.0,6124,218143,4,,212019,,5759597.0,,205759,35027,254692,0,21802,37601,133225.0,502467,2106285,0.0,79046,5785,148578,0
2014-11-11,3,2014,138461,1941644,22180,1264106,,,0,149386,1693,6124,4253,14884,429457,32928,59871,42276,40995,,,14884,,2420,1780971,,0.0,,0.0,,238167,673,299699,565430,1194,711452,178549,400501,1078,20216.0,67130,919945,2014年09月30日,902023,,2551308,2417082,0,344320,2960210,3968187,,7111,17763,743270.0,,28492.0,1208704,919945,,37315.0,,3531012.0,218147,0.0,6124,218143,4,,212019,,6082320.0,,208449,35073,320077,0,22060,38343,134226.0,570802,2114133,0.0,82118,232,258068,0
2015-03-11,4,2014,127885,1954129,22180,1356085,,,0,194364,3461,743,4142,30943,398941,92794,22898,49612,84958,,,30943,,4419,1712272,,0.0,,0.0,,220168,1549,431633,617070,765,809283,289997,423988,2136,27154.0,77884,919945,2014年12月31日,994002,,2657449,2525120,0,344320,3158596,4199416,,6601,17763,831447.0,,48012.0,1205111,919945,,37522.0,,3722254.0,218147,0.0,6124,218143,4,,212019,,6379703.0,,218008,34535,296038,0,22458,39346,132329.0,563658,2180287,0.0,102510,41193,178262,0
2015-05-13,1,2015,140385,1924275,22180,1422894,,,0,159790,2022,93551,2107,26106,358670,39976,15962,49090,78853,,,26106,,2577,1874403,,0.0,,0.0,,283432,0,481605,568350,2038,742041,271976,362652,1093,,73446,919945,2015年03月31日,1060811,44107.0,2718826,2587092,0,344320,3206499,4342478,27152.0,5717,17763,,849372.0,,1268579,919945,6482643.0,37906.0,3763817.0,,218147,0.0,6124,218143,4,,212019,6482643.0,,,224690,35694,283538,0,21938,35983,131734.0,557318,2140165,0.0,129321,40293,178309,0
2015-08-07,2,2015,37500,1901325,12643,1228759,,,0,390532,12759,19327,1016,18662,293058,38964,30908,48525,37880,,,18662,50.0,2106,1892441,,,,,357144.0,249280,0,534630,578840,1180,824646,300033,303727,687,,75779,919945,2015年06月30日,839389,33069.0,2550527,2417433,0,371607,3235525,4510982,27153.0,4905,17763,,974650.0,,1093697,919945,6586811.0,37120.0,4036284.0,,250067,,6124,218143,4,31920.0,212019,6586811.0,,11360.0,224052,43297,171038,0,21322,35267,133094.0,800759,2075829,,163547,507,216594,0
