date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,土地成本,土地淨額,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2012-04-30,1,2013,22585,5997373,2201366,313644,57081,187647,143016,120431,259808,25943,61973,163543,33469,21002,159957.0,159957.0,1168920,1168920.0,0.0,,321069,150000,,,1751912,61973.0,2831951.0,2831951.0,286663,1500000,2013年03月31日,1073139.0,,1471938.0,1471938.0,6066610,5935973,0,4340556,4278153,,46945,,,,891364.0,122870.0,3289957,1500000,,,4806128.0,2046960,,10872738.0,325988.0,325988.0,149068,134400.0,134400.0,173386,100061,230213,130074,130637,465572,6594585,0
2013-08-12,2,2013,22671,6239138,2067759,956655,59619,261651,224404,201733,345014,31708,62581,165401,33889,21361,,,1253552,,,,586892,130000,,,2338673,62581.0,,,283924,1605000,2013年06月30日,,,,,6113967,5981370,0,5784183,5563301,,53069,,,,1566443.0,160693.0,3725539,1605000,,,6279041.0,2046960,,12393008.0,,,0,,,207764,88175,224513,131512,132597,494858,6829707,0
2013-11-04,3,2013,22756,7432974,2556833,446801,65511,195707,134065,111309,498564,41482,62626,143376,14122,21120,,,1353709,,,,430209,130000,176264.0,1583682.0,745157,62626.0,,,277772,1605000,2013年09月30日,,,,,6539645,6404500,0,5705807,5521395,,62602,,,,1177904.0,171185.0,4217283,1605000,,,6991703.0,2046960,,13531348.0,,,96868,,,224478,93229,998792,129254,135145,1285896,8009953,0
2014-03-04,4,2013,22842,8106491,2972093,463552,82187,315371,73468,50626,99558,47734,41713,439050,308283,21496,,,1543179,,,,421780,130000,13055.0,1485848.0,719723,41713.0,,,279493,1705000,2013年12月31日,,,,,9043585,8899424,0,4179460,5521452,,69230,,,,1469694.0,163808.0,2913797,1705000,,,5472966.0,3906960,,14516551.0,,,121263,,,258744,100835,993049,130767,144161,1293506,8995099,0
2014-05-14,1,2014,22928,8839965,3353588,438378,68615,288108,80307,57379,104019,56752,41743,373080,243602,21413,1049016.0,1049016.0,1693729,1693729.0,0.0,0.0,384195,150000,,,2468066,41743.0,3050984.0,3050984.0,277644,1705000,2014年03月31日,2116173.0,,1979764.0,1979764.0,9402136,9253656,0,4695325,5738940,,78165,,66057.0,1218120.0,,148191.0,3494254,1705000,,,6009190.0,3906960,,15411326.0,499905.0,499905.0,120334,144123.0,144123.0,284837,103532,987285,129478,148480,1313865,9672386,0
2014-08-14,2,2014,23014,9795115,2894498,1461735,30834,170119,77369,54355,158624,67662,41153,346659,220303,21024,1049016.0,1049016.0,1664524,1664524.0,0.0,0.0,400121,100000,8256.0,1932468.0,931073,41153.0,3470396.0,3470396.0,274925,1705000,2014年06月30日,2628942.0,,1995528.0,1995528.0,8820282,8676577,0,5973353,6408132,,88686,,108878.0,1264874.0,,140149.0,3785723,1705000,,,8194102.0,3906960,,17014384.0,503286.0,503286.0,316857,147947.0,147947.0,269459,100867,1910137,126356,143705,2220749,10606252,0
2014-11-04,3,2014,23101,10124811,3272458,485112,40362,359954,75501,52400,198526,71093,41693,400989,272191,21562,1049016.0,1049016.0,1750697,1750697.0,0.0,0.0,359691,110000,15155.0,1807031.0,1038752,41693.0,3558456.0,3558456.0,276069,1705000,2014年09月30日,2768901.0,,2095994.0,2095994.0,9389276,9244372,0,6342615,6949946,,92655,,77485.0,1102206.0,,160254.0,5136902,1705000,,,8561029.0,3906960,,17950305.0,508478.0,508478.0,934887,143966.0,143966.0,271810,105835,1904911,128798,144904,2218414,11000359,0
2015-03-03,4,2014,23188,10429741,3677512,579955,125372,615843,119046,95858,185006,80476,29341,594444,462336,22253,,,1847481,,,0.0,397249,70000,5346.0,1771534.0,1006503,29341.0,,,221383,1705000,2014年12月31日,,,,,10057813,9905315,0,6638824,7430137,,102729,,64156.0,1644721.0,,146162.0,5321066,1705000,,,8878716.0,3906960,,18936529.0,,,785364,,,310887,158095,1899664,132108,152498,2239892,11506392,0
2015-05-07,1,2015,23153,10957244,3924380,452893,174286,517233,109026,85873,239298,80992,29557,611567,481512,22043,1049016.0,1049016.0,1981452,1981452.0,0.0,0.0,381991,70000,8901.0,1811813.0,834097,,4159002.0,4159002.0,118611,1705000,2015年03月31日,2931023.0,106834.0,2186214.0,2186214.0,10208630,10053573,0,6729007,7719391,29557.0,103035,78350.0,,,2099265.0,,5599362,1705000,19671166.0,9462536.0,,3906960,19671166.0,,492252.0,492252.0,500830,139737.0,139737.0,329419,161318,2374553,130055,155057,2733529,11951775,0
2015-08-01,2,2015,194248,11314870,3575901,1335238,75771,388478,324794,130546,255376,85585,29764,501224,373796,21733,1049016.0,1049016.0,1901744,1901744.0,0.0,0.0,351677,50000,55754.0,2131770.0,879730,,4112237.0,4112237.0,113636,1790250,2015年06月30日,3051356.0,156241.0,2482579.0,2482579.0,9819751,9661589,0,7989784,8251078,29764.0,107318,45914.0,,,2272283.0,,5716080,1790250,20429913.0,10610162.0,,3906960,20429913.0,,459573.0,459573.0,688490,160109.0,160109.0,312326,141787,2278288,127428,158162,2620378,12178835,0
