date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－應收票據,備抵呆帳－應收關係人帳款、分期帳款及租賃款,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,出租資產－其他淨額,出租資產－機器設備成本,出租資產－機器設備淨額,原料,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,土地－重估增（減）值,在製品,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,房屋及建築－重估增（減）值,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,本期損益,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃資產成本,租賃資產淨額,租賃資產－重估增（減）值,累積盈虧,累計折舊－其他設備,累計折舊－出租資產－機器設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃資產,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－土地,股本合計,製成品,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,辦公設備－重估增（減）值,追溯適用及追溯重編之影響數,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,757087.0,,757087,4671752,,55561,1681961,113544.0,577542,,,,201720,,17209,798.0,110927,776760,19673,11998,11998.0,30991.0,319,28043,110657,107467,,1031932.0,1030618.0,126832,,-2617.0,1863016.0,2777771,969073.0,17209,4378,581060,581060,696,0.0,,1450857,338099.0,338099,304238.0,304238,,,,845996,,456112,,425429,,,23665.0,461105.0,142973,50089.0,242625,1382134,3984392,2013年03月31日,343268.0,,,,1251928.0,711535,6315305,6297198,116273,811653.0,2113263,3065895,,,,109814.0,527040.0,,395585.0,87446.0,,405000,0.0,0.0,0.0,,30672.0,1314.0,368221.0,540393.0,0.0,91423.0,4882.0,54318.0,3984392,437019,,,,3853383.0,520614,,10168688.0,93328.0,2610,705.0,,103175,10808.0,5926,261220,62522,18107,1740120,7102793,118719,3190,,,0
2013-08-06,2,2013,,,0,4379069,,55561,1531528,,472534,38543.0,19998.0,,219192,139504.0,27648,,9113,19387,19387,14431,,,281,7169,101558,98807,,,1004819.0,135530,,,,2540806,,11575,7169,740287,740287,696,0.0,,1697974,,338627,,129861,,79688.0,734404.0,695861,201157.0,201157,473502.0,453504,1447.0,1447.0,,,139040,,480762,1377392,3984392,2013年06月30日,1531528.0,,,-72405.0,,685883,6061398,6044951,116273,,2108073,3238633,,,,117290.0,,,874379.0,1006.0,,1400000,,,,1603933.0,,,,,,,,,3984392,593182,,23521.0,,4098387.0,520614,,10159785.0,,2862,,,88105,,5378,261650,54276,16447,1990314,6921152,24524,2751,,,0
2013-11-08,3,2013,,,0,3916350,,55561,1536437,,483034,44521.0,14530.0,,124926,,27667,,11998,46188,46188,13314,,,242,6297,497838,94759,979021.0,,,324485,,,,2131289,,20219,6297,1123377,1123377,696,0.0,,1707536,,352436,,103507,,,487295.0,442774,193203.0,193203,429538.0,415008,3784.0,3784.0,,,135580,,889720,1365252,3984392,2013年09月30日,,,,,,662880,6068597,6052745,116273,,2495803,3299658,,,,117018.0,,,825352.0,18746.0,,1850000,,,,,,,,,,,,,3984392,778673,,21601.0,,4490255.0,520614,,10558852.0,,2508,,,71873,,4830,259018,51439,15852,1994452,7259194,66288,403079,,,0
2014-03-28,4,2013,0.0,,0,3441105,,55561,996664,,464602,47232.0,7696.0,134881.0,146060,146060.0,285416,,79842,33419,33419,10352,,,207,6841,913457,91374,,,533486.0,424343,,,,2131289,,17650,6841,1172561,1172561,696,0.0,,1717156,,348663,,79782,,,435508.0,388276,194655.0,59774,312897.0,305201,3007.0,3007.0,,,132264,,479645,1365060,3984392,2013年12月31日,-350557.0,,,,,637376,5596331,5582990,116273,821723.0,2510222,3303474,,,,71546.0,525498.0,,880132.0,62298.0,,1840000,,,,,,,,,,,,,3984392,730568,,4121.0,,4499746.0,522788,,10096077.0,,2203,,,85866,,4280,261406,73173,13341,1989524,6792603,41343,822083,,,0
2014-05-13,1,2014,1479577.0,,1479577,3397062,,52411,999127,95925.0,488276,,,134881.0,103593,,100573,,99726,1538665,59088,9500,9500.0,,178,11669,850827,32096,,,519047.0,423617,,3801.0,,2131289,,20623,8036,1103515,1103515,696,0.0,0.0,247260,321828.0,321828,74689.0,74689,,,,352992,190719.0,55838,,292714,,2599.0,3633.0,,128804,,479088,1438931,3984392,2014年03月31日,-348094.0,,,,,611295,5618604,5605557,116273,821723.0,3546448,2905835,,,,66646.0,525498.0,803009.0,,67673.0,,1440000,0.0,0.0,0.0,,,,,,0.0,,,,3984392,659275,,,,4066711.0,523008,,9685315.0,,1918,,,103492,,4531,261334,72885,13047,520263,6779480,14957,818731,,,0
2014-08-13,2,2014,1736577.0,,1736577,3352993,,52411,998312,54608.0,448533,,,,95300,95300.0,90577,,44088,1793734,57157,8199,8199.0,,151,8040,842023,30454,,,504609.0,414316,3140.0,-10520.0,,2131289,,7277,8040,1020287,1020287,696,,0.0,0,,310888,,102852,,0.0,,336292,,52304,,320390,,470.0,,,125700,,478530,1402241,3984392,2014年06月30日,1648.0,,,,,585655,5560859,5548102,116273,471166.0,3632920,2805972,,,,71546.0,525498.0,781408.0,,10146.0,,1320000,,,,1648.0,,,,,,,,,3984392,598694,,3140.0,,3905167.0,522006,,9466026.0,,1648,,,102038,,3941,261067,83323,12757,272247,6660054,22461,811569,,,0
2014-11-13,3,2014,1746378.0,,1746378,3299624,,53985,998433,,451285,,,,109047,109047.0,88174,,67750,1808417,62039,7663,7663.0,,123,7960,877531,31169,,,490167.0,410609,,,,2124043,,14058,7960,927771,927771,696,,0.0,0,,256840,,81072,0.0,,,323008,,55202,,269259,,2136.0,,,120267,,487260,1376980,3984392,2014年09月30日,1769.0,,,1769.0,,560200,5586918,5574455,116273,471166.0,3367190,2604310,,,,73773.0,525498.0,730539.0,,11814.0,,1100000,,,,0.0,,,,,,,,,3984392,503104,,2646.0,,3640805.0,524576,,9227723.0,,1472,,,106569,,3352,263009,76748,12463,273615,6623413,20216,846362,,,0
2015-03-31,4,2014,1501489.0,254751.0,1756240,2694848,,53985,726951,,238199,42438.0,5640.0,134881.0,97584,97584.0,181270,,76134,1781419,25179,6224,6224.0,,96,7645,894228,27640,,,268288.0,373933,,,,1867134,,15179,7645,916328,916328,696,,0.0,0,,329240,,69296,,,400907.0,358469,208546.0,73665,294094.0,288454,99.0,99.0,,,120234,,470964,1381928,3984392,2014年12月31日,-269713.0,,,-269713.0,,435023,5323714,5311608,116273,471166.0,2963168,2746920,,,,18673.0,525498.0,785682.0,,15629.0,4768.0,670000,,,,,,,,,,,,,3984392,527216,,0.0,,3240321.0,524827,,8564035.0,,1311,,,101865,,2762,269508,82963,12106,277153,5817115,11423,861563,5025.0,0.0,0
2015-05-14,1,2015,41022.0,257299.0,298321,2660521,,53985,682456,8623.0,143037,,,0.0,1659913,,53647,,39066,319041,20720,9024,9024.0,,69,7745,898892,27054,,,260075.0,373124,,30443.0,,1867134,,16411,7745,848810,848810,696,0.0,0.0,0,319406.0,319406,29021.0,29021,,,,351921,17832.0,17832,,270623,,37.0,,,116863,,470439,1404507,3984392,2015年03月31日,-314208.0,20993.0,4702.0,,,413041,5241856,5230045,116273,471166.0,2568374,2369604,0.0,4908.0,18673.0,,525498.0,,654891.0,,,220000,0.0,0.0,0.0,,,,,,0.0,,,,3984392,459275,8085230.0,,2843374.0,,524827,8085230.0,,,1166,,,107365,,2173,267255,84245,11811,275000,5715626,32079,866930,,,0
2015-08-12,2,2015,41224.0,,41224,2530412,,53985,540553,-32717.0,101698,,,,98333,98333.0,435610,,-13308,62295,21071,12906,12906.0,,50,8025,158258,153273,,,218894.0,343127,0.0,19409.0,,1807014,,14812,8025,842830,842830,696,60120.0,0.0,0,,282082,,51315,,0.0,,321205,,878,,266795,,307.0,,,109347,,475709,1383664,3984392,2015年06月30日,-186398.0,16718.0,4630.0,-186398.0,,391939,5047292,5035768,116273,201453.0,2490743,3018761,,4793.0,347815.0,,525498.0,,599992.0,,,1980000,,,,0.0,,,,,,,,,3984392,484891,7811193.0,0.0,2763901.0,,524827,7811193.0,,,1582,,0.0,121253,,1586,265133,88706,11524,273158,4792432,4420,192,,,0
