date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融資產－流動,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,140779,140779,4431498,153562,2193800,15019,28528.0,28528.0,,149209,149209,1037,190474,49695,85768,71698,14070,8904,148897,,143564,-13982,,5333,480438,0.0,,,392365,21202,,409680,,154201,8904.0,,1578397,2013年03月31日,1463279,,3909007,3781640,0,598245,1162881,2302151,,132276,,1133536.0,,47891.0,361740,1578397,,,3132181.0,8406,,7041188.0,10000.0,404641,5080,,1555755,127367,1969300,4739037,,0
2013-08-12,2,2013,160411,160411,4422910,152559,2110477,14820,28329.0,28329.0,,225736,146817,9551,196029,35618,83873,71725,12148,8253,415760,,413478,-5269,,2282,585764,0.0,78919.0,,410881,19507,78919.0,424287,,139663,8253.0,,1578397,2013年06月30日,1334498,,3914909,3786054,0,643703,1224856,2046700,,132276,,775210.0,,72703.0,300000,1657316,,,3128100.0,8710,,7043009.0,9574.0,404641,5080,,1490350,128855,1903244,4996309,,0
2013-11-11,3,2013,178855,178855,4328129,180450,2205427,15681,29190.0,29190.0,,144823,144823,-4801,216460,37605,93109,79582,13527,7604,461993,0.0,0,-28729,,2281,687087,,,,314059,13004,,390451,,119453,7604.0,,1657316,2013年09月30日,1429448,,3997164,3866957,0,643703,1117741,1998125,,132276,,660828.0,8247.0,74555.0,354840,1657316,,,2976613.0,9015,,6973777.0,9760.0,404641,5080,8247.0,1446627,130207,1858872,4975652,459712.0,0
2014-03-25,4,2013,201216,201216,5121007,181627,2316131,18363,31873.0,31873.0,85.0,152360,152360,3324,247179,45963,68895,54240,14655,4978,204901,100.0,100,-15039,,2284,485029,,,,283688,17019,,466855,,135295,4978.0,,1657316,2013年12月31日,1540226,,4114776,3986090,0,643703,1088652,2111890,,132202,,914069.0,,51851.0,336555,1657316,,,3507986.0,9319,,7622762.0,9874.0,450892,3252,,1963464,128686,2419334,5510872,202517.0,0
2014-05-12,1,2014,214044,214044,5125825,258963,2492009,-1,0.0,0.0,85.0,146546,146546,24072,249793,35749,87006,65896,21110,4513,431485,437.0,437,24073,,3865,471463,,,0.0,373704,14745,,394308,,116335,4513.0,,1657316,2014年03月31日,1716104,,4313647,4182961,0,643703,1479232,2382098,,132202,1312986.0,,,87025.0,607419,1657316,,,3888061.0,9564,,8201708.0,0.0,450892,3252,,1953424,130686,2408829,5819610,427183.0,0
2014-08-13,2,2014,209828,209828,5017755,254352,2480916,43,0.0,0.0,153.0,233028,150162,-14773,290917,81089,92050,79980,12070,4513,721591,1086.0,1086,-14816,,7103,507108,,82866.0,0.0,281477,15609,82866.0,469921,,139682,4513.0,,1657316,2014年06月30日,1661572,,4341841,4216135,0,687142,1511804,2174449,,132202,965688.0,,,95016.0,595757,1740182,,,3829711.0,9810,,8171552.0,0.0,450892,3252,,1862502,125706,2317907,5997103,713402.0,0
2014-11-10,3,2014,213692,213692,5028798,254580,2650184,43,0.0,0.0,153.0,174584,174584,23128,254047,40355,116646,96459,20187,4513,768480,1834.0,1834,23085,,7300,650134,,,0.0,384916,19838,,483203,,151884,4513.0,,1740182,2014年09月30日,1830840,,4551580,4423549,0,687142,1590259,2385355,,132202,973548.0,,0.0,108928.0,647946,1740182,,,3889038.0,10055,,8440618.0,9940.0,450892,3252,0.0,1843374,128031,2298779,6055263,759346.0,0
2015-03-23,4,2014,238422,238422,5183272,260616,2783018,12,0.0,0.0,106.0,203009,203009,106252,288062,49640,82560,62968,19592,18909,863842,1112.0,1112,106240,,8498,539124,,,0.0,399323,23871,,552604,,147299,18909.0,,1740182,2014年12月31日,1963749,,4743229,4639752,0,687141,1625877,2332788,,132128,1006196.0,,,119757.0,591855,1740182,,,3900324.0,10300,,8643553.0,5005.0,488428,2929,,1767110,103477,2274447,6310765,854232.0,0
2015-04-28,1,2015,251699,251699,5111315,258898,2993887,12,,,106.0,195138,195138,80121,290904,39205,98787,80064,18723,18151,1112564,1043.0,1043,80109,,8504,658269,,,0.0,558051,19087,,599118,154727.0,154727,,,1740182,2015年03月31日,2174618,165392.0,4936049,4824614,0,687141,1851442,2469295,18151.0,132128,,953332.0,,,622870,1740182,8955107.0,4019058.0,,10424,8955107.0,,5062.0,488428,2929,,1661037,111435,2167616,6485812,1103017.0,0
2015-08-03,2,2015,263849,263849,4995310,255062,2829816,12,,,106.0,437672,176645,46146,297369,33520,109612,97975,11637,17444,1317980,974.0,974,46134,,9080,565006,,87009.0,0.0,414829,20724,261027.0,600271,,155949,,,1740182,2015年06月30日,1945569,110683.0,4829075,4713702,0,752119,1994143,2325506,17444.0,132128,,894668.0,,,712866,1827191,8896893.0,4067818.0,,10549,8896893.0,,0.0,488428,2929,,1567803,115373,2073675,6571387,1307926.0,0
2015-11-09,3,2015,294352,294352,5132008,258721,3051098,60,,,13114.0,204566,204566,209865,315792,21440,104539,92874,11665,16785,1480394,1505.0,1505,209805,,11969,456522,,,,192637,35497,,610859,,177448,,,1827191,2015年09月30日,2166851,96947.0,5224584,5098828,0,752119,1666265,2107770,16785.0,132128,,758402.0,,,820826,1827191,8994936.0,3770352.0,,10674,8994936.0,,0.0,488428,2929,,1598874,125756,2104087,6887166,1466920.0,0
2016-03-01,4,2015,293994,293994,5487866,255479,2887815,424,,,13466.0,234351,234351,190092,324620,30626,98051,84370,13681,16264,1309133,1387.0,1387,189668,,10512,512907,,,,333879,29153,,538766,,137060,,,1827191,2015年12月31日,2003634,112884.0,5045259,4915896,0,752119,1515262,1947447,16264.0,132062,,660663.0,,,480375,1827191,9018753.0,3973494.0,,10798,9018753.0,,0.0,445786,5362,,1996182,129363,2458232,7071306,1297234.0,0
