date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付租賃款－流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,暫收款,會計項目,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,,116764,367.0,,24448,13568,,820,,1136,,36135,,2997,22000,1635,53558,,,,4982,4004,27.0,3088,1500,598,14135.0,400000,89.0,2013年03月31日,425629,425629,0,23374,339286,,472,,41820.0,,72020.0,,400000,,,59509.0,1181,,,,485138.0,150819,,25619,,0.0,36135,145852,14747,1362,337.0,0
2013-08-09,2,2013,,,113461,410.0,,10211,12969,,2763,,1112,,36474,,1755,22000,1635,58691,,24000.0,,8071,5383,15.0,1136,11025,635,14474.0,400000,89.0,2013年06月30日,434623,434623,0,29186,357248,,464,,41908.0,,81267.0,,424000,,,65660.0,412,,,,500283.0,148909,0.0,27355,,0.0,36474,143035,12565,120,2249.0,0
2013-11-13,3,2013,,,117959,331.0,,28645,14844,,442,,603,,36813,,3920,22000,2205,75198,,,,7215,1951,6.0,3949,14280,20,14813.0,424000,89.0,2013年09月30日,453057,453057,0,24452,357398,,409,,50564.0,,55806.0,,424000,,,61265.0,412,,,,514322.0,149432,,34636,,0.0,36813,156924,7546,1715,16.0,0
2014-03-28,4,2013,,,120844,,,31616,17476,,1593,489.0,799,5400.0,19898,,9320,2000,2205,72517,,,,1622,4557,,14874,3150,570,17898.0,500000,,2013年12月31日,1083828,1083828,0,25248,963397,,777,,47407.0,,666575.0,,500000,,,45233.0,552212,,,,1129061.0,150625,87.0,34723,,0.0,19985,165664,6880,1715,1104.0,0
2014-05-07,1,2014,,,122024,,,32728,16349,,4015,462.0,567,5416.0,20348,,7780,2000,2205,73784,,,,6264,2905,,25239,3570,64,18348.0,500000,,2014年03月31日,1084940,1084940,0,29533,969666,,715,,30704.0,284629.0,,,500000,,,49968.0,552212,,,,1134908.0,541141,87.0,34723,,,20435,165242,9968,159,3553.0,0
2014-08-13,2,2014,,,134017,,,7385,17657,,437,407.0,504,5417.0,20792,,8129,2000,1425,71818,,35000.0,0.0,5152,3993,,24614,3360,6069,18792.0,500000,,2014年06月30日,1085524,1085524,0,27239,956120,,653,,17122.0,304595.0,,,535000,,,48118.0,543139,412.0,542727.0,,1133642.0,517120,87.0,34723,,,20879,177522,10918,1287,30.0,0
2014-11-12,3,2014,,,134721,,,6022,19582,,859,528.0,409,5417.0,21235,,7169,2000,1752,64310,,,0.0,1802,1464,,19862,3570,4420,19235.0,535000,,2014年09月30日,1049161,1049161,0,23707,916969,,608,,26248.0,268200.0,,,535000,,,45029.0,508139,412.0,507727.0,,1094190.0,517326,87.0,34723,,,21322,177221,12624,0,331.0,0
2015-03-13,4,2014,,,237453,,,-20332,39615,286.0,474,,1868,5417.0,25595,,7664,2042,1752,64892,,,0.0,1564,1081,,14612,3570,6399,23553.0,535000,,2014年12月31日,1023093,1023093,0,42734,810611,,1058,,26673.0,366492.0,,,535000,,,68811.0,508139,,,,1091904.0,312937,482.0,35118,,,26077,281293,13168,495,,0
2015-05-07,1,2015,,,278934,,,-6573,49250,193.0,424,413.0,1742,5434.0,26143,,35589,2042,1752,59317,39029.0,,0.0,6593,1794,,24173,3360,4100,,535000,,2015年03月31日,997730,997730,400000,58061,731787,24101.0,988,17178.0,,,291163.0,,535000,1082416.0,84686.0,,508139,,,1082416.0,,313446,482.0,35118,,,26625,350629,17308,28403,11.0,0
2015-08-14,2,2015,,,309095,,,24709,31297,87.0,663,528.0,2617,5434.0,26690,,35760,2042,1181,58172,39029.0,0.0,0.0,8118,3078,,35349,3150,7150,,535000,,2015年06月30日,1002885,1002885,400000,43156,691876,24648.0,1364,17178.0,,,245433.0,,535000,1073213.0,70328.0,,482118,,,1073213.0,,303144,482.0,35118,,,27172,381337,19683,29145,135.0,0
