date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,商譽,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,177917,1804534,24523,1202274,,140035,44298,-14420,-14420.0,222204,44287,249499,834,199989,175141,14072,12918,1061321,0.0,,128220,,119949.0,147117,842651,,187667,187071.0,163919,72679.0,1898204,2013年03月31日,812154,,4163179,3268894,0,290361,971007,3435148,,14906,,99759,,1035484.0,24162.0,189320,1898204,,,1582031.0,182836,,5745210.0,14228,102454,54360,308581,894285,611024,2310062,0
2013-08-12,2,2013,,160584,1783530,24523,1201818,,214274,43374,9408,9408.0,200563,39979,486461,689,200581,149096,14072,13074,1080512,0.0,,215782,,89955.0,169637,928711,,200623,187507.0,163447,72281.0,1898204,2013年06月30日,799459,,4187435,3292266,0,302600,1113637,3629849,,14761,,99759,,876695.0,18216.0,205210,1898204,,,1704493.0,182836,,5891928.0,13473,103164,54441,287111,895169,590856,2262079,0
2013-11-12,3,2013,,189109,1757068,24523,1264806,,173283,51976,-9608,-9608.0,240394,51285,798517,740,201030,160869,14072,12985,1102205,0.0,,241395,,49983.0,196704,902108,,182392,188045.0,161935,70135.0,1898204,2013年09月30日,862447,,4239156,3336238,0,302600,1171041,3709827,,14812,,99759,,659451.0,23836.0,245446,1898204,,,1714366.0,182836,,5953522.0,13178,108828,54353,233467,902918,543325,2243695,0
2014-03-27,4,2013,,180712,1761915,14297,1308581,,141082,39312,19420,,206880,26168,795595,720,186384,141461,14072,13170,1177519,,,218397,20093.0,129950.0,174639,905823,3229.0,210386,173214.0,161532,65977.0,1898204,2013年12月31日,906222,,4335496,3409041,0,302600,1121581,3726820,,14792,,99759,,582303.0,21140.0,209400,1898204,,,1608863.0,182836,,5944359.0,12653,118917,57565,181981,926455,487282,2217539,0
2014-05-13,1,2014,,165096,1815464,14324,1329760,,152131,26273,25278,,186636,21540,713103,516,186875,141905,14072,13103,1030500,,0.0,169930,20714.0,99963.0,121489,934266,3549.0,156246,173772.0,122926,64061.0,1898204,2014年03月31日,927401,,4349341,3436078,0,302600,1060125,3659274,,14588,,99759,780652.0,,19692.0,289570,1898204,,,1538220.0,182836,,5887561.0,14685,123270,55019,167950,913263,478095,2228287,0
2014-08-12,2,2014,,145537,1787915,11466,1316257,,241245,28216,-11423,,162435,16898,792646,407,186121,148004,14072,11766,1042830,,0.0,191236,16981.0,79967.0,169922,1006592,3883.0,176001,174355.0,122407,0.0,1898204,2014年06月30日,899639,,4278184,3385874,0,316859,1130108,3689932,,14479,,99759,614927.0,,19162.0,249160,1898204,,,1557292.0,182836,,5835476.0,24837,127892,61273,113171,892310,427184,2145544,0
2014-11-12,3,2014,,133460,1789440,11466,1369038,,168405,29691,33824,,154384,20924,778707,315,186906,143127,14072,12016,997290,,0.0,161629,19645.0,79983.0,224546,1070169,3980.0,216738,174890.0,121888,0.0,1898204,2014年09月30日,952420,,4410430,3483902,0,316859,1193990,3885967,,14387,,99759,769774.0,,20109.0,365289,1898204,,,1613481.0,182836,,6023911.0,19618,129024,57636,103561,926528,419491,2137944,0
2015-03-27,4,2014,,117148,1768860,5979,1413541,,140713,12406,105844,,129074,11926,990609,218,170078,135731,14072,0,969211,,0.0,185262,20377.0,29978.0,152120,980208,1831.0,203348,170078.0,121369,0.0,1898204,2014年12月31日,996923,,4551622,3600425,0,316859,972794,3862451,,14290,,99759,685304.0,,15963.0,299307,1898204,,,1429971.0,182836,,5981593.0,19534,129011,72913,158088,951197,457177,2119142,0
2015-05-12,1,2015,,100611,1737494,9322,1441534,0.0,124657,23234,83657,,110589,9978,979317,4445,170510,143495,14072,0,964173,0.0,,156562,20412.0,0.0,115754,954609,1831.0,128518,,120854,0.0,1898204,2015年03月31日,1024916,19384.0,4514866,3608322,0,316859,869019,3742471,170510.0,18517,,99759,,670527.0,,321661,1898204,5841489.0,1326623.0,,184927,5841489.0,,20262,129202,69336,157892,906544,457604,2099018,0
2015-08-12,2,2015,107183.0,107183,1728144,9322,1415650,,239852,27048,54596,,126082,18899,973495,4306,170948,139792,14072,0,986916,,,138023,6769.0,0.0,191551,875277,2112.0,99953,,120350,,1898204,2015年06月30日,982582,25439.0,4368971,3496431,0,333309,1013363,3703905,170948.0,18378,,99759,,721485.0,,285647,1898204,5790033.0,1421062.0,,127981,5790033.0,,17619,128537,70142,108214,872540,407699,2086128,0
2015-11-11,3,2015,,149172,1746437,9322,1438539,,113689,22632,160219,,175290,26118,1081101,4397,174625,140866,14072,3000,970118,,,127000,8967.0,49981.0,203508,886750,2077.0,108610,,119845,,1898204,2015年09月30日,1005471,21569.0,4533015,3624943,0,333309,963364,3848493,171625.0,18469,,99759,,761321.0,,263360,1898204,5956528.0,1423513.0,,127981,5956528.0,,15884,125595,73096,159929,908072,460149,2108035,0
2016-03-24,4,2015,,121061,1753433,2662,1438869,,129777,18592,112418,,133838,12777,1144618,4180,181017,135715,14072,3000,857861,,,153728,10377.0,0.0,117817,843427,11.0,117547,,119340,,1898204,2015年12月31日,1005801,24743.0,4443177,3577472,0,333309,882760,3657773,178017.0,18252,,99759,,659633.0,,312480,1898204,5760066.0,1316889.0,,127981,5760066.0,,16084,123469,72891,129643,865705,434129,2102293,0
2016-05-11,1,2016,,135128,1728230,2662,1478972,0.0,126211,16066,92234,,142622,7494,965249,4112,109315,134000,14072,3000,848810,0.0,,127315,10012.0,69955.0,81741,844580,11.0,55488,,118838,,1898204,2016年03月31日,1045904,28986.0,4447962,3597391,0,333309,894602,3611735,106315.0,18184,,99759,,866233.0,,307760,1898204,5682742.0,1234780.0,,127981,5682742.0,,15298,124006,69093,106857,850571,340178,2071007,0
2016-08-11,2,2016,,49000,1726056,2803,1500215,0.0,206838,14686,49829,,55717,6717,728600,3934,109737,136271,14072,3000,857650,0.0,,113500,6797.0,,109396,921935,47.0,65876,,118497,,1898204,2016年06月30日,1059808,48087.0,4356861,3576229,0,340648,827872,3461998,106737.0,18006,,99759,,858450.0,,287537,1898204,5520434.0,1163573.0,,127981,5520434.0,,14754,77964,56803,148000,780632,335701,2058436,0
2016-11-10,3,2016,,49000,1706276,2803,1516177,0.0,339110,12346,-3564,,72665,23665,133289,3821,109971,132510,14072,3000,856261,0.0,,111121,7881.0,0.0,120173,781263,511.0,82574,,117941,,1670419,2016年09月30日,1075770,52463.0,4063474,3311013,0,340648,1000504,3344553,106971.0,17893,538598.0,99759,,925145.0,,297091,1670419,5390251.0,1326777.0,,127981,5390251.0,,14566,76802,68275,139500,752461,326273,2045698,0
