date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付貨款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,219192,5088740,80147,665224,217324,,57379,,-19398,350607,131415,47833,,601765,295477,22016,-19398.0,8701,1963882,562224,1401658,0.0,,293278,,89994,28624,661628,81213,593064.0,205836,246738,4020005,2013年03月31日,334131,,,6113234,5755222,0,171575,1816016,4329041,,6429,,552917.0,,,159518,,786526.0,9971.0,826218,4020005,,,4508727.0,1089391,130629,958762,,10621961.0,59229,1083874,369553,1007072,273461,358012,2692711,6292920,118434,10358,108076,0
2013-08-13,2,2013,220767,5016457,80147,698885,239197,,62533,,-19838,362381,141614,16640,,605388,304814,35040,-19838.0,7699,2018751,569928,1448823,,,443084,,49942,30357,702413,93756,597689.0,199363,230404,4020005,2013年06月30日,367792,,,6148357,5788443,0,171575,1967499,4563270,,6354,,633501.0,,,159518,,848831.0,11647.0,830891,4020005,,,4629374.0,1089391,130629,958762,,10777731.0,61162,1092531,376922,963956,269774,359914,2661875,6214461,125683,10326,115357,0
2013-11-13,3,2013,221150,4952511,80147,666655,239847,,27011,,-46058,374191,153041,5968,,609036,281453,25389,-46058.0,6743,1988916,597298,1391618,,,307729,,189872,27022,646080,63010,602293.0,192946,247151,4020005,2013年09月30日,335562,,,6087733,5729993,0,171575,1843777,4481464,,6119,,694063.0,107.0,,159518,,889554.0,12071.0,693045,4020005,,,4409184.0,1089391,130629,958762,,10496917.0,62074,971640,255019,984731,256064,357740,2565407,6015453,104788,10098,94690,0
2014-03-20,4,2013,223368,4897305,80147,685707,273084,,37360,,-23770,384361,160993,2528,,584543,306412,49162,-23770.0,6492,1888039,605813,1282226,,,304873,,119892,20998,618571,52545,578051.0,191171,269681,4020005,2013年12月31日,354614,,,6118319,5771333,0,171575,1970080,4507191,,6052,,692253.0,108.0,,159518,,1059801.0,12720.0,854152,4020005,,,4493350.0,1089391,130629,958762,,10611669.0,60677,997670,353602,941057,257250,346986,2523270,6104478,95417,9952,85465,0
2014-05-14,1,2014,226034,4917522,80147,666372,253456,,47256,,16129,401636,175602,4686,,588960,318702,58338,16129.0,6661,1838327,624791,1213536,,0.0,239702,,209781,24461,651344,52482,582299.0,191310,294011,4020005,2014年03月31日,335279,,,6150923,5791897,0,171575,2079413,4508100,,5706,,727312.0,111.0,,159518,1020266.0,,9870.0,940507,4020005,,,4533360.0,1089391,130629,958762,,10684283.0,60405,1017083,368674,847904,260364,359026,2453947,6176183,106022,10171,95851,0
2014-08-11,2,2014,224918,4856359,80202,656305,236600,,45129,,-33464,404452,179534,38080,,585579,300170,49216,-33464.0,6733,2055081,636628,1418453,,0.0,305650,,89935,27284,676231,53486,578846.0,182802,308155,4020005,2014年06月30日,323476,,,6085470,5732237,0,173311,2218401,4667055,,5339,,722742.0,108.0,,159518,915387.0,,12210.0,1142270,4020005,,,4669487.0,1089391,130629,958762,,10754957.0,61159,976466,354767,889041,250954,353233,2451086,6087902,99760,9906,89854,0
2014-11-12,3,2014,225911,4906343,80202,727075,287891,,29354,,6087,361465,135554,27218,,489030,268583,18566,6087.0,5980,1798232,466261,1331971,,0.0,290650,,229964,11179,697526,65923,483050.0,183645,335845,4020005,2014年09月30日,394246,,,6207859,5842558,0,173311,1609290,4008677,,5801,,686050.0,110.0,,159518,635843.0,,14156.0,413985,4020005,,,3897507.0,1089391,130629,958762,,10105366.0,0,964531,316160,834656,250017,365301,2288217,6096689,68531,9930,58601,0
2015-03-17,4,2014,228159,4558465,79319,709130,230021,,127962,,66514,352539,124380,17117,,464899,281588,26282,,6234,1724813,639182,1085631,,0.0,303047,,299600,1504,732950,59898,458665.0,185501,280201,4020005,2014年12月31日,376301,,,6264996,5885040,0,173311,1855002,4478189,,5324,,721784.0,113.0,,159518,798801.0,,16525.0,651766,4020005,,,3894479.0,1089391,130629,958762,,10159475.0,218968,992785,290775,581793,255306,379956,2039477,5681286,75896,10251,65645,0
2015-05-12,1,2015,227923,4458078,79319,749430,233644,,27823,,40149,359653,131730,13552,,458633,270588,21213,,6850,1834194,639527,1194667,,0.0,228950,,299907,2329,643039,34513,,179959,292864,4020005,2015年03月31日,416601,11631.0,,6246433,5898975,0,173311,1804081,4329828,451783.0,4652,647461.0,,,112.0,159518,,649206.0,,667967,4020005,9858060.0,3611627.0,,1089391,130629,958762,9858060.0,,393625,944455,242660,404458,249375,347458,1807546,5528232,86415,10116,76299,0
2015-08-11,2,2015,196488,4355249,79319,823011,272263,,41073,,-12985,320519,124031,25819,,447125,446427,205787,,6286,1760446,639872,1120574,,0.0,266144,,129916,6051,688024,61435,,171265,303123,4020005,2015年06月30日,488185,11775.0,,6260109,5919422,0,175308,1658175,4250290,440839.0,3965,633705.0,,,109.0,159518,,802203.0,,651507,4020005,10021378.0,3761269.0,,1089391,130629,958762,10021378.0,,151240,1095842,411631,560127,240640,340687,2103094,5771088,86345,9873,76472,0
