date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,0.0,0.0,0.0,1136827,1136674,626661,103951,6220,63722,830,10995,,7996,8518,8113,591813,211323,27082,373914,1118330,,1118330,0.0,,,131560,,239931,341029,632617,0,136657,184241.0,173146,937458,2625331,2013年03月31日,524157,,3857684,3592898,0,0,2667370,3084509,,2210,,20000.0,,102504,,279257.0,21016.0,1860764,2625331,,,3079073.0,332910,,6936757.0,104024,176317,65799,24063,264786,411703,3852248,106865,405,0
2013-08-12,2,2013,0.0,12322.0,12322.0,1119409,1139328,613351,101280,5662,142967,1538,12193,31200.0,5916,21866,7232,587356,206949,15845,369313,1135726,,1135726,0.0,,,82820,,289966,411628,649531,0,142248,191104.0,172414,934677,2625331,2013年06月30日,453642,,3832848,3576066,0,10936,2766277,3167124,,2210,,20000.0,,148773,,275460.0,22079.0,1793413,2625331,,,3159655.0,331468,,6992503.0,125090,177187,62366,9242,256782,393378,3825379,107040,2312,0
2013-11-11,3,2013,0.0,12138.0,12138.0,1108116,1124128,660586,73002,5524,116330,2103,8896,,-1999,15939,2749,564711,212143,21389,355025,1044058,100929.0,943129,0.0,523531.0,,132724,627.0,199735,324928,727170,0,172537,190754.0,171681,420373,2625331,2013年09月30日,500877,,3839130,3615386,0,10936,2671372,3651508,,2210,,20000.0,,148773,,334346.0,18669.0,1860317,2625331,,,3065040.0,331468,,6904170.0,91779,175456,45605,6069,223744,393668,3252662,111478,1052,0
2014-03-28,4,2013,0.0,12253.0,12253.0,1092543,598126,668055,531308,5362,137073,2750,12157,,-1658,19100,6430,92601,210041,14551,872566,1063689,100929.0,962760,0.0,0.0,,104940,0.0,99943,355034,580994,17780,164377,195490.0,170950,607867,2625331,2013年12月31日,508346,,3855764,3623196,0,10936,2081697,2913605,,2210,,20000.0,,148773,,251183.0,33554.0,1329303,2625331,,,2471578.0,331468,,6327342.0,90461,176777,44113,3063,232568,389881,3413737,109055,417,0
2014-05-09,1,2014,,12807.0,12807.0,1079574,598126,633093,109335,5660,103910,893,8813,,-5248,21201,7821,470695,210393,14554,886761,1101473,100929.0,1000544,0.0,,0.0,124508,839.0,49977,367524,599818,32778,139648,195839.0,170218,630296,2625331,2014年03月31日,473384,,3829705,3584644,0,10936,2191806,2976836,,2210,,20000.0,,148773,237754.0,,36183.0,1486771,2625331,,,2582865.0,331468,,6412570.0,127237,180666,42889,0,245061,391059,3435734,149285,573,0
2014-08-11,2,2014,,9347.0,9347.0,1070960,593753,706685,56154,5613,268013,3659,17458,28080.0,-31331,15805,5738,513700,210666,14554,850216,1308832,234733.0,1074099,40984.0,,3000000.0,163424,2023.0,149916,477680,778572,35769,84488,196112.0,169485,611249,2625331,2014年06月30日,575444,,3851689,3591169,3000000,28737,2488132,3353378,,2210,,30000.0,,102504,324857.0,,25800.0,1381812,2625331,,,2875654.0,331468,,6727343.0,96392,176856,40479,0,260520,387522,3373965,109076,720,0
2014-11-10,3,2014,,6393.0,6393.0,1054777,593753,792560,30925,5314,117205,2120,10166,,-49147,12988,6204,506458,197002,15544,851944,1412429,285569.0,1126860,5567.0,0.0,407000.0,149531,0.0,249774,474952,554549,50849,40729,181458.0,168753,688619,2595331,2014年09月30日,661319,,3927014,3653661,407000,28737,2408455,3291796,,2210,10000.0,30000.0,,102504,411096.0,,13438.0,1388447,2595331,,,2794693.0,320484,,6721707.0,151984,180236,34541,9000,273353,386238,3429911,112611,391,0
2015-03-24,4,2014,,3326.0,3326.0,1038834,574278,780570,33822,5216,189670,2210,31477,1758.0,-4718,24388,20885,499810,191050,13424,875597,1388414,405771.0,982643,0.0,,0.0,161862,,249777,492178,571577,51484,80609,177626.0,168021,697727,2591261,2014年12月31日,649329,,3975189,3686100,0,28737,2324547,3262053,,2210,15000.0,30000.0,,102504,351935.0,,18755.0,1185707,2591261,,,2711039.0,318987,,6686228.0,129752,186442,32292,9000,289089,386492,3424175,106415,177,0
2015-05-12,1,2015,,0.0,0.0,1025446,574000,796550,124298,4792,146905,2187,5759,0.0,-17676,22505,20738,421193,171778,14014,852079,1451116,507010.0,944106,,,,126316,0.0,199874,411146,521176,34517,46606,,167289,687636,2591261,2015年03月31日,665309,15298.0,3968397,3689122,0,28737,2240995,3196799,157764.0,2210,,,30000.0,102504,,414991.0,,1316764,2591261,6573068.0,2604671.0,,318987,6573068.0,,69436,182898,32817,9000,279275,363676,3376269,107707,1767,0
2015-08-12,2,2015,,0.0,0.0,1010291,574000,619410,25529,4755,352676,2164,4553,40865.0,-44668,24804,20730,513773,171548,13424,826966,1332073,484412.0,847661,0.0,,,119552,0.0,149812,378181,479045,15238,83286,,166557,646553,2591261,2015年06月30日,464196,10073.0,3757563,3484990,0,52710,2342672,3170308,158124.0,2210,,,30000.0,102504,,447982.0,,1305410,2591261,6460846.0,2703283.0,,318987,6460846.0,,120404,180063,29206,9000,272573,360611,3290538,107560,4074,0
2015-11-13,3,2015,,0.0,0.0,1000200,672366,145982,62054,342386,133934,2308,8501,0.0,-150782,25655,20600,442178,171965,13424,154091,1257547,485851.0,771696,85994.0,,6380000.0,149882,,269759,314954,469821,12011,49433,,165825,209266,2591261,2015年09月30日,-9232,4800.0,2987077,2819454,6380000,52710,2273316,3027455,158541.0,2210,,,30000.0,102504,,485392.0,,1372024,2591261,5626037.0,2638960.0,,318987,5626037.0,,130548,184679,22238,9000,167623,365644,2598582,109970,5055,0
2016-03-25,4,2015,,0.0,0.0,985001,783081,193955,57639,312000,167511,2303,9795,0.0,-191399,14219,6247,429703,183164,15524,155894,1186852,506348.0,680504,83761.0,,6450000.0,97291,,299835,275947,454287,5755,87558,,165093,213611,2531261,2015年12月31日,38741,14917.0,2921556,2747970,6450000,52710,2261527,2908262,167640.0,2210,,,20000.0,102504,,452044.0,,1389504,2531261,5561964.0,2640408.0,,297914,5561964.0,,116577,186717,16812,9000,173586,378881,2653702,108052,7972,0
2016-05-12,1,2016,,,,966781,774692,271562,59045,341640,138497,2248,9409,,-151946,12154,6243,445051,86884,16524,175161,1151798,508484.0,643314,0.0,,0.0,165347,,249829,306710,495694,4949,69877,,164360,223689,2441261,2016年03月31日,116348,14618.0,3010364,2833304,0,52710,2303032,2921391,70360.0,2210,,,20000.0,102504,,477817.0,,1413629,2441261,5600817.0,2590453.0,,272427,5600817.0,,100128,191537,10893,9000,177060,287421,2679426,107623,5911,0
2016-08-12,2,2016,,,,1017374,773870,389228,46600,331110,162080,2249,7520,0.0,-166387,19132,6117,464947,88176,17424,134444,1221746,510116.0,711630,13270.0,,,151211,,199848,321957,474566,3417,79626,,163629,216612,2411261,2016年06月30日,195273,17929.0,3076278,2885949,1090000,52710,2333847,3039036,70752.0,2210,,,20000.0,141245,,533229.0,,1459441,2411261,5703435.0,2627157.0,,265117,5703435.0,,103060,196134,5150,9000,190329,293310,2664399,104325,13015,0
