date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付票據,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,1493849,-1752036,26382,150431,25619,,5141,25022,16160,,19649,,,21635,664,,-1360.0,,,374399,35833,,,8632,,20675,63042,0.0,,135374,3228341,2013年03月31日,-1938143,,1915063,1915029,41666788,110200.0,1043726,1194181,,3006,75907,,128663.0,,972640,3228341,,,,1065361.0,449535,449535.0,,2980424.0,0.0,227071,,2919,0.0,34,21635,1786243,376216.0,,0
2013-08-12,2,2013,,1440371,-1882914,20368,144417,26021,,199,19592,3891,,19649,,,21635,625,,-776.0,,,579285,35833,,,7473,,23897,76164,,,134939,3228341,2013年06月30日,-2069021,,1778756,1778721,41666788,110200.0,1161131,1235694,,2557,75907,,63451.0,,1099849,3228341,,,,1182766.0,449535,449535.0,,2961522.0,,265863,,2919,0.0,35,21635,1725828,231083.0,,0
2013-11-08,3,2013,0.0,1385212,-1951533,57317,181366,27654,,117,55044,2083,,19649,,19649.0,21635,588,343.0,-2273.0,,245.0,471399,35833,,,10109,,22734,58366,,21635.0,134502,3228341,2013年09月30日,-2137640,,1745591,1745554,41666788,110200.0,1080100,1140631,,2108,75907,,121370.0,,1017315,3228341,,,,1101735.0,449535,449535.0,,2847326.0,205.0,225567,,2919,0.0,37,21635,1706695,244163.0,2083.0,0
2014-03-25,4,2013,0.0,1329550,-2003641,37393,162851,30289,,12777,35960,5343,,80132,,80132.0,20374,549,304.0,-1433.0,,245.0,558052,35833,,,8734,,28556,13155,,20374.0,134067,3228341,2013年12月31日,-2189748,,1674415,1674362,41666788,110200.0,1141782,1205312,,1658,75907,,116811.0,,1068860,3228341,,,,1162156.0,449535,449535.0,,2836571.0,,252479,,2584,0.0,53,20374,1631259,171906.0,5343.0,0
2014-05-09,1,2014,0.0,1302731,-2041582,26768,152225,27666,,14384,27641,704,,90583,,90583.0,20374,9506,266.0,873.0,,9240.0,476193,35833,0.0,,9219,,24996,9104,,20374.0,133631,3228341,2014年03月31日,-2227689,,1628155,1628102,41666788,110200.0,1063263,1109885,,1230,75907,68842.0,,,1000450,3228341,,,,1083637.0,449535,449535.0,,2711792.0,228.0,286341,,2584,,53,20374,1601907,164438.0,704.0,0
2014-08-11,2,2014,0.0,1275529,-1949895,61743,186444,28818,5300.0,18930,60447,2027,,19632,,19632.0,20377,14229,228.0,-1296.0,5.0,14001.0,585324,35833,0.0,,11006,,36371,23074,4.0,20372.0,139193,3228341,2014年06月30日,-2025802,,1752651,1752595,41666788,0.0,1070689,1224927,,811,75907,155806.0,,,987030,3228341,,,,1091066.0,449535,449535.0,,2843717.0,137.0,268754,,2584,,56,20377,1618790,153403.0,2027.0,0
2014-11-12,3,2014,,1249139,-1965695,58964,183666,26901,5300.0,20199,59287,625,625.0,116816,,116816.0,20385,14191,190.0,323.0,13.0,14001.0,596719,35833,0.0,,10142,,29915,8958,,20372.0,138757,3228341,2014年09月30日,-2041602,,1735693,1735635,41666788,0.0,1206433,1373651,,523,75907,153321.0,,,1133550,3228341,,,,1226818.0,449535,449535.0,,2962511.0,0.0,313573,,2584,,58,20385,1588860,164065.0,,0
2015-03-06,4,2014,,1237955,-2087346,55422,180123,31280,,10930,55422,417,,19632,,19632.0,19453,152,152.0,0.0,5.0,0.0,334574,35833,0.0,,10536,,26967,6984,,19448.0,138322,3228341,2014年12月31日,-2163253,,1610177,1610119,41666788,0.0,760364,830501,,374,75907,222156.0,,138.0,683562,3228341,,7464.0,,780085.0,449535,449535.0,,2390262.0,,109849,268.0,2835,,58,19721,1559761,126376.0,417.0,0
2015-05-12,1,2015,,1212235,-2141080,23967,148665,28479,,6738,23967,1167,,19632,,19632.0,19448,4264,114.0,0.0,0.0,4150.0,247962,35833,,,8318,,24845,10900,,,137886,3228341,2015年03月31日,-2216987,138.0,1524985,1524930,41666788,0.0,938416,976952,19448.0,280,75907,,467856.0,,867505,3228341,2484366.0,7964.0,959381.0,,449535,449535.0,2484366.0,,0.0,113103,1517.0,4084,,55,20965,1507414,110761.0,,0
2015-08-12,2,2015,,1234606,-2227592,4274,128970,24075,0.0,5866,4274,1138,,19632,,19632.0,19448,10866,76.0,0.0,0.0,10790.0,276994,35833,,,111563,,20936,7454,0.0,,137451,3228341,2015年06月30日,-2303499,0.0,1418777,1418725,41666788,,956022,879537,19448.0,250,75907,,357843.0,,788626,3228341,2394742.0,9684.0,975965.0,,449535,,2394742.0,,0.0,101940,495.0,3062,,52,19943,1515205,109808.0,,0
2015-11-10,3,2015,,1214020,-2383869,-23661,101032,31902,0.0,2799,-23661,1710,1710.0,20697,,20697.0,19448,38,38.0,0.0,0.0,0.0,728380,35833,,,8402,,22681,0,,,137015,3228341,2015年09月30日,-2459776,0.0,1234559,1234513,41666788,,1426748,1225863,19448.0,220,75907,,245475.0,,1352796,3228341,2680950.0,9257.0,1446391.0,,449535,449535.0,2680950.0,,0.0,93506,195.0,2762,,46,19643,1455087,135006.0,,0
2016-08-10,4,2015,,1191857,-2494147,-2002,122694,42766,,1964,-2002,440,,193103,172760.0,20343.0,17577,0,0.0,,0.0,,684989,35833,,6764.0,6764,13291.0,13291,20469,,,136580,3228341,2015年12月31日,-2570054,0.0,1145943,1145894,41666788,0.0,1410185,1120481,17577.0,190,75907,,126734.0,,1344055,3228341,2573705.0,2869.0,1427762.0,,449535,,2573705.0,,,93222,0.0,1903,,49,17577,1453224,,,0
2016-08-10,1,2016,,1165030,-2523965,-7724,116972,48044,,2676,-7724,9481,,4556,,4556.0,17577,0,0.0,0.0,0.0,0.0,451356,35833,,,9010,,17667,14755,,,136144,3228341,2016年03月31日,-2599872,0.0,1110403,1110354,41666788,0.0,1387540,1095311,17577.0,160,75907,,315697.0,,1300701,3228341,2515520.0,2637.0,1405117.0,,449535,449535.0,2515520.0,,0.0,96362,0.0,1903,,49,17577,1420209,209909.0,,0
2016-08-10,2,2016,,1137903,-2516955,-11446,113249,57687,,1031,-11446,448,,4757,201.0,4556.0,17727,0,0.0,0.0,150.0,0.0,276611,35833,,,8389,,21864,15431,,,135709,3228341,2016年06月30日,-2592862,,1113691,1113642,41666788,0.0,1394896,1137420,17577.0,130,75907,,80815.0,,1304333,3228341,2526314.0,2175.0,1412623.0,,449535,449535.0,2526314.0,,,99200,0.0,1903,,49,17727,1388894,659575.0,,0
2016-11-08,3,2016,,1111226,-2464829,-15363,109332,27797,,855,-15363,490,490.0,4900,344.0,4556.0,17577,0,0.0,,0.0,0.0,670345,35833,,,12209,,26752,1018,,,135273,3228341,2016年09月30日,-2540736,,1161901,1161851,41666788,,1278604,1100248,17577.0,100,75907,,49395.0,,1209051,3228341,2458082.0,2305.0,1296181.0,,449535,449535.0,2458082.0,,,105080,0.0,1903,,50,17577,1357834,268655.0,,0
