date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-04-30,1,2013,186311,186311,3661699,6720,5730,173251,173251,54492,-17015,338175,22409,33476,33476,,122825,524304,5939.0,5939.0,476,22828,4259825,4259825,164323,,,58517,,200000,21837,,970381,866,195169,40569.0,122349.0,2728819,2013年03月31日,-130988,,2997464,2997464,0,121142,4135570,6350383,,16566.0,,693761.0,0.0,3343735,2728819,,,7710261.0,443263,443263,,10707725.0,55.0,,45775,171339,3406091,30242,0.0,3574691,4357342,96114,465295,129455,0,129455
2013-07-31,2,2013,345095,345095,3669610,3467,10115,184475,184475,66396,23429,473149,6869,396,396,,123330,524208,998.0,998.0,486,21645,4026680,4026680,164323,,,71457,12544.0,200000,31748,,976117,529,201465,95505.0,122844.0,2728819,2013年06月30日,-134241,,3034667,3034655,15774000,121142,4382678,6398885,,16566.0,,938363.0,0.0,3409305,2728819,,,7779689.0,443263,443263,,10814356.0,0.0,0.0,95189,221653,3178492,30834,12.0,3397011,4415471,83319,470731,121185,0,121185
2013-10-30,3,2013,241667,241667,3640337,-11446,11910,169446,169446,76862,3791,436516,7033,386,386,,123837,621608,,,1169,19689,3958240,3958240,164323,,,106659,,150000,42201,,909667,1373,215372,,122668.0,2728819,2013年09月30日,-149154,,3000104,3000104,15774000,121142,4388778,6304858,,16566.0,,1046800.0,5050.0,3478820,2728819,,,7789027.0,443263,443263,,10789131.0,86.0,,96658,222328,3179754,30358,0.0,3400249,4484273,84248,571561,187816,0,187816
2014-03-26,4,2013,200000,200000,3669297,15642,8039,211838,211838,79939,37813,316100,1869,4678,278,4400.0,119638,584745,,,7344,22754,4059930,4059930,164323,,,110333,,150000,29490,,797872,622,203601,,112294.0,2728819,2013年12月31日,-122066,,3061214,3061214,15774000,121142,4511500,6605124,,16566.0,,1249583.0,1908.0,3691831,2728819,,,8008653.0,443263,443263,,11069867.0,0.0,14.0,96498,210701,3281017,30666,0.0,3497153,4464743,200846,531325,114231,0,114231
2014-05-08,1,2014,90000,90000,3749268,68422,8035,182652,182652,51428,66387,238502,1826,3975,570,3405.0,118242,525641,,,5948,22509,3942680,3942680,164323,,0.0,70044,,150000,23673,,785559,28024,210401,45102.0,112294.0,2728819,2014年03月31日,-69286,,3142568,3142568,15774000,121142,4115202,6376714,,16566.0,1103730.0,,1933.0,3448154,2728819,,,7708527.0,443263,443263,,10851095.0,244.0,0.0,95604,199472,3379479,30877,0.0,3593325,4474381,197780,472255,146676,0,146676
2014-08-11,2,2014,115000,115000,3685948,208279,11983,189258,189258,67096,22591,283645,1390,4726,900,3826.0,118327,524053,0.0,0.0,6033,21966,4870827,4870827,164323,,0.0,66160,0.0,150000,21947,,825277,9110,223385,0.0,112294.0,2728819,2014年06月30日,192637,,3238629,3238629,15774000,15642,4845152,7295698,,0.0,1098410.0,,6804.0,4127338,2728819,,,8445319.0,443263,443263,,11683948.0,,0.0,99098,178249,3382742,30072,0.0,3600167,4388250,184884,472015,167255,0,167255
2014-11-06,3,2014,115000,115000,3720842,337437,14894,201561,201561,76482,63308,276143,1306,4577,676,3901.0,122427,496119,,,10133,25382,4830584,4830584,164323,,0.0,101464,,150000,36537,,893874,106571,192082,,112294.0,2728819,2014年09月30日,321795,,3438605,3438605,15774000,15642,4809643,7456168,,0.0,1201295.0,,760.0,4043178,2728819,,,8385801.0,473364,473364,,11824406.0,0.0,0.0,98577,151277,3355154,30440,0.0,3576158,4368238,135809,440297,159837,0,159837
2015-03-24,4,2014,478636,478636,4180497,410530,8991,229166,229166,58209,165188,607716,1500,4711,626,4085.0,118944,126783,,,11704,23628,4558871,4558871,0,,0.0,95189,,150000,25535,,843666,105001,206559,,107240.0,2728819,2014年12月31日,394888,,3777901,3777901,0,15642,4654027,7154973,,0.0,1246491.0,,6705.0,3539716,2728819,,,7834036.0,473364,473364,,11611937.0,,0.0,97134,149684,2963931,31644,0.0,3180009,4456964,122474,71511,127580,0,127580
2015-05-07,1,2015,466500,466500,4114930,447861,6050,141674,141674,52070,131135,614578,1915,4911,882,4029.0,123827,154199,,,16587,43160,4329568,4329568,0,,,121013,,150000,12427,,820857,117455,174124,0.0,,2728819,2015年03月31日,432219,0.0,3781179,3781179,0,15642,4584865,7124280,107240.0,0.0,,1439739.0,,3545173,2728819,11534269.0,7753090.0,,473364,473364,11534269.0,,0.0,,95919,140860,2948479,30979,,3168225,4409989,179506,80060,146163,0,146163
2015-07-30,2,2015,454000,454000,4065118,152595,11749,285778,285778,28279,108726,606959,1507,5105,1110,3995.0,124061,284717,,118000.0,16821,41526,3940071,3940071,2036,136441.0,,26890,,150000,22195,,858858,71490,201627,,,2728819,2015年06月30日,97857,2378.0,3597909,3597909,1358000,54738,4580574,6665550,107240.0,,,1304600.0,,3486374,2865260,11153218.0,7555309.0,,473364,473364,11153218.0,,,,99682,137833,2750992,30490,,2974735,4487668,243771,94701,151452,0,151452
