date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,專門技術淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應收租賃款,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期借款合計,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期應收票據及款項淨額,長期應收租賃款,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,4121786.0,129199.0,4250985,45994618,8147,1312198,44412103,934192.0,1691811,531572,,10189120,1929301,681191,8727730,4476745,4958165,423764.0,885243.0,12098670,5895148.0,3240200,334426,882.0,-253279.0,750042,10443669,8328551.0,376304,,6686351.0,1223569.0,30469237,607252.0,15247.0,25241027.0,28777363,1821259.0,14505064.0,6862.0,3536336.0,2034105.0,3884146,10021.0,39172,27674312,15729199,2013年03月31日,7857603,,75721539,66914246,11838634,6626935,82513779,83968117,,8753197,,566401.0,66117.0,,29927565,,16230543.0,278.0,724370.0,23555158,15729199,,290577,917341,,100605964.0,6468057,,176327503.0,25095,3018918,1270.0,3151087,862584,73,593.0,1925087,,3729126.0,290462,290462.0,440291.0,980027,8807293,18092185,92359386,0
2013-08-08,2,2013,4106947.0,0.0,4106947,40431922,8147,1299878,44060565,1069330.0,717835,537108,,9360789,3784485,1202641,12868880,8761933,4555729,406321.0,0.0,3210315,459335.0,1292929,541509,882.0,133050.0,308921,9623689,2340227.0,376304,,4032471.0,2258003.0,28533117,780561.0,7842.0,26453128.0,30572329,2137606.0,15321702.0,11923.0,4119201.0,2014098.0,3734615,10010.0,6142,32789987,15729199,2013年06月30日,5910543,,75846300,67066458,11838582,6922457,83038210,83426427,,2747430,,1096759.0,13118.0,,31227565,,12650908.0,261.0,543251.0,24332139,15729199,,310758,638033,,91485231.0,6450357,,167331531.0,10399,2934809,5.0,3370885,1051970,0,496.0,1227788,,665948.0,268432,268432.0,70934.0,174067,8779842,8447021,83905104,0
2013-11-12,3,2013,4046041.0,0.0,4046041,40732071,8147,1045632,44707047,1170398.0,664258,729111,,9286321,2737282,1129415,13028231,8982190,4468303,445407.0,0.0,3201633,495333.0,1477770,635985,882.0,-41114.0,303518,10860424,2362367.0,376304,,4707719.0,4117961.0,30936082,594217.0,4635.0,27735686.0,32359334,2875336.0,16330216.0,8140.0,4623648.0,1984741.0,3839049,0.0,6111,33321728,15729199,2013年09月30日,6557025,,76315228,67666885,11838582,6922457,88054609,87761613,,2808656,,1138738.0,33562.0,,31227565,,13137708.0,131.0,469666.0,24534699,15729199,,368420,644124,,96490441.0,6477528,,172805669.0,6658,3173477,5.0,3398512,1050361,0,250.0,1191563,,665948.0,285731,285731.0,55611.0,252536,8648343,8435832,85044056,0
2014-03-24,4,2013,3454400.0,80917.0,3535317,35154316,7562,846758,44222784,1253734.0,606346,753449,,9534965,2837879,1639310,13011027,9475710,4322533,309488.0,0.0,3645895,952581.0,1351220,183061,882.0,385612.0,403022,10901254,3054592.0,376304,,4374076.0,4882825.0,32951348,631510.0,11578.0,30594146.0,35831806,2149470.0,15972591.0,33989.0,5237660.0,2044071.0,9725906,0.0,18482,34134340,15729199,2013年12月31日,6072762,,77379152,67712806,11838582,6922457,90429341,90602803,,3364962,,2570526.0,20186.0,,31227565,,12768615.0,-36.0,588636.0,24043327,15729199,,396182,906056,,99671198.0,6497817,,177050350.0,3753,2600191,0.0,3408152,1077928,114,41.0,1281754,,550536.0,300954,300954.0,98707.0,464183,9666346,9241857,86447547,0
2014-05-09,1,2014,3241664.0,19479.0,3261143,34638666,3269,844892,44973557,1379163.0,693961,770228,,9337740,2674141,1983581,12434974,9173831,5695642,305937.0,0.0,3185694,601271.0,1410954,223299,882.0,604450.0,325083,10125446,2965763.0,376304,0.0,4881093.0,5541587.0,35871441,745631.0,7631.0,33325393.0,38961382,2110079.0,15609831.0,27611.0,5635989.0,2029484.0,10038256,0.0,18366,35034173,15729199,2014年03月31日,6823535,,78872640,68808415,11838582,6922457,95543195,96218485,,3272582,,2514375.0,32907.0,,31227565,15642464.0,,-32.0,773352.0,25535443,15729199,,410598,1023615,,104461292.0,6498382,,183333932.0,3641,2160284,0.0,3412851,1054423,64,0.0,1295937,,462306.0,291609,291609.0,92633.0,570963,10064225,8918097,87115447,0
2014-08-04,2,2014,3606184.0,1117575.0,4723759,34973540,52911,730489,44406723,1254158.0,821527,727599,,11889421,5831959,1529971,14092083,9368324,5644671,254828.0,,3356625,886266.0,1696787,474126,882.0,275847.0,326089,10675589,2946750.0,376304,0.0,5281642.0,6732553.0,38439523,603453.0,13257.0,35370800.0,41840266,2701303.0,16919502.0,53870.0,6469466.0,2011625.0,10003449,0.0,18250,32060433,15729199,2014年06月30日,2873583,,77015589,67788798,11838582,7159575,104857451,105779737,,3202460,,2783799.0,43384.0,,34373565,15789938.0,,-34.0,587284.0,26789676,15729199,,427368,1049635,,113274881.0,6499209,,190290470.0,1121,2664402,0.0,3433348,1054342,70,0.0,577822,,374074.0,309838,309838.0,84660.0,586734,9226791,8417430,84510733,0
2014-11-10,3,2014,3289197.0,1713020.0,5002217,35020771,52652,611441,45499409,1291043.0,427913,753456,,9220110,2798448,1932175,15456735,10454518,5807522,267364.0,,3361092,981996.0,2416266,1141235,882.0,641160.0,356334,10495121,2892464.0,376304,0.0,5642998.0,7546177.0,42477758,505968.0,25994.0,37202766.0,44103016,3421413.0,18283731.0,21734.0,6900250.0,2015789.0,9942564,,18135,33098637,15729199,2014年09月30日,3966269,,79328960,69316277,11838582,7159575,112359901,113709231,,3160710,,2506473.0,50588.0,,34373565,19548280.0,,-28.0,608324.0,30462989,15729199,,410393,1114505,,120510684.0,6531798,,199839644.0,2396,6242928,0.0,3448910,1057845,59,0.0,226276,,285843.0,319543,319543.0,77464.0,599154,10012683,8150783,86130413,0
2015-03-23,4,2014,3710737.0,1234903.0,4945640,34730129,45689,465421,44979810,1386228.0,322674,745295,,12974613,2627063,3107056,16170701,11225061,5907448,,,5044890,848049.0,4279434,1222406,,1721402.0,487222,10527066,,376304,0.0,5587507.0,4152711.0,41633602,400247.0,22568.0,,44813417,2319615.0,18817203.0,61201.0,,2169885.0,10224499,,18019,35059764,15729199,2014年12月31日,3446670,,80148720,70001021,11838582,7159575,112688582,108805788,,7394962,,1775928.0,82972.0,,34373565,19346561.0,,-574.0,512253.0,30805794,15729199,,427386,720147,,122693967.0,6561260,,202842687.0,0,2241923,,3471673,1036404,1200,0.0,768675,,1940215.0,1877583,1877583.0,86741.0,692223,10147699,10005385,94036899,0
2015-05-11,1,2015,3595920.0,1035486.0,4631406,33846771,45044,450412,45822716,,344277,497279,,11919208,2636866,2770109,15577683,10946277,5949078,,,5169384,,3614705,1407199,,,393927,8764266,,376304,,4577745.0,5346329.0,42690132,433463.0,47331.0,,46840729,3148358.0,19435075.0,64863.0,,,10743042,,17904,35643793,15729199,2015年03月31日,4289576,665091.0,81122423,70537867,11838582,7159575,112933031,112116299,,6659941,699231.0,,,51640.0,34373565,,19001620.0,,,31250165,15729199,204694277.0,424325,728301,123571854.0,,6592147,204694277.0,,33,5186892,,3521764,1052491,1526,,1219374,,,1130224,1130224.0,,683355,10584556,10638823,92577978,0
2015-08-10,2,2015,,,4464748,33942846,3010,390360,45333306,,326114,519920,,14720503,7428954,2525110,14175283,9710535,6201088,,,5163066,,3519345,1617171,,,324156,11108309,,376304,0.0,4635898.0,5478197.0,47024949,457650.0,522389.0,,49459124,2365260.0,20807598.0,53105.0,,,10725493,,17788,31454758,15729199,2015年06月30日,2579131,580993.0,79770119,69803113,11838582,7380610,120904054,123260310,,6348621,3629353.0,,,45478.0,35373565,,17785239.0,,,32899325,15729199,211286219.0,407270,699245,131516100.0,,6591802,211286219.0,,224,4093156,,3549117,1061300,1373,,1200618,,,946272,946272.0,,631746,9967006,10612046,88025909,0
2015-11-09,3,2015,,,4122386,33993973,3010,303012,46104977,,281403,439508,0.0,13077850,2681153,3045439,13970604,9848218,6504677,,,6427801,754385.0,3707575,1473904,,,441875,10933265,,376304,,4095182.0,6479126.0,50464625,499382.0,696062.0,,50816946,2653020.0,21189710.0,31328.0,,,10708271,,17673,32282881,15729199,2015年09月30日,3350802,465499.0,81041855,71103801,11838582,7380610,123209888,126592419,2122435.0,7300005,3354267.0,,,29795.0,35373565,,18856401.0,,,33028832,15729199,216424672.0,428268,697779,135382817.0,,6600490,216424672.0,,2284,9287239,,3554620,1049560,2174,,1492729,,3478938.0,1150611,1150611.0,72043.0,641185,9938054,12172929,89832253,0
2016-03-21,4,2015,,,3902588,33217023,3010,195679,46911456,,177134,383315,,10002379,2592732,2563084,14765283,10862695,5645105,,,6231988,,3915087,1475339,,,564900,9413898,,376304,,4764538.0,6193375.0,48764136,305084.0,183440.0,,53160945,2610634.0,21381924.0,101499.0,,,10710609,,17557,33814732,15729199,2015年12月31日,4157281,371851.0,81181643,71477924,11838582,7380610,118623293,122157795,,6504954,6015982.0,,,13788.0,35373565,,16305124.0,,,32841275,15729199,212002090.0,427172,760456,130820447.0,,6650489,212002090.0,,2904,4748673,,3550254,1071551,1856,1135.0,1654456,,,1177911,1177911.0,,696937,9703719,12197154,89844295,0
2016-05-09,1,2016,,,4041496,33103316,3010,184031,47534301,,157770,359336,,7953779,2322094,2267895,14689719,10648223,6420504,,,5725188,,3802359,1671010,,,460171,8631510,,376304,,9887797.0,,52894477,5457816.0,,,12754447,,66369512.0,,,,10706742,,17441,34007921,15729199,2016年03月31日,4780126,494974.0,81743676,71909897,11838582,7380610,122370309,126098652,,6320771,7305192.0,,,28622.0,35373565,,15588924.0,,,30588505,15729199,215580305.0,386107,825812,133836629.0,,6754806,215580305.0,,3135,6545689,,3575908,951114,14000,0.0,1339412,,,1042841,1042841.0,,628337,9833779,11466320,89481653,0
2016-08-04,2,2016,,,3818719,34247691,3010,180725,46788618,,142514,329906,,11518878,5131519,1915105,14320292,10501573,6491862,,,5687072,,3886085,1813832,,,373995,9417959,,376304,,6031474.0,9808809.0,54600165,,,,79951379,2731893.0,,,,,10707991,,17326,31457087,15729199,2016年06月30日,2699235,580505.0,79334816,70810519,11838582,7715818,130257893,132927814,,6291054,4901396.0,,,183523.0,36373565,,17328280.0,,,33028399,15729199,221177125.0,355244,826214,141842309.0,,6753901,221177125.0,,2425,6828002,,3567299,947923,11702,0.0,1503831,,,1078854,,,619404,8524297,11584416,88249311,0
2016-11-07,3,2016,,,3534732,33839213,3010,166455,47276791,,195769,389268,,7252164,2197202,1419803,14007916,10473184,6314516,,,5592341,677531.0,3928213,1886926,,,350399,8287618,,376304,,,,55286891,5631151.0,9164588.0,,84555604,2309998.0,0.0,,,,10699766,,17210,31223343,15729199,2016年09月30日,3187408,644751.0,79805012,70826981,11838582,7715818,128651956,132670232,1553257.0,6191546,4776454.0,,,13012.0,36373565,,18485147.0,,,36287386,15729199,220081261.0,345191,842587,140276249.0,,6777492,220081261.0,,1717,5544914,,3555491,943003,30201,0.0,1633874,3318976.0,,1058931,,42577.0,631957,8978031,11624293,87411029,0
