date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－合併溢額,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-08-07,2,2013,973788,,758198,,,289373,32867,9509,18159,7192,,,87822,97916,9509,575739,,,162494,237,503686,150,650330,2013年06月30日,507882,,,1600236,1600236,0,250316,814339,1443272,12219,,287869,44076,300000,650330,,,951715,182199,282,61917,120000,,,2551951,0,5771,49554,24756,0,137376,1108679,29998,0
2013-11-08,3,2013,969567,,844955,,,304424,20481,6841,13860,1387,,,88276,101666,6841,598481,,,213367,321,563634,75,650330,2013年09月30日,594639,,,1684325,1684325,0,250316,865248,1582166,12219,,351891,33276,300000,650330,,,1006487,182199,282,61917,120000,,,2690812,,4111,52963,25194,0,141239,1108646,42106,0
2014-03-18,4,2013,974822,,945451,,,176822,25550,28076,20938,5098,,,67753,121665,28076,587365,,,182229,493,564566,0,717050,2013年12月31日,695135,,,2293111,2293111,0,250316,429188,1722904,12219,,493268,48706,0,717050,,,560291,602534,282,61917,540335,,,2853402,,3081,63350,21792,0,131103,1130498,43976,0
2014-04-29,1,2014,1001971,25000,1073139,,,152646,28513,42615,20168,4433,,,68194,116775,42615,544383,,,166122,150,617636,,717050,2014年03月31日,822823,,,2435338,2435338,0,250316,409301,1807832,12219,572390,,68805,0,717050,,,550005,602534,281,61917,540336,,,2985343,1410,0,72510,21546,0,140704,1177511,40477,0
2014-08-06,2,2014,988519,25000,921608,,,433314,24365,19756,15953,3977,,,68613,127914,19756,625946,0,,205630,1053,575365,,717050,2014年06月30日,637979,,,2260948,2260948,0,283629,710820,1931480,12219,665963,,52396,0,717050,,,848658,602534,282,61917,540335,,,3109606,2474,0,69225,24474,0,137838,1178126,35864,0
2014-10-29,3,2014,1033247,25000,1058173,,,195874,11974,24639,12760,1587,,,69027,138716,24639,563422,0,,183352,153,677888,,717050,2014年09月30日,774544,,,2402396,2402396,0,283629,447048,1766067,12219,473815,,54665,0,717050,,,598825,602534,282,61917,540335,,,3001221,244,1673,82750,25972,0,151777,1235154,35708,0
2015-05-04,1,2015,1126254,140246,1319386,4000,29000,185839,29679,34629,16911,4025,,,72306,163727,30629,597314,0,,202907,95,655085,,717050,2015年03月31日,1035756,87525,18950,2673599,2673599,0,283630,643494,2019986,12219,,634819,,150000,717050,3489977,816378,,602534,282,61917,540335,,3489977,,217,9102,100578,27545,,172884,1469991,42012,0
2015-08-06,2,2015,1140570,140246,1181461,2000,27000,451074,29758,24211,43889,138936,5222,133714,72778,159213,22211,591189,0,281043,175724,99,706506,,717050,2015年06月30日,849174,54437,0,2539490,2539490,0,332287,726955,2252845,12219,,727716,,,717050,3728501,1189011,,616768,282,61917,540335,14234,3728501,,1732,141,108235,23408,,462056,1475656,31599,0
2015-11-09,3,2015,1256782,140246,1375805,-5000,20000,208020,22899,71244,19134,201313,1991,199322,73252,163177,76244,634687,0,237225,220957,6928,789908,,738742,2015年09月30日,1043518,41034,0,3036574,3036574,0,332287,496926,2383168,12219,,654297,,,738742,3979658,943084,,850783,463,61917,776480,11923,3979658,,853,26927,135681,24066,,446158,1596490,33137,0
2016-03-14,4,2015,1349497,140246,1544663,-2000,23000,228776,45183,37576,23093,48466,2783,45683,77987,157329,39576,717554,0,73376,284530,4443,704615,,751941,2015年12月31日,1212376,77137,0,3336165,3336165,0,332287,618774,2561829,12219,,943156,,,751941,4246649,910484,,1001985,464,61917,935941,3663,4246649,,795,43001,140347,25529,,291710,1684820,36854,0
2016-08-05,2,2016,1392249,140246,1559735,-6000,19000,526025,22105,-36655,7673,47016,3199,43817,57720,195826,-30655,693845,0,6813,234659,2030,792402,,757255,2016年06月30日,1165445,87752,0,3343882,3343882,0,394290,858745,2659444,12219,,1013911,,,757255,4434244,1090362,,1063547,464,61917,1000829,337,4434244,,606,42019,167084,34260,,231617,1774800,29146,0
2016-11-04,3,2016,1412893,12000,1723949,83754,249000,225838,40562,-14724,6090,1687,1687,0,58075,221816,-98478,678547,0,3205,224574,1232,767774,,757548,2016年09月30日,1329659,75478,0,3533675,3533675,0,394290,863277,2935000,12219,,1120426,,330000,757548,4645128,1111453,,1066902,464,61917,1004364,157,4645128,,65,40914,186896,51200,,248176,1710128,36090,0
