date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產,其他無形資產淨額,其他短期負債準備,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,土地成本,土地淨額,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有供交易金融負債－流動,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,約當現金,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,銀行借款,銀行存款,銀行長期借款,銷貨退回及折讓之短期負債準備,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,113880,113880,20956307,7015000,56410284,105592.0,105592,8806777,,15551776,15551776,660395,-6103211,1818235,,1593653,1355815,1355815,180806,7228053,2867998,67108.0,67108.0,995833,362428,1183577,406666,1703447,1703447,50746355,50746355,22418,881247,,,130546758.0,130546758,2380148,2380148,,155303196.0,231712,,633405.0,12191705,6104124,15208,11733188,44126526,2013年03月31日,32717187,4299170,,14796537,5981568,118697991,109736003,50017431,14980079,184973038,252179295,,1355815,,,1745000.0,,8713018,,43498383.0,1549044.0,31214020,1950515,4360055,6087581,8814969,44126526,,1897849,,187236209.0,16183651,16183651,,305934200.0,15208,40009,639958,639958,959241,,,31214020,41525450,627380,1717043,627380,709803,8961988,2263171,53754905,1704355,1704355,0
2013-08-12,2,2013,80000,80000,20817167,7006588,53415690,86054.0,86054,8356388,,21060847,16262422,661001,-6176069,1865194,,1683066,1396299,1396299,154030,7449225,3126039,68329.0,68329.0,1040245,367109,1160964,373528,1645733,1645733,44737793,44737793,16181,2007725,,,125447441.0,125447441,2109065,2109065,4798425.0,158823720.0,90613,,673136.0,12385615,5949990,18277,11788538,44126526,2013年06月30日,28975783,4734617,,14783931,5360788,114192406,105588179,108533431,15621182,194628250,258538691,,1396299,,,1745000.0,,8818725,,52433062.0,977683.0,41420460,88164,4323186,6435625,9423143,44126526,,1729283,,197574598.0,16229757,16229757,,311767004.0,18277,23382,604842,604842,957369,,,41420460,52328717,1301261,1575253,1301261,719107,8604227,2946348,53228313,1785194,1785194,0
2013-11-13,3,2013,174012,174012,20584425,7006588,50649135,,78986,8233760,0.0,14646507,14646507,543126,-6977840,7620449,5625847.0,1860949,1479177,1479177,246632,7168376,2685743,0.0,0.0,878639,212744,1244896,539690,1702148,1702148,51628790,51628790,23987,2007725,485190.0,,,128963795,2086248,2086248,,,119998,151467741.0,665895.0,12109419,5491658,65076,9069691,44127967,2013年09月30日,26209228,3790889,,15345052,6913987,110710312,102024832,108533431,15621182,201387323,265708606,,1479177,,,1745000.0,,8818725,,59516776.0,326458.0,46031843,1965513,4482633,6617761,8431065,44127967,,1646947,,205347882.0,16233295,16233295,,316058194.0,65076,7050,599007,599007,986051,,,46031843,57527276,2482913,1400315,2482913,705206,8685480,3960559,50349588,1820590,1820590,0
2014-03-27,4,2013,423154,423154,21209228,6588,44260834,,80275,14695637,,15601065,15601065,830638,-7707518,4871823,2559650.0,1760278,1293643,1293643,284313,7940783,3320002,0.0,0.0,757327,98917,1040818,333557,1701570,1701570,51219127,51219127,10836,2007725,1000000.0,,,143514698,1944703,1944703,,183481024.0,214854,,658410.0,12202869,5338245,11382,9301877,44134467,2013年12月31日,19820927,3577480,,16162392,7271931,99962272,94873145,108533431,15621182,220597261,287380820,,1293643,,1745000.0,0.0,,8818725,,46965852.0,1006058.0,51971767,5193010,4620781,6864624,8890461,44134467,,1675765,,236140542.0,16193087,16193087,,336102814.0,11382,83772,678587,678587,1174203,,,51971767,41762006,14107367,1391452,14107367,707261,5089127,15543281,48721994,1889019,1889019,0
2014-05-13,1,2014,541795,541795,22109195,6588,40421160,91674,91674,10224561,,15776296,15776296,1290023,-6453831,5846313,3288556,2358272,1214052,1214052,327512,8288985,3440044,0,0,784775,131222,1088890,369831,1878845,1878845,58699909,58699909,11349,2007725,1000000,0,133722448,133722448,1742476,1742476,,161697049,221443,,653553,12798128,5476283,69742,9539919,44136301,2014年03月31日,15981253,4117287,,16969834,7196736,96807883,92288989,108533431,15621182,206422623,277096547,,1214052,,1745000,0,,8818725,49841243,,1623844,45938736,796747,4848941,7321845,9773098,44136301,,1702768,,225680033,16193084,16193084,,322487916,69742,151934,689229,689229,1208164,,,45938736,49033147,17783406,1375256,17783406,719059,4518894,19257410,45391369,2015962,2015962,0
2014-08-13,2,2014,803674,803674,22775265,6588,40609826,52859.0,52859,12140430,,18666138,14118833,746782,-6642819,5722689,2829141.0,2598965,1239563,1239563,358840,8641042,3687110,0.0,0.0,780960,132048,1118765,417635,1874213,1874213,63163188,63163188,9400,2007725,0.0,0.0,156630951.0,156630951,1710137,1710137,4547305.0,169191834.0,1872624,,648912.0,12672195,5233649,25266,9769932,44142071,2014年06月30日,17034406,4636157,,17802681,7344136,94572799,90172816,108533431,15867903,226272594,296493997,,1239563,,350000.0,1400000.0,,7707517,58502354.0,,1300252.0,40153926,726463,4953932,7438546,10458545,44142071,,2063235,,251538942.0,14071463,14071463,,346111741.0,25266,15391,697927,697927,1167201,,,40153926,57766491,23787461,1704395,23787461,701130,4399983,25266348,49617744,2089874,2089874,0
2014-11-13,3,2014,774965,774965,23562862,18675,43194318,47335,47335,11983786,,17917964,17917964,1403254,-5690967,6453422,3500377,2618199,1116849,1116849,336421,9155439,3837103,,,777536,133144,1173841,463337,1879372,1879372,73748438,73748438,10893,1724739,0,0,174641932,174641932,1030236,1030236,,176845030,570155,,644392,14122593,6374751,13610,10483501,44208778,2014年09月30日,19618898,3313317,,19094551,8158319,98909865,94259191,93833431,15867903,238703165,311776080,,1116849,,350000,1400000,,7707517,56095730,,1381168,35293535,1359000,5318336,7747842,10936232,44208778,,1971298,,263812659,14271801,14271801,,362722524,13610,97939,704827,704827,1206930,,,35293535,54725837,23627131,1634877,23627131,710504,4650674,25109494,50946444,2178080,2178080,0
2015-02-26,4,2014,3634233,3634233,24472732,83202,47509087,44538.0,44538,12402009,,18216304,18216304,788334,-3139021,9162429,3233431.0,2604042,1035162,1035162,368934,9364654,4159386,,,838587,163793,1164368,429122,1893559,1893559,67270875,67270875,10336,1724739,0.0,0.0,170739133.0,170739133,1167152,1167152,,178552207.0,343030,,674794.0,14806308,6553557,39310,11694855,44232366,2014年12月31日,23933666,3287760,,20580749,8578470,106007152,101174138,93833431,15867903,250264267,324845249,,1035162,,350000.0,1400000.0,,7707518,74708130.0,,2180985.0,46692373,623611,5205268,8252751,12002279,44232366,,2066581,,272743566.0,14296445,14296445,,378750718.0,39310,184093,1136411,1136411,1653141,,,46692373,74074183,20504301,1697647,20504301,735246,4833014,22479299,53905469,2294765,2294765,0
2015-05-11,1,2015,3433042,3433042,24286366,113320,49724086,52177.0,52177,11927420,,16313515,16313515,1121175,-4448074,10726699,4880779.0,2147676,1184613,1184613,376879,9158254,3758095,,,579760,120183,1242414,519155,1972057,1972057,67000826,67000826,13351,1724739,0.0,,134687330.0,134687330,995700,995700,,146386438.0,242352,,,14698989,6491478,85459,11323358,44725966,2015年03月31日,26148665,3229411,2670347.0,21113281,8835325,108855141,103261732,93833431,15867903,208376412,285579202,459577.0,1184613,350000.0,,,1400000.0,7707518,,68027655.0,,40898897,452501,5400159,8207511,12277956,44725966,338618898.0,1998465,229763757.0,,14984493,14984493,338618898.0,,85459,250903,1179283,1179283,1562205,,,40898897,67561803,19628302,1621586,19628302,723259,5593409,21387345,53039696,2412878,2412878,0
2015-08-11,2,2015,11357258,11357258,24022053,113131,46800920,37036.0,37036,10726418,,24407146,17545479,958807,-5691323,17958628,4679091.0,2449945,1104998,1104998,387290,9670947,4025945,,,610820,153718,1211731,502309,1969494,1969494,54822330,54822330,57525,1724739,0.0,,124286932.0,124286932,928834,928834,6861667.0,158828143.0,112232,,,15301791,6892281,52157,11174741,44725966,2015年06月30日,27090588,2421205,2814666.0,21442019,8713128,102251379,96957047,93833431,16571311,197325597,266109083,457102.0,1104998,350000.0,,,1050000.0,3139021,,48513452.0,,24785263,612191,5645002,8409510,12728891,44725966,317088973.0,2073848,214837594.0,,12846223,12846223,317088973.0,,52157,25831,1159282,1159282,1576818,18123.0,11307.0,24785263,47843736,15741895,1686558,15741895,709422,5294332,17511997,50979890,1922279,1922279,0
