date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,,15869265,11080749,-291247,,2553106,1883144,13354.0,128786,1082,-363182,167873,,130529,276559,413615,260830,2428875,-71935,31570,64008,4138709,,,6531697.0,3473558,337613,0,1787,5803479,65343,505365,244989.0,2550286,22053084,2013年03月31日,9409339,,34185662,34085163,0,1155285,7594568,24503628,,2480375,,4552494.0,50000.0,,516125,,8750180.0,342642.0,1374235,22053084,,,15466929.0,1314512,161493,121617.0,1499,1000765,1029903,29138.0,,49652591.0,362,953036.0,14635,0.0,111069,1232316,0,88777,51500,100499,7872361,25148963,413026,,0
2013-08-06,2,2013,6641230.0,6641230.0,15773480,11452149,-481346,0.0,2310568,2016831,13463.0,189384,114634,-103043,6892867,251637.0,98804,281321,413105,258010,2485406,378303,34123,65168,3985247,0.0,,0.0,3668312,395888,0,1702,6606453,4889,545058,247198.0,2605760,22053084,2013年06月30日,9009124,,34822376,34723866,0,1261160,16695563,27019468,,2557112,,7377397.0,50000.0,,1181865,,7608218.0,340773.0,2281242,22053084,,,17081009.0,1321676,165083,121617.0,5073,1000765,1029903,29138.0,,51903385.0,1084485,0.0,24739,0.0,104125,1173892,0,89927,71706,98510,385446,24883917,464645,,0
2013-11-08,3,2013,6597609.0,6597609.0,15166998,11911664,-274595,0.0,2514625,2078235,0.0,247357,108425,-53427,6914024,316415.0,119466,279876,410719,253099,2526991,221168,32641,69429,4281830,0.0,,0.0,4273748,362555,499831,2818,7029159,5787,468858,247235.0,2597010,15437159,2013年09月30日,9468639,,28733674,28626412,0,1261160,21223736,25753902,,2592875,,7726552.0,50000.0,,1181865,,5288369.0,518945.0,5491604,15437159,,,21613204.0,1331016,168671,121617.0,10825,1000765,1029903,29138.0,,50346878.0,1081976,0.0,20591,0.0,109592,1260749,0,88191,65884,107262,389468,24592976,457508,,0
2014-03-25,4,2013,6716474,6716474,15146803,12332627,-243493,0,2573052,2292228,0,282171,86080,265805,6986977,270503,104398,287489,443288,283163,2590650,509298,35811,70767,4671715,172215,,0,4088189,338765,699929,3458,5993872,3530,593357,251678,2775861,15437159,2013年12月31日,9889602,,29325207,29207654,18001000,1261160,21477710,33896344,,2636886,,7416093,50000,,1181865,,14349810,571235,5586493,15437159,,,29392618,1344278,172260,121617,20498,1000765,1029903,29138,,58717825,910436,0,13898,0,227419,1195591,7400000,89358,46236,117553,7914908,24821481,381420,,0
2014-04-24,1,2014,,0.0,14940180,13282839,14096,,2849840,2205732,0.0,241286,77969,918829,462570,462570.0,280194,290375,446394,286963,2632351,904733,36992,71484,4464344,154673.0,11150000.0,0.0,3676802,321322,699973,2749,7037594,3081,537008,253383.0,2809443,22387921,2014年03月31日,10839814,,38672580,38573576,11150000,1261160,16651160,38189423,,2682795,,8457514.0,50000.0,,1181865,16736301.0,,835736.0,8407491,22387921,,,24548583.0,2138660,111650,126812.0,20778,1123846,1879420,755574.0,,63221163.0,38785,0.0,15194,0.0,207048,1253088,7400000,87947,50444,99004,7897423,25031740,338938,,0
2014-08-12,2,2014,0.0,0.0,14581529,13964505,-68516,0.0,2733511,2403071,0.0,212434,121544,370425,428905,428905.0,259902,280463,433804,269364,2570518,438941,30888,78670,4487931,0.0,0.0,,4021558,382928,699993,13685,7544850,3792,602325,249575.0,2786551,21992981,2014年06月30日,12120788,,38419179,38312090,0,1406122,19374984,41146319,,2612598,,7767634.0,50000.0,,437595,19791536.0,,1104390.0,10319627,21992981,,,27166734.0,1984179,114228,0.0,23685,1090692,1846266,755574.0,,65585913.0,827,0.0,3538,0.0,111287,1241601,7400000,85770,42080,107089,7791750,24439594,350833,,0
2014-10-31,3,2014,0.0,0.0,14635166,15143962,-67737,,2730911,17687519,,292630,103044,496944,455257,455257.0,211486,274287,441901,279815,2433930,564681,32738,74568,4805987,0.0,0.0,,4217622,395263,499870,12958,8134243,3395,776832,241549.0,2861277,6597894,2014年09月30日,13300245,,24454881,24336230,0,1406122,32876872,33455950,,2487616,,7820642.0,50000.0,,437595,10958849.0,,1083298.0,8517525,6678919,,,33289225.0,2016405,95017,0.0,23685,1142129,1897703,755574.0,,57744106.0,7560,,21475,,138066,1081285,0,87518,53686,118651,412353,24288156,327367,81025.0,8102500
2015-03-13,4,2014,0,0,14926535,15927185,-191024,0,2650276,2987361,896,213189,115001,984727,660566,660566,200906,315061,438279,269319,2446087,1175751,34020,79382,5505965,0,0,0,4279691,446857,499877,11769,7704072,3342,552131,281041,2909348,6678919,2014年12月31日,14083468,,25739434,25613693,0,1406122,18773184,26959452,,2503017,,5856514,50000,,437595,6412680,,1106518,8764499,6678919,,,25758176,2022862,98884,0,26275,1142129,1897703,755574,,51497610,15150,0,54609,0,269931,1060703,6400000,89578,56930,125741,6984992,24538158,341043,,0
2015-04-17,1,2015,,0.0,14749555,16839616,-135700,,2649181,2782007,1316.0,219985,118591,391990,501088,501088.0,65309,323704,434442,267677,2177911,527690,36985,78629,5272944,0.0,0.0,0.0,3974723,498971,299910,10516,7996911,3091,457282,,2933992,6678919,2015年03月31日,14995899,1161446.0,26462383,26346432,0,1406122,19812550,28447167,286719.0,2230335,8939151.0,,,50000.0,437595,,5067362.0,,10558389,6769997,52526647.0,26064264.0,,2344829,16587,0.0,29676,1542992,2298566,755574.0,52526647.0,,24184,0.0,13778,0.0,128010,1031975,5800000,88136,52424,115951,6251714,24079480,292763,91078.0,9107763
2015-08-12,2,2015,0,0,14431272,16669532,-109585,0,2672189,5285388,2376,326552,273391,276966,367446,367446,87781,346584,417198,253439,2230958,386551,55978,77265,5086243,4071,0,,3689857,643113,499766,10091,7894116,3558,501398,,2856909,6769997,2015年06月30日,14439510,846437,24398294,24272843,82000,1792427,21903370,27537702,290606,2275352,8535172,,,50000,437595,,4536021,,10545685,6769997,51247345,26849051,,560419,19166,0,56701,484552,484552,0,51247345,,13211,0,27701,0,99097,1006723,4500000,86494,44394,125451,4945681,23709643,265769,,0
