date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,償債基金,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付票據,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,原料,國外營運機構財務報表換算之兌換差額合計,在製品,基金合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付票據,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應付設備款,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收所得稅退稅款,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有供交易之金融資產－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,暫估應付費用,會計項目,未分配盈餘（或待彌補虧損）合計,未實現售後租回利益,未實現售後租回損失,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,物料,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期應收款－關係人,長期應收票據及款項－關係人淨額,非控制權益,非流動負債合計,非流動資產合計,預付所得稅,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,396702,396702,6422419,,,-3763460,207084.0,,321358,0.0,,294017,82115,17095,32573,,34102,,169850,1090033,384548,55030,,,423477.0,691367,19161.0,1457067,662129,707164,,,,-37234.0,,0.0,30604.0,81989,1050715,1050715.0,,,,1839125,,,,49292,278570,295665,308783,115740,63452,,1590428,,27629,,,16165,521968.0,,,,307568,8060158,230565,2013年03月31日,-3763460,3894.0,45035.0,,,4578783,4466548,0,6477261,3333720,,37215,,,374262.0,0.0,2827014,8060158,,,,9504740.0,,,14083523.0,45720,3165.0,2204176,,,,2332947,115740,,131003,112235,3027479,10749803,,107096,113434,0
2013-08-09,2,2013,603173,603173,6416767,,,-3839783,188384.0,,321358,0.0,,377458,74900,26817,44867,,35823,,155559,1142299,244391,462443,43100.0,419343.0,,609730,0.0,984680,651595,693082,,,,-32825.0,,0.0,30662.0,87003,1016096,,,,,1844047,,,,49924,256300,283117,294735,50955,88038,,1479961,,39018,,,22387,524706.0,,,,311085,8060158,289420,2013年06月30日,-3839783,3407.0,41487.0,,,4489032,4375934,0,6541321,3461935,,32789,,,237847.0,0.0,2769576,8060158,,,,9231523.0,,,13720555.0,35392,23805.0,2191941,,,,2056667,50955,,131792,113098,2690202,10258620,,88101,72803,0
2013-11-08,3,2013,667094,667094,6385275,,,-3838358,186737.0,,318311,0.0,,641560,74900,29562,40552,,35897,,144122,1092018,178266,814252,34927.0,779325.0,,582425,0.0,1193431,642548,680637,,,,-42615.0,,0.0,30661.0,122700,979122,,,,,1749360,,,,49313,243176,272738,246658,22505,340948,,1682836,,33452,,,27643,526339.0,,,,300588,8060158,300612,2013年09月30日,-3838358,2920.0,38089.0,,,4478979,4365922,0,7275637,4272244,,41011,,,542233.0,0.0,3395748,8060158,,,,10187447.0,,,14666426.0,32003,22410.0,2155566,,,,2306975,22505,,129950,113057,2911810,10394182,,84254,260144,0
2014-03-28,4,2013,793087,793087,6429229,,,-3837278,,,424663,0.0,,459846,74900,25982,40771,,36823,,208189,1086426,109340,574653,34705.0,539948.0,,569892,,1023453,647593,682751,,,,,,0.0,30663.0,96129,1023342,,,,,1727861,,,,49951,286990,312972,183999,8728,171783,,1649596,,30882,,,17389,528067.0,,,,315700,8060158,288063,2013年12月31日,-3837278,2434.0,35158.0,,,4549067,4431069,0,6894918,3805265,,37208,,,322495.0,471.0,3182491,8060158,,,,9533160.0,,,14082227.0,30748,51976.0,2046709,,,,2016374,8728,,130959,117998,2638242,10276962,,78566,113614,0
2014-05-09,1,2014,872921,872921,6281407,,,-3745378,,,424963,,,612688,74900,30466,25031,,38548,,219331,1135039,144500,886028,32576.0,853452.0,,563725,0.0,1147102,661363,693747,,,,,,,30687.0,97021,1199252,1199252.0,,0.0,,2130969,,,,49802,319268,349734,117618,320,259422,,2046404,,39483,,,22243,530771.0,,,,318650,8060158,353266,2014年03月31日,-3745378,1947.0,32384.0,,,4658247,4534111,0,7683001,4760920,,37113,,371944.0,,1085.0,3328784,8060158,,,,10252881.0,,,14911128.0,48883,,1940973,,,,2006155,320,,133723,124136,2569880,10150208,,83104,222611,0
2014-08-08,2,2014,937111,937111,6446415,,,-3628061,,,432763,,,691936,74900,52467,20801,,42241,,216598,1244480,156058,780192,32419.0,747773.0,,650875,,372550,2604,33235,,,,,,,30686.0,104436,1350697,,,0.0,,2377376,,,,49215,304200,356667,151311,85109,309439,,2312144,,51359,,,18285,533620.0,651794.0,,,322540,8060158,382497,2014年06月30日,-3628061,1460.0,30631.0,,,4767240,4648695,0,8075773,5062328,,30158,,322365.0,,106.0,3281093,8060158,,,,10395680.0,,,15162920.0,53464,,1844372,,,,1669032,85109,,131003,118545,2319907,10100592,,110780,103876,0
2014-11-07,3,2014,924718,924718,6451049,,,-3409303,,,430213,,,1163210,74900,45926,36109,,43957,,226061,1385370,143585,1159293,136882.0,1022411.0,,814797,,771745,2693,39614,,,,,,,31915.0,115787,1504385,,,0.0,,2620860,,,,49843,345245,391171,317067,245400,693456,,2388112,,57763,,,18404,536508.0,658929.0,,,330932,8060158,469754,2014年09月30日,-3409303,974.0,36921.0,,,4999594,4876916,0,8904783,5762351,,31619,,383302.0,,106.0,3219323,8060158,,,,11179496.0,,,16179090.0,43863,,1742252,,,,1459916,245400,,133635,122678,2274713,10416739,,127163,482709,0
2015-03-20,4,2014,1023018,1023018,6912842,,,-3176572,,,454690,,,900183,74900,42331,41803,,42474,,276354,1449877,105048,893795,44375.0,849420.0,,774941,,594305,2848,36723,,,,,,,34051.0,128768,1455081,,,0.0,,2823142,,,,49242,306534,348865,321811,200906,498923,,2659997,,44523,,,17855,539497.0,678691.0,,,350355,8060158,401260,2014年12月31日,-3176572,487.0,33875.0,,,5309473,5159940,0,8984907,5724152,,29435,,399711.0,,699.0,3337999,8060158,,,,11077664.0,,,16387137.0,49825,,1642667,,,,1317816,200906,138900.0,138900,149533,2092757,10662985,,119088,289914,0
2015-05-08,1,2015,1091829,1091829,7325624,,,-3069728,,,347440,,,1187528,324900,22008,45154,,45875,,251447,1541934,150967,1198419,38091.0,1160328.0,,885683,33597.0,447537,33447,33447,,,,,,,,130903,1563784,,,0.0,,2688687,,7940.0,,49857,310282,332290,299138,134416,692958,,2676630,,30114,,,22739,,664847.0,,,352529,8060158,494570,2015年03月31日,-3069728,,,697.0,,5382822,5242954,0,9574422,6175134,717670.0,23396,,,413686.0,,3440589,8060158,,16974358.0,11591536.0,,1077.0,16974358.0,,44993,,1637851,,,,1131431,134416,97100.0,97100,139868,2017114,10799224,,133740,186087,0
2015-08-06,2,2015,1212857,1212857,7469213,,,-2813855,,,347440,,,1194072,319900,46595,42992,,57040,,248953,1928682,203121,1033835,71307.0,962528.0,,1019497,33576.0,552444,31424,31424,,,,,,,,139614,1374584,,,0.0,,2759096,,19725.0,,99487,339718,386313,512704,280600,666128,,2967397,,36925,,,19637,,650723.0,,,364612,8060158,527944,2015年06月30日,-2813855,,,0.0,,5621982,5497080,0,9985286,6482433,705321.0,17922,,,751659.0,,3278011,8060158,,17454795.0,11832813.0,,1824.0,17454795.0,,32945,,1570008,,,,828030,280600,95921.0,95921,124902,1847527,10972362,,165419,285485,0
