date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,催收款項,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,原料,商譽,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,在製品,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本,待註銷股本股數,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,未實現售後租回利益,本期所得稅負債,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃資產淨額,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期應收票據及款項淨額,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收股本,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,1491500.0,8240469,57268.0,57268,1127948,93078.0,240997,119885,1055730,,1845844,-317772,1790590,299090,15140,,38786,302543,,23284,0.0,1023079,7729,2031218,853100,-410850.0,1336205.0,1336205.0,756228,20077,22820,6794394,6794394,0.0,,,9533815.0,9533815,8114.0,8114,,,,,6925560,0.0,54489.0,3207.0,3855388,410553,,11831937,2013年03月31日,628226,27335,,,2704024,19949374,19654088,0,257386,15336808,23695807,,,891886,,242336.0,,7468354.0,219442.0,1626258,,11831937,4006948,,1102859,,15421303.0,7011975,,35370677.0,0.0,246891,14974,61211,810618,0.0,0.0,,119885,729076,295286,84495,11674870,345135,48924,94645.0,,0
2013-08-09,2,2013,,8125313,,51419,1465393,78457.0,227241,121260,6332326,,1048497,-203743,246441,246441,35676,,34609,259507,,24780,692.0,991224,13310,2417875,855667,-282200.0,,1336205.0,429325,20414,20225,6252697,6252697,,,,,9149060,,26026,26039.0,,,,7929551,0.0,31222.0,3674.0,3847077,409612,,7335801,2013年06月30日,631822,24165,,,2643290,15324860,15059241,0,293857,20060976,24048209,,,890276,,539714.0,,8281645.0,171376.0,2965500,,7335801,3405497,,1144208,,20144023.0,6461790,,35468883.0,0.0,105843,15069,58267,725589,,0.0,,121260,733771,265619,83047,11420674,363078,6611,96047.0,,0
2013-11-07,3,2013,,7877197,,51419,1913077,106801.0,253452,119522,5974818,,905725,-273339,268823,268823,23182,,30704,218929,,24507,682.0,982345,16903,2217499,849174,-380140.0,,1336205.0,970113,20188,23064,5933187,5933187,,,,,10149851,,93522,,,,,8109114,0.0,49289.0,3637.0,3780408,407065,,7335801,2013年09月30日,1079506,32588,,,2494529,15684467,15437329,0,293857,19045331,23539918,,,879878,,539714.0,,8193120.0,259424.0,1323258,,7335801,2745575,,975041,,19094680.0,6461790,,34779147.0,594.0,23999,14538,24842,787873,,0.0,,119522,720498,247138,49349,11239229,302302,4905,97453.0,,0
2014-03-20,4,2013,,4720559,,51419,4467339,165041.0,313529,45967,1898556,,415428,-87939,204378,204378,6099,,26488,225336,,606448,1312.0,1121906,14732,1996000,602434,-252980.0,,62519.0,430384,20711,225384,4984259,4984259,,,,,10272358,,76843,,,,,9896022,0.0,9788.0,4085.0,1995323,405611,,7335801,2013年12月31日,3633768,30919,580340.0,,2393106,18386305,18176991,0,293857,15729741,26617279,,,628922,,539714.0,,7189233.0,427344.0,1629117,,7335801,2557875,,1221024,,16364731.0,6461790,,34751036.0,121.0,3909684,13356,28542,891811,,0.0,,45967,724726,209314,634990,8133757,206766,8001,103096.0,,0
2014-05-09,1,2014,0.0,4657528,44106.0,44106,4771817,350860.0,509948,45384,1608202,,1018933,184860,389677,389677,41496,,22561,237058,,597547,1178.0,1122120,10744,2080385,607039,-166000.0,,62519.0,855621,26248,222377,4983102,4983102,,,0.0,,8237438,,111750,,,,,7316866,,851.0,4325.0,1994721,394881,,7335801,2014年03月31日,3938246,34132,565796.0,,2316648,18949086,18754268,0,293857,13659578,25057069,,,629600,,539714.0,8322635.0,,153561.0,2102430,,7335801,2047096,,1056383,,14288192.0,6461790,,33237278.0,137.0,3110006,12450,31067,822026,,,,45384,732959,194818,628614,8180209,263180,6033,104623.0,,0
2014-08-07,2,2014,,4308891,,44106,3034785,,535528,44805,5671871,3471131.0,1716362,47428,276769,276769,31704,,23087,208033,,582503,985.0,1110347,10033,2693810,602853,,,0.0,886076,25614,219757,5803615,5803615,,-1797271.0,179727121.0,,9944948,,645589,0.0,,,2200740.0,8325596,,0.0,4652.0,1910815,468375,,7335801,2014年06月30日,2290561,30388,551252.0,,2148543,15251567,15082533,0,656285,18073266,26003193,,,625940,,87939.0,7563701.0,,337269.0,197142,,5538530,2223729,,999344,,18686596.0,6461790,,33938163.0,334.0,2364323,11112,30827,841783,,,,44805,713963,169034,613330,7934970,197892,15656,106133.0,,0
2014-10-28,3,2014,,4283650,,44106,3436631,,413468,45630,3562486,3562486.0,761046,74162,242676,242676,36236,,29211,192383,,563436,830.0,1136245,10153,3587938,606690,,,0.0,1229465,25897,219357,7109659,7109659,,,0.0,,9569874,,46786,,,,,6234409,,7.0,0.0,1916653,467743,,5569230,2014年09月30日,2692407,26775,536709.0,,2137661,15716915,15563303,0,656285,15048178,23574289,,,635901,,87939.0,9073435.0,,348983.0,200772,,5569230,2292256,,1076601,,15638230.0,6483280,,31355145.0,0.0,24165,10178,26616,799743,,,,45630,722518,153612,590052,7780856,335332,30937,107650.0,,0
2015-03-23,4,2014,,4387859,,44106,3646694,,367447,47475,1759059,,1186247,380877,432248,432248,3785118,38699,26334,224097,3746419,546413,470,1191832,41617,2996843,615272,,,0,682447,23778,219768,6269300,6269300,,,0,,8171899,,79344,,,,,6898598,147,535,0,1974927,467049,,5571230,2014年12月31日,2902470,2336,522165,,2176854,16218009,16084581,0,656285,15644972,24728602,,,641606,,87939,5599168,,427226,3778754,,5571230,2590010,,996355,,16254982,6485780,,32472991,87,340466,9645,63597,644490,,,,47475,748896,133428,610010,7744389,649023,32497,101579,,0
2015-04-30,1,2015,,4257943,,44106,4023837,,369780,46950,1603159,,1347972,269671,580226,580226,9714,7934.0,22409,206535,1780.0,532072,271.0,1165912,41070,1701340,612830,,,0.0,1881543,24180,220109,5625100,5625100,,,0.0,,7352528,,229939,,,,,7884889,30.0,0.0,,1908285,464279,,5573030,2015年03月31日,3279613,372,507621.0,429016.0,2134061,16459917,16356818,0,656285,13079098,22541822,0.0,103044.0,635239,,87939.0,,6358819.0,,1887390,,5575280,2042217,30110668.0,996840,13650751.0,,6488030,30110668.0,,0.0,664105,8690,39581,631587,,,,46950,734526,103099,571653,7568846,651193,20213,,2250.0,100000
2015-08-07,2,2015,,4115159,,44106,1550241,,371061,46290,4443807,1657292.0,930800,184212,928607,928607,147821,14015.0,18754,190670,133806.0,524759,67.0,1175965,34588,2448244,609760,,,,793188,31615,232915,4724236,4724236,,0.0,0.0,,8444320,,384981,,,,2786515.0,9756576,0.0,0.0,,1851786,461708,,5574030,2015年06月30日,755317,1130,493077.0,141232.0,2063438,13895496,13797763,0,794924,17384732,24567996,0.0,104476.0,628514,,0.0,,8057735.0,,2039846,,5574030,1482804,31835283.0,1001939,17939787.0,,6489280,31835283.0,,0.0,430718,8135,30296,470774,,,,46290,721135,97733,555055,7267287,520110,36561,,,0
2015-11-06,3,2015,,4133487,,44106,2021827,,294475,49305,1840689,1840689,906344,431199,468887,468887,80877,6521,19892,235033,74356,502743,0,1196216,30472,1440450,623784,,,,934586,24209,235028,4174356,4174356,,,0,,9175719,,127621,,,,,10406753,622,7,,1863717,460648,,5574030,2015年09月30日,1226903,1702,478534,280087,2025873,14613421,14516336,0,794924,13468016,21502034,,105890,643676,,0,,5338973,,502911,,5574030,1799320,28776828,1068722,14163407,,6489280,28776828,,3380,109288,7162,192648,502186,,,,49305,748837,97085,695391,7274794,484814,26684,,,0
2016-03-18,4,2015,,3830197,,44105,2006413,,291935,49238,1778120,1778120.0,823143,286131,350703,350703,41338,41338.0,15834,217975,0.0,486977,0.0,1212777,63090,1433817,623470,,,,231069,22987,249357,3218972,3218972,,,0.0,,5910412,,75,,,,,8676859,4290.0,0.0,,1791935,457752,,5574030,2015年12月31日,1211489,0,463990.0,334721.0,1814252,14453801,14355854,0,794924,11158840,19240314,,101193.0,639304,,0.0,,5357242.0,,1600768,,5574030,1554086,26244275.0,1184041,11790474.0,,6489280,26244275.0,,0.0,857016,6035,144657,527891,,,,49238,735797,97947,631634,7003961,261454,14102,,,0
2016-05-09,1,2016,,3703959,,44105,2136815,,288986,48278,1369600,,492918,150895,278724,278724,25587,25587.0,13194,208509,0.0,477337,0.0,1239710,73604,1185038,619004,,,,475408,27891,248846,2838128,2838128,,,0.0,,3967166,,342,,,,,7148017,979.0,,,1720763,455028,,5574030,2016年03月31日,1341891,0,449446.0,321575.0,1769214,14463011,14351020,0,794924,8604390,16755314,,102525.0,632198,,0.0,,5530758.0,,1519132,,5574030,1177682,23671415.0,1147851,9208404.0,,6489280,23671415.0,,,404646,5473,126677,552115,,,,48278,718371,111991,604014,6916101,314281,48086,,0.0,0
2016-08-04,2,2016,,3535425,,44105,-737849,,289611,48413,2510278,1395472.0,378850,76065,282389,282389,19699,19699.0,10666,180160,0.0,460980,0.0,1218799,72290,1571151,619632,,,,371740,26077,249733,3069407,3069407,,,0.0,,4613234,,2419,,,,1114806.0,4176315,78.0,,,1649190,452218,31377.0,5574030,2016年06月30日,-1647902,0,434903.0,164557.0,1701475,11489857,11373656,0,910053,10440651,15133370,,103840.0,630298,,,,6172310.0,,1807400,,5574030,1126516,22561619.0,1060374,11071762.0,,6461410,22561619.0,,,981478,4600,170131,1226416,,,,48413,707043,116201,631111,7428249,335233,37480,,,0
2016-11-09,3,2016,,3345904,,44105,-294299,,283687,47072,1563017,1563017.0,1039380,-162434,207430,205978,20706,20706.0,11314,169604,0.0,450422,,1196564,64232,1449909,613248,,,,497851,23680,247852,2936432,2936432,,,0.0,,5122421,,5,,1452.0,6383.0,,5046098,2863.0,0.0,,1558254,444683,28424.0,5574030,2016年09月30日,-1204352,0,420359.0,216518.0,1607148,11699516,11578707,0,910053,10003981,15194226,,105135.0,624562,9392.0,,,4958382.0,,1975680,6798.0,5574030,988672,22343033.0,918910,10643517.0,,6461410,22343033.0,,0.0,824881,4100,189114,1180878,,,6383.0,47072,680221,120809,639536,7148807,356092,52052,,,0
