date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,449085,119944,2055343,-47383,87108,291259,26675,-55105,203669,151685,19146,101218,-7722,350018,6139,,,375505,2797,987974,54993,1137459,23938,1880577,2013年03月31日,1569669,,,4330446,3950413,110148,231210,995836,3397635,3816,,,254464.0,,1555542.0,12904.0,,95332,1880577,,14370,,1014982.0,75737,9473,28613,,32683,4968,,5345428.0,,78628,,25225,380033,19146,1947793,192120,0
2013-08-12,2,2013,438283,124646,2077297,59849,163721,149985,27866,66335,93617,127079,28336,101612,6486,316999,6139,,,508211,7210,1091300,54672,1134547,23467,1880577,2013年06月30日,1685250,,,4480084,4093807,110148,232966,979632,3482175,248,,,159081.0,,1608415.0,46121.0,,159416,1880577,,15072,,1007968.0,75737,9473,28613,,32683,4968,,5488052.0,,135351,,19353,386277,28336,2005877,120493,0
2013-11-13,3,2013,434082,124070,2102062,46823,150693,165401,29686,39476,118371,52222,28097,86786,-7347,286849,6106,,,576158,12305,1086224,53634,1131606,23077,1824160,2013年09月30日,1710015,,,4422293,4035248,106843,232966,1013486,3493943,212,,,159081.0,,1605730.0,50232.0,,76340,1824160,,14679,,1041583.0,75656,9473,28613,,32683,4887,,5463876.0,,149332,,19407,387045,28097,1969933,230266,0
2014-03-25,4,2013,427275,123382,2122907,81200,139141,176288,17926,90869,126164,44190,27012,98908,9669,225449,6106,,,420318,6352,1095687,34779,1135818,9891,1824160,2013年12月31日,1730860,,,4511321,4107486,106843,232966,893776,3473754,189,,59600.0,159081.0,,1483192.0,62602.0,5679.0,88164,1824160,,13888,,921772.0,75656,9473,28613,,32683,4887,,5433093.0,,147486,984.0,24735,403835,27996,1959339,359766,0
2014-05-13,1,2014,414432,124267,2249113,83577,141518,149693,23827,92112,92746,42222,26799,111443,8535,219165,6106,,0.0,397189,793,1246784,28228,1137425,9589,1824160,2014年03月31日,1857066,,,4649333,4234935,106843,232966,875867,3593386,162,,277019.0,159081.0,1342660.0,,89706.0,5705.0,128830,1824160,,14974,,902666.0,75656,9473,28613,,32683,4887,,5551999.0,1936.0,208355,0.0,19777,414398,26799,1958613,199421,0
2014-08-12,2,2014,412596,143908,2244053,89093,147034,167489,22005,75803,118605,44249,26083,178712,-13290,251697,6106,,0.0,487803,57,1190744,42931,1134502,8878,1824160,2014年06月30日,2002404,,,4634230,4213566,106843,241649,938059,3549499,133,,235690.0,0.0,1384929.0,,71652.0,5663.0,34805,1824160,,8227,,964142.0,75656,9473,28613,,32683,4887,,5598372.0,49421.0,171151,0.0,23110,420664,26083,2048873,200440,0
2014-11-12,3,2014,415991,147258,2368978,-3528,12204,173178,26887,10305,101031,44249,25114,127838,13833,274794,6042,,0.0,407382,4094,1247336,68548,1131403,8709,1714711,2014年09月30日,2127329,,,4606146,4163608,100432,241649,888564,3653383,110,,163229.0,0.0,1536255.0,,62651.0,5663.0,121463,1714711,,8416,,913678.0,75656,9473,28613,,32683,4887,,5519824.0,10349.0,121969,0.0,22928,442538,25114,1866441,164453,0
2015-03-24,4,2014,426074,149507,2465388,0,11461,187650,14798,49323,147636,44749,23483,176117,49323,296517,6042,,0.0,528522,7359,1399336,53524,1122537,9575,1714711,2014年12月31日,2223739,,,4761237,4307984,100432,241649,1127341,3998491,86,,0.0,0.0,1655218.0,,83099.0,5663.0,164625,1714711,,8450,,1161661.0,84604,9473,28613,,32683,13835,,5922898.0,,203095,10837.0,29050,453253,34320,1924407,325591,0
2015-05-12,1,2015,429818,149087,2552277,0,8170,152875,14330,37429,92899,41530,22076,122371,37429,248369,6042,,0.0,424093,8640,1346847,75381,1119634,9593,1714711,2015年03月31日,2310628,88390.0,30.0,4844403,4383093,100432,241649,808526,3806464,58,0.0,,0.0,,1733746.0,,,34785,1714711,5683081.0,6844,838678.0,,84718,9473,28613,8981.0,32683,4968,5683081.0,,0.0,100901,8076.0,37886,461310,30152,1876617,245330,0
2015-08-13,2,2015,421780,143183,2398345,0,3908,338346,17194,20084,117836,41530,21620,124628,20084,238494,6042,,0,401114,4249,1349507,71682,1116702,10029,1714711,2015年06月30日,2122763,75093,0,4672423,4211816,100432,275582,989509,3840776,30,0,,0,,1846887,,,46335,1714711,5691628,6536,1019205,,84718,9473,28613,8981,32683,4968,5691628,,0,103347,8076,30592,460607,29696,1850852,172135,0
