date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,員工福利負債準備－非流動,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,104789,831358,405745,1092714,383169,15060,325464,35689,-221601,230198,125409,60125,45259,297.0,160351,160351,3617.0,1590764,173508,,,,1067404,16010,219929,3665,1409271,10459.0,44962.0,,176912,3051071,2013年03月31日,53173,,4458476,4379875,12412000,703421,2100273,5206516,,41073.0,336120,,1638686.0,56650.0,180000,3051071,,,3617,,2442055.0,631199,,6900531.0,953,13603,3694,63516,289212,78601,341782,1694015,0.0,64750,0
2013-07-26,2,2013,7671,820939,425041,1119047,244570,14250,429122,46745,-218221,124075,116404,73863,48610,7.0,160064,160064,0.0,1526034,122424,,,,1158607,28529,249926,16383,1741471,11708.0,48603.0,,171942,2946001,2013年06月30日,28218,,4411894,4327250,6800000,710525,2394696,5233184,,41073.0,380304,,1517664.0,86141.0,300360,2946001,,,0,,2587867.0,602847,,6999761.0,1553,12378,57886,133268,86675,84644,193171,1766577,0.0,58751,0
2013-10-28,3,2013,7693,852401,416113,1129678,233126,15450,360632,38961,-221350,159230,151537,71756,45023,8.0,140727,140727,3617.0,1419877,122424,,,,1140416,34322,199906,13194,1559880,6069.0,45015.0,,174205,2946001,2013年09月30日,38849,,4423315,4334908,6800000,710525,2520755,5388064,,0.0,380304,,1986450.0,92574.0,518350,2946001,,,3617,,2712466.0,603003,,7135781.0,2131,10993,58325,148821,84746,88407,191711,1747717,0.0,60952,0
2014-03-25,4,2013,7714,924853,404363,1053066,271368,13830,419095,50896,-159502,134902,127188,70807,54040,,129131,129131,3201.0,1304850,21605,10581.0,,,1190041,37589,100000,9347,1440215,3215.0,54040.0,,179047,2908001,2013年12月31日,-37763,,4438976,4342583,1200000,710525,2548898,5387373,,0.0,380304,,2168381.0,101746.0,539750,2908001,14154.0,,3201,,2693431.0,562623,,7132407.0,2274,12502,4483,93810,82809,96393,144533,1745034,0.0,54558,0
2014-05-07,1,2014,15865,914304,404363,1083431,260867,34200,295156,40416,-90335,163331,147466,80697,54314,280.0,127095,122526,3201.0,1181989,22488,834.0,,,887331,25933,0,5069,1292896,6.0,54034.0,,176120,2908001,2014年03月31日,-7398,,4537712,4441232,1260000,710525,1688764,4611901,,0.0,380304,1686888.0,,148262.0,152550,2908001,10644.0,,3201,,1863254.0,562623,,6400966.0,488,15602,4563,132983,112412,96480,174490,1789065,4569.0,51706,0
2014-08-11,2,2014,33660,1365903,381067,889121,282745,21840,372572,53027,-109238,188540,154880,105919,54847,793.0,120838,120838,3201.0,1271255,75995,728.0,124502.0,0.0,1093386,30273,99972,2581,1137622,0.0,54054.0,505485.0,175525,2908001,2014年06月30日,19094,,4389451,4296840,5483000,710525,2422939,4815407,,0.0,159502,1913472.0,,127039.0,499575,3032503,7836.0,,3201,,3139414.0,560449,,7528865.0,1165,13292,17718,142800,640709,92611,716475,2713458,,37347,0
2014-11-05,3,2014,26017,1199387,372108,958008,243114,12810,424363,103994,-91332,234236,208219,108364,54433,513.0,113372,113372,3201.0,1247044,114150,14244.0,,0.0,1203904,36112,279932,1175,1276226,0.0,53920.0,504628.0,191548,3032503,2014年09月30日,87981,,4452238,4355868,8170000,710525,2675865,5214798,,,159502,2145335.0,,136245.0,352180,3032503,7191.0,,3201,,3307390.0,570839,,7759628.0,527,14846,18595,150977,555296,96370,631525,2544830,,61631,0
2015-03-17,4,2014,25936,1166449,342340,995613,255316,15660,375758,71676,-48430,304678,278742,77591,58235,4086.0,169415,169415,3201.0,1358321,170082,230.0,,0.0,1089131,42570,179936,85,1152296,2112.0,54149.0,522685.0,195790,3032503,2014年12月31日,125586,,4474642,4380502,13170000,710525,2298035,4835587,,,159502,1816488.0,,136921.0,163590,3032503,3262.0,,3201,,2914730.0,570898,,7389372.0,2104,20936,6305,141446,548954,94140,616695,2553785,,80621,0
2015-04-24,1,2015,26022,1137625,342340,1001277,278841,14280,286706,44974,-26507,378870,352848,71504,76213,2892.0,154800,154800,3201.0,1328419,170082,216.0,,0.0,816303,18094,0,85,867907,0.0,,584861.0,188407,3032503,2015年03月31日,131250,145131.0,4501803,4408089,13170000,710525,1890255,4446522,73321.0,,159502,,1776396.0,,242005,3032503,3061.0,7020258.0,3201,2518455.0,,570898,7020258.0,,0,19324,6417,151423,542369,93714,628200,2573736,0.0,58941,0
2015-08-06,2,2015,26133,1123567,342340,810741,222755,12870,431374,50315,-93548,385909,359776,66447,75699,3427.0,149056,149056,3201.0,1104346,179392,0.0,116032.0,,677563,24302,0,169,884724,0.0,,583629.0,186198,3032503,2015年06月30日,39252,91149.0,4349670,4257234,14057000,723060,1910964,4342038,72272.0,,48429,,1951812.0,,300350,3148535,0.0,6881358.0,3201,2531688.0,,570898,6881358.0,,148,14761,6023,141660,535801,92436,620724,2539320,,46878,0
2015-11-10,3,2015,26316,1109359,342340,841975,172471,11940,566778,21167,-82303,420049,393733,79891,74859,3327.0,357210,357210,3201.0,965128,272590,0.0,116032.0,,666042,25666,0,65,890681,0.0,,582397.0,195971,3032503,2015年09月30日,70486,95054.0,4298284,4206515,23554000,723060,1993654,3923743,71532.0,,48429,,1742836.0,,220000,3148535,0.0,6656985.0,3201,2358701.0,,570898,6656985.0,,0,6775,7856,134025,279131,91769,365047,2733242,,44794,0
2016-03-15,4,2015,26293,1097537,338751,846962,189620,9000,276090,23549,-70069,253312,227019,80275,82267,,137273,137273,,767219,211424,0.0,,,613118,24163,99856,25,661677,0.0,,788893.0,199681,3061535,2015年12月31日,75473,70928.0,4289409,4200479,17383000,723060,1448564,3441301,,,48429,,1662237.0,,110000,3061535,0.0,6117818.0,1860,1828409.0,,573475,6117818.0,,1072,8305,23098,105382,272620,88930,379845,2676517,,48419,0
2016-04-28,1,2016,37605,1081039,342073,819685,182361,6480,203004,9828,-60614,263231,225626,90472,79981,,55517,55517,,751960,257232,0.0,,0.0,382859,13695,149969,31,413502,,,996112.0,191651,3011535,2016年03月31日,48196,38293.0,4176873,4091786,21948000,723060,1151082,3015110,,,48429,,1521854.0,,100000,3011535,0.0,5804769.0,1860,1627896.0,,578412,5804769.0,,0,7223,22075,116787,372898,85087,476814,2789659,,37910,0
2016-08-11,2,2016,37735,1073573,346323,758197,170545,11670,261983,12131,-75077,252415,214680,99782,79947,,65280,65280,,541968,238605,,0.0,0.0,347995,14649,199936,5,475275,,,994290.0,183232,2915985,2016年06月30日,-42479,37225.0,4020389,3939777,20398000,730607,1219208,2910216,,,70069,,1561572.0,,105000,2915985,,5704820.0,1914,1684431.0,,579277,5704820.0,,0,6721,19941,120236,363421,80612,465223,2794604,,42222,0
2016-11-08,3,2016,37898,791563,395004,710257,149911,11400,213648,15449,-81402,264531,226633,114979,80604,,49531,49531,,489016,231727,,0.0,,361378,29989,299918,181,421113,,,1238053.0,131663,2870985,2016年09月30日,-90419,27628.0,3923243,3851432,19590000,730607,1362273,3008919,,,70069,,1771899.0,,165000,2870985,,5748506.0,1941,1825263.0,,583319,5748506.0,,0,6886,26696,122373,353749,71811,462990,2739587,,39666,0
