date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,2125846,255610,2927452,417392,0.0,770993,347168,386670,216213,1859885,94972,32326,1764913,39054,595711,173485,31939,85920,171456,102492,728423,1689473,,717011,35643,149996,1029257,223410,187549,424255.0,609403,2269840,3374322,2013年03月31日,1373464,,,7125352,6515684,35751997,701768,3060527,5537048,,118246,852220,,644335.0,73129.0,0.0,1097542,3374322,,,4157160.0,1516713,,11282512.0,99629,922.0,193034,,500000,609668,1096633,5745464,0
2013-08-07,2,2013,2076676,255610,2259523,382823,0.0,1936412,346928,335865,319758,2042687,182783,30247,1859904,38701,601404,164154,24879,85938,175574,100574,924875,1689473,,854350,77189,0,1175635,170442,200416,425830.0,608536,2264586,3374322,2013年06月30日,598534,,,6405066,5796950,35751997,808769,4337453,6365408,,116185,852220,,1041830.0,55877.0,0.0,1093867,3374322,,,5641318.0,1516713,,12046384.0,79772,2461.0,195229,,700000,608116,1303865,5680976,0
2013-11-12,3,2013,2004643,255610,2574427,417392,0.0,921696,353096,403929,348838,2262273,184195,27957,2078078,46414,620811,158785,11114,85956,193726,101257,1003464,1689473,,876789,126413,299924,1114588,158926,132736,427085.0,607670,2313339,3374322,2013年09月30日,913438,,,6890817,6258523,35751997,808769,3959170,6530892,,113913,852220,,1088417.0,38454.0,0.0,1347056,3374322,,,5282180.0,1595318,,12172997.0,0,2199.0,188145,,700000,632294,1323010,5642105,0
2014-03-18,4,2013,2007401,255610,2835492,398827,0.0,1104348,360151,517023,453776,2291667,114078,34695,2177589,30385,636497,146441,17206,85974,209009,98850,1023600,1353627,,985690,185997,199973,939675,143681,153486,427488.0,645846,2424284,3374322,2013年12月31日,1174503,,,7636740,6971861,28751997,808769,4275916,7272151,,120669,852220,,1890973.0,75652.0,0.0,1270480,3374322,,,5412413.0,1598651,,13049153.0,70091,0.0,176751,,500000,664879,1136497,5777002,0
2014-05-06,1,2014,1930703,255610,3103835,411631,,873385,414251,336606,455944,3261809,130703,32439,3131106,29683,645507,158576,21632,85992,216263,107261,897011,1353627,0.0,805333,63767,0,1095770,133338,128080,429244.0,643974,2363720,3374322,2014年03月31日,1442846,,,7744869,7060457,28751997,808769,3634062,6996530,,118431,852220,604637.0,,84165.0,,1351468,3374322,,,4889569.0,1599321,,12634438.0,50003,0.0,166894,,610000,684412,1255507,5637908,0
2014-08-05,2,2014,1854511,254684,2345049,408430,,2175797,430106,194313,283599,3011782,165818,31009,2845964,30478,656807,173470,43311,86011,225829,99681,984813,1353627,0.0,946311,79490,99949,1187859,148320,160111,430978.0,642101,2497764,3374322,2014年06月30日,566610,,,6775068,6102015,28751997,926219,4815457,7231039,,117020,852220,784558.0,,87948.0,,1142363,3374322,,,6172264.0,1541958,,12947332.0,115060,0.0,176743,,700000,673053,1356807,5716293,0
2014-11-12,3,2014,1836744,4684,2674134,423500,,1064513,434255,645403,290338,3594635,164873,28587,3429762,18057,677213,178546,47772,86029,244621,112717,1173260,1353627,0.0,988054,80942,349923,1104002,225835,146559,432592.0,640229,2365327,3374322,2014年09月30日,895695,,,7695373,6968656,28751997,926219,4347893,8093370,,114616,852220,901212.0,,90084.0,,1484039,3374322,,,5725106.0,1628424,,13420479.0,90112,0.0,186963,,700000,726717,1377213,5327109,0
2015-03-17,4,2014,1875172,4684,2829329,308000,,1190556,448362,791216,584365,4503613,148187,26687,4355426,8702,726502,154731,37787,115586,264075,108242,1346150,1353627,0,993852,107021,499875,989878,154597,155724,462427,675982,2505025,3374322,2014年12月31日,1050890,,,8097222,7269986,28751997,926219,5126137,9128233,,142273,852220,1041662,,133118,,1617350,3374322,,,6612639,1628746,,14709861,180247,,223761,,760000,827236,1486502,5581628,0
2015-05-05,1,2015,1900417,4684,3124896,352275,,988729,407080,782161,324885,3493902,205027,24967,3288875,2480,743850,188254,30307,115606,275738,155467,1390594,1353627,,1025659,83926,279846,1477903,169595,135059,,673928,2694074,3374322,2015年03月31日,1346457,90898.0,,8407551,7559975,28751997,926219,4222845,8195235,468112.0,140573,852220,,753827.0,,,1428902,3374322,13994285.0,5586734.0,,1632223,13994285.0,,15000,39.0,197120,,620000,847576,1363889,5799050,0
2015-07-28,2,2015,1818453,4684,2478735,385000,,2055118,371925,666134,335934,2803512,187235,21640,2616277,53,752797,186411,28484,115624,285078,157874,1370473,1353627,,1034073,127367,489691,1546355,176163,147371,,671875,2635131,3374322,2015年06月30日,595207,33533.0,,7572341,6730303,28751997,1031308,5148186,8538284,467719.0,137264,852220,,1737485.0,,,1072470,3374322,14173377.0,6601036.0,,1564739,14173377.0,,0,53.0,181275,,700000,842038,1452850,5635093,0
