date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,229668,57263,-263023,,,,,115831,2255,5223,9,-15924,7271,,22742,5285,118780,,-15924,308871,0,1092400,,329327,,,523738,23676,0,,,1922960,2013年03月31日,-263023,,1644013,1644013,0,,1395154,2628801,9940,,360571,0,0,1922960,940470,,,1400439,0,,3044452,0,252819,,0,,0,5285,415651,38752,0
2013-08-13,2,2013,,289430,42098,-185994,,,,,163057,3852,18074,11,3905,3024,,21358,5226,35213,,3905.0,291120,,734696.0,,349123,,,569040,32445,1231.0,,,1922960,2013年06月30日,-185994,,1740871,1740871,0,,1606155,2976066,9445,,877448.0,8383.0,0.0,1922960,1078716.0,,,1611381.0,,,3352252.0,0.0,387967,,0,,,5226,376186,42676,0
2013-11-08,3,2013,,306913,42098,412124,,,,,165446,6398,18341,8,-13079,1439,,307728,5174,21647,,-13079.0,223788,,726429.0,,242777,,,466890,26844,135.0,,,1357363,2013年09月30日,412124,,1756408,1756408,0,,1611752,2993041,9635,,563037.0,8289.0,0.0,1357363,1187403.0,,,1616926.0,,,3373334.0,0.0,644438,,0,,,5174,380293,15403,0
2014-03-25,4,2013,,218183,44183,867045,,,,,182224,7176,8006,21,18174,1350,,59474,4833,7304,,18174.0,260412,,0.0,,309152,,,492780,14928,0.0,,,1357363,2013年12月31日,867045,,2242582,2242582,0,,536352,2501558,12539,,287400.0,36450.0,0.0,1357363,0.0,,,542051.0,,,2784633.0,0.0,1363474,866.0,866,,,5699,283075,15063,0
2014-04-24,1,2014,,214363,44183,901550,28918.0,,176885.0,,166585,5169,3951,17,44374,2278,,60935,4738,10708,,15456.0,312361,,0.0,,315784,,,505048,21119,,,,1357363,2014年03月31日,901550,,2303287,2303287,0,,618226,2645146,11851,198304.0,,52316.0,76094.0,1357363,0.0,,,623979.0,,,2927266.0,,1346424,1015.0,1015,,,5753,282120,20102,0
2014-08-07,2,2014,,208622,39310,917399,,,157690.0,0.0,174849,4798,1732,27,-11274,3656,,12090,4690,9025,,,274448,0.0,0.0,0.0,252889,,13.0,487349,24699,3845.0,,,1357363,2014年06月30日,858080,,2263488,2263488,0,59319.0,514983,2515187,11017,338582.0,,78778.0,,1357363,0.0,,,519673.0,0.0,,2783161.0,,1209750,0.0,0,,0.0,4690,267974,4975,0
2014-10-31,3,2014,,214819,39310,960613,,,145369.0,,548123,3461,891,8,10358,716,,13769,4645,11166,,,222449,5092.0,0.0,0.0,233837,,,499264,26955,3458.0,,,950154,2014年09月30日,901294,,1916033,1916033,400000,59319.0,864045,2508783,10645,247728.0,,77908.0,,950154,0.0,,,868690.0,0.0,,2784723.0,,1344931,0.0,0,,,4645,275940,3961,0
2015-02-17,4,2014,,216743,39310,976128,,,151809.0,,169642,4086,4670,3,74305,1309,,9391,4701,12703,,,214563,3892.0,,0.0,259729,,,499524,29326,3906.0,,,950154,2014年12月31日,916809,,1996695,1996695,280000,59319.0,604846,2327239,10320,929525.0,,75240.0,94840.0,950154,,,,609891.0,,,2606586.0,,472527,344.0,271,,,5045,279347,11995,0
2015-04-17,1,2015,,208311,39310,990455,-15422.0,-15422.0,143786.0,,163709,4769,825,14,48907,1244,,11887,4653,11989,64329.0,64329.0,251124,0.0,,0.0,263234,,,432355,20912,6990.0,,,947354,2015年03月31日,931136,69525.0,1986716,1986716,0,59319.0,549431,2271688,9575,,993661.0,,46950.0,947354,,2540919.0,554203.0,,,2540919.0,,,390179,119.0,46,,,4772,269231,19955,0
2015-08-12,2,2015,,206592,39310,898089,7152.0,,146153.0,,290292,7891,824,14,45760,12017,,12318,4616,15986,,38608.0,209194,6927.0,,,211455,,0.0,447358,29406,13684.0,,,947354,2015年06月30日,826494,8500.0,1884276,1884276,487000,71595.0,626445,2244687,8835,,984419.0,,96290.0,947354,,2515453.0,631177.0,,,2515453.0,,,392720,116.0,43,,,4732,270766,8597,0
2015-11-04,3,2015,,209572,34924,902402,17442.0,,432557.0,,166792,11856,198494,0,161086,15697,,18559,4581,19540,,143644.0,245651,47477.0,,,271508,,,459502,27438,31897.0,,,647354,2015年09月30日,830807,10861.0,1663365,1663365,3217110,71595.0,826021,2221356,8648,,387349.0,,349307.0,647354,,2494087.0,830722.0,,,2494087.0,,,414219,120.0,47,,,4701,272731,5690,0
2016-03-11,4,2015,,193336,34924,892836,90607.0,,678670.0,,188959,4906,6224,0,194544,13849,,14862,4779,23032,,103937.0,258585,16434.0,,,318987,,,515529,16318,35640.0,,,615183,2015年12月31日,821241,15085.0,1686129,1686129,1154000,71595.0,991027,2421783,7829,,885519.0,,449241.0,615183,,2682049.0,995920.0,,,2682049.0,,,4207,114.0,1145,,,4893,260266,6229,0
2016-04-19,1,2016,,187913,34924,852513,1583.0,,60155.0,,157490,3000,2746,0,94778,19140,,190505,4739,21377,,93195.0,308976,16434.0,,,258781,,,423007,24182,51007.0,,791860.0,615183,2016年03月31日,780918,16515.0,1546040,1546040,1154000,71595.0,852718,1359097,7295,,289542.0,,397792.0,615183,,2403574.0,857534.0,,,2403574.0,,,0,77.0,1108,,,4816,1044477,8977,0
2016-08-08,2,2016,20000.0,1039033,34924,792065,-210.0,,33943.0,,428071,6036,21431,0,55415,47192,27192.0,182145,84892,76613,,55625.0,542733,16434.0,,,408289,,131.0,816794,21292,55566.0,142141.0,,615183,2016年06月30日,716341,22533.0,2467038,1446229,1154000,75724.0,1566326,2827250,6623,,1128099.0,,654074.0,615183,,4144397.0,1677359.0,,,4144397.0,,,4145,7641.0,17813,18500.0,1020809.0,111033,1317147,21102,0
2016-11-10,3,2016,20000.0,991975,30188,786733,-1534.0,,19003.0,,438174,4610,5173,1,-1388,64488,44488.0,366562,51992,76292,,146.0,407717,0.0,6541.0,,447797,221.0,16.0,934421,20111,34502.0,141741.0,,915183,2016年09月30日,711009,9882.0,2805692,1841824,0,75724.0,1303271,2958066,3759,,1147100.0,,307701.0,915183,30382.0,4212162.0,1406470.0,,141296.0,4212162.0,,,2939,37707.0,10141,13500.0,963868.0,103199,1254096,13996,0
