date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,376232,129169,6946,17.0,142595,79279,6076,-15653,5961,4476,39422,9341,-22599,427323,0.0,,516857,3381,486698,11540,44482.0,174160,1109270,2013年03月31日,-176260,,1409856,1409856,0,176144,906564,1644046,6249,129285,,562971.0,46.0,301040,1109270,,,960688.0,187070,65186,121884,,2370544.0,90101.0,14702,17921,54124,726498,10362,0
2013-08-06,2,2013,358971,136458,27205,21.0,163005,85282,12641,14668,4441,3818,34280,10585,-12537,553172,,,599809,446,485432,9488,17157.0,173627,1109270,2013年06月30日,-168971,,1447466,1447466,0,176144,780581,1549628,7146,129285,,384719.0,0.0,90603,1109270,,,838626.0,187070,65186,121884,,2286092.0,76224.0,23765,23130,58045,736464,6956,0
2013-11-12,3,2013,354791,168933,33179,0.0,160138,116671,5724,15245,4703,5893,19110,12241,-17934,625836,,,834279,1600,704352,4643,0.0,163658,1109270,2013年09月30日,-136496,,1480518,1480518,0,176144,957253,1763893,7502,129285,,340157.0,0.0,0,1109270,,,999618.0,187070,65186,121884,,2480136.0,55344.0,23255,17913,42365,716243,21944,0
2014-03-26,4,2013,355827,188050,54665,0.0,181624,140553,18590,45156,2974,4734,18014,12526,-9509,665045,,,865050,3247,575411,2611,0.0,163155,1109270,2013年12月31日,-117379,,1529546,1529546,0,176144,1014028,1847704,8696,129285,,551787.0,2204.0,0,1109270,,,1057010.0,187070,65186,121884,,2586556.0,23280.0,24968,17024,42982,738852,6246,0
2014-05-13,1,2014,330677,205737,55894,0.0,182853,128344,34412,44166,3078,11761,10590,12429,-11728,750523,,,1011533,3247,772331,2314,0.0,175522,1109270,2014年03月31日,-99692,,1546243,1546243,0,176144,1151056,2004526,8971,129285,382949.0,,4854.0,0,1109270,,,1186032.0,187070,65186,121884,,2732275.0,44373.0,24386,17297,34976,727749,5863,0
2014-08-05,2,2014,368829,239873,65873,0.0,192832,146186,69964,43698,3071,8566,2518,12222,-22175,1174001,,0.0,1403543,1600,822607,11808,0.0,174948,1109270,2014年06月30日,-65556,,1579911,1579911,0,176144,1559575,2388111,10647,129285,272362.0,,5175.0,0,1109270,,,1584199.0,187070,65186,121884,,3164110.0,14413.0,22106,16521,24624,775999,14390,0
2014-11-06,3,2014,377810,322224,44915,0.0,171875,156143,56153,37120,3050,7067,2507,10720,-7795,911545,,0.0,1106360,0,1117030,3819,0.0,174374,1109270,2014年09月30日,16795,,1655684,1655684,0,176144,1453349,2374038,10440,129285,251527.0,,6406.0,181390,1109270,,,1482533.0,187070,65186,121884,,3138217.0,6428.0,26677,18960,29184,764179,20469,0
2015-03-27,4,2014,409481,327892,40492,,167451,222249,73532,50258,2436,1441,6487,10469,9766,1112904,,0.0,1293500,1593,928235,6515,,173799,1109270,2014年12月31日,22463,,1674490,1674490,0,176144,1618240,2537477,10031,129285,394135.0,,4988.0,93474,1109270,,,1656776.0,187070,65186,121884,,3331266.0,0.0,32049,22558,38536,793789,20715,0
2015-05-06,1,2015,425788,361550,37967,,164926,168042,67178,42047,2465,571,6476,10329,4080,942407,,0.0,1270033,1593,958364,32412,,173226,1109270,2015年03月31日,56121,8290.0,1699937,1699937,0,176144,1450423,2379638,9364,129285,,362040.0,,0,1109270,3183746.0,1483809.0,,187070,65186,121884,3183746.0,,0.0,26910,20475,33386,804108,16666,0
2015-08-05,2,2015,406996,344613,7247,,134206,174770,72124,1684,2307,711,6476,10156,-5563,720695,,0.0,728382,0,706889,14411,,172652,1109270,2015年06月30日,36938,2349.0,1642637,1642637,0,178390,984958,1907442,9016,129285,,379584.0,,77150,1109270,2660729.0,1018092.0,,187070,65186,121884,2660729.0,,0.0,26658,20261,33134,753287,13028,0
2015-11-11,3,2015,416496,361636,12359,,139318,160583,12312,32419,2334,140,6476,10423,20060,601773,,0.0,772985,0,756617,1651,,172078,1109270,2015年09月30日,53961,2068.0,1690395,1690395,0,178390,937970,1900444,8596,129285,,511468.0,,0,1109270,2669367.0,978972.0,,187070,65186,121884,2669367.0,,0.0,34526,22012,41002,768923,16483,0
2016-03-22,4,2015,389654,341618,19982,,146941,170096,18136,18342,2358,205,8188,10071,-1640,551871,,0.0,851430,1317,541657,8500,,171504,1109270,2015年12月31日,33943,0.0,1656300,1656300,0,178390,1025201,1971176,8615,129285,,839196.0,,0,1109270,2719770.0,1063470.0,,187070,65186,121884,2719770.0,,,30081,21809,38269,748594,11611,0
2016-05-06,1,2016,377895,351904,23526,,150485,157599,15877,18672,2424,271,8188,9976,-4854,526715,,0.0,911590,360,641643,9614,,170930,1109270,2016年03月31日,44229,750.0,1666916,1666916,0,178390,1072723,2036551,9703,129285,,828443.0,,0,1109270,2777280.0,1110364.0,,187070,65186,121884,2777280.0,,,29453,21740,37641,740729,13988,0
2016-08-05,2,2016,360963,345015,22791,,149750,176465,8297,3825,2765,137,8188,10541,-18966,451405,,0.0,732210,142,558563,11126,,170356,1109270,2016年06月30日,33946,0.0,1645180,1645180,0,181784,911582,1867414,8092,129285,,823856.0,,0,1109270,2587398.0,942218.0,,187070,65186,121884,2587398.0,,,22448,20282,30636,719984,14030,0
2016-11-09,3,2016,340388,367685,19936,,146895,166139,16191,-22747,2524,691,8188,10381,-42683,431073,,0.0,816251,0,710829,12547,,169781,1109270,2016年09月30日,56616,6107.0,1641278,1641278,0,181784,1031021,2000591,8797,129285,,812513.0,,40000,1109270,2699496.0,1058218.0,,187070,65186,121884,2699496.0,,,19009,22663,27197,698905,16747,0
