date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,代收款,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產評價調整－非流動,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,備抵呆帳－其他應收款項,備抵呆帳－應收帳款、分期帳款及租賃款,備抵呆帳－長期應收款項,備抵存貨跌價,催收款項,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,其他預收款,出租資產－其他成本,出租資產－其他淨額,半成品,原料,員工福利負債準備－流動,員工（船員）借支,商品存貨,商譽,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,土地成本,土地改良物淨額,土地淨額,在建工程（營造業適用）合計,在製品,在途現金,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－其他行業淨額,存貨－製造業淨額,存貨－買賣業淨額,專利權,專利權淨額,專門技術,專門技術淨額,庫存現金,庫藏股票,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待註銷股本股數,應付公司債合計,應付利息,應付帳款,應付帳款合計,應付營業稅,應付短期票券合計,應付票據,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應付薪資,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收所得稅退稅款,應收收益,應收票據,應收票據淨額,應收票據－關係人淨額,應收退稅款,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,持有供交易之金融資產評價調整－流動,持有供交易之金融資產－流動,採用權益法之投資,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,暫付款,暫估應付帳款,暫估應付費用,暫收款,會計項目,有形探勘及評估資產淨額,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅資產合計,本期損益,模具設備成本,模具設備淨額,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,污染防治設備淨額,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形探勘及評估資產淨額,無形資產合計,無活絡市場之債務工具投資－非流動淨額,營業器具淨額（觀光飯店業適用）,特別股負債－非流動,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,留抵稅額,當期所得稅資產合計,短期借款合計,租賃改良淨額,租賃資產成本,租賃資產淨額,約當現金,累積盈虧,累計折舊－其他設備,累計折舊－出租資產－其他,累計折舊－房屋及建築,累計折舊－模具設備,累計折舊－機器設備,累計折舊－租賃資產,累計折舊－試驗設備,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－以成本衡量之金融資產－非流動,累計減損－備供出售金融資產－非流動,累計減損－專門技術,股本合計,製成品,試驗設備成本,試驗設備淨額,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,辦公設備成本,辦公設備淨額,農產品,追溯適用及追溯重編之影響數,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,進項稅額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,遞延所得稅資產,銀行借款,銀行存款,銀行長期借款,銷項稅額,長期借款合計,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期應收票據及款項淨額,長期遞延收入,零用金／週轉金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付保險費,預付所得稅,預付投資款,預付款項合計,預付租金,預付設備款,預付貨款,預付退休金－非流動,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-10,1,2013,,,403643,2736,2000.0,2000.0,28849,-287229,4465.0,4465.0,-2958.0,9443.0,6485.0,,2778,,128849.0,,,60034,,,16865,6805,906,,,5824,22465,424.0,16134,14.0,1524,1524,6397,2836,4475.0,15872,4475.0,,4496,14133,,,,6694,,158086,144582,217723,223339,12773,186,,,1359,1359,149439,,149439,,75064,,2999,9334,481226,,,481226,,,,,,139,,,,,,602,217573,218010,1424.0,,,,249.0,473.0,27337,153038,150260,712.0,712.0,,61,23325,23325,,5838,1024.0,111546,78338,-3389.0,7664.0,,,,1071746,62,437,13766,10506,2013年03月31日,,-287229,,,-35817,57487,11165,79972,4952,791529,790814,0,,583909,930522,,,,12449,,,,,209600.0,,7465,9.0,241778,,943.0,771.0,18000,-251412,3561,13504,33208,46322,75020,172.0,108394,39137,2008,0.0,,,1071746,93949,113291,4897,,41622,,,589009.0,473,,473.0,,,,,,,1380538.0,44839,5702,,,,4275.0,33.0,2969,961,604,604,11306,241778,191150,,40.0,,473.0,,,,311,10925,10925,715,5100,450016,1399,9,,38176,,324,22585,0.0,8550,0,8550
2013-08-02,2,2013,,,401030,3052,2000.0,2000.0,26723,-324149,0.0,0.0,0.0,0.0,0.0,,3382,,144684.0,,,133280,,60000.0,23472,38956,30718,,,1669,31636,318.0,26508,,1140,1140,7037,3016,4503.0,25776,4503.0,,3957,56500,45000.0,45000.0,,3925,,158086,144282,209399,185414,13139,431,,,1669,1669,149439,,149439,,40438,,2913,6453,418796,,,418796,,,,,,206,,,,,,570,124384,124880,140.0,,,,251.0,409.0,36971,174135,170753,1178.0,1178.0,180.0,92,25219,25219,,8146,635.0,111546,77784,0.0,0.0,,,,1071746,301,496,12127,8277,2013年06月30日,,-324149,,,-72737,41553,10414,80722,4927,750053,749739,0,,621666,893320,,,,11917,,,,,160110.0,,9538,198.0,292008,,943.0,724.0,0,-251412,4021,13804,33762,31139,75795,219.0,109175,39817,2102,0.0,,,1071746,128229,113263,4088,,39862,,,626020.0,473,,473.0,,,,,,,1376073.0,45306,5489,,,,0.0,40.0,2969,867,397,397,11306,292008,159701,,0.0,,409.0,,,,203,10777,10777,314,4354,482753,1155,18,,51602,,544,36944,0.0,19738,0,19738
2013-11-06,3,2013,,,398260,2923,2000.0,2000.0,26201,-326609,0.0,0.0,0.0,0.0,0.0,1476.0,3859,,,,,165852,,66782.0,39548,31210,23843,,,1418,71883,319.0,48946,,3593,3593,7250,2837,4438.0,47647,4438.0,,3404,88310,79839.0,79839.0,,17240,392.0,158086,143983,216205,166514,13112,381,1459.0,4519.0,1418,1418,149439,,149439,,63914,,2805,3106,430509,,,429172,1337.0,2999.0,2999.0,,,185,,,,,,1000,125450,125924,,,,,253.0,345.0,45576,235024,231165,0.0,0.0,180.0,139,32033,32033,,8704,254.0,111546,77230,0.0,0.0,,,,1071746,918,474,12898,12639,2013年09月30日,,-326609,,,-74170,43341,10219,80722,4119,753089,747028,0,,777734,1013353,,,,21336,,,,,192641.0,,10260,2094.0,374762,,943.0,677.0,10000,-252439,4413,14103,34316,33122,76603,266.0,109787,40257,2196,0.0,,,1071746,120392,113070,3283,,39313,,,781490.0,473,,473.0,,,,,,,1534579.0,45957,5700,,,,0.0,105.0,2969,773,352,352,11320,374762,182342,,48.0,,345.0,,,,114,10225,10225,6061,3756,521226,1065,1914,,44755,,927,16085,0.0,55749,0,55357
2014-03-18,4,2013,,,394983,1379,0.0,0.0,25738,-345700,0.0,0.0,0.0,0.0,0.0,1478.0,7268,,,,,127068,,37281.0,18314,30803,23847,,,1939,55771,422.0,32528,,3212,3212,7250,2438,4475.0,30981,4475.0,,367,104935,86434.0,86434.0,13.0,13076,525.0,158086,143684,212086,177154,12661,898,794.0,4519.0,1939,1939,149439,,149439,,19312,,86,4377,408260,,,407556,704.0,2795.0,2795.0,,,152,,,,,,516,163192,163639,174.0,,,,255.0,281.0,57774,161631,154363,0.0,0.0,223.0,31,41447,41447,,8403,0.0,111546,76676,0.0,0.0,2751.0,2751.0,,1071746,649,447,13009,8663,2013年12月31日,,-345700,,,-99716,43365,8510,80685,3323,734462,728458,0,,695072,896439,,,,21271,,,,,204726.0,,8199,229.0,310195,,943.0,630.0,6459,-245984,4812,14402,34870,34855,77362,313.0,110087,35448,2291,0.0,0.0,,1071746,149460,112912,2825,,38399,,,695811.0,473,,473.0,,,,,,,1430273.0,42228,6780,,,,0.0,,2969,678,372,372,9894,310195,197790,,0.0,,281.0,,,,325,10745,10745,6004,739,533834,538,6,,24083,,1058,2257,8591.0,45052,0,44527
2014-05-05,1,2014,,,389320,2918,0.0,0.0,25071,-377086,0.0,0.0,0.0,0.0,0.0,1478.0,6508,7575.0,,10275.0,,91988,,30470.0,17280,23772,16965,,,2207,55612,0.0,35311,621.0,2925,2925,7250,2038,4575.0,33912,4575.0,,3125,110627,89887.0,89887.0,0.0,10304,621.0,158176,143459,223709,202474,13260,408,0.0,4519.0,2207,2207,149439,,149439,,46301,,3102,4129,453793,,,453793,0.0,2650.0,2650.0,,,257,,,,0.0,,901,162971,163537,203.0,,,,449.0,23.0,28768,172570,166062,0.0,0.0,140.0,58,14172,14172,,8227,0.0,111546,76122,0.0,0.0,2532.0,2532.0,,1071746,370,566,14350,5569,2014年03月31日,,-377086,,,-31386,43365,6260,80932,2788,703208,697340,0,,773015,947093,,,,20312,,,,236534.0,,,140,153.0,423547,,943.0,583.0,36920,-345700,5212,14717,35424,37105,78144,360.0,110238,31142,2385,,,,1071746,136266,112215,1977,,38331,,,776570.0,473,,473.0,,,,,,,1479778.0,37212,6070,,,,0.0,96.0,2969,584,430,430,9894,423547,199007,,16.0,,23.0,,2700.0,,350,10218,10218,5868,3555,532685,1155,13,,17296,,700,5601,8636.0,46676,0,46055
2014-08-11,2,2014,29924.0,29924.0,386990,3319,0.0,0.0,24645,-424498,,,,,,1478.0,1541,7575.0,,10275.0,,98533,,29865.0,17949,22321,16671,,,1668,83027,0.0,46927,871.0,2614,2614,7249,1637,4484.0,45366,4484.0,,2977,150340,122961.0,122961.0,0.0,6349,693.0,158261,143213,242663,166684,13454,232,0.0,4519.0,1668,1668,149439,,149439,,43188,0.0,2971,9823,414696,,,414696,0.0,2500.0,2500.0,11678.0,11678.0,165,,,,0.0,,815,131512,131714,17.0,,,,403.0,6.0,36967,132924,131383,63.0,63.0,140.0,82,3064,3064,,7046,0.0,111546,75568,,,2237.0,2237.0,,1071746,458,202,12920,5982,2014年06月30日,,-424498,,,-78798,46304,6777,81047,2451,666741,652911,0,,786336,902124,,,,32097,,,,260166.0,,,7206,245.0,434963,,943.0,536.0,19900,-345700,5612,15048,35978,39527,78596,407.0,110845,31877,2479,,,,1071746,118718,112114,1269,,38099,,,816941.0,3995,,473.0,3522.0,,,,,,1483682.0,37487,5610,,,,,53.0,2969,490,316,316,9894,434963,239938,27312.0,,27312.0,6.0,,2700.0,,163,10786,10786,13830,30605,581558,1049,105,,23259,,1528,8602,8844.0,43399,0,42706
2014-11-11,3,2014,30481.0,30481.0,386037,3020,0.0,0.0,24471,-443944,,,,,,1478.0,1699,7575.0,,10275.0,,113400,200.0,33040.0,18217,24677,17979,,,2448,94489,0.0,54516,234.0,2226,2226,7250,1249,4568.0,53445,4568.0,,3034,186431,159654.0,159654.0,0.0,8499,839.0,158261,142868,236131,185049,13437,173,0.0,4519.0,2448,2448,149439,,149439,,35862,,3034,9765,438378,,,438378,0.0,2350.0,2350.0,19606.0,19606.0,103,,,,0.0,,940,169027,169301,0.0,,,,345.0,0.0,46437,186764,185065,,,140.0,82,2262,2262,,8094,0.0,111545,75014,,,1929.0,1929.0,,1071746,664,274,14694,10874,2014年09月30日,,-443944,,,-98244,45633,7363,81362,2455,647354,634245,0,,897803,951031,,,,33564,,,,216690.0,,,12077,261.0,482505,,943.0,488.0,13900,-345700,6001,15393,36531,38270,78907,455.0,111414,32097,2573,,,,1071746,124500,112251,837,,37908,,,921532.0,3995,,473.0,3522.0,,,,,,1568886.0,38025,5928,,,,,128.0,2969,396,496,496,9894,482505,202537,20199.0,72.0,20199.0,0.0,,2700.0,,150,4863,4863,13109,23729,617855,943,121,,29182,,700,7535,9044.0,49769,0,48930
2015-02-11,4,2014,31713.0,31713.0,383066,2906,,,24262,-481345,,,,,,1478.0,1863,7575.0,,7575.0,,128423,335.0,34834.0,18772,25931,18454,,,3775,100749,0.0,50925,1505.0,2795,2795,7250,880,4753.0,48795,4753.0,,3576,190387,166352.0,166352.0,0.0,9511,997.0,158265,142570,292804,140887,13142,205,0.0,4519.0,3775,3775,149439,,149439,,24301,,3576,9995,446009,,,446009,0.0,2200.0,2200.0,7545.0,7545.0,143,,,,0.0,,1092,133488,133764,47.0,,,,281.0,0.0,61178,221764,219901,,,187.0,28,4998,4998,,8927,,111545,74459,,,1456.0,1456.0,,1071746,420,276,12500,6126,2014年12月31日,,-481345,,,-135116,45633,5627,81363,2123,608490,597678,0,,956019,975201,,,,21867,,,,197832.0,,,5794,206.0,555344,,943.0,441.0,19900,-346229,6370,15695,37086,40006,79240,502.0,108314,29608,2632,,,,1071746,122881,108891,577,,37404,,,973489.0,3502,,473.0,,,,,3029.0,,1581979.0,36219,6611,,,,,,2971,339,807,807,10002,555344,177596,13087.0,,13087.0,0.0,,0.0,,193,4808,4808,10812,17470,606778,820,19,,29399,60.0,544,13214,8743.0,59723,0,58726
2015-05-07,1,2015,31363.0,31363.0,305878,3035,14000.0,14000.0,27230,-320662,,,,,,1478.0,1478,7575.0,132152.0,7575.0,,101050,0.0,35024.0,19797,21367,19648,,,3341,110562,,51892,1131.0,2280,2280,7250,586,0.0,50236,0.0,,3433,180822,164513.0,164513.0,,7802,1081.0,81070,73427,385432,137556,13585,525,,0.0,3341,3341,149439,,149439,,50014,,3433,9678,545118,,,545118,,2050.0,2050.0,6407.0,6407.0,140,,,,0.0,,720,141259,143067,3780.0,,,,24.0,0.0,29012,196322,194844,,,106.0,56,0,0,,3141,,104319,68228,,,1160.0,1160.0,,1071746,0,1808,12640,2874,2015年03月31日,,-320662,,177.0,163520,45633,4219,81882,2272,770049,759512,0,,833763,1083777,,6087.0,,17415,,,,,228780.0,,22865,,438269,,943.0,394.0,13900,-481345,6664,7643,36091,41414,79610,549.0,103593,30253,2673,,,,1071746,104268,104461,868,1613054.0,40815,,843005.0,,5087,,0.0,,,473.0,473.0,4614.0,1613054.0,,36400,6147,,-2837.0,,,116.0,2971,298,707,707,10002,438269,214551,5102.0,77.0,5102.0,0.0,,0.0,,189,6678,6678,10537,9242,529277,1301,71,,41599,63.0,544,9452,,73266,0,72185
2015-08-11,2,2015,28221.0,28221.0,306854,4061,14000.0,14000.0,27800,-361646,,,,,,1478.0,1466,7575.0,89662.0,7575.0,,106729,220.0,33932.0,20896,24573,18296,,,2742,98392,,66114,2722.0,4759,4759,7339,533,0.0,60355,0.0,,3459,190138,166025.0,166025.0,,6406,1160.0,26795,24139,378099,101442,14138,2738,,0.0,2742,2742,184968,,184968,,28954,,3459,9675,514713,,,514713,,1900.0,1900.0,5278.0,5278.0,165,,,,0.0,,578,168490,168596,123.0,,,,0.0,0.0,38739,165066,163600,0.0,0.0,62.0,81,1,1,,7674,,123064,81318,,,1808.0,1808.0,,1071746,299,106,12461,4507,2015年06月30日,,-361646,,153.0,122536,46052,3610,81883,1962,726959,718140,0,,825782,1013312,,6412.0,,20656,,,,,206672.0,,20103,,409907,,182.0,70.0,0,-481345,6806,2656,41746,42442,79921,112.0,102573,30384,3199,,,,1071746,95880,104692,2119,1556770.0,41938,,829811.0,,5298,,,,211.0,473.0,473.0,4614.0,1556770.0,,38003,7619,,-2837.0,,,55.0,3715,516,570,570,10002,409907,206300,0.0,,0.0,0.0,,0.0,,207,8719,8719,8819,4029,543458,1468,91,,37486,63.0,8026,9391,,61603,0,60443
