date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,員工福利負債準備－流動,存入保證金,存貨合計,存貨（建設業適用）淨額,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付建造合約款,應付短期票券合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,21636.0,88200,,109836,7668875,5681,33201,2774880,6000,769346,20708,66,2943084,71607,1720331,42370,1677961,72702,190524,158831,187036,49807,49807,11974,18445,23743697,23724339,19358,46537,,4000000,1878109,127507,730000,308372,,1118305,513714,18535,13248.0,165123,6555,5015102,2013年03月31日,,,10647969,9047324,8421450,19846385,29587405,,,63571,,2009312.0,70858.0,,12973934,5028797,,45175,,27058072.0,1290118,,37706041.0,146018,,15795,3021163,,44838,1600645,7211687,8118636,296785,19689,,2761641,13695.0,1369500
2013-08-12,2,2013,0.0,88200,16336.0,104536,7750754,5681,34705,2168489,6000,1172096,64200,693,3450672,57019,1559435,62323,1497112,96381,189198,157363,210577,49824,49824,10927,18507,24853988,24833858,20130,46537,,5000000,2024971,41387,600000,229553,,718000,585298,51980,13328.0,164840,6801,5037910,2013年06月30日,,,9994970,8460042,8421450,20245505,30292959,,,66420,,1970741.0,105043.0,,12576151,5037910,,45632,,28526053.0,1299487,,38521023.0,162163,,16991,3091350,,44443,1534928,8280548,8228064,327154,19929,,3289117,,0
2013-11-12,3,2013,0.0,95700,16336.0,112036,7704257,5681,39326,2154909,6000,563297,81756,518,3976009,73229,1537382,114828,1422554,96829,187498,150660,210323,49821,49821,11037,23475,25918344,25888709,29635,46537,,6000000,1836256,23591,350000,306272,,610107,422666,22693,13363.0,164553,7960,5037910,2013年09月30日,,,9976093,8454624,8421450,19966116,30998782,,,64175,,1889911.0,119977.0,,12740351,5037910,,50363,,29206952.0,1307824,,39183045.0,163918,,21314,3053338,,44049,1521469,9240836,8184263,352005,19624,,3790744,,0
2014-03-26,4,2013,0.0,95700,16336.0,112036,7600030,5681,45723,3082119,6000,580024,27489,780,3157418,50579,1755682,76248,1679434,76964,187386,152124,192362,49817,49817,13704,19147,24895694,24875051,20643,55474,,6000000,2156105,32906,405000,374753,,1073502,418156,343287,16115.0,164268,5049,5037910,2013年12月31日,,,10948808,9373158,9125450,19084662,31215807,,,62795,,2217199.0,136312.0,,12182717,5037910,,59427,,28325573.0,1307823,,39274381.0,161771,,22389,3053525,,43654,1575650,9240911,8058574,323027,21927,,2994803,,0
2014-05-13,1,2014,0.0,95700,16336.0,112036,7558509,5681,49219,4260039,6000,505241,55,-2673,2319987,41998,1873238,65972,1807266,156342,181760,145422,282748,49946,49946,13119,20160,24137109,24114431,22678,59646,0.0,6000000,2244772,44814,360000,372497,,2860964,586368,183264,16178.0,163982,6162,5037910,2014年03月31日,,,12186358,10543453,9525450,19070852,32375695,,,61815,2261922.0,,192871.0,,12968332,5037910,,62338,,28298825.0,1307823,,40485183.0,130216,,24591,3046213,,43260,1642905,9227973,8109488,342559,33200,,2165953,,0
2014-08-12,2,2014,,110700,16336.0,127036,7657959,1404,51319,4003627,6000,1104491,38816,-5611,2626069,33259,1904922,56470,1848452,160017,183800,146886,286372,49940,49940,12281,20673,25516937,25497001,19936,70226,0.0,6000000,2151703,49663,179764,1073834,,1130399,503456,248987,16241.0,163697,6068,5037910,2014年06月30日,,,11850955,10273523,10525450,19253491,32208414,,,61212,2398978.0,,167725.0,,11836642,5037910,,63600,,28568691.0,1307823,,40419646.0,103457,,28520,3131400,,42865,1577432,9315200,8211232,362462,33550,,2465774,,0
2014-11-12,3,2014,250000.0,137600,16336.0,403936,7775851,1404,49660,3945629,6000,638236,31886,-1461,3450770,64140,1888400,58469,1829931,157528,178068,140184,284629,49937,49937,11742,21581,27987107,27960528,26579,71196,0.0,6750000,2010710,45944,778890,318836,,844067,464741,271104,16303.0,163435,7252,5037910,2014年09月30日,,,11813103,10229231,10625450,21022817,34442050,,,66130,2470846.0,,134567.0,,13583462,5037910,,61402,,30967373.0,1318349,,42780476.0,100108,,33725,3016488,,42471,1583872,9944556,8338426,383791,34693,,2982694,,0
2015-03-26,4,2014,1000000.0,137600,16336.0,1153936,7803913,1404,50120,5450600,6000,660231,246793,2789,3055607,41609,1651443,39743,1611700,115736,179086,141650,218268,49936,49936,17071,22010,26031882,26010023,21859,71196,0.0,6000000,2445252,0,179829,363368,,1159002,544298,248862,15426.0,627255,5841,5037910,2014年12月31日,,,13375745,11738452,10625450,19566671,33378640,,,64037,3035933.0,,93081.0,13676.0,12702112,5037910,,67191,,28763158.0,1318349,,42138903.0,96798,726.0,33545,3016675,,42077,1637293,9196487,8760263,349953,7548,2971.0,1860062,,0
2015-05-12,1,2015,1000000.0,140100,16336.0,1156436,7727318,1404,50113,5566895,6000,562485,362,1150,2947336,40932,1778057,72663,1705394,114773,175305,134946,225284,50061,50061,15717,24476,26449196,26427526,21670,71196,,6000000,2306117,179269,289651,261527,,991013,686667,245488,,625994,8685,5037910,2015年03月31日,112953.0,579.0,13507346,11853108,10625450,19733780,33730252,15883.0,2644.0,63490,,3141448.0,,,13008612,5037910,42423740.0,65830,28916394.0,,1318349,42423740.0,,111752,446.0,35313,3006863,,41682,1654238,9182614,8693488,325690,16124,,1749968,,0
2015-08-11,2,2015,2000000.0,140100,16336.0,2156436,7677111,1404,49055,4409375,6000,1701415,34456,-773,4219512,68162,1155285,44061,1111224,112844,178531,136412,219260,50047,50047,12998,26236,27257832,27237860,19972,71196,,5000000,2403054,301356,299689,250836,,944225,768090,160624,,625323,7925,5037910,2015年06月30日,168130.0,670.0,12264419,10693665,10625450,22289544,34091215,15883.0,2646.0,68272,,3304503.0,,,12883499,5037910,42724990.0,62053,30460571.0,,1318349,42724990.0,,101838,446.0,28480,2992050,,41288,1570754,8171027,8633775,363692,12435,,1994914,,0
2015-11-11,3,2015,2000000.0,142600,16336.0,2158936,7669439,1404,48853,4365861,6000,624028,35666,4098,4389744,63307,1319419,26088,1293331,136023,170907,129708,242073,50040,50040,13065,25316,27657437,27636193,21244,71196,,4750000,2394221,312678,299887,310370,,1231167,720740,53410,,624059,6345,5037910,2015年09月30日,158871.0,2166.0,12300048,10676273,10625450,23046628,34472288,15883.0,2645.0,92709,,2991155.0,,,14494911,5037910,43142667.0,61918,30842619.0,,1339600,43142667.0,,86616,446.0,28350,2874638,,40894,1623775,7795991,8670379,374512,12471,,2167501,,0
2016-03-24,4,2015,2000000.0,142600,16336.0,2158936,7701208,1181,49112,5014498,6000,716650,47999,-1661,3557697,79772,1256098,28858,1227240,113767,173327,131174,216629,50039,50039,19260,25783,25835439,25814033,21406,71196,,4000000,2819831,300655,149989,290644,,1482824,526077,42421,,622795,5951,5037910,2015年12月31日,219739.0,250.0,12979193,11319151,10625450,21616488,32974610,15279.0,545.0,89375,,3382544.0,,,13492911,5037910,41643833.0,68372,28664640.0,,1339600,41643833.0,,78341,0.0,26084,2874825,1091.0,40499,1660042,7048152,8669223,322617,11779,,1318989,,0
2016-05-10,1,2016,2000000.0,145100,16336.0,2161436,7642210,1181,59753,5122488,6000,636402,60683,-6457,3693280,97376,1291181,39258,1251923,116829,165069,123005,226710,50039,50039,15967,25077,26197147,26173723,23424,71196,,4000000,2575448,407982,299726,327625,1482.0,1593088,529567,12788,,621532,6363,5037910,2016年03月31日,277430.0,253.0,13098936,11422345,10625450,21496124,33003239,15505.0,492.0,87883,,2862566.0,,,13202511,5037910,41622652.0,75720,28523716.0,,1339600,41622652.0,,73516,0.0,27534,2862523,1482.0,40105,1676591,7027592,8619413,382450,19245,,1434468,,0
2016-08-09,2,2016,2000000.0,150100,16336.0,2166436,7430973,1181,58397,4903881,6000,1244071,34981,-13179,3207185,67725,1207806,57554,1150252,115213,163996,123006,218390,50042,50042,16274,24183,25563178,25540493,22685,71196,,4500000,2989284,149092,99976,347244,1326.0,1458063,606616,17902,,620268,19895,5037910,2016年06月30日,106444.0,274.0,12783816,11197893,10625450,20694478,32571316,15481.0,494.0,68258,,3172700.0,,,12476511,5037910,40965000.0,74671,28181184.0,,1340477,40965000.0,,68899,0.0,28719,2822710,1326.0,39710,1585923,7486706,8393684,440897,12931,,973024,,0
2016-11-09,3,2016,1750000.0,183000,16336.0,1949336,7617997,1181,57204,5167776,6000,662393,35565,-22232,2899750,31411,1282378,57485,1224893,108834,159282,114838,217250,50037,50037,15613,27784,25852727,25823634,29093,71196,,4500000,2955406,271867,399615,319613,1155.0,1671395,736840,98232,,619004,20486,5037910,2016年09月30日,92367.0,5737.0,13122947,11463361,10625450,21092065,33058118,15505.0,494.0,65481,,2852396.0,,,13418237,5037910,41679307.0,72817,28556360.0,,1351103,41679307.0,,81155,0.0,73790,2805013,1155.0,39316,1659586,7464295,8621189,441693,18569,,919003,,0
