date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,商譽,存入保證金,存貨合計,存貨－製造業淨額,庫存現金,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,,,8328112,188759,2044046,,645813,,167188,167188.0,-24244,94624,79658,17397,,1679265,254,393676,,272580,18614,12174,39263,,,0.0,,408631,0.0,9831,14966.0,381438.0,722322,458624,1285399.0,94097,4835825,2013年03月31日,1481783.0,,7398885,7304515,0,204647.0,1446668,2105436,,18614,357616.0,,630710.0,117769.0,170000,4835825,,,3970241.0,448888,,,447518.0,1370.0,,11369126.0,634308,240432,210000,381438.0,121096,94370,2523573,9263690,69932,0
2013-08-12,2,2013,,,8351840,188759,1742996,,1358572,1358572.0,162553,162553.0,-21264,82045,67021,7115,7115.0,1647788,251,393492,274003.0,274003,18639,11626,40266,40266.0,670563.0,0.0,,336002,0.0,8837,15024.0,377660.0,762419,490350,1258251.0,96991,4835825,2013年06月30日,1104579.0,,7102659,7006445,0,284959.0,1915063,2207392,,18639,353458.0,,670563.0,95607.0,34000,4835825,,,4389784.0,448888,1370.0,,447518.0,,,11492443.0,626933,235330,200000,377660.0,119489,96214,2474721,9285051,74126,0
2013-11-06,3,2013,,,8387023,188759,2006600,,807746,,27633,27633.0,-23496,109624,94542,7875,,1612444,259,400819,,246417,18639,11482,37239,,,0.0,,328954,0.0,5440,15082.0,373868.0,830900,400195,1226835.0,99319,4835825,2013年09月30日,1368183.0,,7367479,7267817,0,284959.0,1504994,2167321,,18639,353458.0,,825085.0,76230.0,177000,4835825,,,4124371.0,448888,,,447518.0,1370.0,,11491850.0,626933,229970,380000,373868.0,154402,99662,2619377,9324529,38394,0
2014-03-24,4,2013,,,8423851,179799,2206911,,966684,,27679,,17525,132067,116927,14792,14792.0,1595792,253,522105,,369355,18639,11352,38025,38025.0,,,,398985,0.0,0,15140.0,370060.0,841897,400560,1214127.0,98887,4835825,2013年12月31日,1568494.0,,7604114,7509149,0,284959.0,1773772,2309810,,18639,353458.0,,965885.0,127036.0,149000,4835825,,,4166497.0,448888,,,447518.0,1370.0,,11770611.0,626933,217520,170000,370060.0,152750,94965,2392725,9460801,20972,0
2014-05-12,1,2014,,,8528390,179799,2415767,0.0,685887,,19760,19760.0,17525,114478,99279,10509,,1574868,251,447505,,263293,13667,11086,41835,,,0.0,0.0,463634,,2542,15199.0,366239.0,770305,346494,1197292.0,98729,4835825,2014年03月31日,1777350.0,,7810617,7718005,0,284959.0,1559521,2179523,,13667,353458.0,932063.0,,166980.0,126000,4835825,,,3851322.0,448888,,,447518.0,1370.0,,11661939.0,626933,214326,90000,366239.0,184212,92612,2291801,9482416,58557,0
2014-08-14,2,2014,,,8570922,179799,1973847,0.0,1522556,,14930,14930.0,17525,136349,121091,11229,11229.0,1552207,251,457409,,276195,13667,11086,40476,,,0.0,0.0,362053,,2653,15258.0,362402.0,832302,383651,1178468.0,99241,4835825,2014年06月30日,1247136.0,,7367971,7276085,0,373253.0,2154669,2166452,,13667,353458.0,827865.0,,102058.0,29000,4835825,,,4333809.0,448888,,,447518.0,1370.0,,11701780.0,626933,214290,0,362402.0,181214,91886,2179140,9535328,55999,0
2014-11-06,3,2014,,4873.0,8702716,179799,2259687,0.0,839513,,22421,,18421,164052,143862,10111,,1531783,252,476787,,298571,13667,11336,45432,,,0.0,0.0,451162,,2207,15317.0,358550.0,878563,402220,1161645.0,99902,4835825,2014年09月30日,1532976.0,,7566945,7563759,0,373253.0,1861251,2061485,,13667,353458.0,658585.0,,75317.0,329000,4835825,,,4178866.0,449826,,938.0,447518.0,1370.0,,11745811.0,626933,211455,158899,358550.0,178216,3186,2317615,9684326,44153,0
2015-03-12,4,2014,,5601.0,8820986,179799,2512948,0.0,994405,,19479,,24550,92470,71493,8155,,1525821,252,453056,,277838,13667,17536,36669,,,0.0,0.0,471631,,879,15376.0,354684.0,903435,400165,1153349.0,114784,4835825,2014年12月31日,,,7826623,7823149,0,,1804715,2140227,,13667,,749353.0,,124330.0,121000,4835825,,,4105478.0,449826,,,,,,11932101.0,614411,209582,160531,354684.0,175218,3474,2300763,9791874,22971,0
2015-05-13,1,2015,6380.0,6380.0,8805264,184799,2778829,0.0,747728,,6717,6717.0,24550,137340,130960,11175,,1147757,252,433931,,261711,13667,11266,38043,,,0.0,0.0,310324,,5058,0.0,0.0,852889,355547,,114643,4835825,2015年03月31日,2059178.0,176757.0,8092747,8089030,0,373253.0,1587207,2055699,1136239.0,13667,346398.0,,704468.0,,210000,4835825,11814304.0,3721557.0,,449826,,938.0,447518.0,1370.0,11814304.0,,614411,206301,372182,0.0,172220,3717,2134350,9758605,86860,0
2015-08-13,2,2015,6380.0,6380.0,8743183,184799,2348318,0.0,1700844,,5227,,24550,158843,152463,20758,,1125147,252,459511,,290289,85042,11766,46416,,,0.0,0.0,324996,,5867,0.0,0.0,930129,397691,,114704,4835825,2015年06月30日,1529655.0,125794.0,7662599,7658519,0,472265.0,2581344,2394166,1113129.0,85042,346398.0,,918416.0,,265000,4835825,12184088.0,4521489.0,,449826,,938.0,447518.0,1370.0,12184088.0,,614411,202683,200587,0.0,169222,4080,1940145,9789922,75529,0
2015-11-12,3,2015,6380.0,6380.0,8909771,184799,2669443,0.0,995231,,6730,,24550,89519,83139,22323,,1100037,252,457888,,291665,85042,11766,48175,,,0.0,0.0,454379,,4631,0.0,0.0,1005613,492020,,114003,4835825,2015年09月30日,1850780.0,86521.0,7984030,7979644,0,472265.0,2153281,2230930,1088019.0,85042,346398.0,,586050.0,,523000,4835825,12180751.0,4196721.0,,449826,,938.0,447518.0,1370.0,12180751.0,,614411,198318,328992,0.0,166223,4386,2043440,9949821,70019,0
2016-03-25,4,2015,6380.0,6380.0,9146543,184799,2926058,0.0,1175404,,6689,,22952,114894,108514,9567,,1138410,252,426793,,263567,85042,11766,39489,,,0.0,0.0,441747,,964,0.0,0.0,1017846,408983,,112525,4835825,2015年12月31日,2107395.0,146462.0,8239060,8234661,0,472265.0,2336471,2365381,1126392.0,85042,346398.0,,835307.0,,457000,4835825,12525749.0,4286689.0,,449826,,938.0,447518.0,1370.0,12525749.0,,614411,204666,197397,0.0,163226,4399,1950218,10160368,47500,0
2016-05-12,1,2016,6380.0,6380.0,9123435,182616,3267320,0.0,835063,,5273,,22952,168072,161692,21932,,591759,252,419863,,259636,85042,14064,43883,,,0.0,0.0,394634,,6794,0.0,,1019357,352038,,112376,4835825,2016年03月31日,2449380.0,159968.0,8580787,8575923,0,472265.0,2298531,2373842,577443.0,85042,345675.0,,830314.0,,734000,4835825,12440008.0,3859221.0,,449826,,938.0,447518.0,1370.0,12440008.0,,613129,142834,355802,,160227,4864,1560690,10066166,101045,0
2016-08-11,2,2016,6380.0,6380.0,9088661,182616,2847591,0.0,1729585,,13037,,22952,141567,135187,21562,,575098,252,605240,,448011,85042,16164,52535,,,0.0,0.0,371792,,7615,0.0,,1022200,401321,,113277,4835825,2016年06月30日,1901086.0,64905.0,8161869,8156194,0,604947.0,2874464,2527934,558682.0,85042,341558.0,,912194.0,,559000,4835825,12711464.0,4549595.0,,449826,,938.0,447518.0,1370.0,12711464.0,,605826,108694,494207,,157229,5675,1675131,10183530,105085,0
2016-11-10,3,2016,6380.0,6380.0,9536889,182616,3110987,0.0,885673,,10737,,22952,163437,157057,15635,,558808,252,401218,,246987,85042,15790,66046,,,0.0,0.0,448380,,33220,,,1071821,402780,,113127,4835825,2016年09月30日,2164482.0,10294.0,8425606,8419590,0,604947.0,2176004,2503704,542766.0,85042,341558.0,,810509.0,,635000,4835825,12928857.0,4503251.0,,449826,,938.0,447518.0,1370.0,12928857.0,,605826,106261,1162613,,154231,6016,2327247,10425153,126176,0
