date,season,year,不動產及設備－淨額,中期擔保放款,中期放款,交通及運輸設備,什項設備,以成本衡量之金融資產,保留盈餘合計,保證責任準備,備供出售金融資產,備供出售金融資產未實現損益,備供出售金融資產未實現評價損益,備供出售金融資產評價調整,備供出售金融資產－淨額,備抵呆帳－其他應收款,備抵呆帳－應收利息,備抵呆帳－應收帳款,備抵呆帳－應收票據,備抵呆帳－貼現及放款,備抵呆帳－非放款轉列之催收款項,備抵遞延所得稅資產評價,兌換（貸方）,共同控制下前手權益,其他應付款,其他應收款,其他權益合計,其他負債合計,其他資本公積,其他資產－淨額,其他遞延資產,其他金融負債合計,其他金融資產－淨額,其他雜項負債,其他雜項資產,其他預付款,其他預收款,出口押匯,匯出匯款,原始認列時指定透過損益按公允價值衡量之金融資產,原始認列時指定透過損益按公允價值衡量之金融資產評價調整,受贈公積,可轉讓定期存單,同業融資,員工福利負債準備,國外營運機構財務報表換算之兌換差額,土地,外匯定期存款,外匯活期存款,央行及同業融資合計,央行及銀行同業存款合計,存入保證金,存出保證品,存出保證金,存出信託資金賠償準備,存放央行,存放央行及拆借銀行同業合計,存放銀行同業,存本取息儲蓄存款,存款及匯款合計,定期存款（不含NCD）,庫存外幣,庫存現金,庫藏股票,庫藏股票合計,待交換票據,待註銷股本股數,應付交割帳款,應付代收款,應付其他稅款,應付利息,應付即期外匯款,應付商業本票,應付所得稅款,應付款項合計,應付股（官）息紅利,應付費用,應付金融債券,應付金融債券合計,應收交割帳款,應收利息,應收即期外匯款,應收帳款,應收承兌票款,應收款項－淨額,應收票據,應收衍生性商品違約交割款,應解匯款,房屋及建築,承兌匯票,承受擔保品,抵繳存出保證品,抵繳存出保證金,抵繳存出信託資金賠償準備,拆放銀行同業,持有供交易之金融負債,持有供交易之金融負債評價調整,持有供交易之金融資產,持有供交易之金融資產評價調整,持有至到期日金融資產,持有至到期日金融資產－淨額,撥入放款基金,擔保透支,支票存款,放款轉列之催收款項,整存整付儲蓄存款,普通股股本,暫付及待結轉帳項,暫收及待結轉帳項,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債合計,本期損益,本行支票,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,活期儲蓄存款,活期存款,無活絡市場之債務商品投資,無活絡市場之債務工具投資,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債合計,短期墊款,短期擔保放款,短期放款,累積盈餘,累計折舊－交通及運輸設備,累計折舊－什項設備,累計折舊－房屋及建築,累計減損－備供出售之金融資產,累計減損－其他雜項資產,累計減損－房屋及建築,累計減損－承受擔保品,結構型商品所收本金,聯行往來（借方）,股本合計,股本溢價,行員活期儲蓄存款,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,轉存央行存款,透支,透過損益按公允價值衡量之金融負債合計,透過損益按公允價值衡量之金融資產合計,遞延所得稅負債合計,遞延所得稅負債－其他,遞延所得稅負債－土地增值稅,遞延所得稅負債－所得稅,遞延所得稅資產,遞延所得稅資產合計,遞延收入,重估增值－土地,重估增值－房屋及建築,銀行同業存款,銀行同業拆放,長期擔保放款,長期放款,附買回票券及債券負債合計,附賣回票券及債券投資,附賣回票券及債券投資淨額,零存整付儲蓄存款,零用及週轉金,非控制權益,非控制權益合計,非放款轉列之催收款項,預付其他稅款,預付利息,預付費用,預收利息,預收收入,預收股款（權益項下）之約當發行股數（單位：股）
2013-04-29,1,2013,2781023,32992554,9302655,16687,77410,208113,9481809,49141,15175874,822104.0,,822104,15997978,5825,3500,13118,,1854155,13348,60000.0,0.0,,1914774,30873,840164,259021,56986,358367,0.0,3541,20046628,15,43159,202759,3288,10163,42157,839041,68638,,186900,4033125,463505,18060,2006230,3177440,2221699,4033125,9973369,13791,27107495,86349,50000,5939321,41739321,1853363,52394462,141221128,11695870,132710,1245776,0.0,0.0,1741159,,,4465,16420,131163,,,532771,2215718,,148896,0.0,0.0,,841634,18,32343,0.0,885823,3398,,0,1395473,0.0,13092,-27107495,0,-50000,0.0,,10710,1422726,69082,6104305.0,6104305.0,3541.0,88732,1663601,98243,2975281,12012343,19146,49408,2013年03月31日,7934645,,1072401,116665,,22513062.0,22513062,0,1498194,48274127,17998350,19838446.0,,48970,,4973158.0,532771.0,75,19784478,7131060,6862244,13724,63907,788029,,20280,82800,4730,,0.0,12012343,0.0,473440,,512646,,175628393.0,99239403,178746,121760,,198141455.0,35800000,3330,10710,2399487,82026,3700.0,78326,0,492852,432852,2716,223207,10476,2886,9970483,29854319,1828024,16784338,3183110,3183110,1136,150,0,0,13342,15,,18857,155,189648,0
2013-07-29,2,2013,2698236,32519444,10238987,17552,77730,208113,8504308,48959,17127105,443754.0,,443754,17570859,5374,3500,13118,,1559721,13348,43000.0,0.0,,2011418,75168,453920,188295,56986,542785,0.0,2406,22343226,16,43159,213929,2757,11484,52392,841360,71641,,197900,5120400,439384,10166,1961896,4740839,2230874,5120400,13311246,9130,29235479,103669,50000,6355042,37355042,11909956,53110497,145487479,11098370,181756,1237260,0.0,0.0,1795255,,,20629,23196,105568,476.0,,298475,4088565,1801852.0,125426,0.0,0.0,,871181,0,31752,0.0,956109,0,,7538,1395473,0.0,187448,-29235479,0,-50000,200000.0,,155270,1151797,9841,6073327.0,6073327.0,2406.0,79907,1883862,84366,2582778,12012343,591,43453,2013年06月30日,5923975,,1896752,116100,,21149317.0,21149317,0,2531363,50278170,18725334,22135102.0,,48970,,15124327.0,298475.0,48,20325589,7392985,4027223,14060,65636,795625,,20280,82800,4730,,0.0,12012343,0.0,462035,,488343,,187377000.0,102029302,178746,121760,,208526317.0,30800000,23755,155270,2074639,79939,0.0,77857,2082,436414,393414,2562,193230,10476,1880,13309366,31440876,1471630,18156582,1365051,1365051,790,100,0,0,13311,33,,18966,122,130255,0
2013-10-21,3,2013,2690649,33606263,12673645,17552,78042,208113,9608813,48955,33220830,1077169.0,,1077168,34297998,5374,3500,13118,,1684181,13348,32250.0,0.0,,863770,37933,1070092,162465,56986,496596,0.0,4126,6814059,17,43159,200399,2434,10234,32887,556275,1294,,139600,4747200,408184,-7077,1961896,4761515,2360470,4747200,16225735,8701,30591216,45959,50000,6004987,37504987,12814903,53627518,146065527,10405411,145068,1410602,0.0,0.0,335854,,,8912,17370,143851,0.0,,196010,1254503,0.0,220600,0.0,0.0,,1014548,0,45778,0.0,1079858,3591,,0,1397223,0.0,187448,-30591216,0,-50000,700000.0,7.0,37333,1044998,83290,6046356.0,6046356.0,1792.0,86212,1635853,69958,2351803,12012343,3934,24756,2013年09月30日,7028480,,3001257,363856,,22869994.0,22869994,0,2531363,50228260,19717295,6604858.0,,48970,,14706527.0,196010.0,1157,19344192,7701510,4027223,14445,67267,803258,,20280,82800,4730,2334.0,0.0,12012343,0.0,440914,,457139,,188830232.0,105591572,178746,121760,,211700226.0,30800000,26843,37340,1685857,77857,0.0,77857,0,323779,291529,2408,193230,10476,1525,16224210,32383419,1373477,19602330,494238,494238,145,100,0,0,13279,15719,,24988,93,124056,0
2014-02-24,4,2013,2682595,35211925,12618571,17552,80034,208113,10689749,49891,32080866,1419440.0,,1419440,33337378,5374,3500,11579,,1716336,0,0.0,34.0,,651368,236963,1427136,166984,56986,466658,0.0,1177,6642016,17,43159,200226,1823,0,7422,556274,4677,,349600,3833600,463262,7696,1931919,4615690,2471134,3833600,15445318,8298,34216606,45887,50000,6713306,37713306,14383786,53041588,145581326,9637091,188740,1319682,0.0,0.0,436236,,,8720,21338,123855,0.0,,243698,1079473,0.0,274192,0.0,0.0,,991770,1536,41295,0.0,1251865,754,,35,1397223,0.0,187448,-34216606,0,-50000,0.0,0.0,93311,863019,120580,6017544.0,6017544.0,1177.0,81641,1491997,34156,2229178,12012343,3934,21922,2013年12月31日,8109416,,4142013,169002,,24307974.0,24307974,0,2531363,50897258,20230127,6431749.0,,48970,,16328494.0,243698.0,2154,20017309,6801990,3967403,14830,69223,810963,162928.0,20280,82800,4730,0.0,0.0,12012343,,441059,,513153,,189689657.0,107542844,178746,121760,,213997631.0,31000000,39089,93311,1544550,79436,0.0,77857,1579,222352,222352,2279,223207,10476,743,15444575,33029104,1425395,22652181,248029,248029,145,50,0,0,0,0,,11014,60,132551,0
2014-04-28,1,2014,2677055,36804540,14423198,15427,84527,208113,11954686,49913,37387262,1839057.0,,1839057,39060345,5080,3500,11579,,1738763,0,,102.0,,539370,28494,1866624,185788,56986,484506,,875,5600715,18,43159,200069,1581,0,7291,83113,7052,,1535000,3661200,447740,27567,1931919,5371847,2227884,3661200,16349577,10167,38155394,51360,50000,5505402,36105402,14162394,53627739,147569387,8602321,130993,1436075,0.0,0.0,260889,,,4917,18763,172435,,,377509,859288,,123803,,,,1131527,57,52440,,1194785,2426,,35,1398023,,187448,-38155394,0,-50000,,,41324,1718038,194746,5995822.0,5995822.0,875.0,79778,1424814,25233,2213722,12012343,3942,23648,2014年03月31日,9374353,,1264937,165785,,26012399.0,26012399,0,2531363,51947699,19952440,5392470.0,,48970,,15990401.0,377509.0,132,20892841,8251263,8109416,11576,74082,818066,165974.0,20280,82800,4730,,0.0,12012343,0.0,492665,,497653,,195909642.0,112310033,178746,121760,,221922041.0,30600000,31532,41324,2002949,83534,0.0,77857,5677,194054,194054,2099,223207,10476,3362,16346215,32216959,1323452,26283507,305974,305974,145,50,0,0,0,17,,23521,448,147725,0
2014-08-11,2,2014,2601102,37086742,13889503,15427,85339,207313,11774003,50002,37120499,2608295.0,,2608296,39566057,5052,3500,11578,,1791466,0,,0.0,,517927,47490,2599869,72259,56986,469532,,635,5498451,156,43159,206849,986,0,34830,50000,2410,,1035000,3440225,429014,-8426,1920249,5648657,2881912,3440225,12801094,8190,38407463,49861,50000,6740863,37340863,14221213,54351995,150956639,8684658,138021,1450217,,,278996,0.0,,16546,30518,111062,0.0,,464864,2648273,1801852.0,170368,,,,914987,81,46545,0.0,990053,1080,,3924,1334045,0.0,187448,-38407463,0,-50000,0.0,,4478,1926106,216419,5967533.0,5967533.0,635.0,81569,1343034,25783,2189725,12012343,4137,6246,2014年06月30日,7951066,,2886106,128409,,26564961.0,26564961,0,3773967,52361625,21816685,5290587.0,,48970,,16088497.0,464864.0,551,23195289,8454625,5064960,11968,75468,787185,162738.0,20280,82800,19230,,,12012343,,476040,,479016,,198264605.0,113900506,178746,121760,,224829566.0,30600000,26987,4478,2194935,91843,0.0,65821,26022,212037,212037,1945,192987,10476,1716,12799378,31626520,1304954,27305279,0,0,145,50,0,0,0,45,,17543,333,54403,0
2014-10-27,3,2014,2602403,36657240,15396455,15427,96671,207313,12926307,50023,42405410,2210542.0,,2210542,44450380,5052,3500,11578,,1815106,0,,0.0,,847990,24405,2237173,91696,56986,367972,,396,5573293,33,43159,207926,805,0,13511,50000,7297,0.0,635000,2647932,415727,26631,1920249,8277506,2613345,2647932,12363408,11831,41080699,85094,50000,4823633,34523633,12685511,54980752,155277369,11061131,115215,1291606,,,295023,0.0,,14438,30909,152022,59.0,,589839,1191483,0.0,146065,,,,1091749,0,58073,0.0,1154097,0,,36,1333245,0.0,13092,-41080699,0,-50000,0.0,0.0,148416,2932069,-97314,5944887.0,5944887.0,396.0,80261,1317179,41515,2161855,12012343,3983,13356,2014年09月30日,9103370,,4038410,187878,,27354569.0,27354569,0,3773967,52576520,21003876,5365971.0,,48970,,14387405.0,589839.0,9,25666565,10287459,5064960,12359,77599,793894,165572.0,20280,82800,14500,0.0,,12012343,0.0,448635,,465750,,203681797.0,118684298,178746,121760,,231036366.0,29700000,32000,148416,2892052,71300,0.0,65821,5479,225731,225731,1790,192987,10476,34,12363374,31138556,1199353,30834208,230215,230215,145,50,0,0,0,21868,0.0,27630,222,63659,0
2015-02-16,4,2014,2548865,38138716,15195857,15366,74607,207313,14065004,49719,55007488,814760.0,,814760,55660486,4891,3500,48579,,1902071,0,,0.0,,1163882,29577,890759,168189,56986,720865,0.0,0,4524455,33,43159,216218,154,0,20853,50000,21256,,651800,4377084,428503,75999,1897052,8466376,2865407,4377084,12863112,10785,41210999,467188,50000,6870936,33095936,9305598,55899606,159224751,11415867,180087,1504989,0.0,0.0,874387,0.0,,12935,46129,123300,280.0,,775253,1676477,0.0,329951,0.0,0.0,,865010,0,61725,0.0,901001,1659,,37,1330081,0.0,13092,-41210999,0,-50000,0.0,0.0,594167,3333723,-71825,0.0,0.0,0.0,61602,1349797,23643,2162383,12012343,3980,8271,2014年12月31日,10242067,,5196354,319252,,27146852.0,27146852,0,3773967,53591557,22032785,4316780.0,,48970,,11865111.0,775253.0,362,29193978,9525230,5045713,12103,49089,797735,161762.0,20280,82800,13092,0.0,0.0,12012343,,448886,,478222,,208140668.0,121560045,178746,121760,,235287520.0,26225000,32122,594167,3333154,81387,0.0,65821,15566,305307,305307,1714,163010,10476,2339,12860773,30178357,1112611,27902026,772295,772295,145,50,0,0,0,0,,10600,113,147119,0
2015-04-27,1,2015,2543132,41201573,13310334,15366,78949,207313,15211294,49708,56866214,,1480946.0,1480946,58240397,4670,3500,48396,,1922016,0,,0.0,0.0,1004278,18945,1532088,170551,56986,635564,0.0,0,3983294,52,43159,219398,338,0,16967,50000,25837,,636800,2355075,413471,51142,1897052,9261307,2962512,2355075,17662885,11969,36648848,367261,50000,6835800,31560800,9912292,57100938,161886627,10883166,119069,1385210,0.0,0.0,234880,0.0,,9006,38772,158006,0.0,,893031,1440188,0.0,230126,0.0,0.0,,992201,234,80732,0.0,1042853,7307,,1686,1330081,0.0,13092,-36648848,0,-50000,0.0,0.0,304403,3474368,-97417,0.0,0.0,0.0,61666,1262855,46251,2167555,12012343,3980,8254,2015年03月31日,11388357,893031.0,1146290,185835,28934471.0,,28934471,0,3773967,55082955,21826580,,3769976.0,48970,11651501.0,,,6005,30572463,9132731,10242067,12404,52550,804048,106763.0,20280,82800,13092,0.0,0.0,12012343,0.0,497326,238309199.0,463179,209374728.0,,122761636,178746,121760,238309199.0,,24725000,14809,304403,3452788,65821,0.0,65821,0,255240,255240,1637,163010,10476,555,17662330,29259656,1084169,24132968,2181994,2181994,145,50,0,0,0,51,,21995,8,148293,0
2015-08-03,2,2015,2544605,43360487,14050589,20505,85289,207313,14651609,71915,57538101,,1494569.0,1494569,58899602,2676,3500,11796,,1916198,21600,,0.0,,913918,25141,1524380,290791,56986,705059,,0,3934062,57,43159,242315,159,31794,8711,50000,-3097,,36800,3573050,393771,29811,1897052,11456103,3141299,3573050,20549641,8059,34230306,418989,50000,6822249,31347249,9376904,58107180,163361501,9710576,173075,1345826,,,305213,0.0,,16676,53614,106630,0.0,,459120,3198727,1801852.0,306037,,,,905533,411,51038,0.0,1005727,41576,,0,1330081,0.0,13092,-34230306,0,-50000,0.0,,258929,4379409,161544,0.0,0.0,0.0,47089,1358337,21132,2144411,12012343,3980,55334,2015年06月30日,9269766,459120.0,2388457,235654,28367078.0,,28367078,0,5332873,55043437,21641574,,3726737.0,48970,11201088.0,,,12,31213310,8545984,6881309,12703,55945,810360,133068.0,20280,82800,13092,,,12012343,,477274,241756884.0,465686,213389806.0,,124787384,178746,121760,241756884.0,,24525000,13212,258929,4587856,71927,0.0,65821,6106,258738,258738,1560,163010,10476,451,20549190,28425710,994275,21160434,2485514,2485514,145,70,0,0,21600,112,,16784,96,225526,0
