date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產－淨額,共同控制下前手權益,其他權益合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,再保險合約資產－淨額,央行及同業融資,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,庫藏股,待出售資產－淨額,待分配股票股利,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-04-30,1,2013,71473211,45665347,1389852577,,25825632,15557603,23367307,378882142,1664248110,12102562,1493750.0,73996201,73873985,1466687367,7179872.0,,,,90196450,3360000,65731116,130699964,213799683,51691033,1597196,108653851,2013年03月31日,26364683,,,,255475724.0,251473106,200000000,15222599,9324806,4078065,269517585,670456.0,9693440.0,108653851,,3246964264,,5418771298.0,1546886562,78508148,,5674247022.0,24377181,174615322,14474644,16841553,,2196659,36380124,12465467,4002618,0
2013-08-23,2,2013,71348968,38612405,1333391213,,11383825,12341975,26635475,373640105,1703287197,9989683,1506000.0,46082011,96294885,1510325450,7179872.0,,7465770.0,,100240287,4630000,54031335,138772681,215353951,52323584,1575868,108653851,2013年06月30日,17611567,,,,241197053.0,237444127,200000000,16922773,8998270,4078065,293907544,407569.0,4339185.0,116119621,,3310147714,,5513251005.0,1577827835,78508148,,5754448058.0,29918963,188012542,12000150,16206833,,1793051,57979446,14389293,3752926,0
2013-10-29,3,2013,71434749,50158804,1321363863,,3056839,11979865,26843817,396720427,1768460434,9047802,1483500,50893236,132346377,1558339204,7179872,,7465770,,99913846,7780000,58366163,141389034,217105518,51384448,2623280,112183851,2013年09月30日,26449472,,,,257735706,253574948,200000000,16922773,9297017,6786559,302903232,163357,4908270,119649621,,3367510568,,5642620939,1584700953,87889556,,5900356645,19073757,226017077,12203976,16376126,,1607616,58193040,12547032,4160758,0
2014-03-14,4,2013,104306810,52283098,1357106776,,20083810,14712855,26963277,413414217,1724797817,5740684,1497500.0,56985225,151945066,1585031001,0.0,68479.0,0.0,,92417213,10050000,37548440,169590966,191023573,54970153,3153320,119649621,2013年12月31日,28287695,,,,285260051.0,281079713,0,16922773,9223432,7072630,331666078,37003.0,5585301.0,119649621,,3477440832,,5791597037.0,1667391682,89063184,,6076857088.0,28754621,244023246,12771382,15038697,5148.0,1300914,60931600,12960817,4180338,0
2014-04-29,1,2014,93716487,148810589,1346438280,0.0,32919061,31142653,30884614,459714320,1786930321,6121332,1525500.0,68976603,136763894,1608618909,0.0,0.0,,0.0,92513375,10990000,51241386,157195422,309921710,59421462,3160550,119649621,2014年03月31日,49593198,,,,394761016.0,390442455,0,16922773,9240347,82294618,419927339,37003.0,6056424.0,119649621,,3545438970,,5978368673.0,1729891326,89063184,,6373129689.0,25329193,242154421,17904123,14409702,0.0,1241132,64936638,19654926,4318561,0
2014-08-27,2,2014,93456226,143316028,1375101005,0.0,47993571,18182820,31730623,506753754,1842622318,6659756,1495750.0,66777514,136630902,1626302712,0.0,0.0,5982481.0,0.0,107214791,12090000,65695591,134123729,328761736,62742329,4345561,119649621,2014年06月30日,41226013,,,,410873245.0,405724005,0,19784401,9266492,82305614,439314462,176336.0,6532936.0,125632102,,3583478956,,6092224358.0,1777532902,88782304,,6503097603.0,16839141,199076191,21937681,16068321,0.0,921067,65279312,38211047,5149240,0
2014-11-13,3,2014,93044730,157348737,1301619201,0.0,23568922,16662617,36332068,516660371,1943342582,6261024,1521800.0,71776229,146979030,1667763366,0.0,0.0,0.0,0.0,107288890,23400000,58475379,125765347,346116294,75387965,4427921,125632102,2014年09月30日,55258722,,,,400731556.0,395332065,0,19784401,9257382,82305614,508527175,176336.0,6572752.0,125632102,,3677395612,,6261347863.0,1791938582,88782304,,6662079419.0,36507336,202941797,21069770,13242979,13397.0,799689,62636760,49522901,5399491,0
2015-03-19,4,2014,92877629,163197464,1405300159,0.0,55069268,16630845,37561436,543279993,2131815297,6377012,1585900.0,58816432,151289044,1702302143,0.0,0.0,0.0,0.0,107613949,26790000,50417151,134368376,338336979,81658512,4546723,125632102,2014年12月31日,61107449,,,,438320982.0,432681138,0,19784401,9283025,82305614,435006606,237634.0,7374177.0,125632102,,3801526910,,6506680826.0,1812773579,88782304,,6945001808.0,108286154,223007168,27171794,16245526,0.0,665390,62021921,56515170,5639844,0
2015-04-30,1,2015,93316302,180966483,1408038943,0.0,58152310,21182941,38159864,544775424,2228535089,5993347,628020.0,67031921,167303594,1733676545,0.0,0.0,0.0,0.0,107399878,26428229,52282701,161075851,338132992,89008359,6069063,125632102,2015年03月31日,78919430,470300.0,7375165.0,459317095.0,,453533199,0,19784401,9340458,82262652,372500934,,,125632102,7045008797.0,3857417619,6585691702.0,,1830447499,88782304,7045008797.0,,87119663,232297737,25662283,13665332,0.0,655161,61616178,43093107,5783896,0
2015-08-20,2,2015,93033402,178812835,1400955397,0.0,34039120,14658083,44125549,540706290,2406919427,6509331,0.0,58056657,112290016,1753509341,0.0,0.0,0.0,0.0,107195124,27787344,67746464,157516768,380818127,80468255,23967500,125632102,2015年06月30日,48571931,2311243.0,4322279.0,433100868.0,,427266361,0,24820095,9372025,105420809,372119468,,,125632102,7122538577.0,3939159951,6689437709.0,,1785464539,88782304,7122538577.0,,74579183,195710500,25272007,12827314,0.0,439100,78456022,35679580,5834507,0
