date,season,year,不動產及設備－淨額,以成本衡量之金融資產－淨額,保留盈餘合計,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,備供出售金融資產－淨額,共同控制下前手權益,其他什項金融資產－淨額,其他借款合計,其他權益合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,國外營運機構財務報表換算之兌換差額,增資準備,央行及同業融資,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,庫藏股,待分配股票股利,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,無活絡市場之債務商品投資－淨額,無活絡市場之債務工具投資－淨額,特別盈餘公積,特別股股本,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股本,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-24,1,2013,41749245,8202063,17533572,1894656.0,,258534197,,6022769,678586,1917366,4404147,5281601,22107209,17701255,22710,,,146646825,133283640,2141827628,0.0,,,85441365,0,51814177,90986179,11610869,188726316,258617,68914473,2013年03月31日,14125483,,,,187929716.0,105044804,0,2942721,21676298,3476423.0,,465368,7251368,51759098,3026173.0,1731104.0,76166344,,4392606,,2549461745.0,1800934367,9427522,,2737391461.0,13220145,91931958,7004696,9548373,,94314.0,68898188,11584030,82884912,503.0,43000
2013-08-29,2,2013,41661573,8108074,12641940,264471.0,,228224328,,15454246,646950,318388,3892856,8924019,23152621,27668792,53917,,,155606337,141565296,2170854589,,6139767.0,,90308743,0,56573168,98137437,11606932,188438984,243235,68915233,2013年06月30日,8236802,,,,188676345.0,104710477,0,3939770,21644880,4106472.0,,465368,7251368,56582504,3813721.0,1623794.0,82306368,,4314536,,2566409546.0,1822578268,9443781,,2755085891.0,16917216,90680427,6455021,8485925,,82629.0,33873788,6936868,83965868,,0
2013-11-21,3,2013,41605650,7485566,15912466,602492.0,,267311585,,24541842,1631776,633043,4349467,5673814,27936803,36127211,30551,,,174604110,155591539,2200574430,,,,90249966,0,49688946,98913744,11581896,188370831,244044,75055000,2013年09月30日,11507328,,,,193774819.0,108381865,0,3939770,21595386,4099803.0,,465368,7251368,42264749,4127281.0,1690803.0,82374640,,4299116,,2641021051.0,1833354170,9461716,,2834795870.0,14217662,109192125,6495000,8000235,,70694.0,62846494,13207394,85392954,68272.0,6153221
2014-03-27,4,2013,41530667,7334016,18160507,875995.0,,251947289,,36062303,2287315,944683,4422327,6569720,32803503,47507842,68688,,,176662165,124152449,2250576346,,,,90322818,0,46370940,107590190,11808520,228942921,221229,75116532,2013年12月31日,13755369,,,,197989242.0,111131587,0,3939770,21563628,4111523.0,,465368,7251368,61516953,4248028.0,1759870.0,82548070,,4422703,,2672997444.0,1845715026,9478327,,2870986686.0,16237369,102817889,6711208,7809571,,62494.0,37932722,9470428,86857655,180170.0,16505200
2014-05-22,1,2014,41680022,7277489,22984259,894203.0,,249108164,,79683776,2871286,977573,4882676,17514463,44332548,90816264,83370,,,190153959,131776393,2276269314,,,0.0,90306757,269553,48240389,102561716,11766507,182950862,84340,75281584,2014年03月31日,18579121,,,,207071724.0,117684656,0,3939770,21976403,3854999.0,,465368,7251368,56896180,4966653.0,1666652.0,84112903,,4455401,,2744349035.0,1922855355,9609921,,2951420759.0,27336808,107600621,7127608,7827986,,51396.0,43136083,4287435,89387068,1579951.0,132178420
2014-08-22,2,2014,41653161,7358548,14815994,930215.0,,281299974,,93916395,4556117,927912,5017710,18927477,52675015,104918894,-2303,,447675.0,207698778,134625141,2294497695,0.0,7987008.0,0.0,108179189,460647,57451099,118490290,11767838,184543904,73126,80356314,2014年06月30日,9035319,,,,209865632.0,121988342,0,5315307,22004736,3643951.0,,465368,7251368,53505258,4534809.0,1258290.0,95628460,,4513774,,2836463701.0,1959204680,10615976,,3046329333.0,25939845,106452360,6638806,7209506,2292.0,40385.0,63850250,354313,87877290,33770.0,3073000
2014-11-27,3,2014,41495889,7802824,18707851,677643.0,,296890830,,82357037,5777214,780627,5388314,12939788,49371448,93826923,102984,,456750.0,207837472,141312886,2332644050,0.0,,0.0,103262373,1509926,53727139,123504574,11839185,184787432,78932,88374052,2014年09月30日,12927176,,,,216096807.0,125794076,0,5315307,21946807,3667062.0,,465368,7251368,59526258,2467506.0,970025.0,95676949,,4563628,,2877072818.0,1993151155,10628649,,3093169625.0,28303142,102494954,6649081,7250308,37977.0,28649.0,75076798,1125030,90302731,51529.0,4385000
2015-03-27,4,2014,17958823,2608976,7292136,193921.0,,244249053,0.0,9222228,6235441,344829,2985066,21301742,52744269,12131204,150908,,,56003848,34496856,965328658,,,0.0,55000000,649389,22598658,100310417,922355,2540,32660984,88417902,2014年12月31日,1511461,,,,114184303.0,114058414,0,5315307,2001997,300000.0,,465368,7251368,23089267,1699781.0,353421.0,95780609,,794014,,1268769075.0,805752729,10640840,,1382953378.0,34921514,83294027,83945,4154618,,0.0,69724492,273345,125889,111339.0,10789000
2015-05-21,1,2015,18035876,2661099,11812842,,518790.0,270968706,0.0,6357688,7346268,591450,2941607,18275164,52507106,9318787,72660,,,68915480,33138519,986386758,,,0.0,55000000,879158,17600300,93540474,919825,2534,33298705,88525792,2015年03月31日,6032167,1606806.0,181655.0,118995759.0,,118867024,0,5315307,2002981,,300000.0,465368,7251368,18044408,,,95814304,1420953852.0,791744,1301958093.0,,820956845,10648428,1420953852.0,,30627336,98410005,53931,3628343,,0.0,77301599,231025,128735,37144.0,3811342
2015-08-27,2,2015,18053012,2719359,14329668,,296816.0,265753533,0.0,9166425,7788093,320901,2620086,14687871,54614842,12185784,24085,,0.0,62262518,33355156,984714922,,0.0,0.0,64100000,1072984,21994695,103273640,917395,2534,33638198,88563905,2015年06月30日,8397847,1029602.0,177358.0,120842600.0,,120698271,0,5466453,2049396,,300000.0,465368,7251368,14611542,,,95831636,1422695934.0,786496,1301853334.0,,826906987,10216066,1422695934.0,,23979538,93690542,53863,3387988,0.0,0.0,76835695,4998,144329,16363.0,1672395
