date,season,year,不動產及設備－淨額,保留盈餘合計,備供出售金融資產－淨額,共同控制下前手權益,其他權益合計,其他負債合計,其他資產－淨額,其他金融負債合計,其他金融資產－淨額,再保險合約資產－淨額,央行及同業融資,央行及金融同業存款,存放央行及拆借金融同業,存款及匯款,庫藏股,待出售資產－淨額,待分配股票股利,待註銷股本股數,應付債券,應付商業本票－淨額,應付款項合計,應收款項－淨額,投資性不動產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）,本期所得稅負債,本期所得稅資產合計,權益總計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,無形資產－淨額,特別盈餘公積,特別股股本,特別股負債,現金及約當現金,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備合計,負債總計,負債總額,貼現及放款－淨額,資本公積,資產總計,資產總額,透過損益按公允價值衡量之金融負債,透過損益按公允價值衡量之金融資產,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債,避險之衍生金融資產,附買回票券及債券負債,附賣回票券及債券投資,非控制權益,預收股本,預收股款（股東權益項下）之約當發行股數（單位：股）
2013-05-24,1,2013,40514769,35882952,450611606,,-2313177,9656409,13398229,30942386,14176113,1249031,4986105,37134821,120704973,1562827799,,,,,71127741,,53989770,143145430,2636225,48444831,2217690,124170262,2013年03月31日,24432851,,,,178046777.0,177956823,0,6290059,13963009,5160042,0.0,,59838271,3473038.0,1833704.0,127190899,,143210098,,2026541389.0,1187270486,17196149,,2204588166.0,27302760,91314955,1395752,2762453,58717,1420563,80435993,9085828,89954,3020637.0,0
2013-08-23,2,2013,42433318,22309872,465838119,,-8219712,11970586,15214024,29217450,20320123,980455,6467248,29540349,148196372,1652976821,,,9625298.0,,71138449,1599726.0,70790658,164049786,2634724,44087086,2114267,137504262,2013年06月30日,10083614,,,,185152960.0,185068117,0,8408223,13882080,3818035,0.0,,72651842,2505745.0,1391542.0,147129560,,154339632,,2136157167.0,1211295328,23848397,,2321310127.0,31611850,109716544,711220,2654648,150651,1243667,73136782,2606202,84843,,0
2013-11-27,3,2013,36926806,27279776,499684894,,-10280461,11087170,12431515,26181862,25737950,955432,9519001,36492306,116022230,1676952932,,6323280.0,,,70627650,1499726.0,62439013,166990294,2633396,53174662,2121666,147129560,2013年09月30日,15053518,,,,188054457.0,187977272,0,8408223,13939295,3818035,0.0,,72741880,1678054.0,1381498.0,147129560,,167919863,,2149078000.0,1217349106,23848397,,2337132457.0,25666409,97668622,647334,3188061,96950,1099046,58269730,6762824,77185,,0
2014-02-27,4,2013,38347727,30511606,428929904,,-8716664,12342446,13426977,25748327,39787544,1081880,8167850,48409512,125125631,1725348933,,6323343.0,,,70269949,199985.0,50417748,172454597,2631895,79304809,2076772,147129560,2013年12月31日,18285348,,,,192846329.0,192769596,0,8408223,13948040,3818035,0.0,,115161162,2354133.0,1449398.0,147129560,,194870475,,2231873750.0,1284855302,23845094,,2424720079.0,28364068,83369629,329664,6699337,255112,910113,64795548,8836019,76733,,0
2014-05-23,1,2014,36379928,38307384,430223123,,-6357330,6628041,19725466,40636899,97492848,891110,8480300,44948021,141146830,1785230472,28703.0,6323343.0,,0.0,70373296,499942.0,54518641,163172146,6407182,91935793,2077828,147129560,2014年03月31日,26081126,,,,202980340.0,202896005,1457000,8408223,14677070,3818035,0.0,,136259523,3320381.0,1619041.0,147129560,,242694178,,2370539350.0,1329964503,23845094,,2573519690.0,40788412,82811658,714707,6826537,164444,751270,71541616,4834491,84335,0.0,0
2014-08-20,2,2014,40657060,47952515,607392218,,-6429007,23408447,20573969,176056574,134790265,299980,60619770,45997345,241021514,2349036716,28703.0,6323343.0,5443255.0,0.0,116342225,1649715.0,96811108,202148687,6503038,94959838,2062400,147129560,2014年06月30日,28523855,,,,217995505.0,217912714,1457000,10236758,16211632,9191902,0.0,,153967496,2973583.0,1764682.0,152572815,,260651078,,3236290341.0,1811178897,23845094,,3454285846.0,36835425,103625460,914116,8273825,116829,686131,64877410,1845411,82791,,0
2014-11-28,3,2014,42054332,56763077,681801081,0.0,-9695700,31142996,18164911,171953141,156496549,375240,57646071,59221403,233506377,2387050806,0.0,6323343.0,,0.0,113650170,1149915.0,87684797,184930250,6547799,98645339,2017789,152572815,2014年09月30日,37334417,,,,223569063.0,223485543,0,10236758,16999388,9191902,0.0,,153800879,2941117.0,1500247.0,152572815,,297600472,,3322346596.0,1832695195,23845351,,3545915659.0,41114800,98872800,926941,8340918,503609,1416755,69760358,1426467,83520,,0
2015-03-31,4,2014,43379488,58667306,683051006,,-5732712,39455045,29044965,169234269,185574704,306946,59135084,49934428,274292402,2410679548,,6323343.0,,0.0,110457298,7115881.0,81989932,189440011,6552700,110975819,2073119,152572815,2014年12月31日,39238646,,,,229439398.0,229352760,0,10236758,16992496,9191902,0.0,,133647130,4467017.0,1689188.0,152572815,,329775602,,3425240666.0,1838176291,23845351,,3654680064.0,95292577,118298731,1784842,9526337,916322,1499486,65002821,3835902,86638,,0
2015-05-26,1,2015,44381976,68444543,777896415,,-5778589,32998232,31075400,169232266,208374835,327580,55407068,42760462,250826895,2494313601,0.0,6323343.0,,,93751565,8230081.0,77947470,184584649,6776359,137307038,2096298,152572815,2015年03月31日,49015883,5597048.0,1828187.0,239167951.0,,239084120,0,10236758,17103775,9191902,,,101287458,,,152572815,3736017789.0,358011088,3496849838.0,,1851903180,23845351,3736017789.0,,96298436,100994547,1784839,9643589,10092,377855,60507590,2908410,83831,,0
2015-08-28,2,2015,46325051,51179586,653939025,,-11132397,8875520,28083285,191826993,234249901,353391,41021931,39437782,309401220,2517493509,0,6323343,12358398,,106474481,8439660,85145587,188176496,6779663,153649641,1814820,152572815,2015年06月30日,17306826,3903607,1303881,228906268,,228823753,0,14180457,16801849,19692303,,,81480934,,,164931213,3752064163,379273883,3523157895,,1918113205,23845351,3752064163,,79303605,92977206,1034736,9112895,88112,304011,60838489,2874346,82515,,0
2015-11-27,3,2015,49831138,58902340,693663496,,-8760056,9429170,54508364,204110495,256415134,356083,36590872,36238358,325125629,2693046441,582754.0,6323343.0,,,120476032,7152371.0,80071419,161055851,6882248,160066714,2557195,164931213,2015年09月30日,25029580,3299851.0,2092129.0,238416008.0,,238333091,27168000,14180457,17101135,19692303,,,108589927,,,164931213,4025091449.0,411929680,3786675441.0,,2028595621,23842348,4025091449.0,,129754277,139757642,1426715,8696009,1454044,82418,51695716,3391373,82917,,0
2016-03-29,4,2015,64494739,68814732,658449447,,-7927403,10478343,61283528,204158705,573190852,3613292,27925966,45634274,402006003,2699802159,582754.0,0.0,,,109220573,11693753.0,69748378,167982197,23977131,224773310,16320924,180547806,2015年12月31日,34941972,3635535.0,2225770.0,277594246.0,,277507141,27168000,14180457,23284911,19692303,0.0,2030000.0,114274285,,,180547806,4596226754.0,940212902,4318632508.0,,2080161690,36654760,4596226754.0,,133194426,156618285,2196953,11033621,441428,107526,58259113,12429243,87105,,0
2016-05-26,1,2016,64747558,75374669,649818904,,-5938665,15284563,56655232,215597759,608442973,4163161,27719561,40680605,428650329,2728516788,582754.0,0.0,,,104467197,12936748.0,73610848,149910543,24326549,207517429,16416078,180547806,2016年03月31日,41501909,4938615.0,1407063.0,286134757.0,,286045813,27168000,14180457,23409687,19692303,0.0,0.0,103404689,,,180547806,4659767876.0,984542203,4373633119.0,,2135191000,36644757,4659767876.0,,105089810,157944321,3160184,11775357,392990,729095,56695248,15257908,88944,,0
2016-08-25,2,2016,64638495,54084745,716841390,,-3683426,15827096,57695897,230248830,653721172,3548653,25889481,63539594,321100659,2707157404,582754.0,0.0,14422090.0,,101964884,12947509.0,107741398,173865721,30361715,201780520,17267733,180547806,2016年06月30日,14523095,4445283.0,1423635.0,281524014.0,,281433218,27168000,17674655,23629944,21886995,0.0,0.0,102648061,,,194969896,4755339067.0,1034129489,4473815053.0,,2179823960,36644757,4755339067.0,,108284759,189074856,3664498,11173941,623276,264130,57351552,6478585,90796,,0
2016-11-29,3,2016,65179170,63111067,835617699,,-5305299,17577809,51078113,241604752,691341054,3258866,17836776,62827405,290224852,2786447667,582754,0,14422090,,99948326,27655308,73302621,136294178,42265141,201064332,17696094,180547806,2016年09月30日,23549417,4728972,1423558,288927260,,288837667,27168000,17674655,23656130,21886995,0,0,96481246,,,194969896,4848189304,1083160250,4559262044,,2186643489,36644757,4848189304,,96033113,184678236,4137287,12169701,311626,131714,43690132,8985731,89593,,0
