date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-26,1,2013,1561477,1342564,14846064,130673,2334292,182988,109816,85332,6200,147272,15300,9100,,4230533,,,4734390,0,10052765,47961.0,147272.0,6066319,2013年03月31日,10313723,,24271356,24271356,0,4514585,14712970,33740089,,2030270,17756.0,,19105605.0,664761.0,6894195,6066319,,,14968880.0,3249157,,39240236.0,,108638,419863,0,255910,5500147,120237,0
2013-07-29,2,2013,1526266,1330358,12702278,121112,5493792,173961,101646,84902,6200,145234,20576,14376,,4610041,0.0,,4760664,1074959,11009223,21114.0,145234.0,6071456,2013年06月30日,7726198,,22135530,22135530,0,4958324,18642358,35687876,,2025422,17756.0,,19592219.0,328041.0,6900000,6071456,,,18900545.0,3260150,,41036075.0,,112953,324465,0,258187,5348199,281318,0
2013-10-30,3,2013,1522203,1330358,13941624,118323,2418002,205775,97266,64209,6200,144224,23151,16951,,5225960,0.0,,4080082,948431,10759522,0.0,144224.0,6082143,2013年09月30日,8965544,,23402911,23402911,0,4958324,15102737,33421842,,2073348,17756.0,,17123605.0,495213.0,7096800,6082143,,,15364229.0,3281878,,38767140.0,,117268,277915,0,261492,5345298,106980,0
2014-02-24,4,2013,1521913,1272588,15155120,154255,2057570,147592,90647,57657,6200,120645,16264,10064,,4361867,0.0,,3996785,993734,10754471,23036.0,120645.0,6085115,2013年12月31日,10179040,,24618704,24618704,0,4958324,14135414,33727347,,2063112,17756.0,,18292348.0,681203.0,6348465,6085115,,,14377642.0,3287822,,38996346.0,,121583,240867,0,242228,5268999,148033,0
2014-04-23,1,2014,1470271,1272588,16422066,196934,2358149,211010,142719,58896,6200,119769,16355,10155,,5472004,0.0,,4655253,1268022,10984753,0.0,119769.0,6085115,2014年03月31日,11445986,,25937722,25937722,0,4958324,15873467,36807801,,2041744,17756.0,20016708.0,,860217.0,6672930,6085115,,,16119135.0,3287822,,42056857.0,,125899,251164,0,245668,5249056,123326,0
2014-07-28,2,2014,1423752,1272588,14538287,214358,5950487,241585,157473,62734,6200,118913,17031,10831,,6404471,0.0,0.0,5042375,1363096,12322991,24041.0,118913.0,6085115,2014年06月30日,9105467,,24068697,24068697,0,5432820,20947014,39992152,,2047716,0.0,20876080.0,,464772.0,8063550,6085115,,,21196141.0,3287822,,45264838.0,,130214,297241,0,249127,5272686,122984,0
2014-10-30,3,2014,1430588,1253017,16626055,215659,3016586,237269,161775,66353,6200,118097,19263,13063,,6676066,0.0,0.0,5912606,1555155,14636988,0.0,118097.0,6085115,2014年09月30日,11193235,,26160767,26160767,0,5432820,19559561,40735944,,2043509,0.0,19082941.0,,704201.0,8304660,6085115,,,19812187.0,3287822,,45972954.0,,134529,274974,0,252626,5237010,102680,0
2015-03-06,4,2014,1412610,1235377,18700748,201581,2992746,248212,153566,51749,6200,129773,18733,12533,,6160007,0.0,0.0,5457860,1569187,14069866,31823.0,129773.0,6085115,2014年12月31日,13267928,,28227251,28227251,0,5432820,17435461,40665838,,2145826,0.0,20013371.0,,1002269.0,6361650,6085115,,,17704079.0,3287822,,45931330.0,,138845,251365,0,268618,5265492,142559,0
2015-04-27,1,2015,1376355,1235377,20400429,284431,3243331,207101,233509,53949,6200,128770,18542,12342,,6980216,0.0,,4514239,1599652,12062984,0.0,,6085115,2015年03月31日,14967609,1280588.0,30006875,30006875,0,5432820,16388359,41201142,128770.0,2249256,0.0,,21822865.0,,5696600,6085115,46667164.0,16660289.0,,3287822,46667164.0,,,143160,302061,0,271930,5466022,127976,0
2015-07-30,2,2015,1964611,1235377,15800555,278151,7568525,100913,214338,62108,6200,127784,18468,12268,,6299090,0.0,0.0,4213454,1634997,11082375,0.0,,6085115,2015年06月30日,9646797,474836.0,25387830,25387830,0,6153758,18706360,38393233,127784.0,2203543,,,20766650.0,,4752440,6085115,44369450.0,18981620.0,,3287822,44369450.0,,,147476,276067,0,275260,5976217,144205,0
