date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付款,長期應付票據及款項合計,長期遞延收入,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,727316,1283970,2561029,288905,6599,669923,669923,,,-36160,266292,295004,15939,156356,0.0,24601,12407,8662,887783,0,,614626,,44.0,0,948289,27212,10881,346.0,43999.0,130131,4042459,2013年03月31日,1323005,,7118073,7102071,0,1182467,1692232,6217803,,510019,,55557,,3759383.0,127320.0,12000.0,4063148,,,1850304.0,514054,,8968377.0,2027,0.0,1716,67938,99950,99950,0.0,510019.0,16002,158072,2750574,0.0,0.0,20689.0,2068875
2013-07-30,2,2013,710566,1283975,1952154,271033,5123,1543158,1542654,,,-44552,223681,206709,15939,132332,0.0,24026,13108,8087,825748,0,,401307,,147.0,504,862043,19726,2635,179.0,43058.0,136921,4062075,2013年06月30日,607633,,6502462,6486784,0,1288964,2224820,6211890,,454920,,55557,,4023817.0,43867.0,11500.0,4064035,,,2357208.0,515147,,8859670.0,1160,0.0,56,32249,76166,76166,0.0,454920.0,15678,132388,2647780,,,1960.0,196000
2013-10-31,3,2013,689037,1248790,2156096,111344,5367,581009,581009,,,-45540,348594,351034,15939,105246,0.0,24939,13090,9000,673827,0,,539231,,32.0,0,1040289,15914,1251,0.0,42443.0,127847,4063798,2013年09月30日,811575,,6716929,6702427,0,1288964,1558420,5850599,,400674,,55557,,3652505.0,78554.0,11000.0,4070205,,,1663722.0,521666,,8380651.0,0,4435.0,56,33398,49713,49713,0.0,400674.0,14502,105302,2530052,,,6407.0,640750
2014-03-17,4,2013,689982,1238796,2357411,120987,5192,697091,676758,,643,-42844,370268,147775,15939,130687,0,25556,13979,9617,465267,0,,355099,,,20333,728308,9777,773,6296,47835,118083,4068930,2013年12月31日,1012890,,6947998,6935756,0,1288964,1561484,6100059,,432303,,55557,,4620233,125438,10000,4084240,,,1692173,536949,,8640171,3588,0,2,30200,68873,68873,0,,12242,130689,2540112,,,15310,1531000
2014-04-22,1,2014,671432,1238793,2525779,137058,4716,521377,520852,,0.0,-33540,479436,196693,30939,106753,,40774,14247,9835,502839,0,,491744,,44.0,525,759779,7991,4766,0.0,47162.0,107315,4083442,2014年03月31日,1181258,,7186432,7176066,0,1288964,1665659,6483251,,375926,,55557,4874125.0,,162887.0,10000.0,4112748,,,1773463.0,571079,,8959895.0,171,,1051,37688,45344,45344,,,10366,107804,2476644,,,29306.0,2930625
2014-07-29,2,2014,663729,1238789,1909128,172745,3452,1443533,1438325,,0.0,-33654,357654,239806,15000,91513,,24635,13975,9635,645862,0,0.0,487803,,1663.0,5208,867101,9662,1195,0.0,46547.0,129233,4110788,2014年06月30日,495443,,6575830,6566729,0,1370841,2396683,6667454,,317878,,42844,4727413.0,,96030.0,10000.0,4114863,,,2488324.0,576392,,9064154.0,0,3670.0,128,18984,30991,30991,,317878.0,9101,91641,2396700,,,4075.0,407500
2014-11-03,3,2014,645138,1275457,2044082,221924,3152,426850,425081,61739.0,,-29310,369388,187310,15000,70016,,22707,9189,7707,672659,0,0.0,378217,,0.0,1769,890364,9245,1697,202.0,45956.0,116150,4114703,2014年09月30日,630397,,6749950,6742222,0,1370841,1264534,5557430,,444101,,42844,3512290.0,,86787.0,0.0,4131665,,,1334723.0,595785,,8084673.0,3292,0.0,173,20538,14871,14871,,444101.0,7728,70189,2527243,,,16962.0,1696200
2015-03-16,4,2014,623725,1193202,2212638,224902,2839,488906,488906,72545.0,,-13577,407762,217474,15000,61601,,22382,4026,7382,549187,0,0.0,342093,,,0,610666,12639,3788,772.0,46849.0,100907,4131255,2014年12月31日,798953,,6954145,6945915,0,1370841,1330731,6004648,,377875,,42844,4312675.0,,90290.0,0.0,4142505,,,1392635.0,604349,,8346780.0,1680,,303,21202,10726,10726,,,8230,61904,2342132,,,11250.0,1125000
2015-04-24,1,2015,609562,1193199,2403259,222095,1787,437044,434587,72572.0,,-25806,323333,131616,15000,92239,,22589,4498,7589,636664,0,,587910,,246.0,2457,682310,16586,7762,638.0,,86561,4142505,2015年03月31日,989574,122430.0,7132309,7124307,0,1370841,1470963,6365688,46280.0,393405,,42844,,4589345.0,,0.0,4142505,8695843.0,1563534.0,,604349,8695843.0,,0,6100.0,332,23052,41461,41461,,,8002,92571,2330155,,,0.0,0
2015-07-28,2,2015,599846,1140284,1960785,218950,1506,1073675,1073675,83617.0,,-34008,408870,150653,15000,84879,,21987,4962,6987,761618,27606,0.0,257116,220126.0,948.0,0,815506,56995,0,0.0,,124531,4142505,2015年06月30日,508499,133449.0,6697269,6690060,700000,1438709,2094184,6636271,45749.0,327008,,13577,,4546102.0,,0.0,4142505,8876333.0,2179064.0,,648384,8876333.0,,0,2830.0,1,24900,34168,34168,,,7209,84880,2240062,,,0.0,0
