date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,65648.0,420000.0,485648,862921,35000,-268950,476221,156308,18298,-46445,507973,22325,21460,10820,100701,14140,21130,924196,122282,,446446,3700,505499,86561.0,18399,2261076,2013年03月31日,-268950.0,,,1835505,1829693,8794388,1151883,2329615,,3541,,71367.0,,300333.0,661.0,629.0,34789,2261076,,,1552665.0,6294,,3388170.0,2006.0,11612,81,117564,300000,5812,400782,1058555,10310,0
2013-08-09,2,2013,65942.0,420000.0,485942,823726,35000,-249487,342113,186265,17101,-59116,508408,22466,20907,10862,86361,343,12300,909545,122282,,460005,2425,574777,86018.0,18309,2261076,2013年06月30日,-249487.0,,,1842363,1836485,8794388,1193051,2415189,,3343,,71667.0,,466669.0,3276.0,599.0,30429,2261076,,,1579493.0,6294,,3421856.0,2243.0,11811,81,113989,300000,5878,386442,1006667,1438,0
2013-11-06,3,2013,66236.0,420000.0,486236,779729,185000,-248256,240892,183039,45272,-57787,507981,21745,41642,10853,85823,344,10991,882871,122282,,445857,1601,595244,85479.0,18219,2261076,2013年09月30日,-248256.0,,,1920480,1839045,8794388,1376976,2516930,,3316,,119997.0,,548544.0,1651.0,1313.0,217823,2261076,,,1702880.0,6294,,3623360.0,19024.0,41155,81,109175,240000,81435,325904,1106430,138,0
2014-03-06,4,2013,0.0,0.0,0,740953,185000,-223624,200670,213936,29794,-49417,43325,43325,27253,10927,85845,309,11325,890304,122282,,519887,1754,628054,85536.0,18129,2261076,2013年12月31日,-223624.0,,,1953317,1872047,8794388,980691,2605662,,3131,,10330.0,,746429.0,1134.0,1157.0,191490,2261076,,,1727862.0,6294,,3681179.0,9165.0,71671,1326,116979,660000,81270,747171,1075517,398,0
2014-05-08,1,2014,0.0,36400.0,36400,709807,185000,-178961,331939,205772,34801,-40609,65997,29597,20464,9943,85365,275,14154,899438,122282,0.0,596954,1778,654199,85090.0,18039,2261076,2014年03月31日,-178961.0,,,2006493,1925518,8794388,969543,2648487,,3085,,10330.0,635231.0,,2000.0,1297.0,97042,2261076,,,1679834.0,6294,,3686327.0,0.0,60788,1326,107755,623600,80975,710291,1037840,4211,0
2014-08-07,2,2014,0.0,36400.0,36400,675117,185000,-148516,370336,203643,49599,-32342,60983,24583,36756,9875,84858,240,10169,848397,122282,0.0,510239,1196,580776,84618.0,17949,2261076,2014年06月30日,-148516.0,,,2045119,1964230,8794388,944559,2706956,,3051,,831.0,758960.0,,2263.0,2168.0,166205,2261076,,,1654343.0,6294,,3699462.0,30.0,59133,1326,101220,623600,80889,709784,992506,294,0
2014-11-04,3,2014,0.0,72800.0,72800,637678,185000,-107144,493718,265763,18100,-37927,95752,22952,25622,9932,84386,206,10226,848770,122282,0.0,485802,3961,632966,84180.0,17858,2261076,2014年09月30日,-107144.0,,,2080952,2000017,8794388,958862,2765528,,3143,,1031.0,741814.0,,2322.0,3507.0,105262,2261076,,,1631774.0,6294,,3712726.0,0.0,0,1326,93293,587200,80935,672912,947198,294,0
2015-03-06,4,2014,,72800.0,72800,613560,185000,-56128,490603,230574,15984,-36892,94005,21205,26106,10051,87333,171,10905,840780,122282,0.0,400258,3823,432224,87162.0,17768,2261076,2014年12月31日,-56128.0,,,2132593,2052068,8794388,762251,2636729,,2957,,1005.0,767063.0,,2960.0,1322.0,30631,2261076,,,1417099.0,6294,,3549692.0,0.0,61642,3315,82773,564200,80525,654848,912963,854,0
2015-05-07,1,2015,0.0,72800.0,72800,590529,185000,2229,434381,191271,19869,-39601,100906,28106,25348,9912,86839,160,15110,883157,122282,0.0,441135,3986,500634,,17678,2261076,2015年03月31日,2229.0,2411.0,1478.0,2187815,2107716,8794388,936203,2861013,86679.0,2728,1005.0,,,875638.0,,,196494,2261076,3741970.0,1554155.0,,6294,3741970.0,,0.0,119503,3313,69912,527800,80099,617952,880957,5198,0
2015-08-03,2,2015,,72800.0,72800,579051,185000,51136,428194,204154,19338,-55258,99181,26381,29454,9568,86335,160,9706,799321,122282,0.0,369339,3859,537843,,17588,2261076,2015年06月30日,51136.0,1173.0,1373.0,2214657,2134672,8794388,985484,2964334,86175.0,2753,1006.0,,,1029705.0,,,307778,2261076,3817589.0,1602932.0,,0,3817589.0,,0.0,118100,3313,59157,527800,79985,617448,853255,138,0
