date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產未實現損益－母公司,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付股利,應收帳款淨額,應收建造合約款,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,84455.0,280285.0,364740,432721,,156948,,,,,147818,147818.0,-24806,364740,,471455,471455.0,,0.0,31428,7737,7737,-24806.0,621070,0,,0.0,280349,,,243743,,31428.0,1478618,2013年03月31日,111350,,1725991,1695277,0,38744,1020639,1876613,,407522,6854.0,,540345.0,5899.0,195040,1478618,,25993,,1168731.0,84517,,2894722.0,800.0,,10964,170129,105700.0,30714,148092,1018109,,0
2013-08-07,2,2013,281067.0,97564.0,378631,435767,,246432,0.0,0.0,0.0,,238367,180996.0,-18894,378631,,443442,36090.0,407352.0,0.0,31524,8947,8947,-18894.0,582614,0,,0.0,305376,,57371.0,274146,,31524.0,1478618,2013年06月30日,158814,,1766084,1755078,0,48776,1074267,1956381,,398092,38842.0,,656179.0,4755.0,101007,1478618,,46050,,1208983.0,48922,,2975067.0,81.0,,10704,175880,92488.0,11006,134716,1018686,,0
2013-11-12,3,2013,281851.0,108963.0,390814,426737,,319601,,,,,210454,210454.0,-27545,390814,,474704,42304.0,432400.0,0.0,31619,9054,9054,-27545.0,639092,0,,0.0,344333,,,237828,,31619.0,1478948,2013年09月30日,231983,,1825090,1824810,0,48776,1138486,2084369,,387288,38842.0,,732745.0,14594.0,132954,1478948,,43310,,1258709.0,53806,,3083799.0,2027.0,,9329,176351,79275.0,280,120223,999430,,0
2014-03-10,4,2013,22179.0,122351.0,144530,434622,,416033,39.0,39.0,40062.0,,250521,250521.0,-15854,144530,,521331,50493.0,470838.0,0.0,33388,9830,9830,-15893.0,575914,0,,0.0,319178,,,315359,,33388.0,1583465,2013年12月31日,328415,,2217975,2217430,0,48776,881747,2193657,,380484,38842.0,,740991.0,25196.0,81769,1583465,,57745,,991641.0,233786,,3209616.0,2808.0,,10443,191023,66063.0,545,109894,1015959,,0
2014-04-28,1,2014,52850.0,0.0,52850,450467,,499403,0.0,,494.0,,183500,183500.0,-1910,52850,,54104,,,,33516,11807,11807,-1910.0,612621,0,0.0,,371468,,,225038,308478.0,33516.0,1592942,2014年03月31日,411785,,2345896,2343146,0,48776,719957,2136511,,370492,38842.0,935776.0,,9844.0,50316,1592942,,50668,,818135.0,252711,,3164031.0,1311.0,,11812,194754,52850.0,2750,98178,1027520,,0
2014-08-08,2,2014,0.0,52850.0,52850,449621,,338457,13.0,13.0,89506.0,,254895,,-21064,271254,218404.0,338844,52372.0,286472.0,,33641,10045,10045,-21077.0,593908,0,0.0,,350329,,,262099,,33641.0,1593172,2014年06月30日,240985,,2175100,2171752,0,81618,977566,2224545,,361391,15854.0,940188.0,,7814.0,48936,1593172,,44254,,1059815.0,261187,,3234915.0,84.0,,8970,189313,39638.0,3348,82249,1010370,,0
2014-11-04,3,2014,0.0,52850.0,52850,443833,,438987,37.0,37.0,150530.0,,249224,249224.0,-10180,52850,,392960,73548.0,319412.0,,33616,50060,50060,-10217.0,569401,0,0.0,,339046,,,205821,,33616.0,1595322,2014年09月30日,341515,,2298880,2295554,0,81618,864484,2191686,,351564,15854.0,872974.0,,8287.0,158219,1595322,,56858,,934622.0,271425,,3233502.0,0.0,,10097,196359,26425.0,3326,70138,1041816,,0
2015-03-05,4,2014,0.0,52850.0,52850,449674,,571433,42.0,42.0,10588.0,,284617,284617.0,27610,52850,,486601,51838.0,434763.0,11891.0,31178,22365,10474,27568.0,534194,35770,0.0,,345170,,,279130,,31178.0,1604482,2014年12月31日,473961,,2456998,2453209,1000000,81618,910059,2393286,,341297,15854.0,1082773.0,,12243.0,147393,1604482,,67786,,968944.0,285454,,3425942.0,0.0,,14494,219320,13213.0,3789,58885,1032656,,0
2015-05-05,1,2015,52850.0,,52850,444391,,622655,112.0,,25780.0,,192394,192394.0,-5717,52850,,80765,,,0.0,31044,11574,11574,-5829.0,561338,35750,0.0,,362976,,,252502,364846.0,,1610242,2015年03月31日,525183,21380.0,2491437,2487665,1000000,81618,895735,2437756,31044.0,333434,15854.0,,1152525.0,,241561,1610242,3430301.0,24574,938864.0,,296235,3430301.0,,0.0,,12085,203146,0.0,3772,43129,992545,,0
2015-08-07,2,2015,,39638.0,39638,447119,,306972,368.0,368.0,198948.0,,544067,224089.0,-16833,39638,,358401,82480.0,275921.0,0.0,30916,39477,39477,-17201.0,579785,35750,0.0,,298337,,319978.0,193326,,,1619422,2015年06月30日,184558,26691.0,2186606,2182799,1000000,122414,1126795,2341448,30916.0,327105,0.0,,1010988.0,,198380,1619422,3355730.0,19682,1169124.0,,308988,3355730.0,,0.0,,11413,200581,0.0,3807,42329,1014282,,0
2015-11-12,3,2015,,13213.0,13213,454514,,326767,1806.0,1806.0,102531.0,,208534,208534.0,71068,13213,,332025,,,0.0,30798,36929,36929,69262.0,611499,35750,0.0,,252813,,,198009,,,1620062,2015年09月30日,204353,33768.0,2301180,2297101,1000000,122414,719702,2040974,30798.0,326217,0.0,,791455.0,,180015,1620062,3066843.0,31359,765663.0,,314954,3066843.0,,,5455.0,15163,208209,0.0,4079,45961,1025869,,0
2016-03-01,4,2015,,0.0,0,469522,,326048,246.0,,50970.0,0.0,207598,207598.0,52487,0,,300758,,,0.0,33693,48986,16161,52241.0,550756,35750,0.0,,256172,,,317854,,,1620822,2015年12月31日,203634,40156.0,2289998,2286066,1000000,122414,762130,2074041,33693.0,292154,0.0,,848311.0,,228857,1620822,3100611.0,29347,810613.0,,322459,3100611.0,,,5392.0,14790,215908,0.0,3932,48483,1026570,32825.0,0
2016-05-13,1,2016,,,0,453130,,271340,,,105481.0,,156926,156926.0,37885,0,,261419,,,,33540,72816,16492,,570336,35750,0.0,,238301,,,220142,,,1621722,2016年03月31日,148926,21665.0,2229382,2225875,1000000,122414,835991,2082094,33540.0,290508,0.0,,924716.0,,387648,1621722,3112883.0,23919,883501.0,,330678,3112883.0,,7532.0,0.0,13970,214335,,3507,47510,1030789,56324.0,0
2016-08-10,2,2016,,,0,451340,32275.0,159897,,,84816.0,,199904,151568.0,34827,0,,329595,,,,33400,43466,11191,,512040,35750,0.0,,203676,72973.0,48336.0,148428,,,1621722,2016年06月30日,29723,15154.0,2122287,2119089,1000000,130174,675842,1818185,33400.0,285598,,,743114.0,,163963,1621722,2845027.0,16285,722740.0,,338393,2845027.0,,3887.0,192.0,13498,214163,,3198,46898,1026842,32275.0,0
2016-11-10,3,2016,,,0,435450,62720.0,106658,,,0.0,,48336,,922,154782,154782.0,327727,,,,33286,27435,11369,,524937,35750,0.0,,263160,72975.0,,191031,,,1623052,2016年09月30日,-23516,15107.0,2041950,2038885,1000000,130174,822113,1908398,,268882,,,864703.0,,250400,1623052,2909317.0,15908,867367.0,,344003,2909317.0,,1445.0,0.0,11968,206432,,3065,45254,1000919,16066.0,0
