date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付股利,應付薪資,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,81965.0,19201.0,101166,1363451,371400,1787524,,113827,49686,543852,442686,97310.0,97310.0,16670,,86998,49686,733535,0.0,,0.0,719168,129929,,,1399719,,610887,1727994,2013年03月31日,1294728,,5263251,5054811,0,492796,1533663,4815818,0,,2400876.0,13829.0,126882.0,1727994,,,2072237.0,1489607,,,,,,,,7335488.0,3.0,0.0,3780.0,0.0,325488,86934,196416,208440,538574,2519670,66771.0,0.0,0
2013-08-09,2,2013,19883.0,275.0,20158,1334692,268771,1098340,0.0,213682,15388,346549,326391,,,16692,,87767,15388,713085,,,0.0,890245,152014,0.0,,1414975,,720535,1738574,2013年06月30日,494760,,4594568,4391193,0,594576,1567369,4245611,9004,,1834356.0,46358.0,132203.0,1738574,,,2157132.0,1538891,,,,,,,,6751700.0,0.0,0.0,897.0,0.0,330330,94324,242741,203375,589763,2506089,68616.0,0.0,0
2013-11-07,3,2013,0.0,1835.0,1835,1265242,241771,1229646,,234710,-84787,327572,325737,,,16504,16504.0,83511,-84787,592032,,,0.0,697741,129302,,,1180372,,682547,1742020,2013年09月30日,626066,,4639203,4441794,0,594576,1293089,4196133,9004,,2136565.0,26542.0,111932.0,1742020,,,1981114.0,1554915,,,,,,,,6620317.0,0.0,,0.0,0.0,430418,151113,241103,197409,688025,2424184,52454.0,0.0,0
2014-03-28,4,2013,0.0,5816.0,5816,1264227,187771,1412997,,225632,-85194,381907,376091,,,16575,,82039,-85194,655033,,,0.0,981996,145384,,,1353256,,706520,1742020,2013年12月31日,809417,,4809967,4624738,0,594576,1649895,4730243,9004,,2449122.0,81044.0,59564.0,1742020,,,2210666.0,1554915,,,,,,,,7020633.0,0.0,0.0,0.0,0.0,307136,49833,237060,185229,560771,2290390,47200.0,0.0,0
2014-05-08,1,2014,0.0,11676.0,11676,1262049,148771,1545569,,219064,-14773,363819,352143,,,19179,,81123,-14773,717908,,0.0,,949197,157103,,,1270148,,737711,1742020,2014年03月31日,941989,,5027441,4827731,0,594576,1592343,4931793,9004,2654769.0,,102997.0,19227.0,1742020,,,2166273.0,1554915,,,,,,,,7193714.0,0.0,,0.0,,323608,32267,231143,199710,573930,2261921,69904.0,,0
2014-08-08,2,2014,0.0,18148.0,18148,1230696,87771,1308558,365824.0,311604,-37304,419739,401591,,,19093,,80945,-37304,757306,,0.0,,894312,148929,365824.0,,1241798,,730479,1742020,2014年06月30日,577177,,4775041,4568189,0,646187,1908040,5038949,85194,2647303.0,,79236.0,0.0,1742020,,,2416493.0,1554915,80675.0,30748.0,1443485.0,1443485.0,7.0,0.0,,7191534.0,,,0.0,,264769,22694,224591,206852,508453,2152585,80938.0,,0
2014-11-07,3,2014,,24164.0,24164,1233690,77092,1542156,,233383,-33152,457635,433471,,,19152,,81762,-33152,844417,,0.0,,1015679,103912,,,1484865,,827861,1742020,2014年09月30日,810775,,5046253,4829096,0,646187,1636632,4977067,85194,2352232.0,,59406.0,0.0,1742020,,,2172144.0,1578072,80675.0,53905.0,1443485.0,1443485.0,7.0,,,7218397.0,,,,,299409,20925,216951,217157,535512,2241330,62170.0,,0
2015-03-23,4,2014,,27770.0,27770,1263210,56959,1772303,,218326,-59074,534466,506696,,,20390,,80728,-59074,907402,,0.0,,1058657,118758,,,1625905,,849900,1742020,2014年12月31日,1040922,,5268702,5033321,0,646187,1777934,5336595,85194,2520739.0,,66053.0,0.0,1742020,,,2368006.0,1578072,80675.0,53905.0,,1443485.0,7.0,,,7636708.0,,,,,360372,49316,209310,235381,590072,2300113,64223.0,,0
2015-05-11,1,2015,,,29462,1382154,56959,1977647,,210925,-227786,530768,501306,,,24650,,76839,-227786,960968,,0.0,,904677,102349,,,1608437,,890681,1742020,2015年03月31日,1246266,107112.0,5305069,5069953,0,646187,1644906,5067479,85194,,2216098.0,,0.0,1742020,7550637.0,2245568.0,,1578072,80675.0,53905.0,,1443485.0,7.0,,7550637.0,,,,,,374323,76525,201689,235116,600662,2483158,71051.0,,0
2015-08-10,2,2015,,,30479,1417646,56959,2072819,0.0,103453,-308546,582471,551992,,,24512,,81118,-308546,1146577,,0.0,,1281147,97930,0.0,,1511845,,923833,1742020,2015年06月30日,1341438,117085.0,5302053,5084365,0,646187,2080513,5398062,85194,,2559197.0,,1880.0,1742020,7963495.0,2661442.0,,1578072,80675.0,53905.0,,1443485.0,7.0,,7963495.0,,,,,,362299,85877,194118,217688,580929,2565433,76990.0,,0
2015-11-09,3,2015,,,30414,1366782,28959,1985382,,76243,-483343,538258,507844,,,24361,,77097,-483343,1136063,,0.0,,1441828,79002,,,1679426,,851313,1742020,2015年09月30日,1207608,101314.0,5041357,4822131,0,718700,2178993,5436716,59074,,2465942.0,,18591.0,1742020,7880329.0,2838972.0,,1578072,80675.0,53905.0,,1443485.0,7.0,,7880329.0,,,,,,449071,119462,186547,219226,659979,2443613,79042.0,,0
2016-03-21,4,2015,,,30336,1425478,28959,2127213,148177.0,59927,-445538,406160,375824,78341.0,,29083,,83100,-445538,1176033,,0.0,,1368556,114274,,148177.0,1704024,36828.0,876367,1742020,2015年12月31日,1349439,84489.0,5229790,5001767,0,718700,2121656,5481685,59074,,2426532.0,,,1742020,8001560.0,2771770.0,,1578072,80675.0,53905.0,,1443485.0,7.0,,8001560.0,,,,,,442055,105971,178976,228023,650114,2519875,,,0
2016-05-06,1,2016,,,30284,1593640,28959,2148698,88165.0,60329,-273400,367006,336722,86011.0,,28840,,94346,-273400,1186241,,0.0,,1179250,101871,,88165.0,1494455,11308.0,1095539,1742020,2016年03月31日,1370924,70377.0,5650379,5406818,0,718700,1806669,5169963,59074,,2331619.0,,,1742020,8067041.0,2416662.0,,1789500,80675.0,265333.0,,1443485.0,7.0,,8067041.0,,,,,,409748,84594,171405,243561,609993,2897078,,,0
2016-08-08,2,2016,,,30284,1635137,28959,1547376,753695.0,207538,-355126,435615,405331,97407.0,,28171,,94416,-355126,1067080,,0.0,,893131,162988,661968.0,91727.0,1559527,6152.0,965167,1742020,2016年06月30日,307630,6748.0,4961094,4723770,0,794208,2252177,5032215,445538,,2093117.0,,0.0,1742020,7840546.0,2879452.0,,1789500,80675.0,265333.0,,1443485.0,7.0,,7840546.0,,,,1394.0,,435270,84652,163834,237324,627275,2808331,,,0
2016-11-11,3,2016,,,30284,1582868,13959,1605072,108136.0,109375,-510360,311362,281078,120742.0,,23367,,94854,-510360,893820,,0.0,,1142540,144187,,108136.0,1783141,7542.0,957259,1742020,2016年09月30日,365326,442.0,4856279,4626232,0,794208,2344201,5059085,445538,,2144465.0,,637000.0,1742020,7828421.0,2972142.0,,1789500,80675.0,265333.0,,1443485.0,7.0,,7828421.0,,534.0,,,,448311,120396,156263,230047,627941,2769336,,,0
