date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付費用,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付費用,存貨合計,存貨－買賣業淨額,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應收退稅款,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－其他設備,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,運輸設備成本,運輸設備淨額,遞延所得稅資產,銀行長期借款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,,14979,9976,256595,57269,57269,36818,23951,-46182,-46182,17425,17425,105406,105406,633.0,581,2613.0,,12221,12221,12221,4224.0,663902,663902,,,976926,682653,1903758,,,15613,,12867,,871576,2013年03月31日,135138,,2188.0,927,1460319,1268470,0,80800,2022899,3444621,40657.0,,714900.0,12637.0,0.0,275989,4756.0,2261,52.0,1261.0,2495.0,5491.0,122.0,871576,,,,2025512.0,186481,,3485831.0,16293.0,10802,530.0,408,4034,,,191849,2613,41210,4224.0,0
2013-08-08,2,2013,,25000.0,18461,29476,235730,65228,65228,38505,21854,-40050,-40050,35806,10806,106446,106446,2608.0,2514,2613.0,,10303,10303,10303,6671.0,793116,793116,34863.0,,925205,740255,1998237,,,28327,,16651,,871576,2013年06月30日,85235,,2295.0,950,1488632,1288600,0,84714,2097991,3551962,65781.0,,580660.0,15638.0,0.0,315859,5161.0,2227,94.0,1345.0,2934.0,5577.0,156.0,906439,,,,2125604.0,186481,,3614236.0,17969.0,12392,534.0,378,4034,25000.0,25000.0,200032,27613,62274,6671.0,0
2013-11-13,3,2013,25000.0,25000.0,17784,27563,256290,86801,86801,48991,23297,-51815,-51815,40762,15762,99494,99494,1843.0,1658,2613.0,,12072,12072,12072,3124.0,965451,965451,0.0,,1319223,737311,2235977,30364.0,30364.0,18348,,25694,,906439,2013年09月30日,105795,,2295.0,854,1507810,1297395,0,84714,2856673,4330643,65781.0,,928894.0,18503.0,0.0,654073,6606.0,3490,185.0,1441.0,3116.0,6173.0,186.0,906439,,,,2884286.0,186481,,4392096.0,17615.0,11442,526.0,340,4034,25000.0,25000.0,210415,27613,61453,3124.0,0
2014-03-26,4,2013,25000.0,25000.0,16703,27563,301005,90487,90487,67943,27887,-45096,-45096,36638,11638,111157,111157,1869.0,1569,,,14104,14104,14104,1879.0,1189102,1189102,,,1176720,928394,2675352,87440.0,87440.0,80198,,40056,,906439,2013年12月31日,150510,,1358.0,769,1567446,1348829,0,84714,3468097,5004941,65781.0,,791870.0,32455.0,0.0,1203403,6666.0,3162,300.0,589.0,3504.0,6393.0,221.0,906439,,5208.0,,3498305.0,186481,,5065751.0,17287.0,10894,530.0,309,2440,25000.0,25000.0,218617,30208,60810,1879.0,0
2014-05-13,1,2014,20000,20000,16788,27563,307121,63609,63609,107595,51966,-26277,-26277,35136,15136,134906,134906,,1492,,,13718,13718,13718,4036,1468456,1468456,,0,1154115,911627,2717486,89496,89496,15165,,55629,,906439,2014年03月31日,156626,,,1991,1597336,1373764,0,84714,3871350,5472713,65781,935573,,40319,,1666544,,2846,,,,,,906439,,4536,,3935886,186481,,5533222,,10177,,282,2440,60000,60000,223572,64536,60509,4036,0
2014-08-08,2,2014,70000.0,70000.0,17399,27563,246509,71947,71947,92485,30306,-45057,-45057,90062,20062,145506,145506,,3501,,,10472,10472,10472,8253.0,2071768,2071768,45322.0,0.0,1225953,1102179,2870321,72051.0,72051.0,32228,,62179,,906439,2014年06月30日,106053,,,1839,1631694,1339694,0,95360,4324194,5966174,45096.0,673562.0,,48531.0,,1785522,,2195,,,,,,951761,,4535.0,,4398729.0,186481,,6030423.0,,9620,,244,8815,70000.0,70000.0,292000,74535,64249,8253.0,0
2014-11-12,3,2014,50000.0,50000.0,16875,26480,296230,85599,85599,103739,47265,-26241,-26241,74843,24843,172521,172521,,2710,,,11001,11001,11001,20554.0,1919263,1919263,45322.0,0.0,1711984,1045458,3601958,98718.0,98718.0,45880,,56474,,906439,2014年09月30日,155774,,,1742,1728874,1408231,0,95360,4805883,6530751,45096.0,568118.0,,61141.0,,1826858,,2637,,,,,,951761,,4536.0,,4860419.0,186481,,6589293.0,,9572,,214,4186,50000.0,50000.0,320643,54536,58542,20554.0,0
2015-03-25,4,2014,50000.0,50000.0,16608,26480,343684,87361,87361,96907,37871,21902,21902,64682,14682,194997,194997,3619.0,2662,,,11912,11912,11912,0.0,1350324,1350324,,0.0,1126465,961957,4057560,73222.0,73222.0,41429,,59036,25478.0,951761,2014年12月31日,203228,,2738.0,1648,1834091,1503828,0,95360,4637993,6414593,45096.0,600154.0,,16988.0,,2380540,5271.0,2443,957.0,1090.0,2828.0,9075.0,375.0,951761,,2420.0,,4665413.0,186481,,6499504.0,18742.0,9667,563.0,188,4433,25000.0,25000.0,330263,27420,84911,0.0,0
2015-05-13,1,2015,50000.0,50000.0,14940,26480,333235,56470,56470,97948,31480,9442,9442,68231,18231,197899,197899,3583.0,2427,1420.0,1420.0,11418,11418,11418,0.0,1510464,1510464,,0.0,1526025,727428,3726022,93558.0,93558.0,101904,,66468,24665.0,951761,2015年03月31日,192779,25779.0,2701.0,1503,1783327,1480919,0,95360,4686381,6405265,45096.0,,677470.0,,,2282448,5217.0,2110,1156.0,1198.0,3107.0,9623.0,406.0,951761,6496128.0,,4712801.0,,186481,6496128.0,,18372.0,8749,557.0,151,13360,25000.0,25000.0,302408,26420,90863,0.0,0
2015-08-10,2,2015,50000.0,50000.0,14557,26480,154379,63721,63721,97681,28827,-2669,-2669,60649,10649,172510,172510,3534.0,2188,1420.0,1420.0,10221,10221,10221,14204.0,1682652,1682652,133247.0,0.0,1218638,795875,3382750,94033.0,94033.0,34134,,68854,25249.0,951761,2015年06月30日,50198,19878.0,2682.0,1437,1689675,1423199,0,104181,4522015,6110419,0.0,,632455.0,,,2363254,5145.0,1635,1346.0,1245.0,3510.0,10102.0,26.0,1085008,6213110.0,,4523435.0,,186481,6213110.0,,18151.0,8049,1274.0,1248,26184,0.0,0.0,266476,1420,102691,14204.0,0
