date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,319858.0,26667,346525,1118554,42077,111482,-9821,408374,61849,124686,5142,236578,40612,-9821.0,884574,0,,,0,243156,49950,0.0,200497,6,1384250,2013年03月31日,-68836.0,2174272,1759196,0,103877.0,1183255,1976358,246314,7036.0,,671809.0,366584,1384250,,,1461580.0,342690,,3635852.0,3709.0,23821.0,16.0,58048,273167,132233,415076,278325,1659494,70965,63733,0
2013-08-14,2,2013,0.0,71750,71750,1218273,-4221,171540,4336,138166,66416,110699,7233,233498,36989,,849324,0,0.0,,200899,221177,29953,20.0,148887,20,1384750,2013年06月30日,-115134.0,2133604,1727604,0,103877.0,1043899,1952350,242915,7036.0,,732172.0,483043,1384750,,,1575130.0,342739,,3708734.0,0.0,451.0,16.0,61698,323083,132255,406000,531231,1756384,110797,64254,0
2013-11-13,3,2013,0.0,75500,75500,1258221,4310,139007,-7973,153815,78315,108131,4046,394113,32685,,870968,0,0.0,,202009,305251,0,302.0,150306,9,1705100,2013年09月30日,-106603.0,2574375,2171246,0,103877.0,840250,1982583,239517,7036.0,,774632.0,241836,1705100,,,1360654.0,469809,,3935029.0,39.0,1571.0,16.0,60595,314333,129653,403129,520404,1952446,76966,231775,0
2014-03-25,4,2013,0.0,180000,180000,1345739,25062,220812,5287,207894,27894,75219,8933,433863,29159,,796591,0,0.0,,168655,165669,0,588.0,110686,13,1721735,2013年12月31日,-65754.0,2623084,2240383,0,90816.0,703873,1916812,236118,0.0,,858933.0,106209,1721735,,,1371723.0,488299,,3994807.0,2701.0,677.0,679.0,62275,489583,129900,382701,667850,2077995,74693,274804,0
2014-05-13,1,2014,0.0,185833,185833,1393507,43010,202447,23972,213680,27847,46940,8235,431028,25643,23972.0,924594,0,,0.0,73224,266109,49874,336.0,172792,123,1766127,2014年03月31日,-47806.0,2757200,2373703,0,90816.0,1084274,2292915,232720,0.0,1006153.0,,351828,1766127,,,1649175.0,540594,,4406375.0,0.0,10153.0,109.0,56205,483333,132033,383497,564901,2113460,132160,273352,0
2014-08-08,2,2014,,182500,182500,1646246,33188,179411,2316,208648,26148,43637,8001,191347,25947,2316.0,965032,0,,0.0,12830,265140,49874,0.0,195301,77,1794506,2014年06月30日,6157.0,2776202,2403564,0,27031.0,1079156,2155378,229321,0.0,859630.0,,376083,1794506,,,1499573.0,573554,,4275775.0,0.0,10178.0,3.0,53483,399583,128662,372638,420417,2120397,81523,36738,0
2014-08-08,3,2014,,132571,132571,1653978,65867,223403,-80391,163701,31130,45161,8003,177325,26027,-80391.0,943573,0,,0.0,12901,191192,29951,0.0,214203,72,1794506,2014年09月30日,38836.0,2715660,2353536,0,27031.0,1160109,2059048,225922,0.0,785824.0,,551505,1794506,,,1455829.0,573554,,4171489.0,357.0,9946.0,54.0,55216,274762,130288,362124,295720,2112441,60269,21010,0
2015-03-27,4,2014,,147583,147583,1646968,92658,187935,-6853,163724,16141,32966,8345,207215,26834,-6853.0,885831,0,,0.0,12972,183209,29951,0.0,209034,403,1794506,2014年12月31日,65628.0,2825495,2453865,0,27030.0,1138800,2079374,222524,0.0,913964.0,,573980,1794506,,,1389771.0,573554,,4215266.0,1.0,0.0,154.0,59185,229500,134762,371630,250971,2135892,37176,45619,0
2015-05-13,1,2015,0.0,141333,141333,1627365,98253,185022,-15553,154489,13156,26276,4462,220714,26136,-15553.0,819968,0,,0.0,13044,152692,0,1365.0,228985,510,1794506,2015年03月31日,71223.0,2821684,2450760,0,27030.0,870287,1807964,219125,0.0,,690931.0,376719,1794506,3935227.0,1113543.0,,573554,3935227.0,,0.0,0.0,0.0,60059,225750,132486,370924,243256,2127263,41294,62092,0
2015-08-06,2,2015,,135083,135083,1631816,44422,229397,-27222,151266,16183,16191,4879,295166,30313,-27222.0,793709,0,,0.0,13116,158093,0,0.0,198084,1649,1794506,2015年06月30日,3976.0,2759950,2385260,0,33593.0,971061,1712952,215727,6853.0,,673749.0,432305,1794506,3917006.0,1157056.0,,573554,3917006.0,,0.0,0.0,0.0,61345,168000,129849,374690,185995,2204054,29570,135004,0
