date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-11-12,3,2013,5158915,1130447,75870,213012,574858,1035287,3460818,236553,892821,243137,21349,,220903,325555,679809,6828122,609766,,,,5441535,224987,0,4669395,117684,3625,1045899,11344928,7555675,2013年09月30日,75870,,,29622474,29621811,24699728,,12648512,21636869,541181,,,8784626,71518,,2748171,7555675,,,447958,,13228260,21707211,522579,0,7930,21176702,,42850734,10388,1126,358845,631653,663,579748,21213865,399531,0
2014-05-14,1,2014,5129652,1155798,525183,279901,617946,1033157,3250182,110924,1405366,289880,1791863,1791863,236423,321326,1125465,6815849,609766,,,0,5129547,137925,0,4800833,364792,5836,1041316,11900819,7648617,2014年03月31日,525183,,,30916593,30916289,24699729,,11904791,21726814,536836,,6850371,,67045,31681,2589362,7648617,,,431231,,12500060,21946889,492567,0,97893,21356429,,43416653,9619,1758,358846,570935,304,595269,21689839,334961,0
2014-08-11,2,2014,5138279,1179288,384354,380830,612387,1037381,4195242,93429,1181683,287581,1770113,1770113,237699,331323,800853,6220180,609766,,,0,6179560,254456,0,6020129,427436,1818,1035779,12143109,7659368,2014年06月30日,328043,,,30618092,30617848,24699728,56311,15271103,24606139,477919,,9074485,,83141,39330,3837696,7659368,,,432149,,15870405,22002209,504931,0,120056,21377222,,46488497,1278,4479,361603,539280,244,599302,21882358,342353,0
2014-11-13,3,2014,5136936,1116258,602818,118664,586297,970782,3454731,88661,1295574,246754,1596845,1596845,244144,339224,1176910,7415542,532485,,,0,6724368,271273,996,5766234,70729,3552,1078746,12304231,7696596,2014年09月30日,546507,,,31170604,31170421,20744728,56311,14896212,24757915,461244,,8740681,,71975,0,3709319,7696596,,,416622,,15501662,22107918,493947,28689,140176,21445106,,46672266,174,31031,361306,506930,183,605450,21914351,458343,0
2015-03-23,4,2014,5211314,1117642,829877,139151,606396,887366,3507921,86337,2011794,294868,1181612,1181612,299237,350272,1872643,7189749,506878,,,0,7371117,263912,0,7526653,231167,4817,1080307,13043136,7694106,2014年12月31日,773566,,,32151619,32151619,19434228,56311,15421096,25753781,316694,,8494325,,50954,40842,3590577,7694106,,,338376,,16052245,22122720,492513,52683,150448,21427076,,48203864,3371,29460,331912,443352,0,631149,22450083,362423,0
2015-05-08,1,2015,5146285,1117520,1261885,140109,599066,870748,3495029,106422,1751206,317012,873075,873075,296429,344540,1611097,8720757,441048,,,0,9617506,251485,,9661465,97147,10395,1074851,13192146,7665461,2015年03月31日,1205574,210434,35807,32361732,32361732,16065228,56311,18243929,28745903,254632,,,8167100,,,4020667,7665461,,51222564,325901,18860832,,22124228,493466,114352,175529,21340881,51222564,,5895,29122,320474,475939,0,616903,22476661,445547,0
2015-08-07,2,2015,5254642,1117367,1249328,196701,640565,857512,4572553,73341,1448452,254914,57488,57488,286960,324104,1251751,7326692,441048,,,0,7724278,203398,0,9912560,149711,2486,1068706,13213348,7771993,2015年06月30日,1064791,236781,32690,32310263,32310263,16065228,132420,17090267,27514315,195599,52117,,8970572,,,3773959,7771993,,50007964,307802,17697701,,22281538,424887,114352,175280,21567019,50007964,,16582,8249,320474,462371,0,607434,22493649,339961,0
2015-11-10,3,2015,5387054,1118065,1740549,-65783,548127,760737,3687109,52680,2322645,529349,20362,20362,289737,367852,2388428,7384830,515226,,,0,4976339,199196,0,5540597,272081,3105,1071388,13794894,7770209,2015年09月30日,1556012,323030,21510,33628377,33628377,19463228,132420,12883369,24002955,152228,52117,,9750637,,,2838894,7770209,,47152139,304925,13523762,,22310200,423886,175288,155846,21555180,47152139,,24527,18748,350656,496966,0,640393,23149184,390278,0
2016-03-25,4,2015,5467908,1143049,2017858,-80096,595826,720789,3691058,62601,1928412,435983,10699,10699,321687,328711,2008508,6272009,522449,,,0,5364344,183363,,5489355,253354,4644,1061808,14024341,7778113,2015年12月31日,1833321,198957,72908,33554409,33554409,19809228,132420,10954621,21840171,119005,52117,,8786787,,,714516,7778113,,45162690,350486,11608281,,22352475,425113,175288,184865,21567209,45162690,,15914,5711,331973,456908,0,653660,23322519,286277,0
2016-05-11,1,2016,5674043,1142827,2181186,29260,616715,710252,3373358,81305,1596621,406377,28860,28860,291831,339075,1589355,5931009,522449,384825,,0,5062772,257510,,5039973,246478,994,1057296,13624759,7794252,2016年03月31日,1996649,264401,72107,33414055,33414055,19809228,132420,10863550,21733550,122521,52117,,8821919,,,1119203,7794252,-21994,44890856,338367,11476801,,22364445,417485,175288,178293,21593379,44890856,,41562,24540,321420,486533,,613251,23157306,484825,0
