date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付股利,應收帳款淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付款,長期應付票據及款項合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,7708,102687,551976,453099,,86146,,41600,362292,42664,41758,,56527,0,0,85242,,,2545,,310813,12952,106580,700000,2013年03月31日,520580,,2355278,2228884,0,31396,166025,1551357,389027,,,,,,,,1032914.0,34670.0,,700000,,,273644.0,614616,,2628922.0,0.0,51092,18464,56527,56527,126394,107619,1077565,67836,,906,0
2013-08-08,2,2013,10973,104269,440162,441657,,291368,63404,98248,388611,44974,43795,,59791,1230,1230,163128,,,34871,227964,329586,26013,141901,700000,2013年06月30日,378472,,2268862,2145015,0,61690,419119,1675348,389716,,,,,,,,919583,47906,,700000,,,529387,616242,,2798249,0,50477,33155,59791,59791,123847,110268,1122901,138790,,1179,0
2013-11-11,3,2013,11354,134777,544205,592411,,84824,84824.0,53142,475786,43573,38677,,104007,1122,1122,197862,,,7991,,350008,43796,137278,700000,2013年09月30日,482515,,2538403,2337874,0,61690,166058,1389636,589992,,,,,,,,665470.0,29670.0,,700000,,,346618.0,617883,,2885021.0,0.0,76553,28451,104007,104007,200529,180560,1495385,79358,,4896,0
2014-03-12,4,2013,12536,168174,556029,843257,,160782,160782.0,51974,631668,70527,65584,52.0,85058,1013,1013,193965,,,2565,,429596,34433,137125,778470,2013年12月31日,494339,,3268001,3049992,0,61690,256901,1882693,615390,,,,,,,,930104.0,23027.0,,778470,,,417891.0,1083825,,3685892.0,,75932,25704,85058,85058,218009,160990,1803199,242569,,4943,0
2014-05-05,1,2014,12417,364371,690267,685588,,116887,116887.0,90724,486915,70078,67644,686.0,87502,905,905,249583,0.0,,5285,,428165,50305,139127,778470,2014年03月31日,628577,,3320551,3051443,0,61690,222073,1870523,604425,,,,,,,987507.0,,29823.0,,778470,,,383072.0,1095791,,3703623.0,,73497,26267,87502,87502,269108,160999,1833100,63553,,2434,0
2014-08-14,2,2014,12276,406598,536026,690490,0,399534,123843,166154,478631,77728,68804,0,88785,176944,797,186854,0,0,11308,275691,540619,61558,133550,778470,2014年06月30日,438817,,3143407,2888139,0,97209,532735,1805331,585915,,,,,,,712256,,44165,,778470,,,691701,1095012,,3835108,,70181,24004,88785,88785,255268,158966,2029777,137890,176147,8924,0
2014-11-12,3,2014,190411,485616,613944,550122,0.0,85968,85968.0,174531,388910,154076,139238,0.0,124676,1137,656,219422,0.0,0.0,40183,,546903,72771,148661,778670,2014年09月30日,516735,,3268479,2891311,0,97209,623625,1646528,1091038,,,,,,,533722.0,,40577.0,302821.0,778670,,,870250.0,1109787,,4138729.0,,121949,25216,124676,124676,377168,246625,2492201,99179,481.0,14838,0
2015-02-26,4,2014,199897,380041,692421,693628,0.0,102076,102076.0,141247,511545,163251,157101,3274.0,168519,964,964,283029,0.0,0.0,57731,,587019,65502,153768,780650,2014年12月31日,595212,,3513621,3099803,0,97209,605850,1805988,1169261,,,25682.0,25682.0,,,605723.0,,21399.0,261393.0,780650,,,899613.0,1115187,,4413234.0,,125244,9687,168519,168519,413818,293763,2607246,94512,,6150,0
2015-05-13,1,2015,201894,375445,807262,642698,0.0,96449,96449.0,144922,464694,161644,157508,3235.0,168182,935,935,217140,0.0,0.0,61798,,676115,69147,149483,780650,2015年03月31日,710053,30636.0,3599340,3168451,0,97209,577336,1943034,1141029,0.0,0.0,,,,,,735496.0,,226809.0,780650,4464996.0,865656.0,,1115845,4464996.0,,,120138,10478,168182,168182,430889,288320,2521962,96979,,4136,0
2015-08-12,2,2015,212585,369878,606075,589856,0.0,402462,121126.0,166498,377528,161938,157445,3187.0,167364,10671,3395,211750,66332.0,,63554,281336.0,750697,70277,157227,780650,2015年06月30日,467202,42940.0,3272825,2825542,1000000,138873,880662,1972439,1109820,,0.0,,,,,,566305.0,,209768.0,780650,4435669.0,1162844.0,,1127621,4435669.0,,,114818,13193,167364,167364,447283,282182,2463230,203725,7276.0,4493,0
