date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他設備成本,其他設備淨額,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,原料,員工福利負債準備－流動,商品存貨,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,在製品,在途原物料,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付公司債溢（折）價,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,房屋及建築成本,房屋及建築淨額,持有至到期日金融資產－非流動,持有至到期日金融資產－非流動淨額,採用權益法之投資,採用權益法之投資淨額,採用權益法之投資貸餘,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－其他長期投資,累計減損－土地,累計減損－房屋及建築,累計減損－電腦軟體,股本合計,製成品,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－土地增值稅,遞延所得稅資產,銀行借款,銀行存款,長期借款合計,長期應收款,長期應收款－關係人,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,零用金／週轉金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,186007,121872,307879,633867,80286,,50024,122566,,,,,-9128,310639,2760,8267,43996,8489,-31000,115,,-23953,4425,4425,,,104517,1979,0,-9128,253929,253929,1016529,26631,115,2025,1161888,1161888,0,,0,,,,0,,,78243,,,,7297,399019,348995,,,,0,524239,303238,,,,,0,586304,2013年03月31日,38355,,,596866,63211,700579,700579,0,5165,685814,1849551,,,,,0,249500,249500,,,36766,,249901,758,164312,,,35507,221001,533655,,7335,6971,31000,,,,586304,14211,,1979,,2010500,43117,,,,18034,18041,25076,7,,2711079,8690,1355,20,0,10616,3645,1650,1650,2114,,249242,1322921,,,,,659,,,0,1324686,861528,80500,597,0,0
2013-08-13,2,2013,182591.0,120895,303486,628076,75948,,50262,127270,,,,,-6682,306264,2778,10049,44313,8081,-31000.0,355,,-26074,3328.0,3328.0,,,106164,1907.0,0.0,-6682,254817,254817,962495,19319.0,355,1598,1118491,1118491,0.0,,,29315.0,,,0.0,,,81780,,,,6795,505476,455214,,,,,527632,300728,,,,,0.0,586304,2013年06月30日,9367,,,600669,59755,733842,733842,0,10418,681121,1860064,,,,,6000.0,243500.0,243500.0,,,56163.0,,193452.0,0.0,157105,,,36232,226904,540914,,7625.0,7246,31000.0,,,,622237,30513,,1907,,1973128.0,42339,,,,18034,18041,24298,7,,2706970.0,8892.0,1267.0,0.0,116.0,10674,3428,1650,1650.0,1404,,192481,1290002,,,,,971.0,,,,1292007,846906,76742,0.0,6618.0,568803
2013-11-11,3,2013,147707.0,108431,256138,610303,101528,,49659,127516,,,,,-13704,257764,1626,12091,45327,9392,-31000.0,350,,-26191,3273.0,3273.0,,,101982,1548.0,0.0,-13704,252570,252570,975826,32266.0,350,1536,1140767,1140767,0.0,,,0.0,,,0.0,,,117768,,,,6267,431792,382133,,,,,520559,291910,,,,,0.0,621307,2013年09月30日,34949,,,547877,51980,789474,789474,0,10417,629637,1894671,,,,,13500.0,206000.0,206000.0,,,56162.0,,257915.0,0.0,118774,,,35935,228649,495897,,7799.0,7387,31000.0,,,,663272,30693,,1548,,1898476.0,38378,,,,18034,18972,19406,938,,2687950.0,9014.0,1215.0,0.0,171.0,10623,3236,1650,1650.0,3167,,247941,1266839,,,,,9974.0,,,,1268839,793279,88094,0.0,41965.0,3711598
2014-02-14,4,2013,0.0,93502,93502,612113,121200,,29191,125755,,,,,-9805,94311,809,18435,43364,6654,-31000.0,770,,-24429,4431.0,4431.0,,,91226,1349.0,0.0,-9805,253825,253825,901599,17879.0,770,2140,1033342,1033342,0.0,,,0.0,,,0.0,,,179297,,,,4504,550229,521038,,,,,524506,289416,,,,,0.0,790634,2013年12月31日,54621,,,557247,56710,944877,944877,0,10417,580874,2076791,,2277.0,,,13500.0,16000.0,16000.0,,,56162.0,,415169.0,657.0,175001,,,36710,235090,500537,,8123.0,7654,31000.0,,,,790634,22638,,1349,,1739884.0,42848,,2044.0,,18034,40804,0,22770,,2684761.0,9196.0,1073.0,0.0,0.0,12089,4435,1915,1915.0,2009,,414107,1156325,,,,,1062.0,2277.0,2277.0,,1159010,607970,75307,0.0,0.0,0
2014-05-13,1,2014,0.0,468535,468535,634302,170618,,29656,118768,,,,,287,470004,1469,12178,35822,7176,-31000.0,1812,,19638,47145.0,47145.0,,,111357,1354.0,,287,257273,257273,861714,0.0,1812,2579,1002684,1002684,,,,,0.0,,,,,60267,,,,2949,312983,283327,,,,,535362,290741,,,,,,790634,2014年03月31日,104039,,,588752,73223,1004387,1004387,0,10417,823335,1901473,,2223.0,,,6000.0,16000.0,16000.0,,,56162.0,568316.0,,13106.0,156887,,,28646,244621,515529,,8515.0,7419,31000.0,,,,790634,29613,,1354,,1569806.0,42848,,2044.0,,18034,40804,0,22770,,2574193.0,9506.0,991.0,0.0,,12317,4898,1772,1772.0,557,,567751,742887,,,,,565.0,2223.0,2223.0,,746471,672720,28968,914.0,,0
2014-08-08,2,2014,0.0,29870,29870,638760,85519,,29233,120736,,,,,-8667,31731,1861,59641,35991,6825,-31000.0,1896,,21688,46216.0,46216.0,,10024.0,101684,1262.0,,-8667,254138,254138,922163,581.0,1896,2552,1050353,1050353,,,,74438.0,0.0,,,,,117791,,,,5068,358888,329655,,,,,529620,284745,,,,,,1240634,2014年06月30日,56312,,,601624,84206,1643532,1643532,0,19402,1274107,2284373,,2073.0,,,400000.0,0.0,0.0,,,9805.0,354375.0,,22002.0,975517,2181.0,2151.0,29166,244875,517418,30.0,8934.0,8207,31000.0,,,,1315072,25925,,1262,,1307586.0,251608,,2044.0,,226794,249564,0,22770,,2951118.0,10896.0,1962.0,,10024.0,12940,4733,1713,1713.0,4224,,353380,29870,,,,,995.0,2073.0,2073.0,,33479,666745,80325,3920.0,0.0,0
2014-11-12,3,2014,0.0,30420,30420,640942,84739,,23320,85739,27565.0,,,,194,36684,6264,63850,36507,6066,-31000.0,1948,,-17599,5008.0,5008.0,,0.0,102607,1307.0,,194,257012,257012,821868,11162.0,1948,8393,1081013,1081013,,,,0.0,0.0,,,,,95197,,,,3356,383100,359780,,,,,538742,284966,,,,,,1315072,2014年09月30日,55532,,,615980,84555,1672301,1651613,0,19402,1279222,2351762,,1924.0,,,454756.0,0.0,0.0,,,9805.0,295831.0,,26690.0,1002684,2181.0,2060.0,30441,253776,531425,121.0,9335.0,8679,31000.0,,,,1315072,145376,,1307,,1305738.0,251608,,2044.0,,226794,249564,0,22770,,2978039.0,11143.0,1808.0,,0.0,13154,4475,1753,1753.0,1010,,294537,22815,,,,,1294.0,1924.0,1924.0,20688.0,26516,626277,96532,,0.0,0
2015-03-19,4,2014,0.0,31169,31169,622751,75477,,6217,108030,0.0,,,,23165,32453,1284,50460,37680,5738,,2033,,42496,1495.0,1495.0,,30000.0,71085,1344.0,0.0,23165,263439,232439,837742,457.0,2033,6505,982529,982529,0.0,,,0.0,0.0,,0.0,,,105605,,,,4316,446231,440014,,,,,559142,290999,,,,,0.0,1315072,2014年12月31日,46270,,,641440,83774,1684820,1665322,0,19402,1316146,2356554,,1880.0,,,456970.0,0.0,0.0,,,9805.0,330520.0,,36488.0,1027910,2181.0,1969.0,31942,268143,557666,212.0,9994.0,9387,,31000.0,,,1315072,73245,,1344,,1339826.0,251608,,2044.0,,226794,249564,0,22770,,3024646.0,11603.0,1609.0,0.0,30000.0,15610,6223,6394,6394.0,965,,329014,15253,31645.0,,31645.0,,1506.0,1880.0,1880.0,19498.0,23680,668092,66061,2851.0,0.0,0
2015-05-11,1,2015,,31300,31300,607956,21140,,15575,133694,2287.0,,,,16789,58683,27383,25120,38065,5726,,24665,22611.0,160111,1479.0,1479.0,,1287.0,66463,1402.0,23763.0,16789,261610,230610,870289,0.0,2054,6440,1013629,989866,23763.0,1579.0,,,0.0,990000.0,889565.0,-100435.0,,148615,,,,2524,376050,360475,,,,,553336,283027,,,,78756.0,,1315072,2015年03月31日,-8067,,31942.0,635003,78909,1653025,1632900,0,19402,483991,2211052,,4877.0,,256340.0,,,,0.0,0.0,9805.0,,438705.0,,104844,2181.0,1878.0,32339,270309,556094,303.0,10191.0,9764,,31000.0,,,1315072,53114,3064159.0,1402,1411134.0,,279899,,2044.0,,226794,249564,28291,22770,3064159.0,,12351.0,2160.0,,1287.0,15410,5646,5088,,1407,,437126,7825,152192.0,,152192.0,,,4877.0,4877.0,20125.0,927143,853107,115496,0.0,,0
2015-08-11,2,2015,,30860,30860,592018,-87272,,18351,137052,,,3481.0,,8870,36476,5616,25494,38068,5413,,24722,22611.0,110925,2775.0,2775.0,693.0,14715.0,62843,1428.0,33185.0,8870,259311,228311,871212,992.0,2111,6418,1019405,986220,33185.0,,,52603.0,,990000.0,898495.0,-91505.0,,205487,,,,3992,361193,342842,,,,,546039,274403,170000.0,170000.0,,76620.0,,1315072,2015年06月30日,-109613,,819.0,624755,75053,1588367,1569172,0,22341,749762,2309201,,4585.0,,287662.0,,,,,,0.0,,462295.0,,364508,2181.0,1787.0,32655,271636,549702,394.0,10354.0,9848,,31000.0,,,1367675,51173,3264812.0,1428,1676445.0,,279899,,2044.0,,226794,249564,28291,22770,3264812.0,,12358.0,2004.0,,15408.0,14895,5047,3466,,1463,,461533,0,101397.0,335.0,101397.0,335.0,762.0,4585.0,4585.0,19195.0,926683,955611,152614,0.0,,0
