date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,國外營運機構財務報表換算之兌換差額－採用權益法之子公司,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,專利權淨額,專門技術,專門技術淨額,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,長期遞延收入,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數
2013-08-13,2,2013,59445,773053,89435,709604,,,210848,5411,60625,1180,28014,,111052,0,201887,0,0,5411,,5523,475102,430704,44398,0,,,,397308,9240,1850,39996,3316,854457,12818,2044,82152,,111052,440414,800000,2013年06月30日,646679,,88401,1989018,1989018,0,62925,1026769,1642005,,0,,,168021,28014,275572,558278,800000,,,1190024,474003,14474,459529,459529,,,3179042,,0,32248,52203,,,163255,1537037,19397,196364,,,0
2013-11-08,3,2013,45998,758909,88613,734547,,,132287,1299,47146,1148,34135,13,111640,0,249114,,0,1299,,5534,546987,546987,,,,,,303849,9889,1874,39931,1780,740699,8504,1381,69542,,111640,440544,800000,2013年09月30日,671622,,113344,2013632,2013632,0,62925,968102,1568412,,13,,,138731,12496,418850,558278,800000,,,1123663,477786,18257,,459529,,,3137295,,0,31690,43921,,,155561,1568883,28433,243580,,,0
2014-03-27,4,2013,38556,901107,89062,751784,,,134819,5881,40175,1619,21386,,112751,0,94409,,0,5881,,5523,574036,574036,,,40,40,,244172,8891,10747,49915,0,786941,9451,950,65969,,112751,440556,880000,2013年12月31日,688859,,143923,2271447,2271447,0,62925,782924,1647738,,40,,,162236,17364,276841,544936,880000,,,934185,633782,22253,,611529,,,3205632,,126,32720,38384,,,151261,1557894,26769,88886,,,0
2014-05-12,1,2014,24366,924766,90334,761435,,,84828,12121,25571,1205,25198,,113437,0,48899,,0,12121,12121,5508,496180,496180,,,64,64,0,229502,5972,14474,49915,1948,755593,2256,950,66317,,113437,444990,880000,2014年03月31日,698510,,,2290136,2290136,0,62925,675322,1572828,,64,,184234,,18112,245000,698510,880000,,,823212,636580,25051,,611529,611529,,3113348,,871,31467,33582,,,147890,1540520,42100,43391,,,0
2014-08-12,2,2014,22160,920514,81247,758337,,,149371,4516,23710,1550,33717,,114125,,24876,,,4516,4516,5597,516142,516142,,,64,64,0,294965,3387,5364,49916,3729,803083,4213,950,59582,,114125,453038,880000,2014年06月30日,682310,,66393,2282848,2282848,0,76027,762153,1677395,,64,,230708,,11711,220000,615917,880000,,,905094,639995,28466,611529,611529,,,3187942,,33,30808,28783,,,142941,1510547,29000,19279,,,0
2014-11-10,3,2014,19936,892136,80476,798041,,,94398,11679,20553,617,27193,64,113564,0,22982,,0,11679,,3611,433748,433748,,,,,0,216068,1409,11329,49917,1948,795036,6588,1217,94002,,113564,470026,892030,2014年09月30日,722014,,106097,2343326,2343326,0,76027,614648,1599166,,64,,204885,,4026,215000,615917,892030,,,752449,641576,14540,,627036,,,3095775,,247,30925,23990,,,137801,1496609,36497,19371,,,0
2015-03-24,4,2014,19192,859637,82463,831964,,,112568,29154,22452,3260,30276,,114655,0,61909,,0,29154,,3676,545887,545887,,,40,40,0,260613,5451,15331,49921,3836,801868,9072,37995,89677,40800,114655,449547,892230,2014年12月31日,755937,,144613,2396679,2396679,0,76027,716111,1763214,,40,,139261,,15939,230000,611324,892230,,,851848,643331,16038,,627293,,,3248527,,1890,31717,19192,,,135737,1485313,68378,58233,,,0
2015-05-11,1,2015,19192,829661,81703,867598,,,104320,23506,19609,417,33201,,114648,,73983,,,23506,,3699,542892,542892,,,40,40,0,310253,8627,2211,49921,2003,778441,3256,72570,75899,0,,457662,892240,2015年03月31日,791571,22158,35634,2428392,2428392,0,76027,689102,1772141,114648,40,,,241180,,170000,755937,892240,3247772,819380,,645048,17742,,627306,,3247772,,,1236,32582,14394,,,130278,1475631,24702,70284,,,0
2015-08-10,2,2015,19192,793515,80861,851025,,,175044,18794,21849,2657,17805,,113621,,106703,,,18794,,3670,503610,503610,,,40,40,0,287934,6229,8170,49922,274,859451,10087,71620,63012,0,,461630,892240,2015年06月30日,760537,22252,56742,2409104,2409104,0,90488,806674,1864429,113621,40,,,314108,,235000,703795,892240,3338995,929891,,647045,19739,,627306,,3338995,,,0,31817,9596,,,123217,1474566,24736,103033,,,0
2015-11-09,3,2015,19192,761564,69537,911618,35305,56591,168591,70890,20022,830,34990,,108447,,240014,,54387,35585,,3870,508107,508107,,,40,40,0,328221,10135,6430,49925,2053,935215,5641,33835,51455,0,,466901,897910,2015年09月30日,821130,21080,142111,2528108,2528108,0,90488,841457,1866829,108447,40,,,269191,,235000,679019,897910,3492019,963911,,647690,12820,,634870,,3492019,,,9209,30543,4798,,,122454,1625190,28395,181757,,,0
