date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付租金,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,125000,3849185,187049,1925978,348390,658569,658569,56403,,347161,161083,36083,91128,52346,163839,8181,663705,622534,70640,1395703,58619.0,,1061915,51165,199843,976.0,1313003,466537,4784,155658.0,370073,3719560,4473975,2013年03月31日,1192871,,8096430,7208964,3000000,733107,3323462,5754138,,122986,,922883.0,8500.0,,0.0,,1501973.0,28364.0,720.0,1146195,4473975,,13842,,7415534.0,520469,,15511964.0,1510.0,1004,953233,488378,2975000,36672.0,887466,4092072,9757826,4499.0,,,,0
2013-08-08,2,2013,330000,4020521,172089,1879397,424307,1064384,1064384,67100,,532351,372842,42842,114881,51493,168505,13096,753965,710876,70640,1499162,58619.0,,1246731,74122,199831,264.0,1532241,546364,6206,155409.0,366602,3798721,4473975,2013年06月30日,1096980,,8231168,7350490,3000000,752477,4568824,6592920,,122133,,926419.0,8500.0,,29940.0,,1897254.0,27011.0,,1571415,4473975,,12224,,8521085.0,523386,,16752253.0,0.0,3293,1013756,492495,2770000,37172.0,880678,3952261,10159333,5917.0,,,,0
2013-11-08,3,2013,630000,4070493,246022,1951747,463029,786672,786672,73238,0.0,532030,704608,74608,104493,48328,165377,13033,627871,586384,70640,1543370,58619.0,,1270151,71063,199839,0.0,1482957,601149,6648,152344.0,363131,3857107,4473975,2013年09月30日,1169330,,8407267,7425047,3000000,752477,4867000,6684717,,118968,,895288.0,8500.0,,29940.0,,1971423.0,24278.0,,1792992,4473975,,17397,,8496094.0,525914,,16903361.0,0.0,5149,993717,463523,2470000,35570.0,982220,3629094,10218644,5917.0,1002.0,1002.0,,0
2014-03-25,4,2013,710000,4327446,253791,1862946,447778,942881,942881,138187,,633871,800522,90522,85186,47739,179017,8232,426097,390199,70640,1668479,58619.0,,1203676,63707,99865,1227.0,1388616,543038,3174,170785.0,359660,3845808,4474773,2013年12月31日,1080529,,8850412,7709952,3000000,752477,4982306,7032888,,118379,,1141032.0,8500.0,,29940.0,,2056584.0,87339.0,,1757917,4474773,,25172,,8493447.0,796981,,17343859.0,0.0,7573,1067124,523512,2265000,35898.0,1140460,3511141,10310971,0.0,1019.0,,,0
2014-05-09,1,2014,1010000,4309730,253791,1942306,535360,759430,759430,173175,,837021,1126808,116808,103014,44844,176672,6350,401860,365748,70640,1829077,58619.0,0.0,1262126,48588,149890,3.0,1452143,476311,3776,170322.0,356189,3981097,4479061,2014年03月31日,1159889,,10015309,8620281,3000000,752477,4873337,7663106,,115484,,1032643.0,8500.0,,29940.0,2591935.0,,149887.0,,1344672,4479061,,28597,,8126310.0,1420512,,18141619.0,3336.0,0,1111301,516502,1965000,36112.0,1395028,3252973,10478513,0.0,1032.0,1032.0,,0
2014-08-08,2,2014,410000,4213331,253587,1932571,518328,1234081,1234081,115919,,676665,490508,80508,84291,46404,166205,6350,391709,356571,70640,1794195,0.0,0.0,1291609,58458,0,2.0,1664513,512470,4242,159855.0,352718,4005670,4482211,2014年06月30日,1164631,,10350645,8956267,0,767940,4005897,7642533,,117044,,1055155.0,14900.0,,0.0,2407273.0,,187133.0,,716643,4482211,,27463,,7657437.0,1864820,,18008082.0,,3463,1125335,498262,2360000,35138.0,1394378,3651540,10365549,0.0,1012.0,1012.0,,0
2014-11-13,3,2014,410000,4228451,253587,2110863,483968,2221824,2221824,101627,,761490,475017,65017,87498,42273,164417,6350,467804,432269,70640,1830284,0,0,1346061,75196,99920,1,1589209,591531,1130,158067,349247,3967324,3148374,2014年09月30日,1342923,,9532349,7898062,0,767940,5277119,8145033,,112913,,1061241,14900,,0,2877987,,238002,,793081,3148374,,28017,,8928473,1877335,,18460822,,3496,1126937,437595,2360000,35535,1634287,3651354,10315789,0,1030,1030,,0
2015-03-25,4,2014,285000,4263234,177883,2094574,452904,940933,940933,202431,,1053154,354484,69484,85750,43721,203169,6350,481933,445028,70640,1741067,0.0,0.0,1133575,52441,99978,0.0,1430397,557264,593,196819.0,345776,4201432,3149674,2014年12月31日,1326634,,10097093,8266622,0,767940,4791207,8125539,,114361,,1527548.0,18004.0,,0.0,2576863.0,,225067.0,,1967960,3149674,,16769,,8550762.0,1969220,,18647855.0,,2548,1276386,466789,2280000,36905.0,1830471,3759555,10522316,0.0,1078.0,1078.0,,0
2015-05-07,1,2015,660000,4196039,177883,2201946,492612,835824,835824,133667,,949226,686492,26492,96088,40467,198156,1350,447944,411852,70640,1668063,0.0,0.0,1022525,46101,99998,9.0,1363240,438075,2761,,342305,4140775,3156327,2015年03月31日,1434006,199664.0,10261495,8356290,0,767940,4794401,8045104,196806.0,111107,1399188.0,,,9900.0,0.0,,2941266.0,,,1885534,3156327,18431027.0,18254,8169532.0,,2048791,18431027.0,,0.0,1694,1271975,467358,1905000,36092.0,1905205,3375131,10385923,,1062.0,1062.0,,0
2015-08-12,2,2015,535000,4023552,177883,2300934,463306,1508190,1508190,118852,,849068,552181,17181,92643,41905,198712,1350,422655,387165,70640,1552141,0.0,0.0,1104200,70208,99950,0.0,1449121,525561,3425,,338834,4451219,3159907,2015年06月30日,1490135,52126.0,10075624,8372529,0,810799,5234412,8232588,197362.0,112545,1540293.0,,,9700.0,0.0,,2944435.0,,,1828345,3159907,18674729.0,19212,8599105.0,,2062620,18674729.0,,,5065,1340981,442447,1825000,35490.0,1703095,3364693,10442141,,1052.0,1052.0,,0
