date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應付租賃款－流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資本公積－限制員工權利股票,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,0,3218550,10,1508656,42203,802976,159205,,50908,447181,434768,134044,,,135901,218081,297854,,,29171,2532785,,1223639,4173233,133099,12413,1410588,,352011,,38351.0,,1978734,2013年03月31日,1014105,,,4101957,4101957,0,362873,7008635,8725515,,160406,26936.0,131678,,4049091.0,197637.0,29665.0,1202875,1990525,,40729,,8466554.0,551868,,,,,,,,12568511.0,262,106,59903.0,16199,64070,10643,28140,179730,108523,,1457919,3842996,,2944,24259,11791,1179054
2013-08-14,2,2013,0,3302780,10,1240795,40627,1607126,259467,,90678,394046,381571,189029,161851.0,27178.0,158914,214479,319139,,,31448,2426551,,1222280,4448599,229912,12475,2297188,,210836,,37949.0,,1993428,2013年06月30日,670760,,,3882459,3882472,0,438357,8486169,9923139,,149630,,131678,,4494420.0,198303.0,29665.0,1558989,1993428,,38034,,9939449.0,557571,,,,,,,,13821908.0,2006,644,153.0,16521,86430,9154,12336,176530,109967,-13.0,1453280,3898769,,3003,18810,0,0
2013-11-11,3,2013,0,3240744,10,1468090,40463,1082409,172090,210.0,13520,338891,326353,172187,145160.0,27027.0,159254,210768,357990,,,43605,2435019,,1198533,4213141,156358,12538,1967935,38214.0,286392,8506.0,37532.0,6300.0,2040438,2013年09月30日,898055,,,4245296,4245322,0,438357,7202097,8996191,,138816,,131678,,3882142.0,176192.0,29665.0,1179922,2049440,,38125,,8628608.0,714272,22851.0,113472.0,551316.0,98736.0,437844.0,41369.0,,12873904.0,1996,0,153.0,17210,93237,15063,865,173236,107858,-26.0,1426511,3877713,,2966,47273,9002,900220
2014-02-20,4,2013,450920,3245122,10,1691990,41987,1278833,204989,214,72174,695679,232159,160918,133639,27279,159627,206444,377791,,1451,51365,2634256,,557029,4521109,100833,12600,1938315,78035,603742,5653,35068,4004,2052448,2013年12月31日,1121955,,,4727695,4727695,0,438357,7887024,9471368,,138650,,131678,,3812508,231209,29685,986508,2110586,,38631,,8665204,852945,22851,113472,708448,80277,594976,41369,,13392899,1406,0,0,14707,113967,32816,25,169925,109344,,778180,3921531,,3028,57455,58138,5813774
2014-05-07,1,2014,211285,3242238,10,1875781,49946,1242331,138158,0.0,71589,488336,264387,130220,115213.0,15007.0,159966,202705,361391,,1439.0,41327,3112037,0.0,243031,4671464,167059,12664,2017094,0.0,1115679,0.0,34669.0,0.0,2176536,2014年03月31日,1305746,,,5465058,5465058,0,438357,8458714,10474352,,137970,,131678,3954038.0,,207835.0,0.0,1614513,2256654,,46178,,8919823.0,1261034,22851.0,125262.0,1159464.0,52020.0,1034202.0,26699.0,,14384881.0,3158,316,0.0,15373,118974,17840,3807,166597,107698,,461109,3910529,,3003,52400,80118,8011838
2014-08-12,2,2014,212394,3221759,10,1541106,51715,2149579,208711,0.0,50102,507554,282433,134736,134736.0,0.0,160347,206542,379394,,9005.0,42035,3288027,0.0,230183,5195294,124122,12727,2494763,0.0,985833,0.0,34284.0,0.0,2258047,2014年06月30日,886578,,,5123046,5123046,0,522850,10462641,12109167,,135551,,131678,4966127.0,,229303.0,0.0,2221261,2259931,,33658,,10918223.0,1271907,22851.0,125261.0,1194966.0,27391.0,1069705.0,26699.0,,16041269.0,1419,5738,0.0,18857,143673,451,22281,163253,105082,0.0,455582,3932102,,2951,71930,1884,188388
2014-11-12,3,2014,326408,3227198,10,1780332,56282,1498511,174187,0.0,232026,611552,272354,186018,186018.0,0.0,160809,203071,412758,,9258.0,31968,3291953,0.0,39725,5824210,127038,12790,2773391,0.0,1062508,0.0,33895.0,0.0,2260434,2014年09月30日,1125804,,,5622853,5622853,0,522850,10517907,12441610,,135151,,131678,4813350.0,,189368.0,0.0,2224986,2278718,,42236,,10798628.0,1331777,22851.0,125261.0,1262241.0,19986.0,1136980.0,26699.0,,16421481.0,6,13876,0.0,37925,148472,0,123293,159918,107294,0.0,280721,3979871,24349.0,3034,88338,18284,1828356
2015-03-11,4,2014,249776,3321363,10,2029514,58802,1687914,331249,0.0,333022,480373,217743,213979,213979.0,0.0,161309,207573,378695,,10939.0,24438,3629484,0.0,39134,6573478,0,12854,2788545,0.0,1622971,0.0,40068.0,0.0,2292181,2014年12月31日,1374986,,,6058947,6052857,0,522850,11652110,13912947,,131845,,131678,5223705.0,,312902.0,0.0,2541694,2299623,,54504,,11929450.0,1390698,22851.0,124381.0,1328947.0,12588.0,1204566.0,26312.0,,17988397.0,1245,320,,30633,184735,0,99565,156566,109885,6090.0,277340,4075450,,3129,83063,7442,744142
2015-05-14,1,2015,231659,3260786,10,2197350,71631,1760980,248329,,532452,472511,227933,200436,200436.0,0.0,161771,203145,383904,,10269.0,25684,4173354,0.0,19834,6950513,70823,12919,3115380,,1974573,,,,2301397,2015年03月31日,1542822,195997.0,5158.0,6463951,6459052,0,522850,12597670,15315761,39678.0,128945,,131678,,5220762.0,,,3081753,2309987,19362756.0,65093,12898805.0,,1419263,22851.0,124381.0,1361189.0,8911.0,1236808.0,26312.0,19362756.0,,0,8968,,78156,201719,0,365656,153198,108032,4899.0,301135,4046995,,3145,88417,8590,858970
2015-08-13,2,2015,227647,3434995,10,1839036,85499,2938616,241101,,292237,543334,299383,233941,,,162231,197894,306766,,8790.0,20981,5158326,0.0,19920,8637162,73029,16304,4107876,,2647536,,,,2309987,2015年06月30日,1089578,172115.0,20120.0,5872135,5868407,0,617780,16199817,18106657,39291.0,196281,,131678,,5561876.0,,,3688427,2311222,22328033.0,134290,16455898.0,,1425912,25466.0,124381.0,1365710.0,8424.0,1241329.0,26312.0,22328033.0,,5675,726,,38267,197825,7169,132044,149813,106092,3728.0,256081,4221376,,3111,17462,1235,123538
2015-11-13,3,2015,19910,3474294,10,2280850,126452,2552757,159360,,491553,306046,269751,229796,,,162691,194245,321341,,8937.0,30677,5575451,0.0,48290,9876762,118211,16385,4475247,,2445025,,,,2408640,2015年09月30日,1531392,181615.0,,6699351,6697363,0,617780,16649943,19214321,38897.0,311068,,131678,,5928551.0,,,3337589,2409378,23673319.0,82705,16973968.0,,1515582,33265.0,124381.0,1449685.0,6320.0,1325304.0,26312.0,23673319.0,,16673,0,,81490,225833,177585,397655,146411,109532,1988.0,324025,4458998,0.0,3236,18441,738,73771
