date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保固之短期負債準備,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,員工福利負債準備－流動,存貨合計,存貨－買賣業淨額,庫存現金,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應付股利,應付薪資,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,銷貨退回及折讓之短期負債準備,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,8370,1234009,304631,,2098598,10266,348454.0,,23957,391536,34199,217730,79225,,138505,114233,112054,,1388993,1388993,,0.0,,,2595033,273477,5209,,,,2386052,38106,132522,,114233.0,994567,1497044,2013年03月31日,5036902,5015635,0,3870298,6447623,,,1531584.0,150641,1497044,,105948,,4131076.0,1396036,316.0,574.0,1395146.0,1395146.0,,9167978.0,742370,31715,75094,114830.0,,114830,21267,260778,2720355,348967,0
2013-08-09,2,2013,,8763,1328484,249100,,1760461,47837,852708.0,315821.0,10405,517943,147691,257738,91208,,166530,115443,114458,,1464061,1464061,,0.0,29827.0,,2629337,401399,23922,,536887.0,,2581926,43910,171259,,115443.0,941226,1499044,2013年06月30日,4740550,4702925,0,4693266,6986020,,,1387702.0,201093,1528871,,66864,,4945613.0,1403188,316.0,682.0,1402190.0,1402190.0,,9686163.0,1031587,24267,66875,112637.0,,112637,37625,252347,2700143,361489,0
2013-11-01,3,2013,,20901,1429638,249100,,1959850,43662,317827.0,317827.0,437,429373,83047,274631,110826,,163805,116653,107825,,1358834,1358834,,0.0,,,2200593,383919,11895,,,,2434708,40618,124395,,116653.0,960488,1536791,2013年09月30日,4964687,4925220,0,3721956,6191992,,,1225806.0,315090,1536791,,63259,,4041228.0,1428142,316.0,764.0,1427062.0,1427062.0,,9005915.0,689338,23001,66872,179618.0,,179618,39467,319272,2813923,325425,0
2014-03-21,4,2013,20776.0,20776,1479616,249100,,2200199,58149,,,42230,737365,120073,215838,123951,296865.0,91887,129295,159287,,1411329,1411329,,0.0,,,2163383,304931,3967,65241.0,,,2044439,39278,126055,46947.0,129295.0,1084239,1548131,2013年12月31日,5297372,5254267,0,3515529,6124914,,,1338451.0,188177,1548131,,52465,,3861608.0,1463707,,,,,,9158980.0,844428,31618,61824,,,185166,43105,346079,3034066,299651,0
2014-05-02,1,2014,17329.0,17329,1786447,249100,,2378265,64836,,,54771,686367,157077,235457,129331,255143.0,106126,130722,121966,,1322271,1322271,,,,0.0,2236720,396385,11742,65599.0,,,2328033,38164,118191,15000.0,130722.0,1109330,1548131,2014年03月31日,5489972,5444947,0,3675576,6201052,,1349338.0,,249797,1548131,,28966,,4039562.0,1463780,,,,,,9529534.0,729762,32303,61639,,,200961,45025,363986,3328482,256818,0
2014-07-31,2,2015,40456,40456,2449166,223452,,2276952,53673,584264,,31696,628452,185252,212506,127573,299458,84933,151915,45960,,1523295,1523295,,,47373,0,2692820,504934,34468,135666,584264,,2921158,49997,249929,32111,,1049108,1579094,2015年06月30日,5437133,5399124,0,4897064,7134397,151915,,1524648,270898,1626467,10966591,45562,5529458,,1464009,,,,,10966591,,567080,53972,64508,,,426507,38009,632394,3832194,103286,0
2014-08-08,2,2014,26674.0,26674,1812863,249100,,2008783,69060,557659.0,,50417,737909,140710,315639,151726,295766.0,163913,132147,112501,,1512204,1512204,,,30963.0,0.0,2846288,467052,51639,74405.0,557659.0,,2593497,60844,208968,14157.0,132147.0,1046067,1548131,2014年06月30日,5146633,5102142,0,4916520,7281653,,1683113.0,,142670,1579094,,38898,,5417149.0,1463848,,,,,,10563782.0,824171,30304,61598,,,338178,44491,500629,3282129,274759,0
2014-11-07,3,2014,26676.0,26676,1928654,250375,,2253272,57058,0.0,,49218,720778,85613,239562,180267,335830.0,59295,133569,104540,,1481601,1481601,,,,0.0,2831201,495888,7092,79457.0,,,2447453,61744,325035,14883.0,,1074519,1579094,2014年09月30日,5384153,5345495,0,4314880,6769606,,1716217.0,,154960,1579094,,25504,,4805139.0,1463911,,,,,,10189292.0,426053,32230,61598,,,324460,38658,490259,3419686,272659,0
2015-03-12,4,2014,25536.0,25536,2112634,249875,,2455167,53199,,,63762,603863,129763,204924,158403,296745.0,46521,153162,104223,,1579802,1579802,,0.0,,0.0,2661606,450744,27684,167194.0,,,2550717,54385,291650,71598.0,153162.0,1102645,1579094,2014年12月31日,5601226,5561975,0,4241711,6734434,,1427977.0,,281560,1579094,,49060,,4767093.0,1463952,,,,,,10368319.0,500182,62415,64508,,,309805,39251,525382,3633885,151819,0
2015-04-29,1,2015,40414.0,40414,2133253,249875,,2672731,58853,,,39744,649669,189369,150909,122332,276447.0,28577,154782,39238,,1563101,1563101,,0.0,,0.0,2589610,509675,27322,136464.0,,,2876218,37979,200190,85953.0,,1085138,1579094,2015年03月31日,5795108,5755540,0,4224835,7095869,154782.0,,1413799.0,269965,1579094,10667881.0,42130,4872773.0,,1463971,,,,,10667881.0,,708867,56787,64508,,,436369,39568,647938,3572012,143439,0
