date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,留抵稅額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,28576.0,3610385,11618,3242518,353590,9646,,672372,,433521,171155,108466,79890,584438,179426,405012.0,9200,,681415,,,985589,338943,,,,4925503,419740,118845,,6975999,321631,,32500,3323652,2013年03月31日,2570364,,,7114945,7114945,8000000,672154,8130327,11875477,67641,106000.0,0.0,,1650910.0,569799,314509.0,1429946,3323652,,,140946,0.0,,9390187.0,716563,,16505132.0,,0.0,74860,110450,1175800,0.0,1259860,4629655,569799,,0
2013-08-07,2,2013,0.0,3575852,11632,2548126,362417,11254,0.0,1570350,759437.0,747688,283840,146465,146465,231105,231105,0.0,17133,,765413,333506.0,,917557,338943,,0.0,,4582280,569545,114805,810913.0,5923914,340092,,32500,3323652,2013年06月30日,1755273,,,6533238,6533238,8000000,780507,8940768,11088482,64750,0.0,12346.0,,2058838.0,503775,336352.0,1559897,3323652,,,61074,0.0,,9179001.0,716563,,15712239.0,0.0,3096.0,221100,162356,0,,238233,4623757,503775,431907.0,0
2013-11-11,3,2013,0.0,3546283,11597,2799173,364189,15806,0.0,958493,958493.0,484564,201501,130840,130840,196790,196790,0.0,19640,,1025222,392896.0,,1178283,338943,,0.0,,4891764,569490,130617,0.0,6508850,467796,,32500,3323652,2013年09月30日,2006320,,,6701946,6701946,8000000,780507,8691673,11315558,61681,0.0,12346.0,,1590028.0,525058,370165.0,1578700,3323652,,,60925,0.0,,9468284.0,716563,,16170230.0,679.0,0.0,256971,161583,500000,,776611,4854672,525058,632326.0,0
2014-03-27,4,2013,0.0,3497898,11616,2986453,473245,15556,0.0,775517,775517.0,336389,405900,94443,94443,145839,145839,0.0,17782,17782.0,1150684,458768.0,,925615,338943,,,,4729258,619676,126115,,6466968,588129,0.0,29802,3323652,2013年12月31日,2193600,,,7093625,7093625,8000000,780507,7948551,11151076,58808,0.0,12346.0,,1757476.0,457415,394422.0,1152025,3323652,,,57095,,,8982866.0,716563,,16076491.0,,0.0,333200,161051,683333,,1034315,4925415,457415,691916.0,0
2014-05-06,1,2014,0.0,3707439,11671,3082490,436698,21858,,741890,,439925,475493,129918,129918,166890,166890,0.0,13120,13120.0,1200311,482121.0,,1213975,194695,,,0.0,4940677,619346,237973,,6821519,517508,,29008,3323652,2014年03月31日,2289637,,,7403503,7403503,5000000,780507,8401923,11907313,56061,0.0,12346.0,1787496.0,,523302,414575.0,1275350,3323652,,,42194,,,9691129.0,716563,,17094632.0,,0.0,392753,160971,883333,0.0,1289206,5187319,523302,718190.0,0
2014-08-12,2,2014,,4482489,11621,2498907,458178,27009,,1325371,605168.0,466163,345623,87975,87975,214735,214735,,10675,,689916,467340.0,10675.0,964538,194695,,,0.0,4308902,619684,229694,720203.0,6350916,527872,,27315,3323652,2014年06月30日,1636701,,,6690050,6690050,5000000,862206,8256400,10895685,52941,,0.0,1394171.0,,519112,297607.0,1355000,3323652,,,32167,,,9665343.0,716563,,16355393.0,,0.0,414935,168417,983333,0.0,1408943,5459708,519112,222576.0,0
2014-11-12,3,2014,,4554987,11667,2464473,382844,20408,,712560,712560.0,458541,389558,92033,92033,141199,141199,,12011,,585411,440252.0,12011.0,1167484,0,,,0.0,4922798,619460,148279,,6593097,724483,,27315,3273652,2014年09月30日,1602267,,,6833497,6833497,0,862206,8367952,11712844,50162,,0.0,1665000.0,,580196,402626.0,1432100,3273652,,,38096,,,10290024.0,705814,,17123521.0,0.0,,326728,160727,1583333,,1922072,5410677,580196,145159.0,0
2015-03-19,4,2014,394995.0,4575525,11768,2616629,386454,23609,0.0,608483,608483.0,553684,710995,484569,89574,128947,128947,,14456,,531362,404494.0,14456.0,1013254,221125,,,0.0,4779175,519775,170668,,6917095,686798,,23826,3273652,2014年12月31日,1754423,,,7085965,7085965,9408000,862206,8396785,12169500,47582,,0.0,1903343.0,,579925,342756.0,1438250,3273652,,,53109,,,10396012.0,705814,,17481977.0,,,496433,98805,1488338,,1999227,5312477,579925,126868.0,0
2015-05-05,1,2015,463236.0,4382862,11736,2629341,373082,23409,,517028,,392896,598338,579218,115982,139023,139023,,4598,,526301,399981.0,4598.0,942520,8975,,,0.0,4318911,519671,114717,,6932855,903443,,20975,3179572,2015年03月31日,1767135,358568.0,,7083833,7083833,361000,862206,8040929,11856558,44536,,0.0,,1619429.0,553310,,1606500,3179572,,16962507.0,26316,,9878674.0,,685557,16962507.0,,,,503465,96130,1329682,0.0,1837745,5105949,553310,126320.0,0
2015-08-11,2,2015,463236.0,4213204,11703,2319008,335059,19557,,920655,539106.0,505160,479781,544335,81099,151156,151156,,4858,,520331,408328.0,4858.0,913069,124421,,,,3502132,639418,79384,381549.0,5858192,566840,,19000,3179572,2015年06月30日,1403835,295355.0,,6539497,6539497,5000000,915173,7671570,11028665,41464,,,,2138783.0,560406,,1665000,3179572,,15955289.0,25291,,9415792.0,,685557,15955289.0,,,,511206,101365,1228158,,1744222,4926624,560406,112003.0,0
2015-10-22,3,2015,431871.0,3693355,11868,2434946,362910,16306,,520273,520273.0,1116992,730177,543370,111499,155742,155742,,5150,,560247,412551.0,5150.0,1094783,92818,427079.0,,0.0,4430028,1039045,118428,,6701048,444173,,17228,3129572,2015年09月30日,1519773,396123.0,,6876671,6876671,4734000,915173,9164696,12940455,39114,,,,2099611.0,538117,,2040000,3129572,51000.0,17368445.0,26429,,10491774.0,,674794,17368445.0,,,,563928,89872,758000,,1327078,4427990,538117,147696.0,0
2016-03-17,4,2015,372347.0,3528067,7352,2622929,372234,20208,,633064,633064.0,1075882,602197,413319,40972,93820,93820,,14269,,417695,310551.0,14269.0,962137,0,,,,4262838,639113,19744,,6823558,584178,,23389,3079572,2015年12月31日,1707756,424570.0,1814.0,6972776,6972776,0,915173,8823082,12964732,36159,,,,2500127.0,550982,,2399125,3079572,,17090493.0,31309,,10117717.0,,668078,17090493.0,,,,564366,92891,716000,,1294635,4125761,550982,107144.0,0
2016-04-18,1,2016,312824.0,3381062,7298,2815451,428296,26610,,564550,564550.0,952785,540512,379624,66800,109406,109406,,16352,,384160,298708.0,16352.0,1183662,0,,,,4187377,639211,4457,,6554061,719489,,21851,3029572,2016年03月31日,1900278,469946.0,1816.0,7042855,7042855,0,915173,8964181,13347926,33027,,,,2858222.0,540189,,2690925,3029572,,17292628.0,28091,,10249773.0,,657320,17292628.0,,,,595240,90694,674000,,1285592,3944702,540189,85452.0,0
2016-08-04,2,2016,253301.0,3191644,8352,2541148,444270,30212,,1102661,617930.0,868987,412738,314699,61398,145626,145626,,15977,,434519,301393.0,15977.0,1175740,0,,,,4020072,888678,3859,484731.0,6332978,719174,,0,3029572,2016年06月30日,1565969,371208.0,14.0,6636697,6636697,0,975179,9012169,13423171,30112,,,,3224029.0,512353,,2291375,3029572,,17209153.0,19617,,10572456.0,,653239,17209153.0,,,,612310,91143,932000,,1560287,3785982,512353,133126.0,0
2016-10-27,3,2016,199250.0,2988965,8297,2794101,521399,29311,,644802,644802.0,840410,216008,259714,60464,143487,143487,,14898,,521223,312560.0,14898.0,1359452,0,0.0,,0.0,4596851,818821,2850,,6680046,491464,,0,3029572,2016年09月30日,1818922,479505.0,14.0,6692920,6692920,0,975179,9707338,14179538,26899,,,,3671262.0,472004,,2886800,3029572,0.0,17837658.0,17995,,11144738.0,,653239,17837658.0,,,,563752,83425,858750,,1437400,3658120,472004,208663.0,0
