date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應付費用,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存出保證金,存貨合計,專門技術淨額,工程存出保證金,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應收票據及款項淨額,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,6692.0,2507263,577051,2286802,159836,,504144,,,331359,,-183099,1090098,116057,232585,63192,63360,196167,8419.0,198727,103523,402431,95204,1780304,241962,169393,1053466,,1829382,,19958.0,,2311192,,106219,,187748.0,,1235055,2607200,2013年03月31日,1133074,,12833769,12554559,24519873,542289,3914080,11601600,,771606,,,611439.0,,1726954.0,60639.0,409859,2607423,,,4164368.0,8896899,,16998137.0,4339224,17315,106835,36806.0,,63853,279210,250288,5396537,,613927,967349,223,22300
2013-08-12,2,2013,6692.0,2494456,568518,2474137,165627,,1100219,521440.0,578779.0,327837,,-137772,1055977,127848,244558,79016,59540,195404,8449.0,256745,160505,405447,96240,1656316,239338,165542,1053466,,2097470,,29978.0,,2768066,,131067,,186955.0,,1266998,2608233,2013年06月30日,1168464,,12537892,12270425,24519873,572134,4663351,12002297,,773544,,,733539.0,,1771647.0,37197.0,342510,2608233,,,4911203.0,8379293,,17449095.0,4166432,17315,86537,35133.0,,69219,267467,247852,5446798,,770747,921437,0,0
2013-11-12,3,2013,6692.0,2472954,558602,2683313,178410,,652722,,652722.0,337061,,-189546,1106243,167196,259765,70806,55721,193879,8473.0,347801,99330,404526,92047,1802390,229780,188959,1053466,,1889309,,0.0,,2608082,,130936,,185406.0,,1239445,2608233,2013年09月30日,1377640,,12753040,12506850,24519873,572134,4277659,11819346,,751663,,,733539.0,,1803857.0,50519.0,578866,2616483,,,4522216.0,8450066,,17275256.0,3969583,17218,85445,33460.0,156424.0,61636,246190,244557,5455910,,729262,932355,8250,825000
2014-03-20,4,2013,6692.0,2449264,552902,2990925,203383,,807897,807897.0,,233381,,-114116,969299,107169,258041,72028,51901,199129,8271.0,345991,87476,395329,97487,1797524,40992,186013,1053466,,2672816,,0.0,,3235556,,77851,,190858.0,,1268976,2622283,2013年12月31日,1685252,,13103748,12940300,24519872,572134,4985779,13087278,,558756,,,733539.0,,1934107.0,61119.0,474648,2630693,,,5234056.0,8486264,,18337804.0,4738080,17361,74637,31787.0,161028.0,70534,163448,248277,5250526,,609355,855438,8410,841000
2014-05-08,1,2014,6692.0,2431064,552306,3192485,150148,,425022,425022.0,,281915,,-67577,1051797,109201,275971,88452,48082,197694,6942.0,350219,87236,396626,99121,1457396,39949,187519,994273,0.0,1865189,,0.0,,2834173,,128137,,190752.0,,1297318,2651193,2014年03月31日,1886812,,13607004,13352942,23312008,572134,3957448,12560418,,548563,,,733539.0,1653472.0,,82706.0,532734,2653243,,,4202717.0,8569064,,17809721.0,5055457,17461,69833,30114.0,163862.0,63906,254062,245269,5249303,,723749,935904,2050,205000
2014-08-11,2,2014,0.0,2406993,540115,2564762,146266,,1584668,0.0,786598.0,243270,,-188125,978620,116604,202259,72912,44263,198536,7972.0,365615,105259,394632,125153,1665091,38367,129347,953252,0.0,2072617,,0.0,798070.0,2781973,,81303,,190564.0,,1258392,2660233,2014年06月30日,1795458,,12722403,12677367,22474966,655188,4752674,12533144,,536377,,,114116.0,1738266.0,,86769.0,30000,2660233,,,4968356.0,8593749,,17690759.0,5007861,17146,50123,0.0,112263.0,59115,45036,215682,5157615,22940.0,666855,862016,0,0
2014-11-11,3,2014,0.0,2408270,557489,2607970,138319,,524594,,524594.0,242063,,-107444,769028,111183,192273,74923,40443,213451,22861.0,343664,104914,397019,125790,1915323,37394,117350,953252,0.0,2182276,,,,2844230,,89125,,190590.0,,1265470,2660233,2014年09月30日,1838666,,12966282,12890142,22474966,655188,4079867,12118728,,532965,,,114116.0,1932595.0,,95306.0,508663,2666913,,,4310542.0,8675955,,17276824.0,4059728,17224,50238,0.0,112960.0,58109,76140,230675,5158096,,705072,657845,6680,668000
2015-03-19,4,2014,0.0,2278120,516336,2930735,133346,,751188,751188.0,,281894,,97837,795155,113947,228903,75657,36624,205412,8780.0,349086,112719,401644,126002,1960137,36809,153246,953252,0.0,2926617,,,,3087400,,74999,,196632.0,,1226036,2669163,2014年12月31日,2161431,,13509270,13431692,22474967,655188,4826640,13596623,,545375,,,114116.0,2309983.0,,113680.0,240000,2671113,,,5049485.0,8685259,,18558755.0,4807075,17433,47179,0.0,110365.0,70298,77578,222845,4962132,,712886,681208,1950,195000
2015-05-05,1,2015,0.0,2261928,514734,3101344,142596,,423725,423725.0,,251535,,46529,879995,108978,201430,68972,32804,187443,7630.0,348174,115376,400093,126300,1833864,35302,132458,953252,,2010863,,,,2902284,,107493,,,,1226694,2673913,2015年03月31日,2332040,138521.0,13650236,13573217,22474967,655188,4125406,13045670,179813.0,535035,251872.0,,114116.0,,2042941.0,,672302,2678033,17979898.0,4329662.0,,8700563,17979898.0,,4492019,16813,47663,0.0,106498.0,66836,77019,204256,4934228,,819636,771017,4120,412000
2015-08-11,2,2015,,2260007,506367,2880136,125737,,1870032,1468945.0,,279424,,-35099,841646,125827,226119,79069,28985,186829,7625.0,329949,100388,399118,122805,1992945,33889,147050,920407,,2312300,,,401087.0,3123754,,44731,,,33334.0,1453884,2685333,2015年06月30日,2150477,93569.0,12805096,12678649,21804746,729659,5778694,13637087,179204.0,523018,,,0.0,,2283882.0,,661147,2686283,18787401.0,5982305.0,,8067736,18787401.0,,4696848,16782,43755,,106756.0,61026,126447,203611,5150314,0.0,863647,715819,950,95000
