date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,,3678615,0.0,3555809,,,,1455859,371820,1501,,308682,,1059765,,,8546,302464,,1501,1072979,37746,,,1375596,1289541,3648,2607806,4248,,1905969,2013年03月31日,3174570,,6818532,6818532,1000000,227570,4103427,8376623,20627,153669,,1878702.0,379605.0,603255,1922885,,,5635591.0,1376083,0.0,58526,76910,1240647,0,,12454123.0,62837,1076903,148022,75794,1532164,4077500,304400,16916,463250
2013-08-09,2,2013,,4080158,0.0,3376710,,,,1935870,302386,39368,,158549,,831510,831510.0,,8254,387042,,39368,1069446,0,95066.0,,1393224,1171064,8878,2388707,4886,,1911311,2013年06月30日,2823449,,6719828,6719828,0,399592,4703637,8416295,24681,153669,,2325816.0,255496.0,1125008,2007888,,,6268916.0,1295862,0.0,19479,116531,1159852,0,,12988744.0,48772,1091372,163801,80568,1565279,4572449,402172,1511,122000
2013-10-29,3,2013,1372944.0,4631450,0.0,3939250,,,,2647636,291266,-4493,,1570522,197578.0,665396,665396.0,,7611,335641,,-4493,2180090,0,,,2707138,2996529,2715,3918987,76,,2008167,2013年09月30日,3385989,,7284610,7284610,0,399592,8304044,13399639,20978,153669,,4705899.0,239672.0,534060,2012353,,,11192604.0,1337500,0.0,18543,116531,1202426,0,,18477214.0,312910,1126576,173811,89506,2888560,5077575,511349,4186,407111
2014-02-06,4,2013,1392242.0,5026625,0.0,4720840,,,,2459657,631396,44850,,1521029,128787.0,802986,802986.0,,8779,200114,,44850,1705612,0,,,2752057,2857506,31618,5378318,16,,2012638,2013年12月31日,4167579,,8117038,8117038,0,399592,7909867,13654699,20397,153669,,2090770.0,420217.0,473210,2013015,,,10926147.0,1338333,0.0,0,0,1202631,135702,,19043185.0,146630,2557112,255444,141350,3016280,5388486,488489,377,17500
2014-04-28,1,2014,1424764.0,5347211,,4905565,,,,1792772,267653,74444,,1609342,184578.0,973758,973758.0,,6551,108765,,74444,1000022,0,,0.0,2823388,1099652,5921,2893001,152,,2013388,2014年03月31日,4352304,,8341258,8341258,0,399592,5340506,11151598,24224,153669,4096497.0,,365272.0,421035,2020668,,,8402424.0,1340581,0.0,0,0,1340581,0,,16743682.0,46512,1608761,231979,111884,3061918,5592084,311754,7280,260000
2014-08-13,2,2014,487364.0,5273915,,4424365,,,,2115915,167758,11647,,661915,174551.0,620168,620168.0,,7359,179439,,11647,1371214,0,201902.0,0.0,2787951,1358331,999,2309212,0,,2019018,2014年06月30日,3678324,,7806203,7806203,0,592372,5632252,10846160,30824,153669,5119669.0,,260233.0,1195241,2223299,,,8642186.0,1146892,0.0,0,0,1146892,0,,16448389.0,39618,1103372,214624,118051,3009934,5602229,154767,2379,67000
2014-10-29,3,2014,2856485.0,5198508,,4783944,,,,1681862,110073,58721,,3036606,180121.0,454859,454859.0,,12254,335471,,58721,2476816,0,,0.0,1949688,2828361,3815,2976759,51,,2221800,2014年09月30日,4037903,,8263900,8263900,0,592372,8304601,13017677,23945,153669,5707603.0,,276202.0,421441,2224236,,,10463620.0,1196999,0.0,13110,116531,1020509,46849,,18727520.0,56314,1143473,197077,151919,2159019,5709843,148043,2436,89142
2015-02-04,4,2014,2998041.0,5555217,,5702611,,,,1800872,171301,216800,,3035543,37502.0,679380,679380.0,518353.0,12911,576671,58318.0,216800,1793156,328188,,0.0,1956409,2796526,220,4290510,0,,2223281,2014年12月31日,4956570,,9016714,9016714,4953000,592372,8888735,13929204,49678,153669,5799318.0,,431499.0,754865,2225691,,,11193425.0,1199800,0.0,11639,116531,1024781,46849,,20210139.0,69210,1087332,335370,99369,2304690,6280935,108207,2410,77000
2015-04-20,1,2015,2989108.0,5342654,,6404494,,,26754.0,1513079,112321,165662,0.0,3008416,19308.0,784450,784450.0,511234.0,21777,611112,99878.0,165662,1454809,345653,,0.0,1776588,2116270,7211,2778786,0,,2224051,2015年03月31日,5658453,476609.0,9888711,9888711,5202000,592372,7581272,13447266,41620,153669,,6724491.0,,433324,2252134,19590284.0,9701573.0,,1412074,0.0,61602,116531,1205167,28774,19590284.0,,26363,1512724,321936,147632,2120301,6143018,79685,1329,131750
2015-08-06,2,2015,1613748.0,5188486,,6220795,,,,2037236,112697,140812,0.0,1619039,5291.0,986960,986960.0,508211.0,23080,735335,227124.0,140812,1372286,345653,108602.0,0.0,952723,2214592,4183,3258549,8012,,2518191,2015年06月30日,5326102,500407.0,11819118,11819118,5202000,741024,7134469,14182780,39798,153669,,5015582.0,,428765,2626793,20301731.0,8482613.0,,3176371,0.0,61501,116531,2978603,19736,20301731.0,,330247,3237853,372341,155332,1348144,6118951,190841,0,0
