date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,810837,3805029,0.0,0.0,154890,132.0,154890.0,6787,0.0,35599,1769,9682,6895,2787,90,18380,18380,90,466035,,229748,12772,0,,283850,3883,4969,,11390,1000000,2013年03月31日,2919289,,,4826754,4805029,0,885740,601877,4580194,645,,2035737.0,,,0.0,,1769251.0,118812.0,,1000000,,49924.0,,606235.0,,,,5432989.0,4268,11543,645.0,21725,4358,852795,33830,0
2013-08-09,2,2013,808481,3278545,0.0,0.0,883463,389.0,179860.0,519,0.0,37318,2876,10651,9183,1468,90,18247,18247,90,470855,,247285,16259,20,703603.0,302480,3626,6754,,11376,1000000,2013年06月30日,2319286,,,4297617,4278545,0,959259,1309085,4758723,468,,2187287.0,,,0.0,,1776551.0,74427.0,,1000000,,49924.0,,1311444.0,,,,5609061.0,2269,11766,468.0,19072,2359,850338,34442,0
2013-11-06,3,2013,806498,3436824,0.0,0.0,168804,386.0,168804.0,13110,0.0,26373,1794,10423,6938,3485,90,16529,16529,90,448655,,211168,14169,29,,330770,2050,8213,,11362,1000000,2013年09月30日,2477565,,,4461043,4436824,0,959259,503214,4118517,350,,1756179.0,,,0.0,,1549117.0,32361.0,,1000000,,49924.0,,505213.0,0.0,,,4966256.0,1909,13000,,24219,1999,847739,24579,0
2014-03-26,4,2013,804150,3452963,0.0,0.0,145792,359.0,145792.0,7702,0.0,22588,3257,5317,2195,3122,90,18648,18648,90,447897,,173834,9263,650,,220718,2047,3671,,11348,1000000,2013年12月31日,2493704,,,4478277,4452963,0,959259,513213,4100704,252,,2038095.0,38600.0,,0.0,,1375257.0,55968.0,,1000000,,104759.0,,516650.0,,,,4994927.0,3347,21225,,25314,3437,894223,19331,0
2014-05-07,1,2014,800455,3539586,,,141447,21.0,141447.0,4664,0.0,21054,1611,9718,7256,2462,90,15042,15042,90,419355,0.0,143841,4092,666,,186783,6661,9660,,11334,1000000,2014年03月31日,2580327,,,4566133,4539586,0,959259,488679,4153760,166,,2316510.0,56800.0,,,1200409.0,,72799.0,,1000000,,104759.0,,492313.0,,,,5058446.0,3544,20889,166.0,26547,3634,904686,19443,0
2014-08-06,2,2014,797990,1591837,,240010.0,2157355,100.0,153063.0,205,10.0,22428,4975,11221,10314,907,90,12890,12890,90,416499,0.0,160035,6237,666,2004292.0,257530,2632,16194,,11320,1000000,2014年06月30日,581373,,,2615325,2591847,0,1010464,2507729,4282104,84,,1586450.0,0.0,,,1751363.0,,56149.0,,1000000,,104759.0,,2509904.0,,,,5125229.0,2085,20841,84.0,23478,2175,843125,17453,0
2014-11-12,3,2014,794978,1656142,,,170113,54.0,170113.0,7761,0.0,18479,1702,6968,4977,1991,100,12846,12846,100,421938,0.0,187810,3078,675,,277086,1959,19203,,11306,1000000,2014年09月30日,645678,,,2691259,2656142,0,1010464,434208,2292611,186,,753466.0,5000.0,,,803740.0,,3856.0,490.0,1000000,,50143.0,,438255.0,0.0,,,3129514.0,3947,12587,186.0,35117,4047,836903,16777,0
2015-03-18,4,2014,792028,1737393,,,146477,16.0,146477.0,5882,0.0,16713,3419,6848,5148,1700,100,13083,13083,100,405682,0.0,173183,4536,713,,316229,2785,5227,,11293,1000000,2014年12月31日,726929,,,2774649,2737393,0,1010464,412395,2354484,154,,795475.0,11700.0,,,816356.0,,20614.0,,1000000,,50143.0,,422116.0,,,,3196765.0,9621,14023,,37256,9721,842281,13294,0
2015-04-29,1,2015,789202,1763482,,,148328,,148328.0,9202,,23079,1503,32436,28462,3974,100,13036,13036,100,469912,0.0,194973,500,720,,282714,4926,7981,,11279,1000000,2015年03月31日,753018,16664.0,,2802552,2763482,0,1010464,434407,2405740,131,888225.0,,,8800.0,,,710344.0,,,1000000,3243135.0,50143.0,440583.0,,,,3243135.0,,6076,14947,131.0,39070,6176,837395,21576,0
2015-08-05,2,2015,786481,1658618,,0.0,308908,,159176.0,150,0.0,14077,1865,14601,8638,5963,100,13104,13104,100,450502,,155574,1854,20,149732.0,242814,6620,10631,,11265,1000000,2015年06月30日,619679,25920.0,17977.0,2692393,2658869,0,1038939,506353,2355040,108,935415.0,,,30400.0,,,676330.0,,,1000000,3203015.0,0.0,510622.0,,251.0,,3203015.0,,4169,6617,108.0,33524,4269,847975,12212,0
