date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資本公積－轉換公司債轉換溢價,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,,788,280585,636050,5076,69477,,21956,,-4956,78443,77655,,,,243,40396,18262,,,1037047,1037047,0,,,356362,692923,,764188,1076,386687,0,876085,2013年03月31日,332079,,1592243,1579054,0,212957,1830620,3620104,26870,91014,,1361472,51326,938451,876085,,,,2422434,71875,,,102,,27000,42421,29352,15421,,4014677,,4067,2700,181930,68516,49212,22134,13189,591814,394573,18108,0
2013-08-07,2,2013,,,1580,280485,671202,5076,109254,82971.0,27582,383.0,16753,58306,56726,27035.0,27035.0,,218.0,41556,19235,,,1087495,1087495,,0.0,,358201.0,896553,26283.0,897427,682.0,484148,0.0,876085,2013年06月30日,379915,,1622418,1609632,0,212957,1945319,3767906,,78330,,1178720.0,37321.0,843885,876085,,,,2540778.0,45592,,,102,,717,16138,29352.0,15421,,4163196.0,,6690.0,2700.0,181930,68173,48420,22321,12786,595459,395290,61734,0
2013-11-13,3,2013,,,2375,281617,673492,5076,83054,83054.0,19631,,-1626,65081,62706,26682.0,26682.0,,224.0,40531,18613,,,1101136,1101136,,,,360039.0,695539,,786581,1151.0,557216,0.0,876085,2013年09月30日,382205,,1606363,1593543,0,212957,1862628,3664470,,78330,,1102442.0,32011.0,986943,876085,,,,2458718.0,45592,,,102,,717,16138,29352.0,15421,,4065081.0,,6272.0,15045.0,181930,73387,47625,21918,12820,596090,400611,54586,0
2014-03-26,4,2013,361877.0,3173.0,365050,285699,670853,9853,113441,,33317,,26869,432197,67147,26887.0,26887.0,,235.0,256664,9691,,224824.0,1186789,1186789,,,,0.0,949254,,689409,1704.0,576507,0.0,876085,2013年12月31日,379566,,1631842,1619399,0,212957,2273967,3493869,,78330,,960619.0,40798.0,738277,876085,,,,2498155.0,45592,,,102,,717,16138,29352.0,15421,,4129997.0,,6842.0,0.0,170284,83912,46827,22149,12443,224188,636128,18637,0
2014-05-13,1,2014,363716.0,3571.0,367287,302295,657422,10346,62073,,39345,,28299,440058,72771,27483.0,27483.0,,0.0,259084,12799,,224200.0,1240230,1240230,,,0.0,0.0,887216,,661668,969.0,459406,,876085,2014年03月31日,366135,,1619199,1607398,0,212957,2372395,3537375,,78330,1089664.0,,41402.0,933740,876085,,,,2588512.0,45592,,,102,,717,16138,29352.0,15421,,4207711.0,7906.0,0.0,0.0,170284,98611,45833,22085,11801,216117,670336,18610,0
2014-08-13,2,2014,0.0,23571.0,23571,326006,632650,13055,131435,105152.0,33942,,4732,89078,65507,36585.0,36585.0,,0.0,325922,66304,,238063.0,1069461,1069461,,,0.0,1154.0,823265,26283.0,835740,,496400,4769.0,876085,2014年06月30日,339230,,1558751,1559140,0,215090,1989711,3074293,,78330,582821.0,,33032.0,912901,876085,,,,2286089.0,45673,29260.0,,102,81.0,717,16138,92.0,15421,,3844840.0,0.0,,0.0,170284,100795,124940,21555,-389,296378,770547,19344,0
2014-11-12,3,2014,0.0,23571.0,23571,381660,644728,13771,99513,99513.0,34455,,37427,81786,58215,37321.0,37321.0,307426.0,0.0,333042,3679,,,1205603,1205603,,,0.0,1160.0,1093404,,982609,,483222,4059.0,876085,2014年09月30日,351308,,1604512,1604804,0,215090,2201562,3271308,,78330,489277.0,,33307.0,893552,876085,,,,2492054.0,46564,29260.0,891.0,102,81.0,717,16138,92.0,15421,,4096566.0,0.0,,0.0,170284,92726,119048,21937,-292,290492,825258,38821,0
2015-03-25,4,2014,0.0,23571.0,23571,452064,513625,14632,143489,,20752,,78586,76452,52881,28597.0,28597.0,324360.0,0.0,351023,4094,,,1380894,1380894,,,0.0,,1369150,,960893,,622075,2705.0,876085,2014年12月31日,220205,,1516577,1516844,0,215090,2704394,3594817,,78330,534679.0,,42874.0,984566,876085,,87863.0,,2937323.0,48548,29287.0,2875.0,167,81.0,717,16138,0.0,15421,,4453900.0,0.0,,,119774,38659,113155,22569,-267,232929,859083,46927,0
2015-05-12,1,2015,0.0,23571.0,23571,447299,474326,18544,83399,,15419,,69822,77732,54161,45074.0,45074.0,,0.0,349364,3494,,323653.0,1396047,1396047,,,0.0,0.0,1428823,,897913,0.0,529704,2518.0,876085,2015年03月31日,180906,42219.0,1470491,1470765,0,215090,2814281,3647989,,78330,,712205.0,,1095108,876085,4511808.0,87000.0,3041317.0,,50532,,4859.0,167,81.0,717,16138,29287.0,15421,4511808.0,,0.0,0.0,0.0,119774,46094,107262,22217,-274,227036,863819,51627,0
2015-08-13,2,2015,0.0,23571.0,23571,438123,489834,13105,97143,97143.0,27060,,49474,80369,56798,62335.0,62335.0,302425.0,0.0,328357,4145,,,1181602,1181602,,,0.0,0.0,1364849,0.0,1054367,,366865,1949.0,876085,2015年06月30日,196414,33574.0,1467626,1467909,0,215090,2367735,3232264,,78330,,515734.0,,706008,876085,4056504.0,85792.0,2588878.0,,52516,29287.0,6843.0,167,81.0,717,16138,0.0,15421,4056504.0,,0.0,,,119774,42706,101369,21787,-283,221143,824240,24301,0
2015-11-11,3,2015,0.0,26905.0,26905,447238,406190,10959,92820,,34369,,96999,77853,50948,34879.0,34879.0,314465.0,0.0,342874,5701,,,1089274,1089274,,,0.0,0.0,1211517,,870432,,408045,1765.0,876085,2015年09月30日,112770,35489.0,1433468,1433773,0,215090,2183025,2991714,,78330,,511809.0,,688249,876085,3838410.0,77097.0,2404942.0,,54499,29287.0,8826.0,167,81.0,717,16138,0.0,15421,3838410.0,,0.0,,,119774,43860,102143,22708,-305,221917,846696,42906,0
2016-03-25,4,2015,,26905.0,26905,435302,365007,11289,94034,,9660,,68756,82442,55537,34663.0,34663.0,303973.0,0.0,335795,9828,,,924601,924601,,,0.0,,1058389,,641388,,370349,1039.0,876085,2015年12月31日,71587,41658.0,1366026,1366331,0,215090,1996706,2723395,,78330,,729589.0,,639515,876085,3531297.0,80668.0,2165271.0,,56483,29287.0,10810.0,167,81.0,717,16138,0.0,15421,3531297.0,,,,,73148,24477,95417,21994,-305,168565,807902,13145,0
2016-05-06,1,2016,0.0,26905.0,26905,428217,342850,13944,87235,,13384,,62711,89423,62518,34313.0,34313.0,,0.0,329082,8917,,298505.0,810288,810288,,,0.0,0.0,1067696,,745934,0.0,227264,318.0,876085,2016年03月31日,49430,41672.0,1339737,1340113,0,215090,1990942,2696561,,78330,,785166.0,,619424,876085,3492517.0,85492.0,2152780.0,,58467,,12794.0,167,81.0,717,16138,29287.0,15421,3492517.0,,0.0,0.0,0.0,73148,24395,88690,21660,-376,161838,795956,80212,0
2016-08-10,2,2016,,23571.0,23571,417550,347329,12904,79376,79376.0,17011,,46264,95018,71447,24480.0,24480.0,317374.0,,346793,8248,9795.0,,747097,747097,,,0.0,,1095145,,810690,,271302,0.0,876085,2016年06月30日,53909,35083.0,1330215,1330129,0,215090,1979557,2659407,,78330,,721863.0,,585178,876085,3460718.0,89757.0,2130503.0,,60451,29287.0,14778.0,167,81.0,717,16138,,15421,3460718.0,,,,9795.0,73148,24064,77798,21171,86,150946,801311,57169,0
2016-11-09,3,2016,,23571.0,23571,404453,375226,11747,77210,,21772,,16942,77060,53489,27079.0,27079.0,329782.0,,357393,7229,9515.0,,645554,645554,,,0.0,,976482,,798267,,331436,0.0,876085,2016年09月30日,81806,34472.0,1330295,1330230,0,215090,1768120,2459178,,78330,,563683.0,,516100,876085,3243468.0,86796.0,1913173.0,,61977,29287.0,16304.0,167,81.0,717,16138,,15421,3243468.0,,,,9515.0,73148,10697,71905,20382,65,145053,784290,61872,0
