date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,59692,1362822,96679,0,128339,0.0,,,6490,128339,138489,,,0,166730,,1017861,1209686,2013年03月31日,1194684,,3877667,3877667,0,545966,4357451,,168138,,3197929.0,282557.0,1209686,,,545966.0,1176820,1176820,0,,4423633.0,,,,0,66182,3172,0
2013-08-07,2,2013,,56813,1088010,596491,0,188294,0.0,,,6554,188294,134878,,,0,149909,,1156946,1209686,2013年06月30日,919872,,3662810,3662810,0,1117100,4716543,,168138,,3422373.0,370700.0,1209686,,,1117100.0,1176820,1176820,0,,4779910.0,,,,0,63367,2346,0
2013-11-11,3,2013,,74892,1358915,101515,593,139145,0.0,,,205817,139145,141088,,,0,3355,,1168667,1209686,2013年09月30日,1190777,,3884566,3884566,0,447053,4050910,,168138,,2403035.0,342183.0,1209686,,,447053.0,1176820,1176820,0,,4331619.0,,,,0,280709,337527,0
2014-03-25,4,2013,,72572,1608242,90606,2272,220575,0.0,,,209725,220575,132741,,,0,210053,,1290584,1209686,2013年12月31日,1440104,,4215323,4215323,0,422262,4651933,,168138,,3077702.0,121603.0,1209686,,,718907.0,1176820,1176820,0,,4934230.0,,296645.0,,296645,282297,148634,0
2014-05-05,1,2014,,67747,1840831,119834,0,187420,,,,208713,187420,142168,,0.0,1138978,202712,,1153243,1209686,2014年03月31日,1672693,,4468413,4468413,0,430439,6097706,,168138,4725342.0,,102270.0,1209686,,,1905753.0,1230476,1176820,53656,,6374166.0,5623.0,336336.0,,1475314,276460,76953,0
2014-08-12,2,2014,,542491,1630457,596329,0,89928,,,,204951,89928,77263,,0.0,1144085,202392,,1372121,1209686,2014年06月30日,1462319,,4160547,4160547,0,910000,5822139,,168138,4322083.0,,102176.0,1209686,,,2409034.0,1230476,1176820,53656,,6569581.0,9103.0,354949.0,,1499034,747442,50672,0
2014-11-11,3,2014,,557854,1868570,148063,536,248128,,,,210940,248128,131351,,0.0,1149214,115057,,1134027,1209686,2014年09月30日,1700432,,4556860,4556860,0,371666,5641696,,168138,4299761.0,,97643.0,1209686,,,1853630.0,1230476,1176820,53656,,6410490.0,10903.0,332750.0,,1481964,768794,76021,0
2015-03-30,4,2014,,572308,2142200,171123,320,431591,,,,217138,431591,107026,,0.0,1154367,190320,,1384404,1209686,2014年12月31日,1974062,,5013953,5013953,0,487356,6245610,,168138,4599851.0,,115730.0,1209686,,,2021103.0,1230476,1176820,53656,,7035056.0,10183.0,379380.0,,1533747,789446,154009,0
2015-05-06,1,2015,1159543.0,564363,2364923,181148,0,366814,1159543.0,,,214841,366814,152594,,0.0,0,211695,,1093165,1209686,2015年03月31日,2196785,128348.0,5171899,5171899,0,1693317,6486570,,168138,,5163959.0,,1209686,7265774.0,2093875.0,,1230476,1176820,53656,7265774.0,,12583.0,400558.0,,400558,779204,76852,0
2015-08-11,2,2015,1164741.0,554342,2472464,265602,0,276331,1164741.0,,,211725,276331,100339,78630.0,0.0,0,225706,,1362556,1209686,2015年06月30日,2304326,108941.0,5267587,5267587,0,1783213,6710876,,168138,,5098404.0,,1288316,7476943.0,2209356.0,,1230476,1176820,53656,7476943.0,,18223.0,426143.0,,426143,766067,149577,0
2015-11-05,3,2015,1169963.0,578158,2702423,309499,509,554291,1169963.0,,,219928,554291,146256,,0.0,0,213804,,1233124,1288316,2015年09月30日,2534285,102417.0,5775506,5775506,0,1802626,7253768,,168138,,5792320.0,,1288316,8051854.0,2276348.0,,1230476,1176820,53656,8051854.0,,6943.0,473722.0,,473722,798086,81559,0
2016-03-24,4,2015,1175208.0,764867,2969043,447807,319,405845,1175208.0,,,214962,405845,131515,,0.0,0,243282,,1450804,1288316,2015年12月31日,2800905,112343.0,5893680,5893680,0,1986063,7406449,,168138,,5745150.0,,1288316,8386278.0,2492598.0,,1230476,1176820,53656,8386278.0,,7423.0,506535.0,,506535,979829,78661,0
2016-05-05,1,2016,481536.0,753663,3211154,435198,0,310176,481575.0,39.0,,211570,310176,157691,,0.0,0,244994,,1093515,1288316,2016年03月31日,3043016,87199.0,6011882,6008353,0,1248966,6817730,102.0,168138,,5489140.0,,1288316,7783065.0,1771183.0,,1198707,1176820,21887,7783065.0,,0.0,522217.0,3529.0,522217,965335,77384,0
2016-08-09,2,2016,483695.0,735335,3056971,292431,0,146587,483727.0,32.0,1457484.0,206504,146587,113776,386494.0,0.0,0,228504,553.0,1380901,1288316,2016年06月30日,2888833,111858.0,6082701,6077075,0,1117073,6814795,93.0,168138,,3785508.0,,1674810,7756727.0,1674026.0,,1198707,1176820,21887,7756727.0,,0.0,556953.0,5626.0,556953,941932,77126,0
