date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,46532,1439573,36478,898984,-21633,93316,260662,-36542,76730,30198,21132,3513,259442,22511,120324,23368,-14909,18994,6071,360870,27031,212324.0,,648594,5015,417818,168778,217937.0,352095,860378,2764015,2013年03月31日,634793,,3647385,3647385,2891165,148392,1049227,2162535,,88999,,187129.0,115799,,740577.0,48226.0,10000,2764015,,,1576177.0,47959,,,47959.0,,5223562.0,,91842,69864,175666,76323,0.0,526950,3061027,53907,11049,0
2013-07-29,2,2013,36667,1443159,36478,786729,-13612,101247,474789,-15392,60672,24005,15316,2938,260698,23119,120444,23698,-1780,19300,6100,348186,27031,,,572777,3841,401822,163526,218279.0,350538,873777,2764015,2013年06月30日,494973,,3556280,3556280,2891165,175957,1164884,2156301,,92679,,295277.0,115799,,852874.0,52805.0,0,2764015,,,1688144.0,47959,,,47959.0,,5244424.0,,95062,69801,167500,77264,,523260,3088123,79300,10444,0
2013-10-31,3,2013,30000,1435326,36478,886676,-13239,101619,291201,-29479,54320,24320,19152,2938,258287,24656,117180,24989,-16240,14989,7061,382407,27031,,,641135,1498,425293,122874,218642.0,348206,846677,2764015,2013年09月30日,594920,,3642140,3642140,2891165,175957,1030390,2134211,,93261,,212793.0,115799,,913855.0,39957.0,2279,2764015,,,1540511.0,47959,,,47959.0,,5182651.0,,91834,69693,160000,75707,,510121,3048440,57837,6485,0
2014-03-31,4,2013,30000,1435945,36478,1100151,3459,371349,426246,22554,65017,35017,19529,2938,254144,27695,114578,25194,19095,8913,6252,429898,27031,,,873174,2522,713212,159117,217536.0,261920,940831,2764015,2013年12月31日,808395,,3908809,3908809,2891165,175957,1432078,2525800,,93101,,238478.0,115799,,874894.0,65119.0,0,2764015,,,1938140.0,49120,,,,,5846949.0,,99418,66947,152500,76672,,506062,3321149,90672,3522,0
2014-04-30,1,2014,30000,1420088,25078,1205721,-4017,279857,372529,24274,64818,34818,14462,2938,250234,28487,111590,23610,28291,4578,6295,414715,27031,0.0,0.0,758682,4193,433647,206521,217169.0,260157,1005923,2764015,2014年03月31日,913965,,4016099,4016099,2891165,175957,1283545,2535575,,91771,,111899.0,115799,1241385.0,,81501.0,1822,2764015,,,1780861.0,49120,,,,,5796960.0,,102082,66921,145000,75441,,497316,3261385,112946,3306,0
2014-06-30,2,2014,50000,1405985,25078,991145,-48,273866,670788,6898,84425,34425,13581,2938,247612,26204,108996,22337,6946,4565,6278,370893,27031,,0.0,614698,2369,443500,167699,216843.0,288899,1006149,2764015,2014年06月30日,651615,,3784147,3784147,2891165,223731,1492362,2451100,,91634,,457423.0,115799,927866.0,,50082.0,70000,2764015,,,1933763.0,49120,,,,,5717910.0,,96289,66203,97500,73531,,441401,3266810,70138,3912,0
2014-09-30,3,2014,50000,1410354,25078,1124711,-173,114686,347596,31481,88142,38142,16487,2938,242735,24805,107238,21527,31654,1405,5736,401726,27031,,0.0,662154,4668,480548,136670,216525.0,287935,1039586,2764015,2014年09月30日,785181,,3942296,3942296,2891165,223731,1138686,2354861,,90914,,368578.0,115799,870820.0,,36126.0,0,2764015,,,1554044.0,49120,,,49120.0,,5496340.0,18760.0,102623,65688,70000,75001,,415358,3141479,61272,2036,0
2015-03-26,4,2014,70000,1410114,25078,1308887,-810,114049,464694,69936,122687,52687,69313,2938,236247,21121,109230,22534,70746,674,3881,410607,27031,,0.0,872650,1740,740496,273778,214452.0,286751,1019804,2764015,2014年12月31日,969357,,4164927,4164927,2891165,223731,1527576,2961531,,90169,,339864.0,115799,1022059.0,,65805.0,0,2764015,,,1916356.0,49120,,,,,6081283.0,35032.0,110033,64557,42500,76718,,388780,3119752,70382,3159,0
2015-04-30,1,2016,40000,1378159,13078,1643731,-15990,98869,359437,-5820,107311,67311,12128,2938,66649,23440,118642,19213,10170,626,5068,570672,27031,0.0,0.0,1010173,2203,620483,213932,,281592,938645,2764015,2016年03月31日,1250310,86060.0,4424015,4424015,2891165,277622,1566248,3181557,42583.0,102179,389956.0,,115799,,1061506.0,,1064,2764015,6153861.0,1729846.0,,49120,,,,6153861.0,,190104.0,96949,41140,0,71830,,163598,2972304,122776,19593,0
2015-04-30,1,2015,65000,1393875,25078,1424235,5298,120157,314881,67394,118232,53232,73958,2938,237529,22543,109308,21013,62096,733,3881,381761,27031,0,0,777145,1910,474250,223405,,286278,1003895,2764015,2015年03月31日,1084705,88691,4277733,4277733,2891165,223731,1301763,2866468,214253,94448,361286,,115799,,1154287,,904,2764015,5964615,1686882,,49120,,,,5964615,,100025,107590,65108,40000,75382,,385119,3098147,97496,6094,0
