date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少
2013-05-06,1,2013,72104.0,,17468,,69000,,-1.0,,,-216.0,,-5686,-788,12279,8172,-77985,-4372,-64,-59215,3734,-43963,-101.0,,18087,48809,-5779,144881,-1439.0,-81037,66254,780,-12322,788,,,2013年01月01日至2013年03月31日,344129,338706,-5423,89154,,362646,363995,-9906,-7514.0,-305267.0,,-295204,89154,,-6113,208850,202737,30000.0,748,,-671.0,274841,338706,-1349,,21061
2013-08-05,2,2013,150274.0,-18750.0,64630,,58796,,,-12368.0,,-10838.0,,-6674,-1205,22865,11237,-192642,-4793,-1225,104607,-69695,-20448,61739.0,,-61859,117281,-7003,178626,-2856.0,-213805,136600,1872,-23288,1205,,,2013年01月01日至2013年06月30日,344129,195696,-148433,116313,,619004,699314,-61032,-7514.0,-607056.0,,-564869,116313,,-90228,522955,432727,30000.0,5631,,-1959.0,583001,195696,-80310,,131680
2013-11-05,3,2013,233940.0,-37500.0,66929,,96765,,,-2733.0,,6948.0,,-6202,-1547,33256,9317,-296866,-5584,-1115,528588,-91430,-53564,81957.0,,-108228,91176,-7422,85657,-4072.0,-289752,208597,3169,-33819,1547,,,2013年01月01日至2013年09月30日,344129,280131,-63998,313267,,1018423,1137363,-107227,-193135.0,-665239.0,,-801986,313267,,-190365,780521,590156,30000.0,6936,-2218.0,,824096,280131,-118940,15750.0,92984
2014-02-10,4,2013,307187.0,-86250.0,19986,,96862,,,-346.0,,-15512.0,,-15795,-1724,43048,11069,-439462,-5746,-2231,546992,-9250,-40316,11972.0,,-43165,116645,-73827,186468,-5264.0,-450112,282565,4441,-43388,1724,,,2013年01月01日至2013年12月31日,344129,194327,-149802,564570,,1384091,1505686,-33366,-185621.0,-899799.0,,-1094850,564570,,-78009,711938,633929,100000.0,9230,-3117.0,,941116,194327,-121595,8236.0,-127836
2014-05-05,1,2014,71566.0,-18750.0,-2692,,-554,-9794.0,,,400.0,,9912.0,-13464,-158,9706,3446,-76128,-113,-45,-60918,-105968,-16009,,-49931.0,-76387,77941,40477,65965,-1374.0,-75157,74412,1265,-8410,84,,,2014年01月01日至2014年03月31日,194327,214506,20179,248479,,326459,327437,8929,,,-157478.0,-234569,248479,,-202430,209822,7392,0.0,482,-150.0,,78958,214506,-978,0.0,77982
2014-08-05,2,2014,155320.0,-37500.0,60845,,-6517,,,,400.0,,739.0,-11985,-707,18792,-224,-212201,-249,-248,-282760,-72680,-15130,42.0,,-72353,97076,43574,19621,-2621.0,-205663,148212,2514,-18783,707,,,2014年01月01日至2014年06月30日,194327,261007,66680,490764,,344256,441051,5074,,,-15448.0,-71689,490764,,-101939,-103094,-205033,0.0,4941,-1258.0,,-49713,261007,-96795,0.0,20838
2014-11-03,3,2014,222680.0,-56250.0,85819,,-8246,,,400.0,,1741.0,,-27101,-860,27009,3919,-361712,-498,-595,-202719,-21972,-13494,-39915.0,,7001,8321,42263,931,-3801.0,-352671,222255,3786,-26968,860,,,2014年01月01日至2014年09月30日,194327,342866,148539,713489,,829814,988320,-23712,-185893.0,-23497.0,,-332523,713489,,53553,-1402,52151,0.0,6538,-1814.0,,274831,342866,-158506,0.0,181760
2015-03-23,4,2014,318264.0,-100000.0,85562,,-6761,,,400.0,,27151.0,,-13774,-1151,34489,15460,-498737,-646,-969,-200528,-111908,-17005,30007.0,,15088,-52358,42600,48513,-5015.0,-462243,297201,5159,-33585,1151,,,2014年度,194327,351698,157371,995381,,1049358,1217315,-9642,-185621.0,-175733.0,,-445204,995381,,-33278,-63052,-96330,20000.0,8438,-2691.0,,221934,351698,-167957,-272.0,115124
2015-05-04,1,2015,,-43750.0,-39364,,-5206,0.0,,,0.0,,2945.0,12093,-396,8400,-3324,-192411,-136,-3355,-533604,63628,-756,,-60050.0,-89472,150854,-7998,76556,,-188867,75953,1363,-9378,376,,93747.0,2015年01月01日至2015年03月31日,351698,291448,-60250,221016,-1836.0,-14934,-12063,-38186,,265515.0,,146875,221016,,-67800,-259026,-326826,,359,-311.0,,-233079,291448,-2871,-5462.0,98558
2015-08-10,2,2015,,-87500.0,-55833,,3438,,,,0.0,,3673.0,5435,-2618,16170,-6480,-386673,-136,-9019,-249998,22200,17402,,-49974.0,-50122,132297,-5479,101714,,-378480,155048,2586,-16978,2542,,166575.0,2015年01月01日至2015年06月30日,351698,212156,-139542,383713,-3566.0,442298,565168,-43974,,,-24738.0,-196880,383713,,-69919,84799,14880,,2114,-1027.0,,181455,212156,-122870,-17690.0,146801
2015-11-09,3,2015,,-131250.0,-61143,,1168,,,,0.0,,-6170.0,4375,-3162,22882,3013,-697424,-136,-8958,-94375,124742,52382,,-39957.0,-86058,-11467,-5497,82668,,-697484,239110,3929,-23087,3138,,257078.0,2015年01月01日至2015年09月30日,351698,294950,-56748,635911,-5306.0,803214,1007812,-64499,-243628.0,290555.0,,-165491,635911,,24617,90206,114823,,3108,-1098.0,,371901,294950,-204598,-18124.0,182208
2016-03-21,4,2015,,-175000.0,-9035,,2948,,,,0.0,-8485.0,,5069,-4893,30399,-1395,-946218,-466,-10387,-234530,45350,3075,,-50035.0,-18787,80808,-3410,79391,,-946086,327609,5173,-31129,4865,,351431.0,2015年度,351698,242233,-109465,912495,-7068.0,714279,926787,-143092,-243628.0,641653.0,,123737,912495,,13535,-350674,-337139,0.0,4218,-1539.0,,14292,242233,-212508,-18124.0,-132789
2016-04-18,1,2016,,-43750.0,-13565,7870.0,-12637,,,,,-13460.0,,-3956,-1266,7040,-3280,-275786,-300,-15,173418,2134,8730,69943.0,,3957,-87025,-24628,25215,,-287423,90079,1106,-7273,1243,,92836.0,2016年01月01日至2016年03月31日,242233,177683,-64550,318598,-291736.0,365525,365526,-35887,,,-148180.0,-139372,318598,,-282610,236702,-45908,,880,-152.0,,46928,177683,-1,-10112.0,198246
2016-07-25,2,2016,,-102500.0,-17849,15484.0,-6833,,,,,-9841.0,,3126,-2762,13655,-6837,-437365,-480,564,156937,37014,49894,89992.0,,922,25150,-96185,13943,,-443460,184539,1888,-14338,2764,,200816.0,2016年01月01日至2016年06月30日,242233,162535,-79698,692394,-294365.0,828267,932485,-52118,,,-412698.0,-457668,692394,,-208900,248175,39275,,1462,-194.0,,240091,162535,-104218,-18124.0,207281
2016-10-24,3,2016,,-146250.0,-9998,182.0,911,,,,,-22403.0,,5864,-3776,21298,-13750,-737208,-623,521,217057,9529,35597,129865.0,,59158,-140916,-37889,-19477,,-698802,284801,2505,-21782,3771,55541.0,255457.0,2016年01月01日至2016年09月30日,242233,301646,59413,1071255,-297088.0,1088137,1280390,-121298,-535982.0,,-46840.0,-316172,1071255,-55541.0,-202620,156298,-46322,300000.0,2120,-215.0,,209135,301646,-192253,4817.0,257910
