date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）,預收款項增加－處分資產
2013-05-10,1,2013,36772.0,-63266,1626,9551,-7361,0.0,410.0,53,-11516,3691,-17522,-21092,-1120000,,-462,71,141.0,0.0,-750.0,0.0,-106521,87246,16280,4225,-18247,-15225.0,-802984,50333,-5486,355,-3365,11518,,,2013年01月01日至2013年03月31日,8719334,8020392,-698942,127823,,-136410,-131670,,,257423.0,,257974,127823,,34586,-330851,-296265,782,350367,-362,,,,,,-367,,,-259493,8020392,-1375,,-204573,-23347.0,0.0,,
2013-08-07,2,2013,60828.0,69405,-568,25667,-28906,0.0,495.0,108,-27244,6596,-25386,-42936,-2100000,,-1593,855,705.0,0.0,-2638.0,,-428075,205543,42896,-134006,-69623,-14168.0,-576050,101131,-14337,799,-5715,27246,,,2013年01月01日至2013年06月30日,8719334,7679512,-1039822,222783,,-371466,-307081,,,0.0,-68120.0,-66920,222783,,329343,-920035,-590692,927,1642332,-427,,,,4856.0,-4321.0,-2332,0.0,0.0,-529864,7679512,-58670,,-258857,-104244.0,,,
2013-11-06,3,2013,82204.0,-31054,1744,4422,-17264,0.0,400.0,163,-39815,9919,-19887,-52316,-3060000,0.0,-1636,1279,1409.0,0.0,-4304.0,,-597656,178557,127585,-247478,-39324,-13115.0,-875920,151980,-42671,1278,-10023,39817,,,2013年01月01日至2013年09月30日,8719334,5964882,-2754452,514382,,-443977,-322608,,-1339570.0,0.0,-76907.0,-1414668,514382,9124.0,266395,-1185589,-919194,1528,2833857,-875,,,,4856.0,-4321.0,-3857,0.0,0.0,-836990,5964882,-111346,,-285611,-637722.0,,,
2014-03-19,4,2013,-278574.0,-81487,3922,940,-4999,0.0,,217,-54253,13084,-29078,-115693,-3645000,0.0,-1677,755,956.0,0.0,0.0,208460.0,-591551,37062,3802,92176,19283,-13390.0,-731629,202857,-91562,1759,-13005,54253,9125.0,,2013年01月01日至2013年12月31日,8719334,5262121,-3457213,975411,,-6389,120431,-1339570.0,-1339570.0,0.0,-11933.0,-2690117,975411,,-53073,-523333,-576406,522877,3524998,-342112,,,,4856.0,-4321.0,-4998,0.0,0.0,-854980,5262121,-113815,,-42164,-1293828.0,,,
2014-05-09,1,2014,21982.0,-16091,-1190,16402,-18514,0.0,,56,-10015,3132,-4115,-30675,-540000,,-620,-162,0.0,-5928.0,0.0,736.0,238445,4152,-39049,-36511,2220,3076.0,-360615,50829,-21735,465,-3373,10017,,,2014年01月01日至2014年03月31日,5262121,5144175,-117946,84454,,243125,249813,,,9587.0,,3659,84454,,-31510,174887,143377,105,302499,-89,,,,,,-499,,,165359,5144175,-3315,,-9563,-102677.0,,,
2014-08-06,2,2014,55649.0,83134,-2054,53832,-2887,0.0,130.0,111,-19984,6107,4441,-1627934,-670000,,-2978,838,0.0,-682.0,0.0,378.0,273430,88648,48235,-187785,-33780,4638.0,-253953,108542,-36836,955,-6296,19986,,,2014年01月01日至2014年06月30日,5262121,4758122,-503999,154286,,-102172,513570,,,,-151763.0,-152315,154286,,278487,25148,303635,3086,781377,-2707,,,,0.0,0.0,-1377,,,359284,4758122,-609446,,-21776,0.0,1242132.0,,
2014-11-05,3,2014,344701.0,93446,485,30857,-17429,,630.0,166,-28289,8506,-746,-1848676,-1434000,,-2978,2293,0.0,-539.0,-2130.0,,381591,78679,99535,-330908,-77482,3078.0,-474999,183019,-64093,1560,-9521,28291,,,2014年01月01日至2014年09月30日,5262121,4183749,-1078372,394351,,374956,1026164,,-803741.0,,-173933.0,-977583,394351,250025.0,305595,-18483,287112,3559,1530978,-3151,1998.0,,,0.0,0.0,-5335,,,631813,4183749,-641687,,25260,0.0,1247959.0,,
2015-03-24,4,2014,139457.0,31268,-4756,39983,-7361,,,222,-36815,10870,-20176,-2097604,-1844000,,-2978,303,102.0,,,1440.0,673109,-14709,-34092,-36188,-14947,-19555.0,-821062,253499,-80617,2141,-10647,36796,250025.0,,2014年度,5262121,4108178,-1153943,479222,,615998,1269330,0.0,-803742.0,,-125063.0,-928703,479222,,2895,647756,650651,3989,1624344,-3445,1998.0,,,0.0,0.0,-6701,,,790108,4108178,-642685,,37899,0.0,1204928.0,,
2015-05-06,1,2015,,-34873,3379,-179,-21118,,,57,-8422,2174,10382,-16548,-80000,,-53,214,,-372.0,-590.0,0.0,123079,66257,1134,-111749,-22608,,52496,75330,-34107,561,-3412,8443,,17879.0,2015年01月01日至2015年03月31日,4108178,4323139,214961,147829,-430.0,146055,151004,,,6400.0,,6028,147829,,31909,-46613,-14704,312,198241,-15687,,31122.0,,,,-2241,,,3175,4323139,-1537,,-17596,-88431.0,,,
2015-08-05,2,2015,,106943,-341,-3271,-25910,,-5510.0,112,-17621,5124,6429,-153812,-300000,,-53,1394,,-187.0,,1239.0,128335,101676,63794,-224785,-33818,,-112762,150087,-61054,1124,-6362,17642,,56188.0,2015年01月01日至2015年06月30日,4108178,4460117,351939,329055,-1206.0,444959,500189,,,19010.0,0.0,13313,329055,,267936,-152990,114946,1172,330103,-15875,,31122.0,,,,-7103,,,171134,4460117,-48868,,3529,-40175.0,0.0,,
2015-11-04,3,2015,,65709,1908,-633,-34742,,-5535.0,113,-25142,7265,1791,-183607,-1579508,,-2117,1939,10.0,0.0,-213615.0,,37228,49956,88033,-337492,-91413,,-676669,225390,-89676,1776,-8503,25163,,95760.0,2015年01月01日至2015年09月30日,4108178,3610098,-498080,678162,-2.0,794183,888693,,-482245.0,,-129615.0,-617385,678162,9124.0,528307,-413536,114771,1118,1372244,-15785,0.0,31122.0,,,,-19244,,,210531,3610098,-86007,,10975,-127469.0,0.0,325244.0,
