date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,逾期未領股利及董監酬勞轉列其他收入,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,72857.0,0.0,,-22990,10728,366.0,,,,-6472,,11210,1379,0.0,,-9886.0,0.0,6569,,330.0,-31154,-1480.0,,-4559,21645,1740,-96077,-310.0,0,,0.0,,-1115,1879.0,0.0,,3339.0,249460,,396526,,-11154.0,,-17468.0,-3880,42993.0,0.0,-181725,23533,-71,-4190.0,96974,52466,,,2353,26088,-21847,,3721,,,2013年01月01日至2013年03月31日,436135,702566,266431,27929,,82600.0,244156,262167,,,0.0,-163920.0,-76439,27929,,392317,-230936,161381,0,23870.0,8000.0,44251,,,48,31704.0,,,,12595,,8602.0,234238,702566,115,-5510,,,82701.0,,,-323609,0.0,2031.0,-6923
2013-08-13,2,2013,215619.0,26024.0,,-213946,18592,366.0,,,,13410,,13749,1878,-248472.0,,-7964.0,0.0,7429,,1588.0,-27531,-3963.0,,-7456,44965,2224,-165180,-310.0,0,,-8557.0,-160.0,-1017,,-20848.0,23845.0,,283068,,380045,,11085.0,,-39962.0,-922,,-5418.0,-111336,13727,3761,-3681.0,13376,111582,,,10410,51130,-43549,,5932,,,2013年01月01日至2013年06月30日,449484,1222290,772806,241710,,118189.0,1092174,1131345,0.0,,,-211566.0,-334968,241710,,407533,266483,674016,42000,23904.0,8000.0,44251,,8602.0,115,-58461.0,114405.0,,,22245,,,889635,1470762,-1554,-4220,,15396.0,1.0,,,54546,,3568.0,-11335
2013-11-12,3,2013,271072.0,26024.0,,-332917,34062,0.0,-17084.0,,,-2066,,19593,4347,0.0,,0.0,20063.0,17124,,11463.0,-32354,-8402.0,,-9141,62234,1515,-211634,-310.0,0,,-10377.0,-160.0,-807,,-3311.0,0.0,6844.0,187980,,491118,,10085.0,,-39985.0,-10084,,-7890.0,53322,28786,-16983,-3762.0,177350,170189,14115.0,,2519,72038,-60316,,6093,0.0,,2013年01月01日至2013年09月30日,449484,1335299,885815,775868,,118514.0,1865189,1922007,,,,-883272.0,-1158239,775868,,530817,344250,875067,11815,35756.0,45687.0,205732,0.0,,2940,-64336.0,114405.0,,,-59,,,1146139,1335299,-2595,-5914,-6877.0,15396.0,0.0,908.0,,57625,,2486.0,-10195
2014-03-26,4,2013,269994.0,27731.0,,-436839,71125,0.0,-16995.0,,,7035,,11055,9018,0.0,,0.0,6693.0,427391,,12750.0,-170151,-86899.0,,-14331,75574,5346,-234110,-310.0,0,-7901.0,-10377.0,,-895,0.0,-411.0,0.0,3540.0,59768,,957491,,-13202.0,,-39984.0,-6054,0.0,-9811.0,-64989,14022,-8212,-4862.0,-62619,229534,14115.0,59259.0,-4692,97084,-74610,,15003,23614.0,,2013年01月01日至2013年12月31日,679988,1662411,982423,929137,,,2403542,2467953,,,,-1008310.0,-1363846,929137,-8414.0,1024226,244596,1268822,42000,15784.0,67323.0,255469,0.0,,4027,-204262.0,114405.0,0.0,0.0,5388,0.0,,1538816,1662411,-4804,-5914,-6861.0,18686.0,0.0,50959.0,,-213552,0.0,1176.0,8673
2014-05-09,1,2014,90585.0,,,-19071,-37881,0.0,,,,-8313,1284.0,28460,749,0.0,,0.0,0.0,54368,,0.0,4100,0.0,166.0,-2621,10013,1522,-123079,0.0,-34958,,-2951.0,,-2767,37.0,,-958.0,0.0,-137727,,-220002,-11980.0,,99760.0,0.0,-8744,0.0,-1946.0,107430,-6422,12803,732.0,-167322,58453,,,-853,23708,-10127,,1732,,,2014年01月01日至2014年03月31日,1662411,1580983,-81428,15501,,,135621,144113,,,,-247029.0,-51249,15501,,-259413,297440,38027,117000,926.0,0.0,0,,0.0,447,-6899.0,,,,105,,,128612,1580983,-97,0,,,0.0,,,274552,-853.0,0.0,-9998
2014-08-11,2,2014,-195253.0,12000.0,-30823.0,-38142,-13196,0.0,,,,-27728,1895.0,10090,1241,0.0,,51050.0,,11746,,0.0,6385,214.0,,-5246,18477,-168,-511122,0.0,-86285,,-14828.0,0.0,-2721,,37.0,562.0,,-49535,,-337994,-9602.0,,,99911.0,11657,,-3276.0,-44945,21809,15532,1414.0,38640,113550,,,-19251,44977,-19277,,5361,,,2014年01月01日至2014年06月30日,1662411,1793443,131032,324923,,0.0,-63895,-49079,0.0,,,-216075.0,156455,355746,,-345766,167017,-178749,314000,33078.0,0.0,69793,,0.0,-7380,482283.0,0.0,,,-344044,,,-374002,1793443,-900,0,,0.0,0.0,,,238897,,0.0,-8135
2014-11-12,3,2014,-144182.0,12000.0,-30823.0,-397213,-52622,,0.0,,,-28333,4458.0,-2528,683,0.0,,,51550.0,2056,,0.0,27859,-18290.0,,-7095,25719,1673,-627546,-5450.0,-160977,-177194.0,-14828.0,,-2765,37.0,0.0,,922.0,-29736,,-668047,-20711.0,,,-19954.0,7334,,-4300.0,500826,15971,18968,-4951.0,-5841,158081,-3609.0,,-50819,67343,-25988,-42.0,6801,6187.0,,2014年01月01日至2014年09月30日,1662411,1752455,90044,186055,,,-17226,3074,,,,-118138.0,111438,216878,-6187.0,-754850,716051,-38799,828200,34495.0,0.0,226772,,,-8096,482283.0,0.0,,,-348283,2583.0,,-182981,1752455,-1071,61,0.0,0.0,,0.0,,239225,,0.0,-13325
2015-03-23,4,2014,-20542.0,12000.0,289788.0,-406284,-31373,,-10800.0,,,-22464,4576.0,-2150,1770,-3654.0,14.0,,51050.0,4773,,0.0,50866,-36914.0,,-10083,34100,5241,-911495,-6400.0,-187708,-177194.0,,,-3635,,-19617.0,,2931.0,383712,,-1136862,-28554.0,,,-19954.0,-10796,,-5189.0,656474,-1809,-41168,-6782.0,-274711,201060,-3132.0,0.0,-34805,85494,-33489,-66.0,8518,34151.0,,2014年度,1662411,1508244,-154167,-116831,,,-180307,-154006,,-251366.0,,165000.0,295610,-406619,-12151.0,-1215897,1199264,-16633,1021000,35555.0,0.0,242940,,,-979,482283.0,0.0,,,-348008,2583.0,,-37175,1511898,-1264,-242,0.0,3000.0,,14841.0,,221108,,-263.0,620
2015-05-13,1,2015,,,,-6571,-5323,,,,,9698,-50000.0,1680,2195,,,,,-2238,,,-43806,-715.0,,-2051,8533,-1199,-237837,,-69155,,,,-2135,150.0,,-4798.0,,-39651,,328556,-4877.0,,19900.0,,-1079,,0.0,-316528,30540,62531,,-372693,41110,-568.0,,9698,16944,-8031,-5.0,1654,,27733.0,2015年01月01日至2015年03月31日,1508244,1463674,-44570,43753,557.0,,119843,130097,,,40000.0,0.0,209479,43753,,307056,-248445,58611,156000,0.0,,9877,,,43,0.0,,,,-105,,,86344,1463674,-3872,-498,,,,,-20000.0,5576,-65.0,,-12458
2015-05-13,1,2016,,,,-52803,4158,,,,-262.0,-390,0.0,-7400,-676,,,,,9858,67.0,,2936,0.0,,-3265,15744,-1381,-2391,,-7917,,,,5,0.0,-15318.0,0.0,104.0,180850,,-102349,-8.0,,0.0,-89971.0,-2,,-1498.0,-230936,-7302,3018,,-15555,74507,-1733.0,,16226,24144,-15205,-9.0,3037,,130403.0,2016年01月01日至2016年03月31日,2673347,2988094,314747,502071,497.0,,474206,492319,,,17000.0,,-142523,502071,,-117048,-23107,-140155,0,,,0,,,0,,,,,0,,,-9752,2988094,-5936,106,,,,,-5000.0,24204,-89.0,,-11944
