date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融負債增加,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-10,1,2013,100064.0,-48418,-8987,563,-3445,-37304,44304.0,,,-1658.0,,9589,-216,13899,-7658,3445,32234,-179094,0.0,,-551,92,-113588,,,467769,,,-428506,-11054,-178576,81869,,-1426,1792,-3730,7658,,,2013年01月01日至2013年03月31日,1298202,1268215,-29987,67153,106039,104486,,,58734.0,0,10316,67153,,497361,-560092,-62731,0.0,2591,8051,37333,1268215,-2375,,0.0,20771,-211.0,-2280
2013-08-08,2,2013,177737.0,-101981,14183,1139,8774,-50224,53882.0,,23976.0,-2199.0,,-28842,-14538,32281,-15970,7388,48438,-267877,0.0,-24987.0,-2428,94,-209616,,,672489,,,-808268,-5315,-197361,169310,,-3890,3427,-7254,15970,,,2013年01月01日至2013年06月30日,1298202,1177518,-120684,175239,39044,48432,,,,69717,-10805,175239,,771135,-1075679,-304544,0.0,113529,-14903,-126807,1177518,-18104,,-2517.0,26586,,21807
2013-11-08,3,2013,291475.0,-144047,24332,1718,4079,-37698,38076.0,,24110.0,2408.0,,26797,-45472,52430,-21955,14008,39261,-486803,0.0,-25126.0,-2497,2700,-304003,,,643898,,,-1044027,-10479,-441446,258156,,-4070,5156,-13844,21955,,,2013年01月01日至2013年09月30日,1298202,1054258,-243944,336524,-40295,-14433,,-106500.0,,313076,198536,336524,,713135,-1355567,-642432,114452.0,114326,-14950,-350957,1054258,-33973,,-2555.0,13843,,2750
2014-03-24,4,2013,402567.0,-195933,24828,2294,2456,10123,86985.0,,24151.0,-4646.0,,-13911,-36873,98424,-27625,22360,64797,-611524,0.0,-48353.0,-2694,4181,-271291,,,845261,,27329.0,-1270632,-29136,-509575,350458,,-7231,6779,-19405,27625,,,2013年01月01日至2013年12月31日,1298202,1387408,89206,612919,372250,433769,0.0,-106500.0,,299014,161734,612919,,988799,-1570516,-581717,143557.0,192221,-44779,-179150,1387408,-69739,,-2555.0,4331,,1940
2014-05-08,1,2014,118210.0,-49866,6008,15348,24271,30891,-75733.0,,,-533.0,,-120416,-3767,13375,-4798,8884,-2290,-69396,,-27838.0,0,-2627,26471,,,-456573,,8799.0,140692,-351,-80056,93883,,3701,1873,-5846,4798,,,2014年01月01日至2014年03月31日,1387408,1041888,-345520,169537,-214747,-142813,,,,1439,-48427,169537,,-520402,89842,-430560,,6130,3919,-312350,1041888,-70886,,,12555,,-27174
2014-08-08,2,2014,246166.0,-100869,-999,15490,25910,40421,-60499.0,,0.0,0.0,6951.0,12310,-17429,32492,-10127,17257,-24877,-135281,,-69183.0,-4425,-2464,65240,,,-222606,,-5393.0,-176117,-10975,-194354,186041,,3692,3325,-14655,10127,,,2014年01月01日至2014年06月30日,1387408,962847,-424561,401916,132089,262790,,-195250.0,,-41300,-337419,401916,2704.0,-323209,-62083,-385292,,9523,13246,-139126,962847,-126173,,0.0,7038,,-59622
2014-11-06,3,2014,358276.0,-311128,5115,15811,23325,39470,-38422.0,,0.0,,47983.0,93074,-19733,42880,-13676,23814,20158,-241496,-3008.0,-170440.0,-4631,-2583,59011,,,-411282,,22231.0,281298,13723,-319699,280145,,4211,4871,-21313,13676,,,2014年01月01日至2014年09月30日,1387408,1520692,133284,605926,789809,988312,713269.0,-195250.0,,-563875,-356984,605926,,-476587,500697,24110,0.0,55815,18614,382386,1520692,-190866,,0.0,14121,,-77554
2015-03-20,4,2014,474385.0,-324561,-36219,16265,17291,36503,-43565.0,,0.0,50590.0,,60723,-62386,55890,-19042,26303,68179,-378975,-3028.0,-168121.0,-13881,-2643,40092,,-111557.0,-296462,,11162.0,66690,12641,-473376,377203,,3454,8081,-26012,19042,,,2014年度,1387408,1607070,219662,889498,890619,1142422,713269.0,-195250.0,,-347661,-265760,889498,,-418341,196880,-221461,0.0,86160,15857,252924,1607070,-244833,9282.0,0.0,-19769,,-70548
2015-05-08,1,2015,,-11695,-1303,361,-18214,797,-40740.0,,,,19197.0,-22727,-24140,-218,-5372,5019,11651,-79302,,-20235.0,-9106,-11,36359,,,-322466,,-40096.0,531039,4002,-102905,101432,,161,1604,-5908,5372,,101957.0,2015年01月01日至2015年03月31日,1607070,2110205,503135,237063,432804,518237,,,,111137,161585,237063,,-360944,540161,179217,62143.0,10320,-658,281174,2110205,-84897,,,-9309,,61875
2015-08-07,2,2015,,-30831,-535,714,-1780,-7519,-19828.0,,,,22998.0,-41077,-127126,-2921,-10770,10361,-46091,-178521,,-56208.0,-2584,-20,39835,,,-283065,,-39708.0,130937,20270,-320394,205307,,5471,2845,-11244,10770,8767.0,209873.0,2015年01月01日至2015年06月30日,1607070,2086179,479109,477211,399780,529288,,0.0,,309337,445814,477211,0.0,-294886,137090,-157796,61265.0,20333,-5124,52077,2086179,-137801,4724.0,106043.0,-5356,,50030
2015-11-06,3,2015,,-51242,6279,1089,-24295,858,-14378.0,,,,26566.0,-16904,-235719,24782,-18810,16017,10291,-300591,0.0,-57149.0,-3568,400,-34528,,,-381180,,-40373.0,358191,-23342,-539670,318116,,3372,4992,-14237,18810,5348.0,362348.0,2015年01月01日至2015年09月30日,1607070,1995956,388886,711197,788749,970109,0.0,-310208.0,,190796,129516,711197,,-417616,314180,-103436,194127.0,29702,846,258912,1995956,-191281,12633.0,106043.0,29905,,36331
2016-03-21,4,2015,,-117336,-8203,1441,-2776,-50061,52557.0,,,29427.0,,-11631,-315333,42908,-25079,21324,-26334,-448114,0.0,-120372.0,-4048,440,11191,43551.0,0.0,-620112,,-40055.0,487872,7299,-776338,430170,0.0,-1219,6560,-21869,25079,8844.0,487337.0,2015年度,1607070,2315158,708088,996669,1133715,1361096,0.0,-310208.0,,38256,377045,996669,,-605377,482467,-122910,620119.0,37110,-3172,364427,2315158,-239435,15405.0,146214.0,37797,,13212
2016-05-09,1,2016,,-8264,10431,360,-16277,41472,-123431.0,,,,3774.0,-10644,-56345,10740,-6253,6692,-32339,-94307,,0.0,-1011,-112,5834,,,-195223,,0.0,303468,-60313,-145585,116924,,-3031,1135,-6620,6253,,143201.0,2016年01月01日至2016年03月31日,2315158,2300630,-14528,234494,235004,299476,,,,-114901,-71608,234494,,-336913,258694,-78219,51557.0,1944,2392,64982,2300630,-64105,14714.0,,-21123,,-12413
2016-08-11,2,2016,,-55726,48038,715,652,1817,-134344.0,,,,6103.0,3133,-196146,8793,-13868,13835,-106448,-212591,,-46243.0,-11335,97,43106,,,-297813,,0.0,381579,-57187,-453448,232329,,2038,2661,-12887,13868,8772.0,282969.0,2016年01月01日至2016年06月30日,2315158,2410013,94855,401390,553954,655667,,,,-113901,100797,401390,,-381779,353087,-28692,230673.0,6049,7912,254277,2410013,-111466,29172.0,39751.0,-19361,,1688
2016-11-07,3,2016,,-117421,11955,-56089,-8643,-23662,,0.0,,,9113.0,-2629,-188439,4425,-19507,21603,-198734,-344079,,-45421.0,-24976,10263,45671,,,-134887,-79281.0,0.0,402645,-77785,-615097,339499,,3684,4541,-22549,19507,8616.0,419665.0,2016年01月01日至2016年09月30日,2315158,2394705,79547,595229,924786,1074885,,-377280.0,,92773,-31408,595229,,-207979,267970,59991,230985.0,34794,12177,479656,2394705,-155673,42980.0,139535.0,-76270,,2877
