date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-13,1,2013,3088.0,-9073,2749,7592,17895,,,,-308,,-418,,,100.0,-596,,,-19019,-299,4345,16055,7541,-1139.0,7502,13901,-5056,99,308,,,2013年01月01日至2013年03月31日,160456,208728,-719,48272,18692,,41266,40958,,-496,18692,,1426,17752,19178,7920,-7920,,,,,22266,208728,,-1394,-571.0,-2413.0
2013-08-09,2,2013,19770.0,4319,29989,12580,7574,,,,-783,,-965,,,100.0,-596,,-48.0,-28224,28248,20014,-57941,-1568,-2388.0,6907,27798,-1860,198,781,,,2013年01月01日至2013年06月30日,160456,239162,-1064,78706,42067,,72295,72580,,-496,42067,,62773,-52030,10743,7920,-7886,,,,,30513,239162,-1066.0,2788,-1281.0,
2013-11-01,3,2013,34563.0,7278,52219,9426,24231,,,,-1165,,-2518,,0.0,0.0,-496,-48.0,,-68722,-8646,-57666,-4703,15953,-3688.0,5354,41658,-869,291,1129,,,2013年01月01日至2013年09月30日,160456,182531,845,22075,59497,,58817,58873,-41600.0,-42096,59497,,-53296,18109,-35187,7920,-7849,,,,,-624,182531,-1185.0,2064,-1281.0,
2014-03-19,4,2013,46058.0,8324,3524,12765,11146,-4724.0,,,-1641,,-4592,,414.0,587.0,-847,-48.0,,-62654,-5154,-25875,-35771,12122,-4934.0,3300,55591,6480,381,1515,,,2013年01月01日至2013年12月31日,160456,150245,-1155,-10211,66750,,28349,28057,-41600.0,-41860,66750,,-14874,-69877,-84751,7940,-7848,,,,,-38693,150245,-1223.0,1261,-945.0,
2014-05-13,1,2014,9596.0,-16113,-115,-3152,14966,,,,-369,,-208,,,0.0,-250,,,-43929,-14847,-24860,30979,5298,-1179.0,10542,13877,-821,91,264,,,2014年01月01日至2014年03月31日,150245,126005,-547,-24240,11300,,-34532,-34757,,-250,11300,,-60151,4498,-55653,0,0,10750.0,-3115.0,,,-46057,126005,-39.0,-51,-290.0,-1880.0
2014-08-12,2,2014,22124.0,-11036,21457,-2749,13861,-1888.0,,,-835,-1.0,-936,,,0.0,-250,,0.0,-49201,-1668,-29886,49029,3820,-2465.0,9814,27411,-109,181,749,,,2014年01月01日至2014年06月30日,150245,192142,444,41897,20501,,32334,31790,,-250,20501,0.0,-47804,36969,-10835,0,40,10750.0,-3115.0,,,11289,192142,-205.0,-1316,-686.0,
2014-11-13,3,2014,28937.0,-13459,12346,-7422,21613,-2705.0,,,-1166,1.0,-1286,,0.0,,-250,0.0,,-33349,-4949,-42551,44691,-9268,-3755.0,13887,40452,-2635,271,1203,4423.0,,2014年01月01日至2014年09月30日,150245,105313,-1058,-44932,22542,,10764,10036,-69334.0,-69584,22542,-4423.0,-72136,30693,-41443,0,44,10750.0,-3115.0,,,-12506,105313,-475.0,-528,-1540.0,
2015-03-20,4,2014,41805.0,-8455,493,-3556,12083,-2705.0,,,-1627,4.0,-1328,,-1000.0,150.0,-554,0.0,,-52946,2983,-44766,65207,-23204,-4980.0,23845,53502,-2335,361,1668,4423.0,,2014年度,150245,115175,-1945,-35070,30049,,10819,9673,-69334.0,-69738,30049,-4423.0,-58774,-3407,-62181,0,44,10750.0,-3115.0,10000.0,,-20376,115175,-522.0,606,-598.0,
2015-05-13,1,2015,,-12960,789,905,-5961,-13.0,,-251.0,-336,-1.0,-1609,-2910.0,,0.0,-11,,,30720,-6241,-5922,6008,32962,,-4443,12965,301,90,338,,13166.0,2015年01月01日至2015年03月31日,115175,179814,346,64639,16211,-1175.0,69094,68790,,-11,16211,,-25393,64806,39413,76,-62,0.0,0.0,,,52579,179814,-34.0,414,0.0,
2015-08-05,2,2015,,-3061,451,1976,6659,-293.0,,,-745,-3.0,-3932,-2910.0,,0.0,-11,,0.0,29235,4403,-10942,1612,32455,,-6766,25828,-1033,167,745,,25927.0,2015年01月01日至2015年06月30日,115175,240100,27,124925,45065,-1419.0,131705,131035,,-11,45065,0.0,-9043,69086,60043,76,-50,0.0,0.0,,,85970,240100,-75.0,834,-134.0,
