date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-13,1,2013,34790.0,-30482,-13897,-9878,4604,0.0,,,-2869.0,1123.0,-358,-1457,-6150,-19260,,100.0,,190600,-257265,-1558,-4377,1936,-21764,31570,,1934,1271,216,,,2013年01月01日至2013年03月31日,225225,459690,234465,230967,125012,130889,,137267.0,,137367,230967,,,-303894,169026,-134868,365,241,-100078,-5296,459690,-7364,1737.0,,-9255
2013-08-09,2,2013,73181.0,-13584,-23365,-1315,4384,-4656.0,,,0.0,4625.0,-1169,2982,-10546,-52470,,150.0,,14610,-214046,-2511,182551,14284,-51396,62313,,3110,-3261,1067,,,2013年01月01日至2013年06月30日,225225,660358,435133,403965,332323,407554,,164602.0,,164752,403965,,,-253131,183539,-69592,1074,796,3589,-4009,660358,-73037,524.0,,-21935
2013-11-12,3,2013,98526.0,-4989,-25482,8674,-2537,-3527.0,,,0.0,-4773.0,-3247,4592,-24095,-104762,,150.0,,4130,-119251,-5149,108012,20399,-102612,98967,-541.0,4311,-6950,3279,,,2013年01月01日至2013年09月30日,225225,528295,303070,573538,524507,638598,-367135.0,272255.0,,-94730,573538,,,-160711,127245,-33466,2150,-507,65060,-3303,528295,-110420,-817.0,,-9902
2014-03-21,4,2013,135235.0,-15502,-8804,-3668,-822,,,-18763.0,,-3022.0,-3804,7370,15817,-161469,,150.0,,40740,-3443,4777,76605,12109,-173947,132443,361.0,5598,-7222,3785,,,2013年01月01日至2013年12月31日,225225,625378,400153,752663,827888,979581,-367135.0,97380.0,,-269605,752663,,,-26514,118197,91683,6285,-1532,226918,-2720,625378,-148256,-1818.0,,-7950
2014-05-03,1,2014,35900.0,-18424,16553,10731,-1689,,-7922.0,-10958.0,,-2776.0,-851,1435,24196,-32477,4287.0,231.0,,-5338,-148443,-8281,27685,-1769,-41823,33310,-10378.0,1284,-1483,848,,,2014年01月01日至2014年03月31日,625378,641820,16442,195173,91763,105527,,-50003.0,,-57694,195173,,,-161054,35508,-125546,1612,-162,-89646,-770,641820,-13129,-627.0,,14577
2014-08-13,2,2014,76017.0,-16126,2756,8403,1414,,,1748.0,,-2010.0,-1565,3042,6281,-76826,5127.0,-257.0,,-55110,-136256,-196,-40502,-317,-74066,69137,-16998.0,2522,-2982,1555,,,2014年01月01日至2014年06月30日,625378,729348,103970,413104,120997,193416,,58937.0,,50758,413104,,,-149899,-145806,-295705,1012,-236,-219688,-1491,729348,-70992,0.0,-7922.0,-41282
2014-11-06,3,2014,114165.0,12521,13017,6641,1169,,,-840.0,,-4426.0,-2336,4802,44840,-156462,5222.0,0.0,,-169279,-142528,-2791,-80727,10271,-156181,106900,-15512.0,3743,-4794,2257,,,2014年01月01日至2014年09月30日,625378,431740,-193638,652134,265143,400031,-448719.0,109201.0,,-347440,652134,,,-118161,-248107,-366268,1121,260,-252103,451,431740,-132351,0.0,-7922.0,499
2015-03-25,4,2014,152029.0,29043,7865,-5182,799,,,2726.0,,-4538.0,-3654,6629,14442,-160536,11234.0,0.0,,-139603,-109659,-4566,-111629,-1061,-155864,139122,-17954.0,4946,-6760,3475,2632.0,,2014年度,625378,489665,-135713,897683,554411,702743,-448720.0,-92060.0,,-548702,897683,,-2632.0,-76632,-270337,-346969,1946,262,-194940,-114,489665,-147679,660.0,-7922.0,5092
2015-04-29,1,2015,,-43955,-6890,22888,91,,,-2981.0,,-1684.0,-1233,1387,-6525,-54562,-5503.0,0.0,,157033,15497,-1525,46946,8088,-57394,39505,-16726.0,1234,-1446,1360,,34659.0,2015年01月01日至2015年03月31日,489665,838609,348944,210078,396713,409702,0.0,16150.0,,16150,210078,,,-36895,201860,164965,149,953,199624,-113,838609,-12903,0.0,0.0,-16369
2015-08-07,2,2015,,-24703,-5837,108,189,,,1371.0,,-8209.0,-3300,2443,-3915,-99285,-5503.0,,-7.0,125170,40415,-2572,-30942,-1444,-97769,81115,-16364.0,2473,-2377,3514,,69961.0,2015年01月01日至2015年06月30日,489665,754237,264572,440252,472625,592109,,,-106362.0,-106369,440252,,,4314,77582,81896,145,942,151857,-3178,754237,-120621,,0.0,1054
