date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-14,1,2013,461.0,-18831.0,,,-414500,-141986,0.0,-10440,-5391,20503,-2459,0.0,,767060.0,5511.0,0.0,-9630.0,0.0,,-98,11204,30274,-24763,,0.0,,,-4812,-10128,4087,2037.0,-172.0,-1877.0,1904.0,246180,0.0,,-93446,8292,,-330000,44274,5256,58643,-9967,183716,-1087,12983.0,727911,40635,699,-69835,3044,-13464,98,0.0,,2013年01月01日至2013年03月31日,524467,638336,113869,124514,,407883,419826,,0.0,-319162.0,-1052199,124514,9810,0.0,-145751,459894,314143,0.0,29,0.0,0,1467,0.0,16,,,295312,-1627,638336,1423,-376,,,,-5031.0
2013-08-12,2,2013,450.0,-29647.0,,,-1532750,-198892,0.0,27792,-133,-13857,33564,,,767063.0,1383.0,0.0,-10661.0,0.0,,-1570,17549,54119,-47632,,0.0,,,-6086,-8158,4087,2524.0,-1213.0,-1939.0,2312.0,289773,0.0,0.0,-151740,14921,,-370001,96209,71347,-57718,-17019,218500,249,3227.0,730942,83168,-1247,-149870,5687,-17784,1570,0.0,,2013年01月01日至2013年06月30日,524467,725209,200742,304564,,593039,607952,,0.0,-180662.0,-1177358,304564,9810,0.0,-160726,493761,333035,900000.0,13688,0.0,14197,-6934,0.0,13019,,,303388,18059,725209,1301,-90,,-726.0,7292.0,0.0
2013-11-12,3,2013,450.0,-218654.0,672.0,,-1856584,-219366,0.0,26157,-359,-6311,-12904,,,759704.0,7724.0,0.0,-37420.0,0.0,,-1486,21403,40475,-72989,,0.0,,,-12480,14233,4087,2927.0,-1358.0,-4295.0,3304.0,210505,0.0,0.0,-238126,-7691,,-570000,84848,81552,602107,18415,315217,-7981,-11755.0,1178346,127079,-4388,-202953,9805,-21650,1486,181616.0,,2013年01月01日至2013年09月30日,524467,687987,163520,570433,,1161051,1180423,-329760.0,,-372662.0,-2216352,570433,9810,-7035.0,-318125,1146769,828644,900000.0,11004,185960.0,163270,-4010,0.0,-205099,,,609990,-1276,687987,792,-164,,-726.0,19313.0,0.0
2014-03-26,4,2013,461.0,-252968.0,21196.0,6840.0,-1567834,-113242,0.0,45987,5296,-24174,-41252,,,769045.0,,-2163.0,,-28921.0,-20.0,-9503,28372,52149,-90766,,0.0,,,-14010,-5513,4087,,,,,269490,0.0,-209528.0,-103210,-8928,0.0,-444281,-94964,7475,243933,28037,210629,-3788,-40244.0,1292146,169105,-24074,-272780,13044,-29075,9503,181616.0,,2013年01月01日至2013年12月31日,524467,566968,42501,585369,,671073,700506,-329760.0,0.0,-322662.0,-1972867,585369,9810,-7035.0,-366153,734258,368105,900000.0,14782,185960.0,186527,-4076,59877.0,-193872,,,115137,11134,566968,-9861,-274,0.0,-726.0,19313.0,0.0
2014-05-14,1,2014,0.0,-70369.0,,,-325000,-286283,0.0,-24920,56,11434,26096,,,48.0,,1263.0,,1748.0,,-148,3919,1142,-15395,,,,,-3039,-14924,27788,,,,,123919,,,-81124,15485,,-129879,110417,-9905,386349,-2553,124672,4532,-2512.0,36442,42699,-2998,-122211,3087,-4693,148,,,2014年01月01日至2014年03月31日,566968,597024,30056,164362,,470267,477589,,,-50000.0,-477795,164362,12172,,-251557,635153,383596,,730,,52350,-313,,-5637,,,313227,-9069,597024,-2777,15,52.0,-1967.0,10920.0,0.0
2014-08-11,2,2014,0.0,-133142.0,,,-325000,-115761,,-25633,26,441,99412,,,-252.0,66.0,,,4124.0,,-1798,7548,-10417,-48498,,0.0,,-80250.0,-35504,3846,27788,,,,,390194,,-123352.0,-74280,23266,,-144882,126529,36863,-70219,-2828,101119,4432,-27600.0,-82718,82308,117,-238763,6570,-7762,1798,3079.0,,2014年01月01日至2014年06月30日,566968,550138,-16830,361520,,681418,702535,,,-34000.0,-605113,361520,12172,-3079.0,-22463,496620,474157,0.0,1016,,73567,-331,,-5787,,,341015,8079,550138,-15153,-72,52.0,-5733.0,4192.0,
2014-11-14,3,2014,0.0,-199639.0,18607.0,,-325000,-97283,,-11384,-169,6344,88326,,-252.0,0.0,0.0,-2317.0,-13385.0,,,-3696,10655,4897,-60683,,,,-95250.0,-45470,-8687,27788,,,,,714206,,-123352.0,-237335,610,,-124921,135972,44222,228635,-926,120279,4451,-33586.0,88248,121498,-5095,-351120,11933,-7762,3696,201079.0,,2014年01月01日至2014年09月30日,566968,1013690,446722,602222,,1332892,1353144,-373100.0,,-40000.0,-979315,602222,12172,-6580.0,-187762,1138323,950561,0.0,4848,0.0,78754,-273,,-1915,,,750922,-6706,1013690,-16186,-8,52.0,-18413.0,16330.0,
2015-03-23,4,2014,0.0,-228398.0,18607.0,0.0,-325000,-15723,2097.0,602,25,-7289,7760,,,1551.0,9919.0,0.0,-91924.0,,0.0,-7168,13709,23819,-96862,,0.0,,-95250.0,-48009,-5414,43910,,,,,366246,,-123352.0,68922,12241,,-114927,16911,14833,20471,-3204,98783,3162,-50217.0,-26751,156875,-58251,-424239,16326,-13956,7168,201079.0,,2014年度,566968,615708,48740,669536,,889015,912076,-373100.0,45000.0,0.0,-837343,669536,21752,-6580.0,35344,435594,470938,0.0,5303,0.0,78754,-333,0.0,-1886,,,242540,-6431,615708,-16273,-1655,52.0,207.0,10163.0,0.0
2015-05-11,1,2015,25.0,,,,0,-263934,-1715.0,-8340,0,15544,90152,0.0,,0.0,,-8467.0,,486.0,,-214,2346,-5007,-15837,,,,,-1575,-10857,0,,,,,-178701,,,-148145,19395,,8,61888,-11817,359391,8760,54457,-6151,,-1926,35221,17151,-103784,3764,-2333,214,,-80950.0,2015年01月01日至2015年03月31日,615708,808477,192769,158984,10527.0,83161,87459,,,125000.0,116541,158984,0,,-327294,336719,9425,,0,,0,0,,-428,15000.0,,-71525,-9037,808477,-2179,0,0.0,0.0,0.0,-7023.0
2015-07-31,2,2015,25.0,,,,-60000,-54193,-1822.0,-18272,0,22220,112173,,,-26000.0,-7325.0,,,5874.0,,-3110,7425,-13391,-28426,,,,0.0,-13092,13885,0,,,,,14126,,0.0,-186605,12679,,-39949,170209,47050,-151132,8659,16178,-9815,,-32736,68574,-13612,-213335,7082,-7412,3110,10262.0,-128561.0,2015年01月01日至2015年06月30日,615708,725825,110117,362646,-10328.0,175313,193242,,,32000.0,-19069,362646,0,-10262.0,852,-41695,-40843,60000.0,3646,,0,12606,,-524,15000.0,,-169404,1642,725825,-13627,61,0.0,-3795.0,0.0,-10988.0
