date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得子公司股權,取得持有至到期日金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分按攤銷後成本衡量之金融資產,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-14,1,2013,,351924.0,145774,6525.0,,0,-262803,135.0,71375,-29484.0,-1221,-11006,,0.0,,,164218.0,-275,0.0,,-18453,102835,129951,-547081,-63079,-904954.0,-3002842.0,,0.0,,-48000.0,-244,-647429.0,,-973,0,-32,-25513,537,77528,,250861,41467,149788.0,,-965,-10864,-528821,-3621,499243,,489178,692930,-3041,-8215,62,21287,-92857,18227,460893,,2013年01月01日至2013年03月31日,7276902,8930745,,1653843,639761,1018494,1205349,,,,1886347.0,-2009019.0,16220,639761,39539,-460893,3577,210087,213664,,271,296302,1611095.0,,3212086.0,291,,,,-2463,,,,,,,565588,,8930745,-93998,,-21963,,,,,,,,,-21130,-23390.0,,-20856
2013-08-09,2,2013,,1217695.0,54130,512.0,,-180555,-149627,128.0,82530,-93.0,29801,-14830,,,,,-57025.0,-516,0.0,,-43197,224146,80036,-857364,-145049,-1969630.0,-6510394.0,,0.0,,-48000.0,-1753,-660112.0,,-374,0,-436,-35972,1739,634994,,22946,147441,149781.0,0.0,-149,-22002,-425951,-6458,619421,,-328195,1375967,-15325,4338,161,32000,-206230,37366,476996,,2013年01月01日至2013年06月30日,7276902,8818524,,1541622,217985,1747308,2280319,,,,5841659.0,-5745974.0,42473,217985,77509,-476996,-31387,876026,844639,0.0,274,652477,2141914.0,,6575587.0,3159,,,,-221610,0.0,,,,,,2062334,,8818524,-326781,,-45244,,,,,753394.0,-460704.0,,,39100,-40916.0,,-66602
2013-11-12,3,2013,,1621191.0,100495,21510.0,,-180555,-318018,8.0,12594,-387.0,23636,-16886,,,-1153946.0,1052701.0,,-777,0.0,,-66186,343868,-1231,-1248159,-121964,-2427406.0,-9306837.0,,0.0,,-48000.0,-3095,,,2564,2,-696,-35972,54717,649420,,-172897,97384,149781.0,0.0,-2152,-33280,-635529,-20353,638505,,2481126,2042628,-30074,182,266,37945,-321929,66579,998979,,2013年01月01日至2013年09月30日,7276902,9557877,,2280975,278156,1239480,2076812,,-639932.0,0.0,7920260.0,-8653980.0,-1438400,278156,104285,-998979,-427526,604991,177465,0.0,665,364661,4319740.0,,9903690.0,3525,,,,-11405,0.0,,,,,,1798656,,9557877,-515403,,-87364,,,,,753394.0,-502573.0,,,-22555,-57232.0,,-25413
2014-03-31,4,2013,,3048371.0,154946,30500.0,,-398610,-165268,112.0,89214,-896.0,31149,-60549,,,-1815407.0,1644392.0,,-694,0.0,0.0,-93982,460284,6094,-1579359,-229531,-3757842.0,-13610580.0,,-623464.0,,-48000.0,-10160,,,201,0,-368,-52136,54717,185356,,65210,273480,149944.0,0.0,-2382,-44558,-545062,-27580,697792,-3074.0,1149566,2714644,-37373,1201,2926,43795,-429199,94976,1347269,,2013年01月01日至2013年12月31日,7276902,8809157,,1532255,-999154,1325728,2331347,0.0,-639932.0,0.0,10241404.0,-10257013.0,-949133,-999154,130291,-1347269,188964,93166,282130,0.0,906,366330,4990585.0,,14293964.0,5255,,,,-20755,0.0,,,,,,3330501,,8809157,-576420,,-116191,,9281.0,,,1841190.0,-580605.0,-4794.0,,-243236,-97746.0,0.0,24036
2014-05-14,1,2014,,582036.0,24347,6374.0,,-375000,-197094,-100.0,-62920,681.0,757,-36159,,,-456094.0,450237.0,,2827,,,-27032,120133,159730,-278328,-151328,-790418.0,-3290193.0,,,,0.0,0,,,1811,2,-361,-950,40,-790226,,-541706,-373592,0.0,-149944.0,-3991,-11686,565114,18394,-27828,-9571.0,197794,665100,0,-800,4174,6338,-109876,26286,163192,,2014年01月01日至2014年03月31日,8809157,8258582,50484.0,-550575,-425556,-1598341,-1484360,,,,3044406.0,-1817175.0,690242,-425556,25992,-166657,-1257063,-383777,-1640840,,0,748,1481803.0,,3058207.0,3,,,,-5259,,,,,,,-1058804,,8258582,-4105,,-14959,,,,,,-80919.0,,4948.0,-40462,-51077.0,,-141337
2014-11-14,2,2014,2766.0,11645303.0,49154,,,-946912,-38665,-105.0,165377,629.0,-29484,-51530,2641.0,,-1124158.0,752418.0,,-2489,-9076.0,,-53298,244607,18846,-691270,-238913,,,800.0,,2610586.0,0.0,-380,,-5094245.0,3272,142,-2,-9290,9794,-417001,-10047.0,-91123,-381610,0.0,-149944.0,-3249,-23442,301096,14287,15680,-15420.0,1794434,1320836,2590,0,8962,12760,-228006,53816,327247,,2014年01月01日至2014年06月30日,8809157,10238212,8992.0,1429055,-11500344,-864106,-559147,,,,7154347.0,-5588105.0,479881,-11500344,50914,-327247,-647040,-57066,-704106,,314,748,,,,5516,,,,-8608,633896.0,15926.0,,,,5478081.0,10941197,,10238212,-76953,-859638.0,-40778,,,-18990.0,43044.0,10449626.0,-11538.0,-100820.0,4917.0,-70184,-14673.0,,-108035
2014-11-14,3,2014,10353.0,12452044.0,79199,23903.0,,-1303413,-264761,55.0,181508,500.0,-29997,-58821,3690.0,,-2648350.0,1566040.0,,-5200,-80053.0,70989.0,-75838,437245,162799,-979049,-300767,-1729557.0,-5808836.0,800.0,,,0.0,-475,,,-2361,815,-2,-41605,33005,325264,-10047.0,-1422336,-367030,0.0,-149944.0,-3743,-35292,984213,-4358,-13276,-11608.0,3764701,1728187,951,1393,14379,19459,-316663,81545,487473,,2014年01月01日至2014年09月30日,8809157,8272952,-3587.0,-536205,-12410189,-1137635,-721950,,-426621.0,,9926326.0,-11571736.0,-3326070,-12410189,60397,-487473,-2250077,1486272,-763805,200000.0,1436,1509,4510140.0,,7590472.0,5618,,,,-40812,1053082.0,,,,,,11688239,,8272952,-99022,,-58262,,,-18990.0,43044.0,11219355.0,-350426.0,-100612.0,4902.0,81457,-51389.0,1699.0,-166906
2015-03-30,4,2014,10410.0,13069827.0,143837,31111.0,,-1946754,-234257,-95.0,234244,893.0,-32110,-46830,7726.0,,-1904744.0,1971373.0,-1780964.0,-24266,-80600.0,71474.0,-92885,980481,440555,-1270439,-415194,-1791226.0,-9318187.0,1221.0,0.0,,0.0,-8804,,,-172,646,-1024,-73355,49663,626913,-10047.0,-1735980,-373876,0.0,-149944.0,-2243,-47634,1455141,19616,33076,-14134.0,4175474,2079012,957,227401,21076,25663,-357721,99149,691348,,2014年度,8809157,5761345,-13543.0,-3047812,-13153617,-2187500,-1715367,,-426621.0,,10713616.0,-13852844.0,-5476341,-13153617,46825,-691348,-2609851,978274,-1631577,200000.0,2802,1513,4510349.0,,10532177.0,6750,,,,-41243,1059889.0,,,,,,11438250,,5761345,-114412,,-77263,,26702.0,-18990.0,43044.0,11241929.0,-409311.0,-101262.0,4935.0,222918,-30335.0,,-239973
2015-05-13,1,2015,1284.0,,22942,5671.0,-93233.0,-231500,-52637,414.0,665,-216.0,-224,-1228,0.0,,-1764171.0,937296.0,-665574.0,190,0.0,0.0,-16968,323609,-72531,-222932,-8272,-948053.0,-1206929.0,0.0,0.0,,0.0,-3336,,,-2526,218,-150,-1496,10027,729727,0.0,322479,-11826,0.0,0.0,-248,-12741,-301149,-19069,39096,7152.0,-295334,353064,51,19119,2829,4775,-32773,10875,482439,-84178.0,2015年01月01日至2015年03月31日,5761345,5424662,-64286.0,-336683,230871,265797,306492,,0.0,,1430009.0,-1671001.0,-234615,230871,5476,-482439,328947,-169148,159799,343783.0,8784,913,46957.0,,1443393.0,-4775,,906477.0,-150630.0,-1222,0.0,,,,,,75621,-2235.0,5424662,-7922,,-7319,,0.0,,0.0,0.0,-43005.0,0.0,0.0,22329,-15919.0,,70938
2015-08-14,2,2015,1871.0,,58456,9008.0,-140560.0,-1106631,184631,-9.0,86603,-187.0,-3331,-18005,1711.0,,-3285122.0,2410446.0,-543742.0,-2205,0.0,,-41296,624449,-185802,-372550,-38895,-1283198.0,-1652732.0,0.0,,,0.0,-4777,,,-2728,218,-1321,-4861,12426,992404,0.0,266723,-3637,,0.0,-198,-25337,-491462,4989,336833,2491.0,191681,706517,326,19119,5132,9532,-66424,33095,706243,78451.0,2015年01月01日至2015年06月30日,5761345,6573863,-48339.0,812518,867098,1851895,1897682,,,,4066429.0,-4177933.0,-1045256,867098,-205985,-706243,617782,334351,952133,339879.0,10172,3128,510173.0,,2168580.0,-4291,,906477.0,-150630.0,-3667,0.0,,,700.0,-700.0,,1030584,-2887.0,6573863,20637,,-6409,,,0.0,0.0,0.0,-93670.0,0.0,0.0,-54692,-15883.0,20795.0,171566
2015-11-12,3,2015,3016.0,,71432,11527.0,-2025781.0,-1465239,444146,,-56142,,206,-12960,803.0,,-381945.0,0.0,-1950572.0,-8425297,0.0,0.0,-60306,660171,400388,-553957,-61311,-1816235.0,-2571762.0,0.0,,,,-5243,,,-2196,0,-931,0,11513,1096499,0.0,329258,5744,,0.0,3665,-196986,-843605,4396,328193,10839.0,1419792,1047971,-330,19119,5898,14439,-100404,52345,969556,-6769707.0,2015年01月01日至2015年09月30日,5761345,6221671,-76741.0,460326,8728597,992141,1107693,,0.0,,798744.0,0.0,-2351995,8728597,-205985,-969556,882357,-1733554,-851197,538198.0,10172,3756,2025692.0,,2885684.0,-3916,-138609.0,906477.0,-150630.0,-7299,0.0,,-29947.0,700.0,-700.0,,-7620904,-3598.0,6221671,-15148,,-5851,,1534016.0,0.0,0.0,0.0,-93196.0,0.0,0.0,-329321,,,98865
2016-03-30,4,2015,3123.0,,154254,16801.0,-2025781.0,-2286321,488266,28.0,-47236,-351.0,-4632,1846,0.0,,-940252.0,0.0,-1169872.0,-2133,0.0,0.0,-84229,687552,371704,-773007,-143214,-2122837.0,-3853546.0,0.0,,,,-7212,,,-2311,0,-839,0,8156,1221385,0.0,261418,-10090,,0.0,3469,-198920,-177870,-1656,322033,14423.0,498047,1393100,-331,19120,5898,19458,-128315,80660,1391001,-6616387.0,2015年度,5761345,7010132,-67782.0,1248787,10254640,4246795,4465949,,0.0,,9872278.0,-9771656.0,-3867759,10254640,-205985,-1391001,825144,2552,827696,543480.0,10335,5661,2044694.0,-8423183.0,3857985.0,9799,-138609.0,906477.0,-150630.0,-8449,0.0,,-29947.0,700.0,-700.0,,-5788691,-3598.0,7010132,-90839,,-12201,,1534016.0,0.0,0.0,157561.0,-44745.0,0.0,0.0,-179270,,,87016
2016-05-09,1,2016,0.0,,11679,0.0,0.0,-231500,-148162,-39.0,49514,0.0,836,-1083,,,0.0,93832.0,-842369.0,0,,,-20773,24533,-198351,-178449,-102940,-133401.0,-123018.0,,,,,-3279,,,-1458,0,-3,-5962,0,54837,,388780,-1958,,,-773,0,-313277,-9139,25554,-11786.0,117475,315916,356,504,0,5210,-23485,21527,105429,313104.0,2016年01月01日至2016年03月31日,7010132,8391999,68643.0,1381867,1028178,482452,619850,,,,1090830.0,0.0,980291,1028178,0,-105429,333304,-1054736,-721432,120964.0,105,274,431678.0,,0.0,492,,0.0,0.0,-452,,,,,,,-408328,0.0,8391999,-113913,,7570,,,,,,18852.0,,,-7491,,,94264
2016-08-11,2,2016,0.0,,21702,1830.0,0.0,-874841,82586,-40.0,45331,-4.0,34,-12129,,,513459.0,,1337205.0,-1868,,,-50007,46431,-189514,-355609,-210157,-1067414.0,,,,,,-4778,,,1891,491,0,-20649,0,-261300,,238550,-13585,,,-1546,0,-553327,117,-136520,-12103.0,-286926,629818,0,4681,0,10470,-46459,52943,121967,591080.0,2016年01月01日至2016年06月30日,7010132,8575843,23143.0,1565711,2366796,3465882,3776800,,,,,-853835.0,-1423731,2366796,9567,-121967,406262,412662,818924,304454.0,927,428,434919.0,,223506.0,58,,0.0,0.0,-519,,,,0.0,0.0,,1410004,0.0,8575843,-264459,,42010,0.0,,,,,2053.0,,,711,,,100263
2016-11-11,3,2016,0.0,,55458,3530.0,0.0,-1442128,163223,70.0,-16822,-64.0,78,-8073,,,563245.0,,2102258.0,89,,,-58872,64193,-498426,-740811,-261843,-1377654.0,,,,,,-4891,,,587,2942,0,-5153,0,-216998,,318595,-11892,,,-2139,0,-425903,-8714,-193836,-6535.0,-176594,943039,-2797,11063,0,15826,-63438,60845,258112,934972.0,2016年01月01日至2016年09月30日,7010132,9611141,31740.0,2601009,3400132,5493717,6116085,,-1279439.0,,196533.0,,-2217688,3400132,23288,-258112,519941,1261040,1780981,304404.0,925,511,803074.0,,468658.0,3578,0.0,0.0,0.0,-661,,,0.0,0.0,0.0,,2715953,0.0,9611141,-558930,,158468,0.0,0.0,,,,11809.0,-600.0,,24664,,,54803
