date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,處分透過其他綜合損益按公允價值衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,4670.0,,-245,152,-6,,-738.0,,-23.0,-200,,,-5409,,,-404.0,-20312.0,,-74559.0,,,,-630.0,,-6978,,-2714,-1583,6141,18379,-461,342.0,-40861,5497,40,,13,,2013年01月01日至2013年03月31日,96239,72020,-24219,7207,,,16642,16629,,,,,,7207,-5651,10403,4752,,449.0,,-260.0,,,60742.0,9422,72020,,-384,-6672,-1603
2013-08-09,2,2013,12044.0,,-407,196,-7,,,504.0,,-450,1.0,,-8212,,,-451.0,-20400.0,,-74559.0,,,,-630.0,,-12111,,375,-204,8093,8854,-498,681.0,-42558,11155,95,-1.0,287,,2013年01月01日至2013年06月30日,96239,81267,-14972,14465,,,27586,27300,,,,,,14465,950,-159,791,,448.0,,-260.0,-23.0,,60742.0,12835,81267,,1526,-4490,309
2013-11-13,3,2013,17080.0,,350,116,713,,-1715.0,,,-673,31.0,,-16675,,,-451.0,-29056.0,,-74559.0,,,,-1200.0,,-28618,,-481,-3636,5280,5599,117,1020.0,-62465,16845,150,-31.0,300,,2013年01月01日至2013年09月30日,96239,55806,-40433,25618,,,22032,21763,,,,,,25618,-4555,-16380,-20935,,448.0,,-252.0,-23.0,,60743.0,-3855,55806,,1002,529,-1924
2014-03-28,4,2013,21203.0,,4096,185,692,-5400.0,-1135.0,,,-1075,31.0,,-26857,,,-879.0,-25899.0,,-74559.0,,,-20000.0,-1200.0,,-25937,,-6074,-1090,-5645,16729,-433,1359.0,-74739,22502,210,-31.0,527,,2013年01月01日至2013年12月31日,96239,666575,570336,31364,,,37275,36808,627800.0,,,,607800.0,31364,-2360,-13399,-15759,,448.0,,-252.0,-23.0,,60742.0,5444,666575,-29.0,-190,1195,-836
2014-05-07,1,2014,2308.0,,-1118,-27,-3,-16.0,-549.0,,,-625,,,-3971,,,0.0,16703.0,,-388500.0,,,,0.0,,-1267,,4642,-1652,-10365,-420,506,450.0,-376333,4887,62,,860,,2014年01月01日至2014年03月31日,666575,284629,-381946,1112,,,-5613,-6473,,,,,,1112,4744,-14637,-9893,,0.0,,0.0,0.0,,0.0,-7585,284629,,-2016,-3088,2449
2014-08-13,2,2014,4654.0,,60,-82,-3,-17.0,-1948.0,,,-1660,0.0,,-20394,,,0.0,30285.0,,-388500.0,,,,780.0,,699,,3530,-564,-9740,-210,-5499,894.0,-354261,9717,125,0.0,1958,,2014年01月01日至2014年06月30日,666575,304595,-361980,1696,,,-7719,-9677,,,,,,1696,2764,-18791,-16027,,0.0,,0.0,-7.0,,25533.0,-11373,304595,,-3521,-4038,-1074
2014-11-12,3,2014,8437.0,,1117,39,-3,-17.0,-3076.0,,,-2323,0.0,,-22422,,,0.0,21159.0,,-388500.0,,,,453.0,,8207,,180,-3093,-4988,-420,-3850,1337.0,-366870,14325,169,0.0,2716,,2014年01月01日至2014年09月30日,666575,268200,-398375,333,,,3495,779,,-35000.0,,,-35000.0,333,-1193,-6798,-7991,,0.0,,0.0,-7.0,,25533.0,446,268200,,-3727,-5744,-773
2015-03-13,4,2014,12598.0,,18498,-89,-1250,-17.0,-4897.0,,,-2776,17.0,286.0,-125759,,,-511.0,20734.0,,-407161.0,1263.0,,42.0,453.0,,7625,,-58,-3476,-1001,-420,-5829,1779.0,-267263,18908,230,-17.0,3192,,2014年度,666575,366492,-300083,-22145,,,1852,-1086,0.0,-35000.0,,,-34958.0,-22145,15624,-7163,8461,,0.0,,0.0,-71.0,,249895.0,21059,366492,-237.0,-4973,-6288,-1030
2015-05-07,1,2015,,,-9110,13,93,-17.0,-29228.0,,,-502,,-93.0,-26143,,,,,,-9495.0,1080.0,,,,,5575,-39029.0,5029,713,-10641,210,2299,,-45935,4727,70,,403,5040.0,2015年01月01日至2015年03月31日,366492,291163,-75329,13759,548.0,,9728,9325,,,,,-39029.0,13759,-2870,-6604,-9474,,,,,,9495.0,9453.0,-4434,291163,,-335,-4140,-63
2015-08-14,2,2015,,,-15856,128,-869,-17.0,-30843.0,,,-1032,,-197.0,-71524,,,-458.0,,9495.0,-9495.0,1080.0,,,,571.0,6720,-39029.0,6554,1997,-21817,420,-751,,-83620,9611,152,,995,10605.0,2015年01月01日至2015年06月30日,366492,245433,-121059,19020,1095.0,,1787,792,,,,,-39029.0,19020,-6021,-22812,-28833,,48.0,,-48.0,0.0,,18603.0,-18228,245433,,842,-6515,61
